Date,Close,Open,High,Low,Volume
1980-03-17,8.86,,9.09,8.75,141400.0
1980-03-18,9.09,,9.13,8.66,242300.0
1980-03-19,9.06,,9.23,9.03,170400.0
1980-03-20,8.86,,9.13,8.84,162600.0
1980-03-21,8.7,,8.83,8.66,213300.0
1980-03-24,8.3,,8.63,8.27,178800.0
1980-03-25,8.47,,8.5,8.28,269200.0
1980-03-26,8.36,,8.66,8.34,138300.0
1980-03-27,8.03,,8.22,7.66,314500.0
1980-03-28,8.14,,8.22,8.03,212900.0
1980-03-31,8.19,,8.23,8.0,158200.0
1980-04-01,8.13,,8.28,8.09,94600.0
1980-04-02,8.34,,8.41,8.17,117500.0
1980-04-03,8.19,,8.34,8.16,65500.0
1980-04-07,7.8,,8.14,7.78,88400.0
1980-04-08,7.94,,7.98,7.75,123400.0
1980-04-09,8.38,,8.44,7.95,181500.0
1980-04-10,8.5,,8.5,8.31,163800.0
1980-04-11,8.52,,8.55,8.47,110500.0
1980-04-14,8.56,,8.56,8.42,101500.0
1980-04-15,8.61,,8.7,8.53,79000.0
1980-04-16,8.34,,8.75,8.34,174000.0
1980-04-17,8.34,,8.44,8.27,60200.0
1980-04-18,8.2,,8.38,8.2,113700.0
1980-04-21,8.17,,8.28,8.08,83900.0
1980-04-22,8.69,,8.73,8.44,183400.0
1980-04-23,8.63,,8.8,8.59,144800.0
1980-04-24,8.45,,8.63,8.45,191700.0
1980-04-25,8.59,,8.59,8.42,101000.0
1980-04-28,8.66,,8.8,8.59,188000.0
1980-04-29,8.69,,8.7,8.59,68100.0
1980-04-30,8.84,,8.84,8.63,77100.0
1980-05-01,8.72,,8.83,8.63,137400.0
1980-05-02,8.7,,8.75,8.66,170400.0
1980-05-05,8.52,,8.55,8.47,117300.0
1980-05-06,8.47,,8.75,8.42,164600.0
1980-05-07,8.63,,8.72,8.47,160400.0
1980-05-08,8.45,,8.63,8.44,243400.0
1980-05-09,8.27,,8.45,8.16,184500.0
1980-05-12,8.2,,8.22,8.13,183600.0
1980-05-13,8.28,,8.31,8.06,220800.0
1980-05-14,8.25,,8.34,8.22,234800.0
1980-05-15,8.25,,8.31,8.19,112100.0
1980-05-16,8.44,,8.47,8.23,89500.0
1980-05-19,8.55,,8.66,8.39,69600.0
1980-05-20,8.61,,8.63,8.53,111800.0
1980-05-21,8.63,,8.69,8.5,62100.0
1980-05-22,8.88,,8.94,8.66,120700.0
1980-05-23,8.94,,9.0,8.88,148300.0
1980-05-27,9.13,,9.16,8.94,156800.0
1980-05-28,9.44,,9.47,9.06,245400.0
1980-05-29,9.09,,9.47,9.05,266500.0
1980-05-30,9.14,,9.25,8.88,123700.0
1980-06-02,9.14,,9.31,9.09,177800.0
1980-06-03,9.03,,9.17,9.03,114200.0
1980-06-04,9.3,,9.31,9.08,274800.0
1980-06-05,9.19,,9.39,9.19,171800.0
1980-06-06,9.3,,9.38,9.19,133200.0
1980-06-09,9.41,,9.42,9.33,70600.0
1980-06-10,9.55,,9.69,9.41,134400.0
1980-06-11,9.86,,9.86,9.53,228300.0
1980-06-12,9.75,,9.97,9.66,199200.0
1980-06-13,9.5,,9.78,9.47,138000.0
1980-06-16,9.56,,9.66,9.48,77800.0
1980-06-17,9.67,,9.75,9.52,113800.0
1980-06-18,9.86,,9.88,9.63,125700.0
1980-06-19,9.69,,9.97,9.69,168100.0
1980-06-20,9.66,,9.73,9.61,145000.0
1980-06-23,9.72,,9.83,9.61,121200.0
1980-06-24,9.86,,9.92,9.69,148000.0
1980-06-25,10.0,,10.06,9.88,207200.0
1980-06-26,9.91,,10.13,9.88,214700.0
1980-06-27,9.97,,10.13,9.8,112500.0
1980-06-30,9.56,,9.97,9.56,142200.0
1980-07-01,9.61,,9.72,9.55,176700.0
1980-07-02,9.69,,9.72,9.59,106500.0
1980-07-03,9.89,,9.94,9.69,141200.0
1980-07-07,9.91,,9.95,9.88,131800.0
1980-07-08,9.91,,9.94,9.86,74600.0
1980-07-09,9.84,,9.98,9.84,63300.0
1980-07-10,9.44,,9.83,9.44,142800.0
1980-07-11,9.63,,9.69,9.5,140600.0
1980-07-14,9.81,,9.86,9.52,87100.0
1980-07-15,9.5,,9.86,9.5,149500.0
1980-07-16,9.53,,9.66,9.48,211300.0
1980-07-17,9.81,,9.83,9.59,95700.0
1980-07-18,9.88,,9.95,9.83,187000.0
1980-07-21,9.94,,9.97,9.83,145800.0
1980-07-22,9.88,,10.03,9.83,136100.0
1980-07-23,9.94,,9.98,9.83,74900.0
1980-07-24,9.98,,10.05,9.84,112600.0
1980-07-25,9.83,,9.97,9.83,75900.0
1980-07-28,9.91,,9.94,9.75,83600.0
1980-07-29,9.92,,9.97,9.88,55600.0
1980-07-30,9.47,,9.92,9.47,152800.0
1980-07-31,9.31,,9.36,9.16,349700.0
1980-08-01,9.19,,9.33,9.13,214700.0
1980-08-04,8.97,,9.06,8.88,145000.0
1980-08-05,8.92,,9.03,8.91,284100.0
1980-08-06,9.17,,9.17,8.88,121100.0
1980-08-07,9.44,,9.5,9.11,113900.0
1980-08-08,9.38,,9.53,9.34,177500.0
1980-08-11,9.44,,9.47,9.34,66700.0
1980-08-12,9.28,,9.41,9.2,44200.0
1980-08-13,9.2,,9.28,9.19,95600.0
1980-08-14,9.38,,9.41,9.17,113400.0
1980-08-15,9.53,,9.58,9.38,127700.0
1980-08-18,9.44,,9.59,9.41,75700.0
1980-08-19,9.38,,9.47,9.33,198400.0
1980-08-20,9.41,,9.48,9.34,96000.0
1980-08-21,9.5,,9.5,9.39,75600.0
1980-08-22,9.39,,9.63,9.38,88800.0
1980-08-25,9.48,,9.55,9.39,67800.0
1980-08-26,9.53,,9.66,9.52,56400.0
1980-08-27,9.33,,9.53,9.33,112700.0
1980-08-28,9.22,,9.41,9.19,91100.0
1980-08-29,9.17,,9.22,9.13,106200.0
1980-09-02,9.13,,9.22,9.11,84200.0
1980-09-03,9.25,,9.28,9.09,210700.0
1980-09-04,9.14,,9.33,9.09,137700.0
1980-09-05,9.16,,9.17,9.03,143100.0
1980-09-08,8.84,,9.16,8.83,108200.0
1980-09-09,9.0,,9.03,8.81,96200.0
1980-09-10,9.13,,9.19,9.0,137200.0
1980-09-11,9.09,,9.17,8.95,138000.0
1980-09-12,9.0,,9.09,9.0,71200.0
1980-09-15,9.13,,9.2,9.0,55900.0
1980-09-16,9.23,,9.31,9.13,128700.0
1980-09-17,9.42,,9.44,9.27,143400.0
1980-09-18,9.28,,9.58,9.27,142100.0
1980-09-19,9.34,,9.42,9.31,196000.0
