Date,Close,Open,High,Low,Volume
2/8/2012,15.39,9.06,17.9,9.0,11636080.0
2/9/2012,14.65,15.18,17.3,14.12,3153270.0
2/10/2012,14.24,14.43,15.35,14.14,894352.0
2/13/2012,13.16,14.51,14.8,13.13,853676.0
2/14/2012,12.59,13.23,13.48,11.82,904079.0
2/15/2012,12.48,12.78,13.19,12.28,405072.0
2/16/2012,12.66,12.39,13.48,12.32,1058582.0
2/17/2012,12.56,13.0,13.24,12.56,275086.0
2/21/2012,12.5,12.6,12.76,12.3,340340.0
2/22/2012,12.0,12.82,12.82,12.0,207897.0
2/23/2012,11.4,12.05,12.23,10.95,658077.0
2/24/2012,10.87,11.5,11.5,10.77,541400.0
2/27/2012,10.36,10.42,10.62,10.36,383219.0
2/28/2012,10.86,10.8,11.0,10.36,452002.0
2/29/2012,11.32,11.08,11.87,10.9,640300.0
3/1/2012,11.22,11.48,11.57,10.93,391664.0
3/2/2012,11.0,11.2,11.33,10.95,197465.0
3/5/2012,11.28,11.3,11.5,11.0,548666.0
3/6/2012,11.19,11.1,11.25,11.0,159029.0
3/7/2012,11.18,11.24,11.27,10.9,104967.0
3/8/2012,11.01,11.24,11.28,10.95,79515.0
3/9/2012,11.04,11.08,11.15,10.99,67680.0
3/12/2012,11.05,11.02,11.05,10.96,84908.0
3/13/2012,11.01,11.09,11.15,10.97,140448.0
3/14/2012,12.88,11.0,12.88,11.0,1555113.0
3/15/2012,12.52,13.12,13.48,11.88,1482692.0
3/16/2012,12.99,12.56,13.29,12.28,416784.0
3/19/2012,12.93,12.89,13.34,12.51,332050.0
3/20/2012,12.99,13.17,13.2,12.61,209049.0
3/21/2012,12.7,13.25,13.25,12.63,304508.0
3/22/2012,12.55,12.59,12.61,12.38,163225.0
3/23/2012,12.5,12.51,12.62,12.4,151411.0
3/26/2012,12.9,12.51,13.05,12.51,360743.0
3/27/2012,12.98,12.58,13.25,12.55,382795.0
3/28/2012,13.95,13.02,14.3,13.02,1063110.0
3/29/2012,13.84,13.95,14.64,12.85,913818.0
3/30/2012,14.74,13.88,14.75,13.72,5121307.0
4/2/2012,15.08,14.8,15.14,14.61,857103.0
4/3/2012,15.16,15.21,15.6,14.85,550357.0
4/4/2012,15.11,15.04,15.42,14.9,300550.0
4/5/2012,15.41,15.43,15.74,15.11,344478.0
4/9/2012,15.39,15.23,15.59,14.9,291717.0
4/10/2012,15.22,15.33,15.68,15.0,509697.0
4/11/2012,15.28,15.34,15.43,15.0,211243.0
4/12/2012,15.64,15.28,15.68,15.02,217878.0
4/13/2012,14.55,15.54,15.61,14.49,387824.0
4/16/2012,13.83,14.55,14.68,13.68,331011.0
4/17/2012,13.77,13.91,13.92,13.48,184734.0
4/18/2012,13.7,13.85,14.11,13.56,128885.0
4/19/2012,13.27,13.64,13.96,13.2,158343.0
4/20/2012,12.52,14.16,14.16,12.21,601997.0
4/23/2012,12.05,12.3,12.59,11.95,280520.0
4/24/2012,12.49,12.09,12.85,12.0,178399.0
4/25/2012,12.47,12.61,12.75,12.23,207935.0
4/26/2012,13.69,12.37,13.75,12.32,313619.0
4/27/2012,14.17,13.59,14.25,13.34,216887.0
4/30/2012,14.64,14.1,14.74,13.75,444333.0
5/1/2012,14.75,14.6,15.05,13.76,274809.0
5/2/2012,14.75,14.5,14.82,13.8,295311.0
5/3/2012,14.05,14.69,14.93,13.99,165633.0
5/4/2012,13.48,13.98,14.05,13.33,116092.0
5/7/2012,13.6,13.41,15.12,13.1,252708.0
5/8/2012,13.38,13.56,14.1,13.17,90867.0
5/9/2012,14.05,13.19,14.25,13.19,191768.0
5/10/2012,14.2,14.16,14.3,13.96,68073.0
5/11/2012,14.43,14.07,14.56,13.94,116478.0
5/14/2012,13.75,14.32,14.32,13.45,177630.0
5/15/2012,13.78,13.73,13.91,13.61,84636.0
5/16/2012,13.48,13.89,13.96,13.21,138212.0
5/17/2012,13.55,13.62,14.08,13.41,334805.0
5/18/2012,13.59,13.9,13.95,13.14,309837.0
5/21/2012,13.91,13.57,13.93,13.13,169119.0
5/22/2012,13.45,13.92,14.5,13.2,188516.0
5/23/2012,12.95,13.38,13.38,12.56,318286.0
5/24/2012,12.72,12.91,13.1,12.45,210702.0
5/25/2012,12.5,12.79,12.8,12.44,121787.0
5/29/2012,12.97,12.59,13.4,12.59,139876.0
5/30/2012,12.4,12.87,12.97,12.4,123729.0
5/31/2012,12.14,12.19,12.5,11.85,504162.0
6/1/2012,11.57,11.93,12.07,11.51,386127.0
6/4/2012,11.18,11.62,11.85,11.03,226232.0
6/5/2012,11.82,11.27,11.9,11.12,173037.0
6/6/2012,12.3,11.86,12.5,11.86,126682.0
6/7/2012,12.1,12.43,12.58,12.04,133438.0
6/8/2012,12.03,12.05,12.26,11.62,138785.0
6/11/2012,11.98,12.12,12.4,11.92,130632.0
6/12/2012,11.96,12.11,12.13,11.79,178430.0
6/13/2012,11.66,11.88,12.06,11.54,202994.0
6/14/2012,11.93,11.64,11.95,11.51,166510.0
6/15/2012,12.0,11.88,12.05,11.81,359642.0
6/18/2012,12.05,11.92,12.24,11.82,284970.0
6/19/2012,12.14,12.1,12.45,12.0,199646.0
6/20/2012,12.07,12.13,12.3,11.96,115429.0
6/21/2012,11.69,12.05,12.1,11.55,165259.0
6/22/2012,12.14,11.79,12.28,11.68,1123341.0
6/25/2012,11.68,12.0,12.15,11.6,140748.0
6/26/2012,11.76,11.64,11.99,11.61,153369.0
6/27/2012,11.63,11.77,11.85,11.41,94015.0
6/28/2012,11.32,11.58,11.66,11.14,125754.0
6/29/2012,11.4,11.47,11.48,11.19,216890.0
7/2/2012,11.09,11.51,11.67,10.93,332669.0
7/3/2012,11.37,11.14,11.39,10.93,101967.0
7/5/2012,10.99,11.29,11.44,10.96,157864.0
7/6/2012,10.97,10.86,11.3,10.82,164094.0
7/9/2012,10.99,10.99,11.12,10.86,85520.0
7/10/2012,10.31,11.03,11.03,10.3,166055.0
7/11/2012,9.49,10.37,10.37,9.45,474193.0
7/12/2012,8.9,9.7,9.7,8.79,500583.0
7/13/2012,8.92,8.97,9.07,8.8,275986.0
7/16/2012,9.0,8.92,9.2,8.92,75167.0
7/17/2012,8.5,8.98,9.0,8.1,671318.0
7/18/2012,9.25,8.55,9.25,8.42,449801.0
7/19/2012,9.09,9.27,9.27,8.78,156287.0
7/20/2012,8.85,9.02,9.02,8.76,175850.0
7/23/2012,8.36,8.72,8.73,8.32,181835.0
7/24/2012,8.13,8.43,8.55,8.08,170512.0
7/25/2012,8.23,8.2,8.43,8.1,87522.0
7/26/2012,8.34,8.32,8.36,8.11,98926.0
7/27/2012,8.63,8.37,8.71,8.19,231395.0
7/30/2012,8.6,8.6,8.87,8.52,96856.0
7/31/2012,8.38,8.58,8.59,8.31,280859.0
8/1/2012,8.33,8.4,8.63,8.25,193175.0
8/2/2012,8.24,8.26,8.52,8.15,188387.0
8/3/2012,8.32,8.4,8.82,8.3,177783.0
8/6/2012,8.47,8.67,8.67,8.18,210791.0
8/7/2012,8.15,8.1,8.36,8.0,439656.0
8/8/2012,8.01,8.1,8.2,7.98,253695.0
8/9/2012,8.19,8.04,8.32,8.0,210345.0
8/10/2012,8.12,8.25,8.28,8.05,90551.0
8/13/2012,8.09,8.23,8.23,8.05,75028.0
8/14/2012,8.0,8.17,8.17,7.97,160420.0
8/15/2012,8.13,8.0,8.17,7.95,139363.0
8/16/2012,8.11,8.12,8.15,8.0,123458.0
8/17/2012,8.15,8.08,8.22,8.02,145459.0
8/20/2012,8.24,8.13,8.26,8.12,86538.0
8/21/2012,8.22,8.23,8.73,8.14,267087.0
8/22/2012,8.21,8.13,8.47,8.1,89182.0
8/23/2012,8.25,8.23,8.38,8.1,108941.0
8/24/2012,8.04,8.21,8.44,7.98,397379.0
8/27/2012,7.8,8.06,8.08,7.77,330516.0
8/28/2012,7.32,7.79,7.97,7.2,611314.0
8/29/2012,7.32,7.36,7.53,6.98,304134.0
8/30/2012,7.32,7.26,7.46,7.1,161178.0
8/31/2012,7.18,7.39,7.39,6.87,393831.0
9/4/2012,6.68,7.18,7.21,6.58,603939.0
9/5/2012,6.48,6.65,6.68,6.38,364668.0
9/6/2012,7.02,6.51,7.33,6.48,691400.0
9/7/2012,7.22,7.03,7.3,7.03,151482.0
9/10/2012,7.1,7.19,7.35,7.09,147634.0
9/11/2012,7.13,6.91,7.32,6.91,167322.0
9/12/2012,7.26,7.18,7.49,7.04,145985.0
9/13/2012,7.35,7.19,7.38,7.07,248952.0
9/14/2012,7.57,7.42,7.79,7.32,535750.0
9/17/2012,7.44,7.55,7.7,7.4,175410.0
9/18/2012,7.23,7.42,7.46,6.99,270144.0
9/19/2012,7.07,7.24,7.31,6.88,417363.0
9/20/2012,6.99,6.98,7.1,6.75,460256.0
9/21/2012,6.87,7.1,7.14,6.85,628145.0
9/24/2012,6.85,6.85,7.06,6.75,367300.0
9/25/2012,6.67,6.91,6.94,6.52,457904.0
9/26/2012,6.75,6.7,6.85,6.5,321911.0
9/27/2012,6.89,6.78,7.06,6.64,424288.0
9/28/2012,6.8,6.84,6.93,6.67,465645.0
10/1/2012,6.61,6.82,6.9,6.58,281498.0
10/2/2012,6.32,6.55,6.57,6.2,634853.0
10/3/2012,6.23,6.4,6.4,6.12,370448.0
10/4/2012,6.32,6.27,6.33,6.1,236423.0
10/5/2012,6.58,6.37,6.59,6.28,278827.0
10/8/2012,6.47,6.53,6.57,6.46,115533.0
10/9/2012,6.37,6.5,6.5,6.25,223610.0
10/10/2012,6.28,6.4,6.43,6.19,209645.0
10/11/2012,6.11,6.34,6.37,6.08,244387.0
10/12/2012,6.12,6.13,6.26,6.1,95343.0
10/15/2012,6.54,6.12,6.55,6.11,291881.0
10/16/2012,6.47,6.6,6.66,6.4,251816.0
10/17/2012,6.67,6.51,6.75,6.4,216956.0
10/18/2012,6.71,6.65,6.73,6.4,177944.0
10/19/2012,6.39,6.63,6.64,6.35,311079.0
10/22/2012,6.43,6.38,6.49,6.34,112639.0
10/23/2012,6.3,6.35,6.39,6.25,210349.0
10/24/2012,6.03,6.35,6.45,5.95,662478.0
10/25/2012,6.04,6.06,6.17,6.0,214274.0
10/26/2012,5.85,6.05,6.14,5.8,305600.0
10/31/2012,5.79,5.85,5.94,5.69,445422.0
11/1/2012,5.86,5.9,6.45,5.62,354589.0
11/2/2012,5.79,5.87,6.1,5.69,486274.0
11/5/2012,5.46,5.67,5.68,5.26,411904.0
11/6/2012,5.44,5.46,5.53,5.35,321399.0
11/7/2012,5.26,5.39,5.52,5.2,426033.0
11/8/2012,5.04,5.25,5.25,5.01,275534.0
11/9/2012,5.14,5.01,5.18,4.91,364997.0
11/12/2012,5.21,5.15,5.28,5.05,222095.0
11/13/2012,5.14,5.16,5.2,5.06,183099.0
11/14/2012,4.54,5.15,5.18,4.52,460968.0
11/15/2012,4.93,4.57,5.0,4.52,601530.0
11/16/2012,4.82,5.25,5.43,4.73,989833.0
11/19/2012,5.43,4.9,5.46,4.85,755608.0
11/20/2012,5.12,5.4,5.45,5.04,339199.0
11/21/2012,5.53,5.12,5.56,5.05,321771.0
11/23/2012,5.67,5.55,5.77,5.52,239493.0
11/26/2012,5.84,5.63,5.94,5.6,265372.0
11/27/2012,5.82,5.81,5.98,5.73,365462.0
11/28/2012,5.8,5.78,5.95,5.7,243130.0
11/29/2012,5.89,5.88,5.97,5.75,248646.0
11/30/2012,6.1,5.89,6.1,5.77,3078114.0
12/3/2012,6.7,6.25,6.89,6.16,845092.0
12/4/2012,6.61,6.68,6.78,6.36,304572.0
12/5/2012,6.3,6.65,6.78,6.18,452833.0
12/6/2012,7.31,6.27,7.35,6.27,794856.0
12/7/2012,7.32,7.39,7.4,7.13,520480.0
12/10/2012,7.62,7.5,7.65,7.32,564515.0
12/11/2012,8.0,7.83,8.05,7.5,697046.0
12/12/2012,7.99,8.19,8.25,7.86,1106731.0
12/13/2012,7.79,8.0,8.05,7.64,562850.0
12/14/2012,7.77,7.68,8.0,7.56,450524.0
12/17/2012,7.69,7.8,7.88,7.42,673569.0
12/18/2012,7.67,7.59,7.69,7.36,541420.0
12/19/2012,7.7,7.65,7.86,7.5,306558.0
12/20/2012,7.61,7.65,7.8,7.4,508984.0
12/21/2012,7.68,7.5,7.75,7.31,593533.0
12/24/2012,7.47,7.67,7.7,7.47,118317.0
12/26/2012,7.34,7.55,7.6,7.3,223862.0
12/27/2012,6.72,7.32,7.34,6.72,419029.0
12/28/2012,6.73,6.7,6.87,6.5,217907.0
12/31/2012,6.92,6.7,6.95,6.42,650568.0
1/2/2013,7.4,7.11,7.44,7.0,520751.0
1/3/2013,7.55,7.42,7.58,7.3,262164.0
1/4/2013,7.6,7.6,7.74,7.44,243723.0
1/7/2013,7.45,7.53,7.68,7.34,189947.0
1/8/2013,7.4,7.46,7.68,7.29,436982.0
1/9/2013,7.3,7.5,7.69,7.29,397608.0
1/10/2013,7.08,7.36,7.46,7.07,169354.0
1/11/2013,7.09,7.14,7.23,7.0,178875.0
1/14/2013,7.33,7.08,7.4,7.08,235160.0
1/15/2013,7.26,7.23,7.34,7.13,143190.0
1/16/2013,7.23,7.26,7.28,7.14,213740.0
1/17/2013,7.53,7.25,7.55,7.15,597619.0
1/18/2013,7.16,7.51,7.66,7.14,462646.0
1/22/2013,7.66,7.14,7.75,7.03,557516.0
1/23/2013,7.84,7.64,7.97,7.55,485279.0
1/24/2013,7.91,7.88,7.94,7.75,508786.0
1/25/2013,8.11,7.93,8.11,7.87,728987.0
1/28/2013,7.88,8.14,8.14,7.76,468551.0
1/29/2013,7.49,7.82,7.85,7.2,768903.0
1/30/2013,7.85,7.5,7.86,7.12,691590.0
1/31/2013,8.05,7.82,8.05,7.43,559704.0
2/1/2013,7.81,8.07,8.1,7.64,468055.0
2/4/2013,8.71,7.85,8.74,7.81,1249850.0
2/5/2013,8.4,8.73,8.74,8.21,797215.0
2/6/2013,8.49,8.34,8.5,8.2,381219.0
2/7/2013,10.07,8.49,10.09,8.36,2162554.0
2/8/2013,13.91,10.32,14.25,10.26,9463015.0
2/11/2013,12.59,12.9,13.67,12.25,5134408.0
2/12/2013,12.41,12.45,13.14,12.27,1278415.0
2/13/2013,11.24,12.53,12.74,11.16,1631823.0
2/14/2013,11.24,11.28,11.4,10.62,1394929.0
2/15/2013,10.74,11.49,11.49,10.66,752019.0
2/19/2013,11.22,10.74,11.35,10.4,678963.0
2/20/2013,10.84,11.25,11.33,10.83,668676.0
2/21/2013,11.18,10.75,12.1,10.51,1287827.0
2/22/2013,11.59,11.6,11.98,11.04,1286310.0
2/25/2013,11.71,12.28,12.7,11.65,1707671.0
2/26/2013,12.13,10.8,12.7,10.68,1978142.0
2/27/2013,12.18,12.5,12.8,11.62,1764939.0
2/28/2013,12.5,12.12,12.6,12.12,1321897.0
3/1/2013,12.51,12.22,12.62,12.21,700566.0
3/4/2013,13.0,12.43,13.14,12.26,1193817.0
3/5/2013,13.2,13.11,13.32,12.83,677858.0
3/6/2013,13.19,13.06,13.22,13.0,568954.0
3/7/2013,13.45,13.15,13.66,13.01,683926.0
3/8/2013,13.47,13.71,13.74,13.04,720173.0
3/11/2013,13.9,13.39,14.24,13.32,669370.0
3/12/2013,14.34,13.85,14.47,13.51,968865.0
3/13/2013,15.6,14.86,16.16,14.69,3401921.0
3/14/2013,15.99,15.85,16.2,15.1,1835474.0
3/15/2013,16.93,15.93,17.12,15.85,2642830.0
3/18/2013,17.55,16.65,18.37,16.21,3219421.0
3/19/2013,17.54,17.74,18.25,16.96,1873891.0
3/20/2013,17.64,17.81,17.95,17.2,1396661.0
3/21/2013,16.99,17.63,17.82,16.75,957856.0
3/22/2013,16.38,17.11,17.3,16.2,1216647.0
3/25/2013,16.28,16.38,16.44,15.7,955350.0
3/26/2013,16.26,16.37,16.44,15.98,584773.0
3/27/2013,16.14,16.15,16.24,15.8,464717.0
3/28/2013,15.86,16.01,16.21,15.65,672962.0
4/1/2013,15.51,15.86,16.3,15.13,856339.0
4/2/2013,15.42,15.65,15.9,15.08,481287.0
4/3/2013,14.92,15.39,15.5,14.62,773413.0
4/4/2013,14.9,14.87,15.07,14.62,393290.0
4/5/2013,14.85,14.58,14.89,14.31,336197.0
4/8/2013,14.9,14.79,14.96,14.5,415022.0
4/9/2013,14.63,14.84,15.25,14.63,385517.0
4/10/2013,14.83,14.91,14.92,14.52,379702.0
4/11/2013,14.88,14.85,15.25,14.75,656121.0
4/12/2013,14.9,14.85,15.06,14.61,326971.0
4/15/2013,13.95,14.78,14.91,13.92,607185.0
4/16/2013,13.65,13.97,14.12,13.5,558810.0
4/17/2013,13.1,13.57,13.69,13.0,860155.0
4/18/2013,12.25,13.11,13.17,11.84,1926366.0
4/19/2013,12.28,12.26,12.54,12.03,419768.0
4/22/2013,12.49,12.21,12.51,11.93,515523.0
4/23/2013,15.9,14.0,17.07,14.0,4053478.0
4/24/2013,16.43,15.99,16.55,15.23,1401171.0
4/25/2013,16.95,16.65,17.77,16.54,1233515.0
4/26/2013,16.36,16.83,17.13,15.95,618652.0
4/29/2013,15.81,16.42,16.8,15.75,496812.0
4/30/2013,15.91,15.43,15.95,15.25,1425465.0
5/1/2013,15.2,15.79,16.03,15.06,979812.0
5/2/2013,15.17,15.0,15.59,14.7,765261.0
5/3/2013,15.31,15.47,15.7,15.1,467547.0
5/6/2013,15.76,15.31,16.25,15.31,1342652.0
5/7/2013,15.35,15.76,15.8,14.61,1196700.0
5/8/2013,15.1,15.35,15.35,14.91,666157.0
5/9/2013,15.19,15.05,15.35,14.84,478709.0
5/10/2013,15.02,15.21,15.25,14.89,540572.0
5/13/2013,16.02,15.03,16.24,14.9,1539859.0
5/14/2013,16.73,16.1,17.24,16.09,1836824.0
5/15/2013,16.12,16.6,16.68,15.91,843022.0
5/16/2013,15.45,16.09,16.38,15.37,647389.0
5/17/2013,15.67,15.51,15.89,15.39,425123.0
5/20/2013,15.7,15.88,16.24,15.61,504719.0
5/21/2013,15.23,15.66,15.94,15.1,662285.0
5/22/2013,14.9,14.99,15.17,14.68,995858.0
5/23/2013,14.61,14.79,14.96,14.27,547189.0
5/24/2013,14.22,14.35,14.54,14.06,577295.0
5/28/2013,14.44,14.66,15.07,14.09,688382.0
5/29/2013,14.76,14.36,15.19,14.18,873218.0
5/30/2013,14.49,14.8,15.15,14.41,406342.0
5/31/2013,14.49,14.44,15.09,14.24,520551.0
6/3/2013,14.21,14.67,14.99,14.1,584911.0
6/4/2013,14.09,14.29,14.49,13.92,352254.0
6/5/2013,13.25,14.05,14.05,13.14,917842.0
6/6/2013,13.52,13.21,13.54,13.08,492130.0
6/7/2013,13.97,13.62,14.11,13.36,342984.0
6/10/2013,13.99,14.04,14.32,13.85,260493.0
6/11/2013,13.65,13.78,13.9,13.5,267966.0
6/12/2013,13.53,13.76,13.95,13.49,454512.0
6/13/2013,13.62,13.5,13.69,13.33,176779.0
6/14/2013,13.37,13.56,13.73,13.35,131976.0
6/17/2013,13.75,13.53,13.92,13.53,250981.0
6/18/2013,13.63,13.83,13.99,13.53,329494.0
6/19/2013,13.15,13.56,13.69,13.09,393976.0
6/20/2013,12.47,12.83,13.0,12.27,769782.0
6/21/2013,12.46,12.53,12.7,12.0,838202.0
6/24/2013,12.25,12.24,12.44,11.9,347609.0
6/25/2013,12.87,12.43,12.88,12.22,560847.0
6/26/2013,12.79,13.09,13.49,12.74,279960.0
6/27/2013,13.45,12.89,13.65,12.76,553203.0
6/28/2013,13.7,13.43,13.9,13.13,714930.0
7/1/2013,13.98,13.83,14.16,13.76,317840.0
7/2/2013,13.86,13.99,14.05,13.75,266311.0
7/3/2013,13.69,13.73,13.91,13.35,121921.0
7/5/2013,13.91,14.0,14.2,13.8,186651.0
7/8/2013,14.0,14.0,14.17,13.96,251662.0
7/9/2013,14.13,14.08,14.27,13.79,309457.0
7/10/2013,15.94,14.23,16.36,14.23,2013161.0
7/11/2013,16.01,16.13,16.35,15.59,683550.0
7/12/2013,16.0,15.88,16.24,15.75,411191.0
7/15/2013,16.37,16.0,17.38,15.8,1100759.0
7/16/2013,16.29,16.35,16.64,16.16,1210796.0
7/17/2013,16.25,16.38,16.63,16.2,283904.0
7/18/2013,16.51,16.27,16.55,16.13,370445.0
7/19/2013,16.01,16.5,16.5,15.72,507851.0
7/22/2013,16.12,16.02,16.32,15.91,333908.0
7/23/2013,15.64,16.12,16.16,15.59,526252.0
7/24/2013,15.18,15.81,15.82,15.05,384380.0
7/25/2013,15.33,15.17,15.47,15.0,299059.0
7/26/2013,15.48,15.24,15.53,15.1,234925.0
7/29/2013,15.58,15.74,15.74,15.26,302942.0
7/30/2013,16.85,15.35,17.0,15.15,1062163.0
7/31/2013,16.06,16.83,17.65,15.35,2703556.0
8/1/2013,16.47,16.27,16.85,16.02,1465860.0
8/2/2013,16.34,16.41,16.6,16.25,567070.0
8/5/2013,16.46,16.35,16.49,16.25,458538.0
8/6/2013,16.32,16.55,16.55,16.13,625699.0
8/7/2013,16.32,16.28,16.52,16.0,638347.0
8/8/2013,17.61,16.45,17.64,16.23,898550.0
8/9/2013,18.36,17.6,18.73,17.39,1554007.0
8/12/2013,18.8,18.7,19.11,18.52,647339.0
8/13/2013,18.42,18.81,18.95,18.3,400444.0
8/14/2013,18.25,18.36,18.5,18.17,289188.0
8/15/2013,17.89,18.02,18.36,17.36,308077.0
8/16/2013,17.65,17.77,17.93,17.48,315910.0
8/19/2013,17.72,17.56,18.25,17.5,394892.0
8/20/2013,17.85,17.8,17.92,17.58,194590.0
8/21/2013,18.49,17.81,18.62,17.81,324854.0
8/22/2013,19.42,18.59,19.47,18.46,580823.0
8/23/2013,19.5,19.48,19.5,19.02,617015.0
8/26/2013,20.61,19.61,21.3,19.61,815814.0
8/27/2013,19.68,20.29,20.29,19.68,611840.0
8/28/2013,20.63,19.63,20.77,19.51,495692.0
8/29/2013,21.84,20.6,21.99,20.41,887514.0
8/30/2013,21.47,21.76,22.92,21.45,875517.0
9/3/2013,21.05,21.23,22.05,19.9,1926431.0
9/4/2013,21.84,20.99,22.07,20.89,714114.0
9/5/2013,22.32,21.81,22.51,21.66,466280.0
9/6/2013,22.71,22.54,22.99,22.04,975903.0
9/9/2013,24.25,22.71,24.32,22.71,1025792.0
9/10/2013,25.47,24.45,25.94,24.44,2217531.0
9/11/2013,25.5,25.47,26.57,25.37,2503311.0
9/12/2013,24.88,25.39,26.23,24.38,1459084.0
9/13/2013,24.56,25.04,25.75,24.49,1141788.0
9/16/2013,24.98,25.79,25.98,24.64,1236063.0
9/17/2013,25.93,24.99,26.42,24.7,1615015.0
9/18/2013,23.39,25.49,25.49,22.11,4382556.0
9/19/2013,23.57,23.52,24.23,23.26,826355.0
9/20/2013,22.67,23.58,23.59,22.51,920774.0
9/23/2013,22.53,22.6,22.95,21.77,829012.0
9/24/2013,22.63,23.4,23.7,22.58,2102344.0
9/25/2013,20.92,22.6,23.0,20.74,1716132.0
9/26/2013,19.84,19.62,20.0,18.95,6378087.0
9/27/2013,19.71,19.75,20.75,19.37,1805056.0
9/30/2013,19.68,19.4,20.13,19.13,1151269.0
10/1/2013,20.09,19.89,20.33,19.76,1242315.0
