Date,Close,Open,High,Low,Volume
3/17/1980,3.17,,3.29,3.17,125200.0
3/18/1980,3.25,,3.29,3.17,143000.0
3/19/1980,3.25,,3.29,3.25,74400.0
3/20/1980,3.29,,3.33,3.25,69100.0
3/21/1980,3.29,,3.33,3.25,101900.0
3/24/1980,3.21,,3.29,3.21,128500.0
3/25/1980,3.21,,3.25,3.17,68900.0
3/26/1980,3.25,,3.29,3.21,43900.0
3/27/1980,3.13,,3.21,3.08,126800.0
3/28/1980,3.17,,3.21,3.13,78000.0
3/31/1980,3.25,,3.25,3.17,57400.0
4/1/1980,3.42,,3.42,3.25,422600.0
4/2/1980,3.42,,3.5,3.42,78800.0
4/3/1980,3.5,,3.5,3.42,66500.0
4/7/1980,3.42,,3.5,3.38,83400.0
4/8/1980,3.38,,3.38,3.29,171200.0
4/9/1980,3.5,,3.5,3.33,74300.0
4/10/1980,3.63,,3.63,3.5,323400.0
4/11/1980,3.67,,3.67,3.63,69700.0
4/14/1980,3.63,,3.67,3.58,52200.0
4/15/1980,3.54,,3.63,3.54,50500.0
4/16/1980,3.63,,3.67,3.58,116700.0
4/17/1980,3.67,,3.71,3.63,100100.0
4/18/1980,3.67,,3.79,3.67,102300.0
4/21/1980,3.71,,3.75,3.67,70700.0
4/22/1980,3.67,,3.71,3.67,91800.0
4/23/1980,3.71,,3.75,3.67,163600.0
4/24/1980,3.75,,3.79,3.67,137500.0
4/25/1980,3.75,,3.75,3.71,317100.0
4/28/1980,3.71,,3.79,3.71,79200.0
4/29/1980,3.75,,3.79,3.71,62600.0
4/30/1980,3.75,,3.75,3.71,61800.0
5/1/1980,3.79,,3.79,3.71,47100.0
5/2/1980,3.83,,3.83,3.75,167700.0
5/5/1980,3.88,,3.88,3.79,77800.0
5/6/1980,3.83,,3.88,3.83,103400.0
5/7/1980,3.96,,3.96,3.88,171200.0
5/8/1980,3.88,,3.96,3.88,107600.0
5/9/1980,3.83,,3.92,3.83,55400.0
5/12/1980,3.83,,3.88,3.79,58800.0
5/13/1980,3.88,,3.92,3.79,52400.0
5/14/1980,4.0,,4.0,3.88,100300.0
5/15/1980,4.0,,4.0,3.96,61300.0
5/16/1980,3.96,,3.96,3.88,63900.0
5/19/1980,3.92,,3.96,3.88,51900.0
5/20/1980,3.83,,3.92,3.83,103600.0
5/21/1980,3.92,,3.92,3.83,121700.0
5/22/1980,3.92,,3.92,3.83,328000.0
5/23/1980,3.75,,3.79,3.67,177500.0
5/27/1980,3.71,,3.75,3.67,134700.0
5/28/1980,3.71,,3.75,3.67,219200.0
5/29/1980,3.75,,3.79,3.71,606300.0
5/30/1980,3.79,,3.79,3.71,174500.0
6/2/1980,3.75,,3.79,3.75,73000.0
6/3/1980,3.75,,3.79,3.71,81000.0
6/4/1980,3.75,,3.79,3.71,80700.0
6/5/1980,3.79,,3.83,3.75,150700.0
6/6/1980,3.88,,3.88,3.75,222000.0
6/9/1980,3.88,,3.92,3.83,58800.0
6/10/1980,3.88,,3.92,3.83,150900.0
6/11/1980,3.83,,3.88,3.54,84900.0
6/12/1980,3.83,,3.88,3.79,76400.0
6/13/1980,3.96,,4.0,3.79,214900.0
6/16/1980,4.0,,4.04,3.92,141100.0
6/17/1980,4.08,,4.08,4.0,95100.0
6/18/1980,4.04,,4.08,4.0,185800.0
6/19/1980,4.0,,4.04,4.0,150300.0
6/20/1980,4.04,,4.08,3.96,88700.0
6/23/1980,4.0,,4.04,4.0,99900.0
6/24/1980,4.04,,4.08,4.0,97200.0
6/25/1980,4.0,,4.08,4.0,65000.0
6/26/1980,4.0,,4.04,4.0,77700.0
6/27/1980,4.0,,4.04,3.96,52100.0
6/30/1980,3.96,,4.0,3.92,57800.0
7/1/1980,3.96,,3.96,3.92,99100.0
7/2/1980,3.92,,4.0,3.92,98000.0
7/3/1980,3.96,,3.96,3.92,65100.0
7/7/1980,3.92,,3.96,3.83,88900.0
7/8/1980,3.96,,3.96,3.92,74800.0
7/9/1980,3.92,,3.96,3.88,82800.0
7/10/1980,3.96,,3.96,3.88,55400.0
7/11/1980,3.88,,3.96,3.83,194200.0
7/14/1980,3.88,,3.88,3.83,74500.0
7/15/1980,3.83,,3.88,3.79,219300.0
7/16/1980,3.83,,3.92,3.79,126500.0
7/17/1980,3.75,,3.83,3.71,130900.0
7/18/1980,3.75,,3.75,3.71,101700.0
7/21/1980,3.71,,3.75,3.67,115900.0
7/22/1980,3.71,,3.75,3.67,121300.0
7/23/1980,3.79,,3.79,3.71,120600.0
7/24/1980,3.79,,3.79,3.75,52800.0
7/25/1980,3.79,,3.79,3.71,121800.0
7/28/1980,3.79,,3.79,3.75,140700.0
7/29/1980,3.75,,3.79,3.75,74600.0
7/30/1980,3.79,,3.79,3.75,57700.0
7/31/1980,3.79,,3.79,3.71,102000.0
8/1/1980,3.75,,3.79,3.71,53800.0
8/4/1980,3.75,,3.75,3.71,66900.0
8/5/1980,3.75,,3.79,3.71,98600.0
8/6/1980,3.75,,3.75,3.67,123800.0
8/7/1980,3.75,,3.79,3.71,171100.0
8/8/1980,3.79,,3.79,3.75,47900.0
8/11/1980,3.75,,3.79,3.71,47800.0
8/12/1980,3.75,,3.79,3.75,61300.0
8/13/1980,3.88,,3.88,3.75,176700.0
8/14/1980,3.83,,3.88,3.79,53100.0
8/15/1980,3.83,,3.83,3.79,61400.0
8/18/1980,3.79,,3.83,3.75,77500.0
8/19/1980,3.79,,3.83,3.79,106800.0
8/20/1980,3.83,,3.83,3.71,87400.0
8/21/1980,3.88,,3.88,3.75,270800.0
8/22/1980,3.83,,3.88,3.79,155900.0
8/25/1980,3.71,,3.71,3.67,148200.0
8/26/1980,3.71,,3.71,3.67,79000.0
8/27/1980,3.71,,3.71,3.67,46100.0
8/28/1980,3.67,,3.71,3.67,59200.0
8/29/1980,3.63,,3.67,3.63,256500.0
9/2/1980,3.63,,3.71,3.63,50700.0
9/3/1980,3.75,,3.75,3.63,88500.0
9/4/1980,3.75,,3.75,3.67,63200.0
9/5/1980,3.67,,3.75,3.67,31800.0
9/8/1980,3.67,,3.71,3.67,41700.0
9/9/1980,3.71,,3.71,3.67,52800.0
9/10/1980,3.71,,3.71,3.67,40900.0
9/11/1980,3.71,,3.71,3.67,39000.0
9/12/1980,3.67,,3.71,3.63,108900.0
9/15/1980,3.71,,3.71,3.67,59200.0
9/16/1980,3.75,,3.75,3.71,181000.0
9/17/1980,3.67,,3.71,3.67,155600.0
9/18/1980,3.67,,3.71,3.67,517600.0
9/19/1980,3.67,,3.71,3.63,92800.0
9/22/1980,3.63,,3.67,3.58,285700.0
9/23/1980,3.67,,3.67,3.42,67000.0
9/24/1980,3.58,,3.67,3.58,57400.0
9/25/1980,3.58,,3.63,3.54,120500.0
9/26/1980,3.54,,3.58,3.54,52900.0
9/29/1980,3.5,,3.58,3.5,74000.0
9/30/1980,3.58,,3.58,3.54,50000.0
10/1/1980,3.58,,3.58,3.54,212800.0
10/2/1980,3.63,,3.63,3.54,148600.0
10/3/1980,3.63,,3.67,3.58,42800.0
10/6/1980,3.63,,3.71,3.63,55900.0
10/7/1980,3.63,,3.67,3.63,357200.0
10/8/1980,3.63,,3.67,3.58,392700.0
10/9/1980,3.54,,3.63,3.54,339500.0
10/10/1980,3.54,,3.58,3.5,340700.0
