Date,Close,Open,High,Low,Volume
1980-03-17,5.17,,5.23,5.15,40900.0
1980-03-18,5.21,,5.23,5.1,83200.0
1980-03-19,5.33,,5.33,5.21,63200.0
1980-03-20,5.27,,5.42,5.27,54300.0
1980-03-21,5.21,,5.29,5.17,21500.0
1980-03-24,5.06,,5.25,4.98,63800.0
1980-03-25,5.08,,5.12,5.02,95500.0
1980-03-26,5.23,,5.37,5.12,54100.0
1980-03-27,5.17,,5.23,5.08,64400.0
1980-03-28,5.27,,5.31,5.21,108800.0
1980-03-31,5.27,,5.31,5.27,57100.0
1980-04-01,5.25,,5.29,5.17,85000.0
1980-04-02,5.27,,5.29,5.27,132200.0
1980-04-03,5.17,,5.27,5.12,119700.0
1980-04-07,4.83,,5.12,4.81,230500.0
1980-04-08,4.79,,4.83,4.77,107700.0
1980-04-09,4.94,,5.0,4.81,112800.0
1980-04-10,5.0,,5.0,4.94,87300.0
1980-04-11,5.06,,5.15,4.98,92300.0
1980-04-14,4.94,,5.04,4.94,41100.0
1980-04-15,4.96,,5.02,4.94,58700.0
1980-04-16,4.98,,5.12,4.94,250800.0
1980-04-17,4.96,,4.96,4.83,216500.0
1980-04-18,4.88,,5.02,4.79,239800.0
1980-04-21,4.77,,4.9,4.75,75300.0
1980-04-22,5.0,,5.04,4.79,184200.0
1980-04-23,4.88,,5.02,4.83,156600.0
1980-04-24,5.08,,5.1,4.88,82500.0
1980-04-25,5.04,,5.1,4.94,72500.0
1980-04-28,4.98,,5.0,4.88,81700.0
1980-04-29,4.98,,4.98,4.92,49200.0
1980-04-30,4.92,,4.92,4.83,75500.0
1980-05-01,4.83,,4.88,4.77,112700.0
1980-05-02,4.92,,4.94,4.83,55600.0
1980-05-05,4.98,,4.98,4.85,26000.0
1980-05-06,5.04,,5.08,4.98,147600.0
1980-05-07,5.19,,5.19,5.0,64700.0
1980-05-08,5.1,,5.21,5.1,62300.0
1980-05-09,5.06,,5.1,5.0,44400.0
1980-05-12,5.0,,5.08,5.0,120200.0
1980-05-13,5.04,,5.04,4.94,174800.0
1980-05-14,5.06,,5.15,5.02,124700.0
1980-05-15,5.08,,5.12,5.04,141900.0
1980-05-16,5.12,,5.17,5.08,49400.0
1980-05-19,5.08,,5.17,5.06,159700.0
1980-05-20,5.04,,5.12,5.04,170100.0
1980-05-21,5.04,,5.04,4.98,119000.0
1980-05-22,5.15,,5.17,5.02,153900.0
1980-05-23,5.25,,5.29,5.15,237200.0
1980-05-27,5.21,,5.27,5.15,159400.0
1980-05-28,5.17,,5.23,5.1,138800.0
1980-05-29,5.17,,5.25,5.17,93800.0
1980-05-30,5.17,,5.19,5.1,100700.0
1980-06-02,5.12,,5.19,5.12,96800.0
1980-06-03,5.17,,5.21,5.12,41300.0
1980-06-04,5.25,,5.27,5.17,109900.0
1980-06-05,5.42,,5.46,5.27,157000.0
1980-06-06,5.42,,5.46,5.42,126000.0
1980-06-09,5.44,,5.48,5.42,191100.0
1980-06-10,5.46,,5.52,5.42,128800.0
1980-06-11,5.6,,5.62,5.56,126200.0
1980-06-12,5.56,,5.65,5.46,150500.0
1980-06-13,5.44,,5.52,5.42,335300.0
1980-06-16,5.42,,5.44,5.35,34100.0
1980-06-17,5.31,,5.33,5.21,281500.0
1980-06-18,5.33,,5.35,5.27,172500.0
1980-06-19,5.27,,5.33,5.27,115100.0
1980-06-20,5.23,,5.27,5.23,88600.0
1980-06-23,5.25,,5.31,5.23,89300.0
1980-06-24,5.37,,5.37,5.25,52800.0
1980-06-25,5.54,,5.54,5.42,58100.0
1980-06-26,5.4,,5.56,5.33,44000.0
1980-06-27,5.48,,5.56,5.37,78400.0
1980-06-30,5.46,,5.48,5.33,41700.0
1980-07-01,5.4,,5.44,5.37,112400.0
1980-07-02,5.37,,5.44,5.37,93500.0
1980-07-03,5.44,,5.44,5.37,105600.0
1980-07-07,5.67,,5.75,5.44,162500.0
1980-07-08,5.69,,5.79,5.62,334600.0
1980-07-09,5.75,,5.83,5.69,114000.0
1980-07-10,5.83,,5.98,5.75,127300.0
1980-07-11,5.87,,5.94,5.79,124100.0
1980-07-14,6.02,,6.02,5.85,246900.0
1980-07-15,5.83,,6.02,5.83,186200.0
1980-07-16,5.79,,5.87,5.77,69500.0
1980-07-17,5.83,,5.85,5.79,68600.0
1980-07-18,5.87,,5.98,5.83,110300.0
1980-07-21,5.81,,5.87,5.75,50500.0
1980-07-22,5.85,,5.92,5.75,163000.0
1980-07-23,5.92,,6.0,5.85,68300.0
1980-07-24,5.96,,5.98,5.9,104200.0
1980-07-25,5.9,,5.94,5.85,86500.0
1980-07-28,5.9,,5.96,5.6,58600.0
1980-07-29,6.02,,6.02,5.92,98400.0
1980-07-30,6.27,,6.27,6.04,196000.0
1980-07-31,6.19,,6.25,6.1,106600.0
1980-08-01,6.25,,6.25,6.12,180700.0
1980-08-04,6.23,,6.27,6.21,283200.0
1980-08-05,6.25,,6.29,6.21,188100.0
1980-08-06,6.33,,6.33,6.27,190800.0
1980-08-07,6.25,,6.35,6.17,297700.0
1980-08-08,6.21,,6.29,6.17,339600.0
1980-08-11,6.17,,6.19,6.04,83700.0
1980-08-12,6.04,,6.17,6.02,119600.0
1980-08-13,6.12,,6.17,6.04,124200.0
1980-08-14,6.17,,6.17,6.1,113100.0
1980-08-15,6.17,,6.21,6.17,285400.0
1980-08-18,6.08,,6.12,6.04,40100.0
1980-08-19,6.08,,6.1,6.04,136700.0
1980-08-20,6.04,,6.06,6.02,127100.0
1980-08-21,6.04,,6.06,5.92,433300.0
1980-08-22,6.15,,6.17,5.19,176100.0
1980-08-25,6.1,,6.15,6.04,131000.0
1980-08-26,6.08,,6.1,6.08,80300.0
1980-08-27,5.98,,6.08,5.98,157000.0
1980-08-28,5.9,,5.96,5.9,50600.0
1980-08-29,5.96,,5.96,5.9,61900.0
1980-09-02,6.08,,6.1,5.92,84300.0
1980-09-03,6.08,,6.1,6.04,91500.0
1980-09-04,5.96,,6.12,5.92,251700.0
1980-09-05,6.0,,6.0,5.83,80600.0
1980-09-08,5.96,,6.02,5.96,92900.0
1980-09-09,5.96,,6.0,5.92,92400.0
1980-09-10,6.15,,6.21,6.04,181400.0
1980-09-11,6.35,,6.42,6.15,132400.0
1980-09-12,6.5,,6.52,6.33,653100.0
1980-09-15,6.44,,6.5,6.27,63600.0
1980-09-16,6.5,,6.5,6.37,68100.0
1980-09-17,6.5,,6.6,6.48,137300.0
1980-09-18,6.44,,6.54,6.44,80400.0
1980-09-19,6.67,,6.67,6.48,381400.0
1980-09-22,6.83,,6.85,6.65,296200.0
1980-09-23,6.87,,7.0,6.85,338700.0
1980-09-24,6.9,,6.92,6.75,84400.0
1980-09-25,6.94,,7.02,6.92,242200.0
1980-09-26,6.71,,6.87,6.69,343800.0
1980-09-29,6.62,,6.67,6.58,126600.0
1980-09-30,6.71,,6.75,6.62,214800.0
1980-10-01,6.87,,6.87,6.75,141100.0
1980-10-02,6.94,,7.04,6.73,83700.0
1980-10-03,6.92,,6.92,6.81,112100.0
1980-10-06,6.92,,7.0,6.83,77500.0
1980-10-07,6.83,,7.06,6.83,204200.0
1980-10-08,6.83,,6.96,6.79,71400.0
1980-10-09,6.87,,6.87,6.79,73900.0
1980-10-10,6.96,,6.96,6.81,91300.0
1980-10-13,7.12,,7.12,6.94,49300.0
1980-10-14,7.06,,7.17,7.04,51900.0
1980-10-15,7.12,,7.12,7.0,68700.0
1980-10-16,7.17,,7.25,7.12,74300.0
1980-10-17,7.06,,7.08,7.02,136700.0
1980-10-20,7.08,,7.17,7.04,59000.0
1980-10-21,7.04,,7.12,7.02,69200.0
1980-10-22,6.81,,7.02,6.75,71300.0
1980-10-23,6.92,,6.98,6.81,179700.0
1980-10-24,6.98,,6.98,6.87,79100.0
1980-10-27,6.92,,6.94,6.9,34000.0
1980-10-28,6.94,,6.96,6.87,36500.0
1980-10-29,7.0,,7.04,6.94,77400.0
1980-10-30,6.9,,7.0,6.9,73100.0
1980-10-31,6.83,,6.96,6.83,65100.0
1980-11-03,7.04,,7.06,6.87,79600.0
1980-11-05,7.21,,7.35,7.17,175800.0
1980-11-06,6.94,,7.21,6.83,141200.0
1980-11-07,7.02,,7.08,6.92,143300.0
1980-11-10,7.1,,7.1,6.98,42600.0
1980-11-11,7.25,,7.4,7.06,72100.0
1980-11-12,7.52,,7.56,7.23,155500.0
1980-11-13,7.48,,7.54,7.37,82600.0
1980-11-14,7.48,,7.52,7.37,92700.0
1980-11-17,7.5,,7.52,7.4,96900.0
1980-11-18,7.75,,7.81,7.58,178800.0
1980-11-19,7.83,,7.9,7.75,83100.0
1980-11-20,7.98,,8.02,7.75,107500.0
1980-11-21,7.77,,8.04,7.77,96400.0
1980-11-24,7.67,,7.79,7.65,110900.0
1980-11-25,7.83,,7.83,7.69,64900.0
1980-11-26,7.94,,7.94,7.81,136500.0
1980-11-28,8.08,,8.08,7.9,78800.0
1980-12-01,8.12,,8.29,8.0,150500.0
1980-12-02,8.15,,8.17,8.1,186500.0
1980-12-03,8.25,,8.25,8.17,82900.0
1980-12-04,8.17,,8.23,8.12,47300.0
1980-12-05,7.94,,8.12,7.92,77000.0
1980-12-08,7.67,,7.9,7.62,94000.0
1980-12-09,7.46,,7.65,7.46,132800.0
1980-12-10,7.17,,7.42,7.17,91800.0
1980-12-11,7.08,,7.15,7.0,152500.0
1980-12-12,7.27,,7.33,7.15,44600.0
1980-12-15,7.25,,7.31,7.25,86200.0
1980-12-16,7.31,,7.31,7.23,134200.0
1980-12-17,7.33,,7.4,7.29,54400.0
1980-12-18,7.37,,7.44,7.31,156700.0
1980-12-19,7.35,,7.35,7.27,65600.0
1980-12-22,7.46,,7.48,7.29,114300.0
1980-12-23,7.58,,7.58,7.5,260800.0
1980-12-24,7.69,,7.69,7.56,82200.0
1980-12-26,7.96,,7.96,7.69,98900.0
1980-12-29,8.15,,8.15,8.06,80700.0
1980-12-30,7.92,,8.1,7.9,41600.0
1980-12-31,8.0,,8.0,7.94,25200.0
1981-01-02,7.56,,8.0,7.46,150400.0
1981-01-05,7.54,,7.75,7.54,147300.0
1981-01-06,7.67,,7.69,7.58,146500.0
1981-01-07,7.44,,7.54,7.42,65800.0
1981-01-08,7.06,,7.42,6.87,168100.0
1981-01-09,7.25,,7.25,7.02,123900.0
1981-01-12,7.42,,7.5,7.33,105400.0
1981-01-13,7.29,,7.42,7.23,65400.0
1981-01-14,7.15,,7.25,7.15,31400.0
1981-01-15,7.0,,7.1,6.94,39000.0
1981-01-16,7.21,,7.25,7.02,150700.0
1981-01-19,7.37,,7.44,7.31,48100.0
1981-01-20,7.23,,7.35,7.19,42600.0
1981-01-21,7.12,,7.23,7.12,16800.0
1981-01-22,7.08,,7.12,7.08,360200.0
1981-01-23,7.0,,7.06,6.92,478700.0
1981-01-26,6.94,,6.98,6.94,75800.0
1981-01-27,7.0,,7.04,6.94,148600.0
1981-01-28,7.0,,7.04,6.96,92100.0
1981-01-29,7.04,,7.04,6.94,70200.0
1981-01-30,7.04,,7.12,7.0,105400.0
1981-02-02,7.02,,7.04,6.94,73000.0
1981-02-03,7.19,,7.19,7.02,70300.0
1981-02-04,7.25,,7.31,7.17,72800.0
1981-02-05,7.19,,7.31,7.19,66000.0
1981-02-06,7.27,,7.33,7.25,79300.0
1981-02-09,7.35,,7.37,7.31,54500.0
1981-02-10,7.29,,7.35,7.29,183300.0
1981-02-11,7.27,,7.33,7.27,82400.0
1981-02-12,7.27,,7.27,7.23,24900.0
1981-02-13,7.25,,7.27,7.19,105500.0
1981-02-17,7.23,,7.27,7.19,33600.0
1981-02-18,7.15,,7.23,7.1,30000.0
1981-02-19,7.04,,7.15,7.02,42500.0
1981-02-20,7.0,,7.04,6.94,127300.0
1981-02-23,6.96,,7.0,6.92,209200.0
1981-02-24,7.12,,7.12,6.87,146700.0
1981-02-25,7.04,,7.19,7.0,75800.0
1981-02-26,7.37,,7.4,7.08,136400.0
1981-02-27,7.42,,7.48,7.27,172400.0
1981-03-02,7.54,,7.58,7.4,110100.0
1981-03-03,7.42,,7.52,7.42,93100.0
1981-03-04,7.46,,7.5,7.4,92200.0
1981-03-05,7.46,,7.48,7.44,87700.0
1981-03-06,7.44,,7.48,7.33,107800.0
1981-03-09,7.52,,7.54,7.48,44800.0
1981-03-10,7.54,,7.6,7.52,108600.0
1981-03-11,7.27,,7.5,7.21,86000.0
1981-03-12,7.4,,7.42,7.31,152800.0
1981-03-13,7.42,,7.54,7.42,193700.0
1981-03-16,7.42,,7.44,7.37,163200.0
1981-03-17,7.48,,7.48,7.42,127200.0
1981-03-18,7.42,,7.48,7.4,99200.0
1981-03-19,7.42,,7.48,7.37,148400.0
1981-03-20,7.48,,7.5,7.37,260200.0
1981-03-23,7.5,,7.5,7.46,118400.0
1981-03-24,7.52,,7.54,7.48,176100.0
1981-03-25,7.65,,7.65,7.5,190400.0
1981-03-26,7.77,,7.98,7.67,101100.0
1981-03-27,7.65,,7.77,7.65,47600.0
1981-03-30,7.67,,7.75,7.62,69200.0
1981-03-31,7.69,,7.81,7.69,35400.0
1981-04-01,7.79,,7.85,7.79,43300.0
1981-04-02,7.81,,7.85,7.81,46600.0
1981-04-03,7.73,,7.79,7.69,61900.0
1981-04-06,7.67,,7.69,7.62,136400.0
1981-04-07,7.69,,7.69,7.62,90000.0
1981-04-08,7.67,,7.71,7.65,51500.0
1981-04-09,7.65,,7.73,7.6,51600.0
1981-04-10,7.65,,7.73,7.65,149500.0
1981-04-13,7.71,,7.81,7.65,55200.0
1981-04-14,7.6,,7.81,7.6,195900.0
1981-04-15,7.46,,7.54,7.46,34700.0
1981-04-16,7.35,,7.44,7.33,157300.0
1981-04-20,7.5,,7.5,7.33,64300.0
1981-04-21,7.35,,7.6,7.35,135100.0
1981-04-22,7.31,,7.4,7.25,89700.0
1981-04-23,7.27,,7.33,7.27,35800.0
1981-04-24,7.6,,7.6,7.25,149900.0
1981-04-27,7.67,,7.73,7.58,56800.0
1981-04-28,7.56,,7.67,7.54,53000.0
1981-04-29,7.31,,7.56,7.29,120200.0
1981-04-30,7.4,,7.4,7.31,44300.0
1981-05-01,7.27,,7.44,7.25,84700.0
1981-05-04,7.06,,7.12,7.04,95700.0
1981-05-05,7.0,,7.1,6.92,119700.0
1981-05-06,7.1,,7.15,7.08,47100.0
1981-05-07,7.17,,7.21,7.08,79300.0
1981-05-08,7.15,,7.23,7.08,42600.0
1981-05-11,7.08,,7.1,7.06,62100.0
1981-05-12,7.06,,7.08,7.0,82400.0
1981-05-13,7.08,,7.12,6.96,121100.0
1981-05-14,7.04,,7.06,7.02,38200.0
1981-05-15,7.12,,7.12,7.0,69000.0
1981-05-18,7.15,,7.15,7.08,36300.0
1981-05-19,7.21,,7.23,7.15,55500.0
1981-05-20,7.4,,7.4,7.27,90000.0
1981-05-21,7.35,,7.5,7.33,43200.0
1981-05-22,7.19,,7.29,7.15,31900.0
1981-05-26,7.17,,7.19,7.12,112000.0
1981-05-27,7.12,,7.19,7.12,115900.0
1981-05-28,7.17,,7.33,7.08,372400.0
1981-05-29,7.1,,7.21,7.08,126800.0
1981-06-01,7.0,,7.15,7.0,98600.0
1981-06-02,7.0,,7.02,6.92,102000.0
1981-06-03,6.96,,7.0,6.94,51000.0
1981-06-04,7.0,,7.0,6.96,42300.0
1981-06-05,6.96,,7.0,6.94,107200.0
1981-06-08,6.94,,7.0,6.94,44600.0
1981-06-09,6.77,,6.94,6.73,108300.0
1981-06-10,6.67,,6.79,6.67,303400.0
1981-06-11,6.79,,6.79,6.67,343100.0
1981-06-12,6.75,,6.85,6.75,163500.0
1981-06-15,6.62,,6.83,6.62,196800.0
1981-06-16,6.62,,6.69,6.58,120600.0
1981-06-17,6.62,,6.67,6.62,113000.0
1981-06-18,6.62,,6.67,6.62,144300.0
1981-06-19,6.58,,6.62,6.58,182200.0
1981-06-22,6.58,,6.62,6.58,138200.0
1981-06-23,6.54,,6.58,6.44,131300.0
1981-06-24,6.48,,6.54,6.44,84800.0
1981-06-25,6.6,,6.62,6.46,90900.0
1981-06-26,6.5,,6.6,6.5,30200.0
1981-06-29,6.46,,6.5,6.44,47400.0
1981-06-30,6.54,,6.6,6.5,130900.0
1981-07-01,6.6,,6.6,6.54,136500.0
1981-07-02,6.58,,6.67,6.58,64100.0
1981-07-06,6.56,,6.6,6.52,110400.0
1981-07-07,6.52,,6.6,6.48,92300.0
1981-07-08,6.56,,6.6,6.48,44200.0
1981-07-09,6.69,,6.75,6.54,56100.0
1981-07-10,6.67,,6.67,6.62,24900.0
1981-07-13,6.65,,6.67,6.6,28900.0
1981-07-14,6.56,,6.65,6.54,49200.0
1981-07-15,6.56,,6.58,6.46,41400.0
1981-07-16,6.67,,6.67,6.52,81300.0
1981-07-17,6.75,,6.75,6.62,71600.0
1981-07-20,6.54,,6.71,6.52,121800.0
1981-07-21,6.44,,6.5,6.37,72300.0
1981-07-22,6.44,,6.48,6.4,65800.0
1981-07-23,6.4,,6.42,6.23,212100.0
1981-07-24,6.27,,6.35,6.25,40400.0
1981-07-27,6.37,,6.37,6.21,56400.0
1981-07-28,6.48,,6.48,6.31,96400.0
1981-07-29,6.37,,6.48,6.35,96200.0
1981-07-30,6.31,,6.37,6.29,63600.0
1981-07-31,6.33,,6.35,6.27,186400.0
1981-08-03,6.25,,6.35,6.25,157100.0
1981-08-04,6.27,,6.29,6.23,48100.0
1981-08-05,6.33,,6.37,6.27,115300.0
1981-08-06,6.33,,6.33,6.31,121000.0
1981-08-07,6.35,,6.35,6.29,120900.0
1981-08-10,6.33,,6.37,6.33,120000.0
1981-08-11,6.5,,6.5,6.31,69700.0
1981-08-12,6.65,,6.73,6.5,47400.0
1981-08-13,6.6,,6.69,6.58,54400.0
1981-08-14,6.58,,6.62,6.56,48800.0
1981-08-17,6.46,,6.54,6.42,24900.0
1981-08-18,6.33,,6.42,6.33,100600.0
1981-08-19,6.37,,6.44,6.33,116800.0
1981-08-20,6.52,,6.54,6.37,19700.0
1981-08-21,6.5,,6.54,6.48,58000.0
1981-08-24,6.27,,6.44,6.27,117600.0
1981-08-25,6.27,,6.29,6.15,149200.0
1981-08-26,6.27,,6.29,6.15,144200.0
1981-08-27,6.27,,6.31,6.25,49600.0
1981-08-28,6.29,,6.31,6.25,128700.0
1981-08-31,6.19,,6.31,6.15,101900.0
1981-09-01,6.12,,6.17,6.08,143000.0
1981-09-02,6.15,,6.17,6.1,38100.0
1981-09-03,6.17,,6.23,6.12,92900.0
1981-09-04,6.15,,6.17,6.04,127700.0
1981-09-08,6.08,,6.12,6.06,113200.0
1981-09-09,6.06,,6.1,6.02,113200.0
1981-09-10,6.06,,6.1,6.02,65600.0
1981-09-11,6.19,,6.21,6.1,60800.0
1981-09-14,6.21,,6.25,6.19,112700.0
1981-09-15,6.17,,6.25,6.17,62300.0
1981-09-16,6.15,,6.19,6.12,65000.0
1981-09-17,6.15,,6.17,6.1,41700.0
1981-09-18,6.21,,6.25,6.12,68100.0
1981-09-21,6.19,,6.23,6.17,75500.0
1981-09-22,6.19,,6.25,6.17,187000.0
1981-09-23,6.17,,6.19,6.06,87900.0
1981-09-24,6.06,,6.19,6.06,119100.0
1981-09-25,5.92,,5.98,5.83,122000.0
1981-09-28,5.98,,5.98,5.77,37300.0
1981-09-29,6.12,,6.19,6.04,52200.0
1981-09-30,6.17,,6.19,6.1,32300.0
1981-10-01,6.02,,6.17,6.0,107600.0
1981-10-02,6.0,,6.08,6.0,50600.0
1981-10-05,6.02,,6.12,6.0,136500.0
1981-10-06,5.92,,6.04,5.9,105900.0
1981-10-07,6.04,,6.04,5.87,190300.0
1981-10-08,6.21,,6.21,5.96,107600.0
1981-10-09,6.1,,6.19,6.1,54700.0
1981-10-12,6.15,,6.19,6.04,44400.0
1981-10-13,6.06,,6.19,6.06,20900.0
1981-10-14,5.87,,5.98,5.87,65800.0
1981-10-15,5.98,,6.04,5.87,43500.0
1981-10-16,6.0,,6.04,5.98,52300.0
1981-10-19,6.0,,6.04,6.0,36400.0
1981-10-20,6.0,,6.06,5.98,71600.0
1981-10-21,6.06,,6.08,6.0,149600.0
1981-10-22,6.02,,6.04,5.98,20500.0
1981-10-23,5.83,,6.0,5.83,67800.0
1981-10-26,5.56,,5.83,5.56,142600.0
1981-10-27,5.48,,5.58,5.48,156500.0
1981-10-28,5.4,,5.48,5.4,147000.0
1981-10-29,5.35,,5.46,5.35,86500.0
1981-10-30,5.54,,5.65,5.35,76500.0
1981-11-02,5.87,,5.98,5.73,83400.0
1981-11-03,6.12,,6.17,5.9,61000.0
1981-11-04,6.08,,6.19,6.02,50600.0
1981-11-05,5.96,,6.08,5.9,131100.0
1981-11-06,5.98,,6.06,5.94,110200.0
1981-11-09,6.0,,6.06,5.96,126100.0
1981-11-10,6.02,,6.1,6.0,160900.0
1981-11-11,5.96,,6.04,5.96,47900.0
1981-11-12,5.96,,6.0,5.94,210900.0
1981-11-13,5.83,,5.96,5.83,173900.0
1981-11-16,5.79,,5.87,5.79,46800.0
1981-11-17,6.0,,6.0,5.85,93200.0
1981-11-18,5.94,,6.02,5.94,229100.0
1981-11-19,6.0,,6.0,5.92,51800.0
1981-11-20,6.06,,6.15,5.98,25600.0
1981-11-23,6.02,,6.06,5.96,112300.0
1981-11-24,6.02,,6.06,6.0,155600.0
1981-11-25,6.02,,6.06,6.02,64900.0
1981-11-27,6.04,,6.06,6.0,35300.0
1981-11-30,6.4,,6.4,6.02,40100.0
1981-12-01,6.25,,6.33,6.21,78500.0
1981-12-02,6.15,,6.29,6.15,157900.0
1981-12-03,6.1,,6.12,6.04,83900.0
1981-12-04,6.08,,6.12,6.04,111500.0
1981-12-07,6.1,,6.17,6.08,59000.0
1981-12-08,6.17,,6.21,6.1,147200.0
1981-12-09,6.33,,6.33,6.19,108700.0
1981-12-10,6.31,,6.4,6.27,70800.0
1981-12-11,6.21,,6.31,6.21,87100.0
1981-12-14,6.06,,6.12,6.0,61000.0
1981-12-15,6.12,,6.12,5.94,62100.0
1981-12-16,6.1,,6.19,6.08,45600.0
1981-12-17,6.04,,6.19,6.02,96500.0
1981-12-18,6.12,,6.19,6.02,55200.0
1981-12-21,6.04,,6.17,6.04,70000.0
1981-12-22,6.04,,6.1,6.0,58200.0
1981-12-23,5.94,,6.08,5.87,42300.0
1981-12-24,5.92,,5.96,5.87,51800.0
1981-12-28,5.94,,5.98,5.87,79000.0
1981-12-29,5.85,,5.98,5.81,55400.0
1981-12-30,5.9,,5.94,5.85,29300.0
1981-12-31,5.92,,5.94,5.87,42000.0
1982-01-04,6.0,,6.02,5.94,44200.0
1982-01-05,5.87,,6.0,5.83,169200.0
1982-01-06,5.75,,5.87,5.75,108800.0
1982-01-07,5.77,,5.79,5.73,55900.0
1982-01-08,5.83,,5.92,5.77,67500.0
1982-01-11,5.71,,5.79,5.69,67300.0
1982-01-12,5.75,,5.77,5.69,56600.0
1982-01-13,5.65,,5.79,5.65,89600.0
1982-01-14,5.71,,5.71,5.62,31400.0
1982-01-15,5.71,,5.77,5.71,22500.0
1982-01-18,5.67,,5.75,5.67,56900.0
1982-01-19,5.69,,5.79,5.67,109900.0
1982-01-20,5.65,,5.69,5.65,89900.0
1982-01-21,5.71,,5.75,5.6,100900.0
1982-01-22,5.65,,5.75,5.6,57300.0
1982-01-25,5.56,,5.62,5.54,118500.0
1982-01-26,5.6,,5.62,5.56,33400.0
1982-01-27,5.67,,5.67,5.56,51600.0
1982-01-28,5.83,,5.83,5.65,62600.0
1982-01-29,5.85,,6.15,5.83,239000.0
1982-02-01,5.67,,5.85,5.65,197000.0
1982-02-02,5.65,,5.71,5.6,68400.0
1982-02-03,5.54,,5.67,5.54,60000.0
1982-02-04,5.71,,5.71,5.52,158600.0
1982-02-05,5.69,,5.79,5.69,62500.0
1982-02-08,5.44,,5.65,5.44,215900.0
1982-02-09,5.5,,5.52,5.4,108700.0
1982-02-10,5.6,,5.65,5.48,111600.0
1982-02-11,5.58,,5.65,5.58,65500.0
1982-02-12,5.67,,5.67,5.58,24300.0
1982-02-16,5.58,,5.62,5.54,36500.0
1982-02-17,5.4,,5.65,5.4,157300.0
1982-02-18,5.4,,5.46,5.37,276100.0
1982-02-19,5.31,,5.4,5.27,107700.0
1982-02-22,5.27,,5.33,5.23,246500.0
1982-02-23,5.33,,5.42,5.31,128500.0
1982-02-24,5.44,,5.44,5.35,111700.0
1982-02-25,5.42,,5.46,5.4,71800.0
1982-02-26,5.37,,5.46,5.35,97700.0
1982-03-01,5.35,,5.4,5.33,89300.0
1982-03-02,5.35,,5.42,5.35,94500.0
1982-03-03,5.37,,5.42,5.31,76300.0
