Date,Close,Open,High,Low,Volume
10/15/1993,1.22,1.08,1.33,1.08,54589854.0
10/18/1993,1.26,1.22,1.28,1.21,5711342.0
10/19/1993,1.19,1.24,1.28,1.19,6731932.0
10/20/1993,1.18,1.19,1.24,1.17,3661163.0
10/21/1993,1.29,1.17,1.31,1.17,5981340.0
10/22/1993,1.31,1.29,1.36,1.28,4472955.0
10/25/1993,1.35,1.31,1.38,1.31,1670383.0
10/26/1993,1.33,1.33,1.38,1.33,1438185.0
10/27/1993,1.31,1.36,1.36,1.31,1344586.0
10/28/1993,1.32,1.35,1.35,1.28,1520984.0
10/29/1993,1.29,1.29,1.33,1.29,332996.0
11/1/1993,1.29,1.33,1.33,1.29,1337386.0
11/2/1993,1.3,1.33,1.33,1.29,867591.0
11/3/1993,1.33,1.28,1.33,1.28,3067169.0
11/4/1993,1.26,1.32,1.32,1.26,952190.0
11/5/1993,1.26,1.31,1.31,1.26,1108788.0
11/8/1993,1.25,1.26,1.31,1.25,1790982.0
11/9/1993,1.26,1.28,1.28,1.25,952190.0
11/10/1993,1.25,1.25,1.28,1.25,1751382.0
11/11/1993,1.28,1.25,1.28,1.25,3439765.0
11/12/1993,1.25,1.28,1.28,1.25,505794.0
11/15/1993,1.26,1.25,1.28,1.22,1011589.0
11/16/1993,1.23,1.28,1.28,1.22,581394.0
11/17/1993,1.22,1.22,1.28,1.22,811791.0
11/18/1993,1.11,1.26,1.26,1.01,3295767.0
11/19/1993,1.14,1.11,1.17,1.11,721792.0
11/22/1993,1.1,1.17,1.17,1.06,840591.0
11/23/1993,1.11,1.1,1.14,1.07,1686583.0
11/24/1993,1.07,1.07,1.11,1.07,493195.0
11/26/1993,1.07,1.07,1.11,1.07,669593.0
11/29/1993,1.06,1.07,1.08,1.04,745192.0
11/30/1993,1.08,1.04,1.08,1.04,1346386.0
12/1/1993,1.14,1.1,1.14,1.04,946790.0
12/2/1993,1.24,1.17,1.24,1.15,1196988.0
12/3/1993,1.18,1.24,1.24,1.18,210597.0
12/6/1993,1.17,1.24,1.24,1.17,377996.0
12/7/1993,1.1,1.15,1.19,1.1,169198.0
