Date,Close,Open,High,Low,Volume
6/14/2007,28.75,28.0,30.5,28.0,3279100.0
6/15/2007,29.08,29.5,29.8,28.88,790100.0
6/18/2007,29.93,29.32,30.2,29.3,1591000.0
6/19/2007,29.7,30.0,30.3,29.6,1585100.0
6/20/2007,29.81,30.04,30.1,29.57,855900.0
6/21/2007,31.21,30.06,31.95,29.61,842700.0
6/22/2007,31.7,31.5,32.17,31.0,1490700.0
6/25/2007,31.3,31.5,32.0,31.01,490000.0
6/26/2007,30.41,31.3,31.65,30.25,853900.0
6/27/2007,29.58,30.6,30.8,29.57,1127300.0
6/28/2007,29.5,29.88,29.9,29.16,488900.0
6/29/2007,28.5,29.99,30.3,27.93,3085200.0
7/2/2007,27.5,28.55,29.15,27.2,10999000.0
7/3/2007,26.67,27.5,27.5,26.15,8600100.0
7/5/2007,25.93,26.25,26.92,25.74,8422000.0
7/6/2007,25.64,25.64,25.86,25.21,7211900.0
7/9/2007,25.54,25.72,26.54,25.44,11675150.0
7/10/2007,24.9,25.6,25.65,24.8,8591800.0
7/11/2007,25.21,25.02,25.27,24.75,10251500.0
7/12/2007,26.34,25.59,26.59,25.21,10297238.0
7/13/2007,27.16,26.47,27.43,26.02,6752500.0
7/16/2007,26.84,27.21,27.45,26.66,9892100.0
7/17/2007,26.5,26.96,26.99,26.31,5434830.0
7/18/2007,26.36,26.45,26.5,25.7,4594771.0
7/19/2007,26.71,26.25,26.95,26.25,4868857.0
7/20/2007,26.3,26.71,27.12,26.25,5751500.0
7/23/2007,26.12,26.3,26.51,26.1,4712377.0
7/24/2007,25.0,25.54,25.6,24.93,5483800.0
7/25/2007,24.1,24.76,24.84,23.75,8391500.0
7/26/2007,24.62,23.26,24.88,22.75,9859890.0
7/27/2007,23.33,24.26,24.7,23.33,6678000.0
7/30/2007,23.57,23.4,23.93,22.37,5058500.0
7/31/2007,23.05,23.65,24.1,22.83,4133000.0
8/1/2007,22.88,22.68,23.07,22.05,5583833.0
8/2/2007,23.37,22.5,24.05,22.48,3032900.0
8/3/2007,21.99,22.66,23.11,21.53,5256100.0
8/6/2007,22.15,22.24,23.53,21.25,6010700.0
8/7/2007,22.88,22.05,23.53,21.72,3885123.0
8/8/2007,24.29,23.5,24.57,23.0,5645200.0
8/9/2007,22.16,23.4,23.96,22.06,4555112.0
8/10/2007,20.86,21.75,21.95,20.35,10813200.0
8/13/2007,22.1,21.26,22.29,21.26,7115300.0
8/14/2007,21.96,22.29,22.66,21.71,3845000.0
8/15/2007,21.66,21.89,22.4,21.16,3690300.0
8/16/2007,22.85,20.5,23.14,20.47,5503550.0
8/17/2007,23.18,23.89,23.99,22.91,5668600.0
8/20/2007,23.45,23.1,23.5,22.48,3786500.0
8/21/2007,23.67,23.09,23.96,23.07,2471000.0
8/22/2007,23.73,23.66,24.0,23.25,3602900.0
8/23/2007,23.7,23.94,24.03,23.18,2904000.0
8/24/2007,23.99,23.42,24.02,23.38,2001000.0
8/27/2007,23.83,24.02,24.04,23.7,1629512.0
8/28/2007,22.71,23.32,23.55,22.56,4221800.0
8/29/2007,23.33,22.57,23.58,21.59,2932600.0
8/30/2007,22.76,22.82,23.0,22.5,2269400.0
8/31/2007,23.14,23.01,23.88,22.54,3092600.0
9/4/2007,23.43,23.05,23.56,22.63,2459368.0
9/5/2007,22.55,22.68,23.12,22.36,2703300.0
9/6/2007,22.28,22.51,22.52,22.05,3297000.0
9/7/2007,21.11,21.98,21.98,20.86,3985000.0
9/10/2007,20.56,21.17,21.52,20.25,2748100.0
9/11/2007,20.61,20.52,21.15,20.47,2838100.0
9/12/2007,21.0,20.45,21.44,20.25,3053100.0
9/13/2007,21.34,21.0,21.74,21.0,2328500.0
9/14/2007,21.27,21.29,21.56,21.01,1839600.0
9/17/2007,21.32,21.21,21.41,20.5,2233500.0
9/18/2007,23.09,21.4,23.09,21.16,3636997.0
9/19/2007,23.41,23.22,23.82,23.02,4394100.0
