Date,Close,Open,High,Low,Volume
11/13/2009,22.73,22.0,23.1,21.75,22079126.0
11/16/2009,23.1,22.9,23.1,22.13,2079999.0
11/17/2009,23.04,23.03,23.17,22.5,1328008.0
11/18/2009,22.55,23.0,23.02,22.5,918213.0
11/19/2009,22.87,22.27,23.14,22.27,1031588.0
11/20/2009,23.21,22.5,23.33,22.5,1080890.0
11/23/2009,23.4,23.7,23.98,23.18,741004.0
11/24/2009,23.5,23.6,23.65,23.25,633092.0
11/25/2009,23.74,23.0,23.8,22.99,362503.0
11/27/2009,23.15,22.74,23.3,22.74,142948.0
11/30/2009,23.0,23.12,23.12,22.62,852994.0
12/1/2009,23.31,23.44,23.57,23.0,803467.0
12/2/2009,23.6,23.29,23.75,23.25,571241.0
12/3/2009,23.31,23.82,23.82,23.0,409981.0
12/4/2009,23.85,23.47,23.98,23.3,318029.0
12/7/2009,23.63,23.77,23.77,23.28,271484.0
12/8/2009,23.63,23.5,23.75,23.0,652830.0
12/9/2009,24.0,23.63,24.12,23.5,609321.0
12/10/2009,23.7,24.77,24.77,23.39,848336.0
12/11/2009,23.34,23.6,23.74,23.11,600254.0
12/14/2009,22.8,23.29,23.33,22.75,489059.0
12/15/2009,22.69,22.8,22.89,22.52,700010.0
12/16/2009,22.73,22.84,23.05,22.55,585402.0
12/17/2009,22.44,22.75,22.75,22.08,633912.0
12/18/2009,22.57,22.61,22.61,22.11,2105021.0
12/21/2009,22.6,22.5,22.61,22.17,536379.0
12/22/2009,22.4,22.58,22.61,22.3,766036.0
12/23/2009,22.41,23.22,23.25,22.4,1103650.0
12/24/2009,22.15,22.46,22.6,22.1,254211.0
12/28/2009,22.62,22.15,22.68,22.15,804430.0
12/29/2009,22.61,22.69,22.8,22.53,123419.0
12/30/2009,22.61,22.52,22.8,22.52,173289.0
12/31/2009,22.43,22.8,22.84,22.38,156622.0
1/4/2010,23.08,22.55,23.4,22.4,437154.0
1/5/2010,23.26,23.0,23.26,22.96,283580.0
1/6/2010,23.58,23.6,23.9,23.41,968085.0
1/7/2010,23.74,23.55,23.78,23.4,360678.0
1/8/2010,23.87,23.64,24.15,23.32,967234.0
1/11/2010,24.0,23.85,24.08,23.76,253499.0
1/12/2010,23.95,23.85,24.0,23.56,517638.0
1/13/2010,24.3,23.95,24.4,23.81,596251.0
1/14/2010,24.2,24.18,24.2,23.93,201411.0
1/15/2010,24.36,24.44,24.5,24.1,202208.0
1/19/2010,24.55,24.4,24.9,24.23,679284.0
1/20/2010,24.51,24.51,24.8,24.25,589726.0
1/21/2010,23.98,24.53,24.72,23.9,203284.0
1/22/2010,23.34,23.99,24.04,22.77,892624.0
1/25/2010,23.35,23.64,23.64,23.06,119498.0
1/26/2010,23.53,23.4,23.68,23.32,165002.0
1/27/2010,23.55,23.6,23.6,23.37,175298.0
1/28/2010,23.84,23.79,24.12,23.39,131304.0
1/29/2010,23.49,24.0,24.0,23.23,337724.0
2/1/2010,23.37,23.68,23.68,23.13,407403.0
2/2/2010,23.63,23.33,23.72,23.19,208269.0
2/3/2010,23.84,23.6,23.86,23.41,827653.0
2/4/2010,22.47,23.64,23.75,22.35,713948.0
2/5/2010,21.71,22.41,22.57,21.3,1137095.0
2/8/2010,22.39,21.88,22.63,21.76,208183.0
2/9/2010,22.56,22.49,22.76,22.27,220631.0
2/10/2010,22.05,22.38,22.38,21.87,403804.0
2/11/2010,22.06,21.97,22.18,21.95,107513.0
2/12/2010,22.55,21.91,22.55,21.88,125567.0
2/16/2010,23.03,22.65,23.07,22.27,247978.0
2/17/2010,22.76,23.04,23.39,22.59,189717.0
2/18/2010,23.28,22.64,23.5,22.5,121315.0
2/19/2010,23.58,23.29,23.96,23.29,187564.0
2/22/2010,23.24,23.5,23.52,23.09,155478.0
2/23/2010,23.64,23.2,23.73,23.1,134203.0
2/24/2010,24.16,23.81,24.35,23.75,208378.0
2/25/2010,23.8,23.82,24.07,23.52,257927.0
2/26/2010,23.89,23.91,23.96,23.51,264921.0
3/1/2010,24.09,24.01,24.57,23.88,271493.0
3/2/2010,24.04,24.13,24.3,23.77,279410.0
3/3/2010,23.99,24.0,24.11,23.82,114881.0
3/4/2010,24.2,24.02,24.4,23.99,149803.0
3/5/2010,24.52,24.25,24.74,24.18,189835.0
3/8/2010,24.67,24.55,24.88,24.51,144779.0
3/9/2010,25.12,24.55,25.24,24.5,185105.0
3/10/2010,25.06,25.11,25.18,24.91,248133.0
3/11/2010,25.11,24.99,25.19,24.81,100003.0
3/12/2010,25.13,25.14,25.25,24.98,55291.0
3/15/2010,25.03,25.16,25.25,24.87,195520.0
3/16/2010,25.12,25.02,25.2,24.86,109213.0
3/17/2010,25.82,25.11,26.51,24.94,503427.0
3/18/2010,25.24,25.88,25.93,25.23,156632.0
3/19/2010,25.6,25.29,25.75,25.0,741338.0
3/22/2010,25.01,25.56,25.72,24.95,233924.0
3/23/2010,25.18,25.0,25.25,24.9,152411.0
3/24/2010,25.25,25.17,25.97,25.0,1307139.0
3/25/2010,24.43,25.44,25.48,24.29,367889.0
3/26/2010,24.99,24.59,25.18,24.35,793351.0
3/29/2010,25.35,25.23,25.6,25.16,337062.0
3/30/2010,25.79,25.5,25.91,25.2,554081.0
3/31/2010,25.25,26.4,26.4,24.85,1212027.0
4/1/2010,25.52,25.35,25.8,25.29,1232202.0
4/5/2010,25.8,25.73,25.8,25.39,621754.0
4/6/2010,27.01,26.11,27.01,26.08,716505.0
4/7/2010,26.55,27.02,27.1,26.43,731661.0
4/8/2010,26.51,26.6,26.76,26.23,210222.0
4/9/2010,26.47,26.6,26.64,26.25,305218.0
4/12/2010,26.24,26.45,26.58,26.18,253724.0
4/13/2010,27.03,26.25,27.18,26.19,1791905.0
4/14/2010,27.52,27.15,27.86,26.69,1010069.0
4/15/2010,27.0,27.5,27.63,26.95,11184042.0
4/16/2010,28.6,27.0,28.88,27.0,3306862.0
4/19/2010,29.01,28.6,29.55,28.12,1889189.0
4/20/2010,28.25,29.25,29.25,28.08,1273209.0
4/21/2010,28.19,28.2,28.45,27.9,1229011.0
4/22/2010,29.53,28.01,29.62,28.0,1441396.0
4/23/2010,29.38,29.67,29.69,29.17,668252.0
4/26/2010,29.58,28.55,29.7,28.43,1181078.0
4/27/2010,28.99,29.34,29.74,28.94,952900.0
4/28/2010,29.01,29.03,29.91,28.54,795196.0
4/29/2010,29.13,29.06,29.45,28.58,830065.0
4/30/2010,28.57,29.13,29.24,28.32,879575.0
5/3/2010,29.02,28.59,29.29,28.43,424125.0
5/4/2010,28.64,28.55,28.93,27.87,754789.0
5/5/2010,28.52,28.29,28.76,28.14,555954.0
5/6/2010,27.91,28.35,29.05,27.59,1625516.0
5/7/2010,27.19,27.9,28.13,26.74,1395615.0
5/10/2010,27.72,27.9,28.65,27.32,1048151.0
5/11/2010,27.98,27.31,28.36,27.31,686326.0
5/12/2010,29.36,28.28,29.48,28.14,1070363.0
5/13/2010,29.44,29.36,29.94,28.98,1661302.0
5/14/2010,29.27,29.39,29.73,29.01,2256324.0
5/17/2010,29.45,29.36,30.0,29.06,1259861.0
5/18/2010,29.29,29.71,29.96,29.06,763006.0
5/19/2010,29.7,29.24,30.2,29.13,949359.0
5/20/2010,29.03,29.31,29.56,28.91,969899.0
5/21/2010,29.55,28.74,29.83,28.63,1039488.0
5/24/2010,30.01,29.6,30.34,29.54,1703235.0
5/25/2010,30.61,29.38,30.64,29.23,1768865.0
5/26/2010,30.44,31.0,31.38,30.22,4955590.0
5/27/2010,30.64,31.07,31.21,30.36,1255988.0
5/28/2010,30.23,30.46,30.82,30.14,968685.0
6/1/2010,30.54,30.23,30.98,30.08,667166.0
6/2/2010,31.36,30.84,31.36,30.61,1251019.0
6/3/2010,30.7,31.06,31.41,30.29,773542.0
6/4/2010,30.04,30.25,30.5,29.58,895757.0
6/7/2010,29.23,30.19,30.5,28.84,1242767.0
6/8/2010,29.83,30.35,30.35,29.25,3250841.0
6/9/2010,30.0,30.19,30.45,29.85,1581303.0
6/10/2010,29.98,30.95,31.23,29.66,1344967.0
6/11/2010,29.97,29.69,30.01,29.41,485615.0
6/14/2010,30.22,30.18,30.66,29.9,2304901.0
6/15/2010,30.0,30.19,30.5,29.49,1501041.0
6/16/2010,30.3,29.98,30.53,29.89,1516714.0
6/17/2010,29.9,30.26,30.49,29.5,909601.0
6/18/2010,30.15,29.71,30.29,29.68,739253.0
6/21/2010,29.63,30.39,30.39,29.5,1226418.0
6/22/2010,28.89,29.64,30.08,28.78,2754312.0
6/23/2010,29.13,29.03,29.41,28.76,1023788.0
6/24/2010,29.13,29.09,29.16,28.66,881154.0
6/25/2010,29.08,29.0,29.34,28.16,2382553.0
6/28/2010,28.91,29.07,29.13,28.74,310416.0
6/29/2010,28.39,28.39,28.73,27.84,1157861.0
6/30/2010,27.55,28.28,28.72,27.21,1636777.0
7/1/2010,28.13,27.51,28.16,27.37,1657965.0
7/2/2010,28.01,28.28,28.59,27.85,424645.0
7/6/2010,28.0,28.16,28.4,27.77,559972.0
7/7/2010,27.95,27.44,27.97,26.61,3463611.0
7/8/2010,27.63,28.13,28.39,27.34,1826526.0
7/9/2010,28.14,27.6,28.15,27.36,866395.0
7/12/2010,27.47,28.12,28.12,27.28,1033187.0
7/13/2010,27.7,27.64,27.9,27.43,672505.0
7/14/2010,28.23,27.71,28.46,27.62,1069511.0
7/15/2010,29.8,28.29,30.17,28.17,1981563.0
7/16/2010,29.09,29.78,29.78,28.98,1425417.0
7/19/2010,29.27,29.2,29.57,29.02,724241.0
7/20/2010,29.52,29.0,29.53,28.78,640586.0
7/21/2010,28.92,29.67,29.67,28.71,791551.0
7/22/2010,28.98,29.06,29.32,28.8,388258.0
7/23/2010,29.37,29.03,29.46,28.91,770311.0
7/26/2010,29.69,29.58,30.0,29.39,691447.0
7/27/2010,29.36,29.69,29.77,28.95,542148.0
7/28/2010,29.5,29.39,29.98,28.95,1665785.0
7/29/2010,28.72,29.65,29.94,28.6,561011.0
7/30/2010,29.18,28.59,29.27,28.34,718773.0
8/2/2010,29.51,29.52,29.72,29.25,546655.0
8/3/2010,29.33,29.6,29.65,29.04,592172.0
8/4/2010,30.1,29.32,30.2,29.32,493828.0
8/5/2010,29.59,29.84,29.86,29.0,1250499.0
8/6/2010,29.44,29.33,29.59,29.1,561924.0
8/9/2010,29.66,29.46,30.02,29.24,602544.0
8/10/2010,29.35,29.52,29.63,29.1,754132.0
8/11/2010,28.44,29.32,29.65,28.23,908555.0
8/12/2010,29.0,28.16,29.03,28.1,671548.0
8/13/2010,28.76,28.99,29.09,28.48,447449.0
8/16/2010,29.08,28.72,29.24,28.57,361011.0
8/17/2010,29.36,29.14,29.57,29.09,351993.0
8/18/2010,29.39,29.52,29.6,29.06,690221.0
8/19/2010,29.0,29.36,29.65,28.99,648264.0
8/20/2010,29.44,29.01,29.66,29.01,553103.0
8/23/2010,28.15,29.46,29.46,27.21,2039524.0
8/24/2010,28.02,28.0,28.46,27.43,1237735.0
8/25/2010,28.45,28.01,28.5,27.28,741569.0
8/26/2010,28.5,28.7,28.86,28.35,466770.0
8/27/2010,28.09,28.55,28.65,28.01,645005.0
8/30/2010,27.38,28.19,28.34,27.31,1134880.0
8/31/2010,27.31,27.49,27.58,26.64,2336353.0
9/1/2010,28.02,27.66,28.17,27.45,977167.0
9/2/2010,28.7,28.12,28.88,28.02,620700.0
9/3/2010,28.03,28.82,29.27,27.94,509711.0
9/7/2010,28.0,28.04,28.15,27.87,626913.0
9/8/2010,27.68,27.98,28.24,27.58,1371758.0
9/9/2010,27.33,27.94,28.14,27.31,1640475.0
9/10/2010,27.45,27.31,27.89,27.31,561720.0
9/13/2010,27.42,27.68,27.68,27.21,604610.0
9/14/2010,27.4,27.24,27.56,27.11,710119.0
9/15/2010,27.47,27.42,27.7,27.19,927662.0
