Date,Close,Open,High,Low,Volume
1996-12-17,3.5,3.75,3.75,3.5,318100.0
1996-12-18,3.56,3.5,3.59,3.31,296700.0
1996-12-19,3.66,3.59,3.72,3.59,132200.0
1996-12-20,3.72,3.63,3.72,3.63,58300.0
1996-12-23,3.81,3.75,3.84,3.72,14300.0
1996-12-24,3.91,3.84,3.91,3.84,3500.0
1996-12-26,3.81,3.91,3.94,3.81,5500.0
1996-12-27,3.81,3.81,3.81,3.81,200.0
1996-12-30,3.78,3.84,3.84,3.78,7100.0
1996-12-31,3.78,3.75,3.78,3.75,3900.0
1997-01-02,3.66,3.75,3.75,3.66,177500.0
1997-01-03,3.75,3.66,3.78,3.66,394900.0
1997-01-06,3.78,3.78,3.81,3.75,622700.0
1997-01-07,4.0,3.81,4.0,3.78,160300.0
1997-01-08,4.03,4.06,4.19,4.03,84000.0
1997-01-09,4.06,4.03,4.09,4.03,114800.0
1997-01-10,4.09,4.09,4.13,4.06,203200.0
1997-01-13,4.06,4.09,4.09,4.0,842500.0
1997-01-14,4.44,4.22,4.44,4.19,504500.0
1997-01-15,4.09,4.31,4.34,4.09,662100.0
1997-01-16,4.0,4.0,4.06,3.97,731500.0
1997-01-17,4.03,4.0,4.06,3.97,330900.0
1997-01-20,3.97,4.0,4.03,3.97,592100.0
1997-01-21,4.0,4.0,4.03,4.0,586800.0
1997-01-22,4.0,4.03,4.03,4.0,699400.0
1997-01-23,4.09,4.06,4.16,4.06,264700.0
1997-01-24,4.03,4.09,4.28,4.03,313700.0
1997-01-27,4.03,4.03,4.09,4.03,414500.0
1997-01-28,4.0,4.03,4.19,4.0,251400.0
1997-01-29,4.0,4.0,4.09,3.97,378000.0
1997-01-30,4.0,4.0,4.06,3.97,552800.0
1997-01-31,3.94,3.94,4.0,3.91,385100.0
1997-02-03,4.06,3.94,4.06,3.91,472400.0
1997-02-04,4.13,4.06,4.13,4.03,466400.0
1997-02-05,4.16,4.13,4.16,4.09,114600.0
1997-02-06,4.13,4.13,4.16,4.13,160900.0
1997-02-07,4.19,4.13,4.22,4.09,635700.0
1997-02-10,4.13,4.13,4.16,4.09,236000.0
1997-02-11,4.13,4.06,4.16,4.06,193000.0
1997-02-12,4.09,4.09,4.13,4.06,100100.0
1997-02-13,4.22,4.09,4.28,4.09,297700.0
1997-02-14,4.13,4.22,4.22,4.09,302700.0
1997-02-18,4.13,4.06,4.16,4.06,519200.0
1997-02-19,4.16,4.09,4.19,4.09,207700.0
1997-02-20,4.22,4.13,4.38,4.13,268500.0
1997-02-21,4.25,4.22,4.28,4.19,159700.0
1997-02-24,4.41,4.25,4.41,4.25,277000.0
1997-02-25,4.44,4.41,4.47,4.38,115500.0
1997-02-26,4.34,4.38,4.41,4.31,131400.0
1997-02-27,4.28,4.31,4.44,4.25,213700.0
1997-02-28,4.22,4.16,4.28,4.06,128600.0
1997-03-03,4.22,4.16,4.31,4.16,96400.0
1997-03-04,4.22,4.25,4.25,4.19,200900.0
1997-03-05,4.16,4.19,4.22,4.09,385500.0
