Date,Close,Open,High,Low,Volume
1980-03-17,0.07,,0.07,0.07,18700.0
1980-03-18,0.07,,0.07,0.07,9900.0
1980-03-19,0.07,,0.07,0.07,6300.0
1980-03-20,0.07,,0.07,0.07,7400.0
1980-03-21,0.07,,0.07,0.07,4900.0
1980-03-24,0.06,,0.07,0.06,18500.0
1980-03-25,0.06,,0.07,0.06,13500.0
1980-03-26,0.06,,0.07,0.06,12000.0
1980-03-27,0.06,,0.06,0.06,21100.0
1980-03-28,0.06,,0.06,0.06,41400.0
1980-03-31,0.06,,0.06,0.06,19500.0
1980-04-01,0.07,,0.07,0.06,9700.0
1980-04-02,0.07,,0.07,0.07,3400.0
1980-04-03,0.07,,0.07,0.07,700.0
1980-04-07,0.06,,0.07,0.06,5900.0
1980-04-08,0.06,,0.06,0.06,3200.0
1980-04-09,0.06,,0.06,0.06,9600.0
1980-04-10,0.07,,0.07,0.06,7700.0
1980-04-11,0.07,,0.07,0.07,3300.0
1980-04-14,0.07,,0.07,0.07,10300.0
1980-04-15,0.07,,0.07,0.06,4900.0
1980-04-16,0.07,,0.07,0.07,3300.0
1980-04-17,0.07,,0.07,0.07,4200.0
1980-04-18,0.07,,0.07,0.06,5000.0
1980-04-21,0.06,,0.06,0.06,1100.0
1980-04-22,0.06,,0.07,0.06,6400.0
1980-04-23,0.06,,0.07,0.06,17600.0
1980-04-24,0.07,,0.07,0.07,5200.0
1980-04-25,0.07,,0.07,0.06,6900.0
1980-04-28,0.07,,0.07,0.07,7600.0
1980-04-29,0.07,,0.07,0.07,7500.0
1980-04-30,0.08,,0.08,0.07,17200.0
1980-05-01,0.08,,0.08,0.08,4100.0
1980-05-02,0.08,,0.08,0.07,13400.0
1980-05-05,0.07,,0.08,0.07,7900.0
1980-05-06,0.07,,0.07,0.07,13600.0
1980-05-07,0.08,,0.08,0.07,21400.0
1980-05-08,0.08,,0.08,0.08,2700.0
1980-05-09,0.07,,0.08,0.07,6100.0
1980-05-12,0.07,,0.07,0.07,2500.0
1980-05-13,0.07,,0.08,0.07,2100.0
1980-05-14,0.07,,0.08,0.07,4400.0
1980-05-15,0.08,,0.08,0.07,1800.0
1980-05-16,0.08,,0.08,0.07,5700.0
1980-05-19,0.08,,0.08,0.07,4600.0
1980-05-20,0.08,,0.08,0.07,3300.0
1980-05-21,0.08,,0.08,0.07,7800.0
1980-05-22,0.08,,0.09,0.08,20300.0
1980-05-23,0.09,,0.09,0.08,3300.0
1980-05-27,0.08,,0.09,0.08,3900.0
1980-05-28,0.08,,0.09,0.08,3500.0
1980-05-29,0.08,,0.09,0.08,4600.0
1980-05-30,0.08,,0.08,0.08,2400.0
1980-06-02,0.08,,0.08,0.08,3700.0
1980-06-03,0.08,,0.08,0.08,31500.0
1980-06-04,0.08,,0.08,0.08,10400.0
1980-06-05,0.08,,0.08,0.08,9200.0
1980-06-06,0.08,,0.08,0.08,4900.0
1980-06-09,0.08,,0.08,0.08,19800.0
1980-06-10,0.08,,0.08,0.08,5100.0
1980-06-11,0.09,,0.09,0.08,21800.0
1980-06-12,0.09,,0.09,0.08,6500.0
1980-06-13,0.08,,0.08,0.08,1300.0
1980-06-16,0.09,,0.09,0.08,6400.0
1980-06-17,0.08,,0.08,0.08,3800.0
1980-06-18,0.08,,0.09,0.08,7700.0
1980-06-19,0.08,,0.08,0.08,3800.0
1980-06-20,0.08,,0.08,0.08,1700.0
1980-06-23,0.08,,0.08,0.08,2800.0
1980-06-24,0.09,,0.09,0.08,17000.0
1980-06-25,0.09,,0.09,0.09,13600.0
1980-06-26,0.09,,0.09,0.09,3800.0
1980-06-27,0.09,,0.09,0.09,2900.0
1980-06-30,0.09,,0.09,0.09,13100.0
1980-07-01,0.08,,0.09,0.08,5000.0
1980-10-01,0.09,,0.09,0.09,4100.0
1980-10-02,0.09,,0.09,0.09,5900.0
1980-10-03,0.09,,0.09,0.09,10700.0
1980-10-06,0.09,,0.09,0.09,9000.0
1980-10-07,0.09,,0.09,0.09,12600.0
1980-10-08,0.09,,0.09,0.09,6100.0
1980-10-09,0.09,,0.09,0.09,37000.0
1980-10-10,0.09,,0.09,0.09,16200.0
1980-10-13,0.09,,0.09,0.09,7500.0
1980-10-14,0.1,,0.1,0.09,48900.0
1980-10-15,0.09,,0.1,0.09,11300.0
1980-10-16,0.09,,0.09,0.09,31400.0
1980-10-17,0.09,,0.09,0.09,7300.0
1980-10-20,0.08,,0.09,0.08,10400.0
1980-10-21,0.09,,0.09,0.09,11300.0
1980-10-22,0.09,,0.09,0.09,4800.0
1980-10-23,0.08,,0.09,0.08,36800.0
1980-10-24,0.09,,0.09,0.08,6500.0
1980-10-27,0.08,,0.09,0.08,2200.0
1980-10-28,0.09,,0.09,0.08,12600.0
1980-10-29,0.09,,0.09,0.09,17900.0
1980-10-30,0.08,,0.09,0.08,30900.0
1980-10-31,0.08,,0.09,0.08,9000.0
1980-11-03,0.09,,0.09,0.08,20500.0
1980-11-05,0.09,,0.09,0.09,12300.0
1980-11-06,0.09,,0.09,0.09,10300.0
1980-11-07,0.09,,0.09,0.09,5200.0
1980-11-10,0.08,,0.09,0.08,9000.0
1980-11-11,0.09,,0.09,0.08,13800.0
1980-11-12,0.08,,0.09,0.08,15200.0
1980-11-13,0.08,,0.09,0.08,11100.0
1980-11-14,0.08,,0.08,0.08,6300.0
1980-11-17,0.08,,0.09,0.08,12400.0
1980-11-18,0.08,,0.09,0.08,7000.0
1980-11-19,0.08,,0.08,0.08,20200.0
1980-11-20,0.09,,0.09,0.08,43400.0
1980-11-21,0.09,,0.09,0.08,12000.0
1980-11-24,0.08,,0.09,0.08,19200.0
1980-11-25,0.09,,0.09,0.08,36000.0
1980-11-26,0.09,,0.09,0.09,15400.0
1980-11-28,0.09,,0.09,0.09,10800.0
1980-12-01,0.08,,0.09,0.08,5300.0
1980-12-02,0.08,,0.09,0.08,12300.0
1980-12-03,0.08,,0.09,0.08,12400.0
1980-12-04,0.08,,0.09,0.08,29100.0
1980-12-05,0.08,,0.08,0.08,10000.0
1980-12-08,0.08,,0.08,0.08,35700.0
1980-12-09,0.08,,0.08,0.08,23500.0
1980-12-10,0.08,,0.08,0.08,16200.0
1980-12-11,0.08,,0.08,0.08,4900.0
1980-12-12,0.08,,0.08,0.08,23700.0
1980-12-15,0.08,,0.08,0.08,9400.0
1980-12-16,0.08,,0.08,0.08,11400.0
1980-12-17,0.08,,0.08,0.08,9000.0
1980-12-18,0.08,,0.08,0.08,8900.0
1980-12-19,0.08,,0.08,0.08,5000.0
1980-12-22,0.08,,0.08,0.08,10700.0
1980-12-23,0.08,,0.08,0.08,17600.0
1980-12-24,0.08,,0.08,0.08,7900.0
1980-12-26,0.08,,0.08,0.08,41600.0
1980-12-29,0.08,,0.08,0.08,22800.0
1980-12-30,0.08,,0.08,0.08,34300.0
1980-12-31,0.09,,0.09,0.08,66800.0
1981-01-02,0.1,,0.1,0.09,35400.0
1981-01-05,0.1,,0.1,0.1,106000.0
1981-01-06,0.1,,0.1,0.1,32600.0
1981-01-07,0.09,,0.1,0.09,32000.0
1981-01-08,0.09,,0.1,0.09,15100.0
1981-01-09,0.1,,0.1,0.09,10500.0
1981-01-12,0.1,,0.1,0.1,30200.0
1981-01-13,0.1,,0.11,0.1,60900.0
1981-01-14,0.1,,0.11,0.1,7500.0
1981-01-15,0.1,,0.1,0.1,11600.0
1981-01-16,0.11,,0.11,0.1,39400.0
1981-01-19,0.11,,0.11,0.1,16900.0
1981-01-20,0.11,,0.11,0.1,19500.0
1981-01-21,0.1,,0.11,0.1,11600.0
1981-01-22,0.1,,0.1,0.1,3600.0
1981-01-23,0.1,,0.1,0.1,4400.0
1981-01-26,0.11,,0.11,0.1,29800.0
1981-01-27,0.11,,0.12,0.11,101300.0
1981-01-28,0.12,,0.12,0.12,47100.0
1981-01-29,0.12,,0.12,0.12,25700.0
1981-01-30,0.12,,0.12,0.12,28900.0
1981-02-02,0.12,,0.12,0.12,57500.0
1981-02-03,0.12,,0.12,0.12,28000.0
1981-02-04,0.12,,0.12,0.12,19700.0
1981-02-05,0.12,,0.12,0.12,28800.0
1981-02-06,0.12,,0.12,0.12,8100.0
1981-02-09,0.12,,0.12,0.12,12700.0
1981-02-10,0.12,,0.12,0.12,9300.0
1981-02-11,0.12,,0.12,0.11,17000.0
1981-02-12,0.12,,0.12,0.11,8100.0
1981-02-13,0.12,,0.12,0.11,25400.0
1981-02-17,0.11,,0.12,0.11,13500.0
1981-02-18,0.12,,0.12,0.11,9200.0
1981-02-19,0.11,,0.12,0.11,12300.0
1981-02-20,0.11,,0.12,0.11,14900.0
1981-02-23,0.11,,0.12,0.11,26800.0
1981-02-24,0.11,,0.12,0.11,6500.0
1981-02-25,0.11,,0.11,0.11,8300.0
1981-02-26,0.11,,0.11,0.11,5400.0
1981-02-27,0.11,,0.11,0.11,13100.0
1981-03-02,0.11,,0.11,0.11,20500.0
1981-03-03,0.11,,0.11,0.11,1200.0
1981-03-04,0.11,,0.11,0.11,2600.0
1981-03-05,0.11,,0.11,0.11,10300.0
1981-03-06,0.11,,0.11,0.11,3900.0
1981-03-09,0.11,,0.11,0.11,9300.0
1981-03-10,0.1,,0.11,0.1,7000.0
1981-03-11,0.11,,0.11,0.1,10300.0
1981-03-12,0.11,,0.11,0.1,2500.0
1981-03-13,0.11,,0.11,0.11,9400.0
1981-03-16,0.11,,0.11,0.11,5900.0
1981-03-17,0.11,,0.11,0.11,11000.0
1981-03-18,0.11,,0.11,0.11,142500.0
1981-03-19,0.11,,0.12,0.11,14900.0
1981-03-20,0.12,,0.12,0.11,43400.0
1981-03-23,0.13,,0.13,0.12,49100.0
1981-03-24,0.13,,0.13,0.13,33900.0
1981-03-25,0.13,,0.13,0.13,21700.0
1981-03-26,0.13,,0.13,0.13,25000.0
1981-03-27,0.13,,0.13,0.13,7000.0
1981-03-30,0.13,,0.13,0.13,3600.0
1981-03-31,0.13,,0.13,0.13,21700.0
1981-04-01,0.12,,0.13,0.12,2500.0
1981-04-02,0.13,,0.13,0.12,16800.0
1981-04-03,0.12,,0.12,0.12,10200.0
1981-04-06,0.12,,0.12,0.12,7500.0
1981-04-07,0.12,,0.12,0.12,6800.0
1981-04-08,0.12,,0.12,0.12,4400.0
1981-04-09,0.12,,0.12,0.12,9800.0
1981-04-10,0.12,,0.12,0.12,26300.0
1981-04-13,0.12,,0.12,0.12,7500.0
1981-04-14,0.12,,0.12,0.12,5700.0
1981-04-15,0.12,,0.12,0.11,105500.0
1981-04-16,0.12,,0.12,0.12,16800.0
