Date,Close,Open,High,Low,Volume
3/7/1995,1.17,1.12,1.17,1.05,2225300.0
3/8/1995,1.09,1.17,1.17,1.07,429400.0
3/9/1995,1.11,1.09,1.12,1.09,138400.0
3/10/1995,1.16,1.14,1.19,1.11,186500.0
3/13/1995,1.15,1.19,1.19,1.15,64700.0
3/14/1995,1.17,1.19,1.2,1.15,67800.0
3/15/1995,1.2,1.17,1.23,1.14,327900.0
3/16/1995,1.17,1.23,1.25,1.17,59300.0
3/17/1995,1.17,1.17,1.2,1.17,114000.0
3/20/1995,1.17,1.17,1.21,1.17,113800.0
3/21/1995,1.18,1.19,1.22,1.18,238000.0
3/22/1995,1.19,1.19,1.22,1.18,228800.0
3/23/1995,1.19,1.2,1.2,1.18,183700.0
3/24/1995,1.19,1.22,1.22,1.19,35300.0
3/27/1995,1.27,1.22,1.28,1.19,50900.0
3/28/1995,1.33,1.27,1.33,1.23,82800.0
3/29/1995,1.28,1.33,1.38,1.23,107700.0
3/30/1995,1.32,1.28,1.35,1.25,71500.0
3/31/1995,1.35,1.35,1.38,1.3,36400.0
4/3/1995,1.45,1.38,1.5,1.37,209300.0
4/4/1995,1.38,1.45,1.48,1.38,115000.0
4/5/1995,1.44,1.38,1.45,1.38,84200.0
4/6/1995,1.42,1.44,1.44,1.42,87500.0
4/7/1995,1.42,1.44,1.44,1.37,49200.0
4/10/1995,1.42,1.37,1.42,1.37,14100.0
4/11/1995,1.43,1.42,1.43,1.38,5500.0
4/12/1995,1.4,1.4,1.43,1.4,114700.0
4/13/1995,1.43,1.4,1.43,1.4,2000.0
4/17/1995,1.4,1.43,1.44,1.4,13200.0
4/18/1995,1.38,1.4,1.43,1.38,65300.0
4/19/1995,1.43,1.43,1.43,1.38,9600.0
4/20/1995,1.37,1.41,1.42,1.37,11600.0
4/21/1995,1.37,1.37,1.42,1.37,16600.0
4/24/1995,1.37,1.37,1.37,1.37,400.0
4/25/1995,1.35,1.37,1.39,1.34,60000.0
4/26/1995,1.34,1.34,1.37,1.33,23200.0
4/27/1995,1.4,1.34,1.4,1.34,78900.0
4/28/1995,1.48,1.38,1.5,1.37,56000.0
5/1/1995,1.53,1.45,1.55,1.45,62200.0
5/2/1995,1.58,1.55,1.63,1.53,87400.0
5/3/1995,1.61,1.63,1.63,1.58,18500.0
5/4/1995,1.61,1.58,1.61,1.58,3900.0
5/5/1995,1.61,1.58,1.61,1.56,47300.0
5/8/1995,1.59,1.56,1.61,1.56,8800.0
5/9/1995,1.59,1.61,1.61,1.56,3900.0
5/10/1995,1.61,1.56,1.61,1.56,700.0
5/11/1995,1.56,1.56,1.6,1.56,1400.0
5/12/1995,1.66,1.56,1.66,1.56,33500.0
5/15/1995,1.66,1.65,1.71,1.65,37700.0
5/16/1995,1.69,1.7,1.71,1.66,75200.0
5/17/1995,1.69,1.68,1.69,1.68,48700.0
5/18/1995,1.55,1.66,1.67,1.51,81700.0
5/19/1995,1.58,1.58,1.58,1.56,6800.0
5/22/1995,1.53,1.56,1.58,1.53,10300.0
5/23/1995,1.58,1.53,1.58,1.53,13500.0
5/24/1995,1.45,1.58,1.58,1.42,65900.0
5/25/1995,1.45,1.5,1.5,1.45,1200.0
5/26/1995,1.5,1.5,1.5,1.45,3300.0
5/30/1995,1.45,1.47,1.5,1.45,5400.0
5/31/1995,1.48,1.45,1.48,1.45,7900.0
6/1/1995,1.45,1.5,1.5,1.45,9000.0
6/2/1995,1.47,1.45,1.5,1.45,2600.0
6/5/1995,1.5,1.5,1.51,1.45,12900.0
6/6/1995,1.5,1.53,1.53,1.5,8400.0
6/7/1995,1.56,1.51,1.56,1.5,36800.0
6/8/1995,1.65,1.56,1.66,1.56,29400.0
6/9/1995,1.63,1.65,1.66,1.61,21900.0
6/12/1995,1.65,1.66,1.66,1.63,14200.0
6/13/1995,1.63,1.66,1.66,1.63,1900.0
6/14/1995,1.63,1.63,1.65,1.63,2400.0
6/15/1995,1.63,1.66,1.66,1.63,1600.0
6/16/1995,1.65,1.63,1.66,1.63,700.0
6/19/1995,1.57,1.63,1.65,1.56,24600.0
6/20/1995,1.6,1.61,1.61,1.58,11900.0
6/21/1995,1.58,1.59,1.61,1.58,5300.0
6/22/1995,1.58,1.56,1.58,1.55,51500.0
6/23/1995,1.65,1.58,1.68,1.55,31600.0
6/26/1995,1.64,1.65,1.65,1.64,2200.0
6/27/1995,1.68,1.64,1.68,1.64,3400.0
6/28/1995,1.7,1.64,1.7,1.64,11000.0
