Date,Close,Open,High,Low,Volume
1980-03-17,1.47,,1.48,1.47,200.0
1980-03-18,1.45,,1.46,1.45,39300.0
1980-03-19,1.43,,1.45,1.43,8500.0
1980-03-20,1.42,,1.44,1.42,1700.0
1980-03-21,1.42,,1.42,1.42,3500.0
1980-03-24,1.42,,1.44,1.41,16700.0
1980-03-25,1.42,,1.42,1.41,7000.0
1980-03-26,1.4,,1.44,1.4,26200.0
1980-03-27,1.38,,1.4,1.38,6000.0
1980-03-28,1.41,,1.41,1.4,18900.0
1980-03-31,1.45,,1.45,1.42,63500.0
1980-04-01,1.48,,1.48,1.44,16200.0
1980-04-02,1.49,,1.5,1.46,79000.0
1980-04-03,1.51,,1.51,1.5,2900.0
1980-04-07,1.51,,1.52,1.51,2100.0
1980-04-08,1.48,,1.5,1.46,12700.0
1980-04-09,1.48,,1.53,1.48,12300.0
1980-04-10,1.5,,1.53,1.5,8200.0
1980-04-11,1.51,,1.51,1.51,27000.0
1980-04-14,1.5,,1.5,1.49,7500.0
1980-04-15,1.5,,1.52,1.5,36900.0
1980-04-16,1.51,,1.51,1.5,9000.0
1980-04-17,1.49,,1.5,1.49,13000.0
1980-04-18,1.46,,1.48,1.46,1500.0
1980-04-21,1.44,,1.48,1.43,18300.0
1980-04-22,1.49,,1.5,1.45,31300.0
1980-04-23,1.5,,1.51,1.49,64800.0
1980-04-24,1.52,,1.52,1.48,9800.0
1980-04-25,1.51,,1.51,1.5,1700.0
1980-04-28,1.51,,1.52,1.5,14900.0
1980-04-29,1.5,,1.52,1.49,21700.0
1980-04-30,1.5,,1.5,1.47,4300.0
1980-05-01,1.46,,1.52,1.46,19500.0
1980-05-02,1.44,,1.48,1.44,37200.0
1980-05-05,1.4,,1.45,1.38,16700.0
1980-05-06,1.4,,1.42,1.38,3700.0
1980-05-07,1.42,,1.42,1.41,1400.0
1980-05-08,1.42,,1.42,1.41,1600.0
1980-05-09,1.4,,1.42,1.4,2600.0
1980-05-12,1.41,,1.41,1.4,8500.0
1980-05-13,1.4,,1.42,1.4,67600.0
1980-05-14,1.42,,1.44,1.38,12500.0
1980-05-15,1.43,,1.43,1.42,9300.0
1980-05-16,1.42,,1.43,1.42,1300.0
1980-05-19,1.41,,1.43,1.4,22500.0
1980-05-20,1.44,,1.44,1.42,119900.0
1980-05-21,1.44,,1.44,1.44,10800.0
1980-05-22,1.44,,1.44,1.43,2400.0
1980-05-23,1.43,,1.46,1.43,19400.0
1980-05-27,1.45,,1.47,1.44,17700.0
1980-05-28,1.42,,1.45,1.42,6000.0
1980-05-29,1.46,,1.46,1.42,9700.0
1980-05-30,1.43,,1.44,1.43,2800.0
1980-06-02,1.44,,1.44,1.42,25400.0
1980-06-03,1.43,,1.44,1.42,16700.0
1980-06-04,1.44,,1.44,1.43,8700.0
1980-06-05,1.47,,1.48,1.45,10400.0
1980-06-06,1.52,,1.52,1.48,24300.0
1980-06-09,1.56,,1.58,1.52,40300.0
1980-06-10,1.56,,1.57,1.55,10600.0
1980-06-11,1.57,,1.57,1.54,24900.0
1980-06-12,1.58,,1.59,1.57,18200.0
1980-06-13,1.57,,1.58,1.57,15700.0
1980-06-16,1.54,,1.56,1.52,14000.0
1980-06-17,1.59,,1.59,1.53,7200.0
1980-06-18,1.59,,1.59,1.58,8300.0
1980-06-19,1.57,,1.62,1.57,7800.0
1980-06-20,1.59,,1.59,1.57,5200.0
1980-06-23,1.6,,1.6,1.56,6300.0
1980-06-24,1.57,,1.59,1.57,13700.0
1980-06-25,1.6,,1.6,1.58,2300.0
1980-06-26,1.62,,1.62,1.59,6800.0
1980-06-27,1.61,,1.62,1.6,9700.0
1980-06-30,1.61,,1.62,1.61,800.0
1980-07-01,1.61,,1.62,1.6,3900.0
1980-07-02,1.66,,1.66,1.6,15900.0
1980-07-03,1.72,,1.72,1.67,34200.0
1980-07-07,1.79,,1.81,1.73,4400.0
1980-07-08,1.78,,1.83,1.77,2200.0
1980-07-09,1.76,,1.8,1.75,2100.0
1980-07-10,1.75,,1.77,1.75,14100.0
1980-07-11,1.74,,1.75,1.74,38600.0
1980-07-14,1.78,,1.78,1.75,9000.0
1980-07-15,1.8,,1.82,1.8,17300.0
1980-07-16,1.82,,1.82,1.8,7600.0
1980-07-17,1.8,,1.82,1.8,7900.0
1980-07-18,1.79,,1.8,1.78,18800.0
1980-07-21,1.77,,1.78,1.75,12700.0
1980-07-22,1.8,,1.83,1.77,4600.0
1980-07-23,1.75,,1.78,1.75,12400.0
1980-07-24,1.77,,1.78,1.77,27300.0
1980-07-25,1.77,,1.8,1.77,4200.0
1980-07-28,1.8,,1.8,1.78,1700.0
1980-07-29,1.83,,1.84,1.8,7100.0
1980-07-30,1.83,,1.86,1.83,8400.0
1980-07-31,1.83,,1.83,1.8,5100.0
1980-08-01,1.84,,1.85,1.82,16300.0
1980-08-04,1.86,,1.86,1.85,2000.0
1980-08-05,1.88,,1.88,1.86,15500.0
1980-08-06,1.98,,1.98,1.88,32300.0
1980-08-07,2.08,,2.08,1.99,11000.0
1980-08-08,2.03,,2.08,2.01,15100.0
1980-08-11,2.03,,2.03,1.99,50200.0
1980-08-12,2.01,,2.04,2.01,11400.0
1980-08-13,1.97,,2.0,1.97,4700.0
1980-08-14,1.97,,1.98,1.97,3500.0
1980-08-15,1.97,,2.0,1.97,5300.0
1980-08-18,1.9,,1.97,1.9,1700.0
1980-08-19,1.87,,1.88,1.87,6800.0
1980-08-20,1.82,,1.86,1.82,44000.0
1980-08-21,1.9,,1.9,1.83,23100.0
1980-08-22,1.97,,1.97,1.96,16700.0
1980-08-25,1.95,,1.97,1.95,17100.0
1980-08-26,1.95,,1.97,1.92,7600.0
1980-08-27,1.91,,1.95,1.91,32200.0
1980-08-28,1.92,,1.94,1.92,3200.0
1980-08-29,1.92,,1.92,1.92,700.0
1980-09-02,1.92,,1.95,1.92,1200.0
1980-09-03,2.05,,2.05,1.94,13100.0
1980-09-04,2.11,,2.11,2.06,6500.0
1980-09-05,2.09,,2.12,2.09,28400.0
1980-09-08,2.05,,2.09,2.04,92200.0
1980-09-09,2.05,,2.06,2.02,1800.0
1980-09-10,2.05,,2.07,2.04,6400.0
1980-09-11,2.12,,2.12,2.06,4400.0
1980-09-12,2.13,,2.13,2.11,8600.0
1980-09-15,2.12,,2.13,2.11,3600.0
1980-09-16,2.19,,2.19,2.12,5700.0
1980-09-17,2.16,,2.18,2.14,5800.0
1980-09-18,2.14,,2.19,2.14,8400.0
1980-09-19,2.18,,2.19,2.16,94800.0
1980-09-22,2.17,,2.19,2.16,12400.0
1980-09-23,2.18,,2.19,2.18,1200.0
1980-09-24,2.18,,2.2,2.14,5900.0
1980-09-25,2.19,,2.2,2.18,8200.0
1980-09-26,2.17,,2.19,2.13,4300.0
1980-09-29,2.09,,2.17,2.09,7700.0
1980-09-30,2.11,,2.12,2.1,1900.0
1980-10-01,2.13,,2.15,2.1,4000.0
1980-10-02,2.09,,2.13,2.09,8100.0
1980-10-03,2.13,,2.14,2.1,1900.0
1980-10-06,2.16,,2.16,2.15,3300.0
1980-10-07,2.1,,2.16,2.1,4000.0
1980-10-08,2.08,,2.11,2.06,7900.0
1980-10-09,2.08,,2.09,2.07,14300.0
1980-10-10,2.03,,2.06,2.03,4900.0
1980-10-13,2.08,,2.08,2.02,3700.0
1980-10-14,2.2,,2.21,2.11,21700.0
1980-10-15,2.26,,2.28,2.22,2900.0
1980-10-16,2.3,,2.35,2.28,9200.0
1980-10-17,2.34,,2.36,2.28,8900.0
1980-10-20,2.34,,2.35,2.31,5900.0
1980-10-21,2.36,,2.36,2.34,2600.0
1980-10-22,2.37,,2.39,2.37,2500.0
1980-10-23,2.36,,2.39,2.36,68100.0
1980-10-24,2.36,,2.37,2.32,10200.0
1980-10-27,2.32,,2.36,2.28,20900.0
1980-10-28,2.32,,2.35,2.31,6600.0
1980-10-29,2.31,,2.33,2.31,1700.0
1980-10-30,2.28,,2.31,2.28,6700.0
1980-10-31,2.27,,2.29,2.26,3100.0
1980-11-03,2.36,,2.36,2.27,16000.0
1980-11-05,2.41,,2.5,2.36,33000.0
1980-11-06,2.34,,2.4,2.34,2400.0
1980-11-07,2.36,,2.39,2.35,3500.0
1980-11-10,2.37,,2.37,2.33,5200.0
1980-11-11,2.34,,2.37,2.34,2500.0
1980-11-12,2.34,,2.34,2.33,8000.0
1980-11-13,2.37,,2.37,2.34,37900.0
1980-11-14,2.34,,2.37,2.31,24700.0
1980-11-17,2.36,,2.36,2.34,3200.0
1980-11-18,2.42,,2.42,2.35,21900.0
1980-11-19,2.47,,2.48,2.42,4900.0
1980-11-20,2.45,,2.51,2.45,5700.0
1980-11-21,2.39,,2.43,2.36,4200.0
1980-11-24,2.36,,2.39,2.34,2400.0
1980-11-25,2.4,,2.4,2.37,3400.0
1980-11-26,2.31,,2.4,2.31,4400.0
1980-11-28,2.33,,2.33,2.3,2900.0
1980-12-01,2.36,,2.39,2.33,3200.0
1980-12-02,2.28,,2.34,2.27,7900.0
1980-12-03,2.3,,2.3,2.27,2300.0
1980-12-04,2.31,,2.32,2.27,4400.0
1980-12-05,2.28,,2.32,2.27,2200.0
1980-12-08,2.24,,2.28,2.24,18500.0
1980-12-09,2.25,,2.26,2.25,11500.0
1980-12-10,2.28,,2.28,2.25,4500.0
1980-12-11,2.28,,2.28,2.27,41000.0
1980-12-12,2.32,,2.32,2.29,6800.0
1980-12-15,2.32,,2.32,2.3,3300.0
1980-12-16,2.34,,2.34,2.32,3400.0
1980-12-17,2.37,,2.37,2.3,10000.0
1980-12-18,2.45,,2.47,2.41,3200.0
1980-12-19,2.45,,2.45,2.43,2400.0
1980-12-22,2.52,,2.52,2.46,8000.0
1980-12-23,2.53,,2.55,2.53,1600.0
1980-12-24,2.54,,2.54,2.52,6000.0
1980-12-26,2.53,,2.53,2.53,4100.0
1980-12-29,2.55,,2.56,2.52,3100.0
1980-12-30,2.57,,2.59,2.57,1600.0
1980-12-31,2.63,,2.63,2.59,1200.0
1981-01-02,2.65,,2.66,2.64,1500.0
1981-01-05,2.68,,2.69,2.66,8700.0
1981-01-06,2.65,,2.71,2.65,9100.0
1981-01-07,2.57,,2.61,2.55,8700.0
1981-01-08,2.53,,2.65,2.53,5500.0
1981-01-09,2.51,,2.53,2.5,7300.0
1981-01-12,2.51,,2.54,2.5,19500.0
1981-01-13,2.47,,2.49,2.44,5700.0
1981-01-14,2.46,,2.47,2.44,6600.0
1981-01-15,2.46,,2.46,2.45,2300.0
1981-01-16,2.44,,2.47,2.44,5000.0
1981-01-19,2.43,,2.44,2.43,3800.0
1981-01-20,2.4,,2.44,2.4,5100.0
1981-01-21,2.28,,2.3,2.28,7500.0
1981-01-22,2.29,,2.32,2.28,11700.0
1981-01-23,2.33,,2.33,2.31,6200.0
1981-01-26,2.34,,2.35,2.34,15500.0
1981-01-27,2.38,,2.38,2.33,2500.0
1981-01-28,2.39,,2.39,2.35,4700.0
1981-01-29,2.35,,2.38,2.33,20800.0
1981-01-30,2.34,,2.35,2.33,12200.0
1981-02-02,2.3,,2.33,2.29,6700.0
1981-02-03,2.29,,2.3,2.27,34000.0
1981-02-04,2.3,,2.32,2.3,9200.0
1981-02-05,2.32,,2.32,2.3,22800.0
1981-02-06,2.33,,2.35,2.32,7400.0
1981-02-09,2.32,,2.32,2.31,4100.0
1981-02-10,2.33,,2.33,2.32,2100.0
1981-02-11,2.3,,2.32,2.3,37200.0
1981-02-12,2.24,,2.28,2.24,8300.0
