Date,Close,Open,High,Low,Volume
5/9/1995,5.82,5.6,5.97,5.45,1566900.0
5/10/1995,6.19,5.97,6.34,5.97,2804400.0
5/11/1995,6.34,6.27,6.42,6.19,1811100.0
5/12/1995,6.27,6.42,6.42,6.27,944500.0
5/15/1995,6.27,6.27,6.34,6.27,667100.0
5/16/1995,6.27,6.34,6.34,6.19,717400.0
5/17/1995,6.12,6.27,6.27,6.04,869400.0
5/18/1995,6.19,6.12,6.27,6.12,250500.0
5/19/1995,6.19,6.27,6.27,6.12,247000.0
5/22/1995,6.64,6.49,6.79,6.42,765100.0
5/23/1995,6.72,6.57,6.79,6.49,776800.0
5/24/1995,6.57,6.72,6.72,6.57,589800.0
5/25/1995,6.42,6.57,6.57,6.34,304300.0
5/26/1995,6.49,6.49,6.49,6.42,365700.0
5/31/1995,6.57,6.49,6.72,6.42,1307500.0
6/1/1995,6.49,6.49,6.57,6.34,896600.0
6/2/1995,6.42,6.42,6.49,6.34,497400.0
6/5/1995,6.57,6.42,6.64,6.34,1909400.0
6/6/1995,6.57,6.49,6.64,6.49,1200900.0
6/7/1995,6.57,6.57,6.72,6.49,709200.0
6/8/1995,6.64,6.57,6.79,6.57,863000.0
6/9/1995,6.57,6.57,6.72,6.57,1062500.0
6/12/1995,6.57,6.64,6.64,6.57,1522400.0
6/13/1995,6.64,6.49,6.64,6.49,1033600.0
6/14/1995,6.64,6.57,6.72,6.57,677100.0
6/15/1995,6.72,6.64,6.86,6.64,1039800.0
6/16/1995,6.64,6.72,6.79,6.64,742300.0
6/19/1995,6.79,6.64,6.79,6.57,917200.0
6/20/1995,6.72,6.72,6.86,6.64,1363700.0
6/21/1995,6.49,6.72,6.72,6.49,1063300.0
6/22/1995,6.42,6.49,6.57,6.34,1441000.0
6/23/1995,6.49,6.49,6.72,6.49,754700.0
6/26/1995,6.42,6.49,6.64,6.42,852100.0
6/27/1995,6.64,6.42,6.72,6.42,753200.0
6/28/1995,6.72,6.49,6.72,6.49,1168700.0
6/29/1995,6.64,6.57,6.79,6.57,654400.0
6/30/1995,6.49,6.72,6.72,6.49,656800.0
7/3/1995,6.57,6.42,6.57,6.42,178700.0
7/5/1995,6.64,6.49,6.72,6.49,559300.0
7/6/1995,6.49,6.64,6.72,6.49,904100.0
7/7/1995,6.64,6.49,6.72,6.34,962900.0
7/10/1995,6.42,6.57,6.64,6.42,373800.0
7/11/1995,6.42,6.34,6.57,6.34,809800.0
7/12/1995,6.27,6.42,6.42,6.27,614000.0
7/13/1995,6.27,6.19,6.27,6.04,1462300.0
7/14/1995,6.27,6.12,6.27,6.04,685300.0
7/17/1995,6.19,6.27,6.34,6.19,564600.0
7/18/1995,6.27,6.19,6.34,6.19,2394500.0
7/19/1995,6.19,6.27,6.27,6.12,767400.0
7/20/1995,6.19,6.19,6.27,6.12,653800.0
7/21/1995,6.19,6.19,6.27,6.12,572100.0
7/24/1995,6.34,6.12,6.42,6.12,956100.0
7/25/1995,6.34,6.27,6.49,6.27,535200.0
7/26/1995,6.42,6.34,6.42,6.27,772500.0
7/27/1995,6.49,6.34,6.57,6.34,979700.0
7/28/1995,6.34,6.42,6.49,6.34,388400.0
7/31/1995,6.49,6.34,6.49,6.34,436100.0
8/1/1995,6.27,6.42,6.42,6.27,601000.0
8/2/1995,6.27,6.27,6.42,6.27,744600.0
8/3/1995,6.27,6.27,6.34,6.27,584000.0
8/4/1995,6.12,6.27,6.34,6.12,638300.0
8/7/1995,6.27,6.12,6.27,6.12,637700.0
