Date,Close,Open,High,Low,Volume
3/17/1980,6.3,,6.51,6.3,58200
3/18/1980,6.78,,6.78,6.3,98000
3/19/1980,6.56,,6.83,6.56,139200
3/20/1980,6.62,,6.62,6.51,51800
3/21/1980,6.56,,6.62,6.51,43700
3/24/1980,6.4,,6.51,6.35,54000
3/25/1980,6.46,,6.51,6.3,154000
3/26/1980,6.56,,6.67,6.51,36600
3/27/1980,6.46,,6.56,6.46,43600
3/28/1980,6.56,,6.56,6.51,15100
3/31/1980,6.78,,6.78,6.51,33000
4/1/1980,7.04,,7.1,6.78,62200
4/2/1980,7.04,,7.15,6.99,60500
4/3/1980,7.1,,7.2,7.04,171900
4/7/1980,6.88,,7.1,6.83,309800
4/8/1980,6.99,,6.99,6.83,119600
4/9/1980,7.15,,7.2,6.99,127900
4/10/1980,7.36,,7.36,7.2,80700
4/11/1980,7.42,,7.58,7.36,73800
4/14/1980,7.36,,7.47,7.31,103700
4/15/1980,7.26,,7.31,7.15,43300
4/16/1980,7.52,,7.63,7.31,144600
4/17/1980,7.74,,7.79,7.52,68700
4/18/1980,7.79,,7.79,7.68,54800
4/21/1980,7.84,,7.84,7.74,43400
4/22/1980,7.9,,7.9,7.68,56300
4/23/1980,7.84,,7.95,7.84,86500
4/24/1980,7.95,,8,7.79,153400
4/25/1980,7.95,,7.95,7.84,26100
4/28/1980,7.9,,7.95,7.84,23200
4/29/1980,7.95,,7.95,7.9,25200
4/30/1980,7.95,,8,7.9,154100
5/1/1980,7.95,,8.06,7.95,122600
5/2/1980,7.95,,8,7.9,104900
5/5/1980,8,,8.06,7.84,98400
5/6/1980,8.06,,8.06,7.95,167700
5/7/1980,8.11,,8.22,8,128900
5/8/1980,8,,8.11,7.95,29600
5/9/1980,7.79,,7.95,7.74,87600
5/12/1980,7.52,,7.58,7.36,63800
5/13/1980,7.63,,7.68,7.52,40800
5/14/1980,7.74,,7.74,7.58,22100
5/15/1980,7.52,,7.74,7.47,84000
5/16/1980,7.42,,7.52,7.42,21900
5/19/1980,7.42,,7.47,7.36,139900
5/20/1980,7.31,,7.36,7.15,66500
5/21/1980,7.26,,7.36,7.2,351200
5/22/1980,7.42,,7.42,7.26,74500
5/23/1980,7.36,,7.47,7.36,36700
5/27/1980,7.58,,7.58,7.31,221400
5/28/1980,7.52,,7.63,7.47,50600
5/29/1980,7.47,,7.58,7.36,70200
5/30/1980,7.47,,7.47,7.42,45400
6/2/1980,7.36,,7.47,7.36,42000
6/3/1980,7.47,,7.47,7.36,32900
6/4/1980,7.52,,7.58,7.42,51700
6/5/1980,7.58,,7.63,7.52,52100
6/6/1980,7.58,,7.68,7.52,31000
6/9/1980,7.58,,7.68,7.52,46900
6/10/1980,7.58,,7.63,7.52,64400
6/11/1980,7.58,,7.63,7.52,58700
6/12/1980,7.58,,7.74,7.58,38500
6/13/1980,7.95,,7.95,7.68,44200
6/16/1980,7.9,,7.95,7.84,69700
6/17/1980,8.11,,8.16,7.9,87000
6/18/1980,8.11,,8.16,8,72600
6/19/1980,8.11,,8.16,8.06,31000
6/20/1980,8,,8.06,8,37100
6/23/1980,8,,8.06,7.95,34100
6/24/1980,8,,8.06,7.95,80700
6/25/1980,8.06,,8.06,8,29900
6/26/1980,8.06,,8.11,8,63200
6/27/1980,8,,8.06,7.9,24400
6/30/1980,7.9,,8,7.79,33500
7/1/1980,7.9,,7.9,7.79,53200
7/2/1980,7.84,,8,7.84,103300
7/3/1980,7.95,,7.95,7.84,51000
7/7/1980,8,,8.06,7.9,129400
7/8/1980,7.95,,8.06,7.95,85000
7/9/1980,8,,8,7.9,30200
7/10/1980,7.95,,8,7.95,19900
7/11/1980,8,,8,7.95,35900
7/14/1980,8,,8,7.9,119200
7/15/1980,7.9,,8.06,7.9,37600
7/16/1980,7.95,,8,7.9,37300
7/17/1980,7.9,,8,7.74,701200
7/18/1980,7.84,,7.9,7.79,23200
7/21/1980,7.79,,7.84,7.74,128400
7/22/1980,7.74,,7.79,7.74,20500
7/23/1980,7.74,,7.74,7.68,64000
7/24/1980,7.63,,7.74,7.52,68600
7/25/1980,7.68,,7.68,7.63,22600
7/28/1980,7.63,,7.74,7.58,32500
7/29/1980,7.63,,7.63,7.58,19900
7/30/1980,7.58,,7.63,7.52,75500
7/31/1980,7.47,,7.63,7.47,316700
8/1/1980,7.47,,7.58,7.42,147300
8/4/1980,7.31,,7.42,7.2,147700
8/5/1980,7.42,,7.47,7.26,129500
8/6/1980,7.36,,7.42,7.36,13300
8/7/1980,7.31,,7.42,7.26,155500
8/8/1980,7.31,,7.42,7.31,21300
8/11/1980,7.31,,7.47,7.31,23700
8/12/1980,7.31,,7.36,7.26,63500
8/13/1980,7.26,,7.36,7.26,36400
8/14/1980,7.31,,7.31,7.26,29600
8/15/1980,7.31,,7.31,7.26,20700
8/18/1980,7.36,,7.36,7.26,24300
8/19/1980,7.36,,7.42,7.36,118400
8/20/1980,7.52,,7.63,7.36,422700
8/21/1980,7.52,,7.63,7.47,56000
8/22/1980,7.63,,7.63,7.47,41500
8/25/1980,7.58,,7.63,7.52,28200
8/26/1980,7.58,,7.58,7.52,41000
8/27/1980,7.36,,7.52,7.36,93100
8/28/1980,7.36,,7.42,7.36,35000
8/29/1980,7.36,,7.42,7.31,94100
9/2/1980,7.47,,7.52,7.36,24900
9/3/1980,7.63,,7.63,7.47,75000
9/4/1980,7.58,,7.63,7.47,55400
9/5/1980,7.52,,7.58,7.52,133600
9/8/1980,7.47,,7.52,7.47,26900
9/9/1980,7.52,,7.52,7.42,83300
9/10/1980,7.52,,7.52,7.47,27500
9/11/1980,7.52,,7.58,7.47,169100
9/12/1980,7.42,,7.52,7.42,27700
9/15/1980,7.42,,7.47,7.42,25400
9/16/1980,7.42,,7.47,7.36,85300
9/17/1980,7.52,,7.52,7.42,58500
9/18/1980,7.58,,7.58,7.47,152100
9/19/1980,7.68,,7.68,7.52,80300
9/22/1980,7.63,,7.68,7.58,76000
9/23/1980,7.58,,7.68,7.58,81100
9/24/1980,7.58,,7.63,7.58,33000
9/25/1980,7.52,,7.58,7.52,18000
