Date,Close,Open,High,Low,Volume
10/31/1995,4.08,3.5,4.2,3.48,3095900.0
11/1/1995,3.9,3.9,3.95,3.88,611300.0
11/2/1995,4.18,3.95,4.23,3.9,237100.0
11/3/1995,4.0,4.18,4.23,3.85,364700.0
11/6/1995,3.9,3.98,4.0,3.88,67900.0
11/7/1995,3.8,3.88,3.98,3.75,125500.0
11/8/1995,3.83,3.7,3.83,3.6,242800.0
11/9/1995,4.05,3.83,4.08,3.83,166200.0
11/10/1995,4.1,4.08,4.15,4.05,91700.0
11/13/1995,4.15,4.13,4.2,4.1,50300.0
11/14/1995,4.15,4.18,4.2,4.13,73100.0
11/15/1995,4.1,4.13,4.13,4.05,118700.0
11/16/1995,4.1,4.1,4.13,4.08,85300.0
11/17/1995,4.15,4.1,4.15,4.1,16100.0
11/20/1995,4.3,4.2,4.3,4.2,50700.0
11/21/1995,4.3,4.3,4.35,4.3,141400.0
11/22/1995,4.4,4.28,4.43,4.28,47100.0
11/24/1995,4.53,4.48,4.53,4.45,5900.0
11/27/1995,4.85,4.5,4.93,4.5,37800.0
11/28/1995,5.33,4.95,5.35,4.95,140100.0
11/29/1995,5.6,5.3,5.85,5.28,201600.0
11/30/1995,5.38,5.45,5.48,5.33,141100.0
12/1/1995,5.38,5.35,5.48,5.3,150800.0
12/4/1995,5.25,5.2,5.28,5.13,68200.0
12/5/1995,5.33,5.28,5.35,5.25,11100.0
12/6/1995,5.68,5.5,5.78,5.5,131600.0
12/7/1995,5.65,5.7,5.73,5.65,115300.0
12/8/1995,5.7,5.63,5.73,5.63,100500.0
12/11/1995,5.73,5.73,5.75,5.7,67000.0
12/12/1995,5.93,5.73,5.98,5.73,54800.0
12/13/1995,5.95,5.95,5.98,5.95,96800.0
12/14/1995,5.95,5.9,6.0,5.9,54500.0
12/15/1995,5.95,5.95,5.95,5.93,22900.0
12/18/1995,5.73,5.95,5.95,5.7,34000.0
12/19/1995,5.45,5.68,5.68,5.45,68500.0
12/20/1995,5.28,5.48,5.48,5.18,14300.0
12/21/1995,5.2,5.28,5.35,5.2,81500.0
12/22/1995,5.2,5.23,5.25,5.2,44800.0
12/26/1995,5.2,5.23,5.23,5.2,30400.0
12/27/1995,5.6,5.25,5.6,5.25,93900.0
12/28/1995,5.6,5.6,5.6,5.58,35000.0
12/29/1995,6.0,5.63,6.0,5.63,119000.0
1/2/1996,5.85,5.9,5.9,5.85,11400.0
1/3/1996,5.9,5.95,6.0,5.9,32100.0
1/4/1996,5.65,5.93,5.93,5.65,23500.0
1/5/1996,5.63,5.68,5.68,5.63,1500.0
1/8/1996,5.6,5.63,5.63,5.6,800.0
1/9/1996,5.5,5.58,5.65,5.5,66000.0
1/10/1996,5.55,5.43,5.55,5.4,18600.0
1/11/1996,5.55,5.55,5.58,5.53,12400.0
1/12/1996,5.75,5.58,5.8,5.58,20700.0
1/15/1996,5.85,5.8,5.85,5.8,1300.0
1/16/1996,5.98,5.9,5.98,5.9,14700.0
1/17/1996,5.95,5.98,5.98,5.9,18200.0
1/18/1996,5.68,5.9,5.9,5.68,32500.0
1/19/1996,5.68,5.7,5.73,5.6,7800.0
1/22/1996,5.63,5.68,5.68,5.6,8300.0
1/23/1996,5.6,5.65,5.65,5.6,9300.0
1/24/1996,5.58,5.68,5.7,5.58,12500.0
1/25/1996,5.6,5.6,5.6,5.6,3600.0
1/26/1996,5.53,5.55,5.58,5.53,7200.0
1/29/1996,5.48,5.53,5.53,5.4,34600.0
1/30/1996,5.48,5.45,5.5,5.45,7100.0
1/31/1996,5.55,5.5,5.55,5.5,22900.0
2/1/1996,5.7,5.53,5.7,5.48,24000.0
2/2/1996,5.88,5.73,5.9,5.73,31000.0
2/5/1996,5.95,5.9,5.95,5.9,12100.0
2/6/1996,6.25,5.93,6.28,5.93,104300.0
2/7/1996,6.4,6.33,6.45,6.33,89700.0
2/8/1996,6.15,6.4,6.4,6.03,110000.0
2/9/1996,6.08,6.1,6.15,6.05,32800.0
2/12/1996,6.23,6.08,6.23,6.08,24800.0
2/13/1996,5.88,6.2,6.2,5.88,61700.0
2/14/1996,5.88,5.88,5.88,5.85,20000.0
2/15/1996,5.8,5.85,5.85,5.75,36300.0
2/16/1996,5.88,5.8,5.88,5.78,128200.0
2/20/1996,5.8,5.83,5.85,5.8,13500.0
2/21/1996,5.83,5.83,5.85,5.83,32600.0
2/22/1996,6.05,5.8,6.05,5.8,12900.0
2/23/1996,6.0,6.05,6.1,5.98,56700.0
2/26/1996,6.1,6.05,6.1,6.05,42300.0
2/27/1996,6.13,6.05,6.13,6.03,12500.0
2/28/1996,5.98,6.15,6.15,5.98,3900.0
2/29/1996,5.9,5.95,5.95,5.88,7500.0
3/1/1996,5.95,5.95,5.95,5.9,2100.0
3/4/1996,5.98,5.98,5.98,5.98,100.0
3/5/1996,6.0,6.0,6.0,5.93,13200.0
3/6/1996,5.93,6.0,6.0,5.93,60700.0
3/7/1996,6.08,5.93,6.08,5.93,14500.0
3/8/1996,6.0,6.03,6.03,5.95,25300.0
3/11/1996,5.9,5.95,5.95,5.85,27600.0
3/12/1996,5.88,5.93,5.93,5.88,14000.0
3/13/1996,5.93,5.9,5.93,5.88,65300.0
3/14/1996,5.95,5.93,5.95,5.93,41000.0
3/15/1996,5.93,5.95,5.95,5.88,3600.0
3/18/1996,5.95,5.98,6.05,5.95,13400.0
3/19/1996,5.95,5.95,5.98,5.9,87000.0
3/20/1996,5.93,5.95,5.95,5.9,16500.0
3/21/1996,5.88,5.9,5.93,5.88,66600.0
3/22/1996,5.83,5.9,5.9,5.83,10200.0
3/25/1996,5.98,5.8,5.98,5.8,29700.0
3/26/1996,6.13,6.0,6.15,6.0,42600.0
3/27/1996,6.18,6.15,6.2,6.05,64000.0
