Date,Close,Open,High,Low,Volume
1985-07-22,11.25,,11.25,10.5,29700.0
1985-07-23,11.25,,11.63,11.13,10400.0
1985-07-24,11.0,,11.13,10.75,16300.0
1985-07-25,11.13,,11.13,11.0,8300.0
1985-07-26,11.0,,11.13,10.88,5200.0
1985-07-29,10.88,,11.0,10.63,12500.0
1985-07-30,10.75,,10.88,10.75,5200.0
1985-07-31,10.75,,10.75,10.63,6400.0
1985-08-01,10.75,,10.75,10.38,15900.0
1985-08-02,10.5,,10.63,10.38,6500.0
1985-08-05,10.5,,10.5,10.38,600.0
1985-08-06,10.38,,10.5,10.25,14300.0
1985-08-08,10.25,,10.38,10.25,300.0
1985-08-09,10.38,,10.38,10.38,200.0
1985-08-12,10.13,,10.13,9.88,1900.0
1985-08-13,10.25,,10.25,10.13,2200.0
1985-08-14,10.13,,10.13,10.13,700.0
1985-08-15,10.0,,10.0,10.0,800.0
1985-08-16,9.88,,9.88,9.88,400.0
1985-08-19,9.75,,9.75,9.75,2600.0
1985-08-20,9.88,,9.88,9.63,1500.0
1985-08-21,9.63,,9.75,9.63,1700.0
1985-08-22,9.63,,9.75,9.5,800.0
1985-08-23,9.63,,9.75,9.63,10900.0
1985-08-27,9.25,,9.5,9.25,4600.0
1985-08-28,9.38,,9.38,9.13,6200.0
1985-08-29,9.75,,9.75,9.38,3600.0
1985-08-30,10.0,,10.0,9.88,4200.0
1985-09-03,10.0,,10.13,10.0,5100.0
1985-09-04,9.88,,9.88,9.88,400.0
1985-09-05,9.88,,9.88,9.63,5700.0
1985-09-06,10.0,,10.0,9.88,4900.0
1985-09-09,9.88,,9.88,9.88,100.0
1985-09-10,9.88,,9.88,9.75,4900.0
1985-09-11,9.75,,10.0,9.75,2600.0
1985-09-12,9.75,,10.0,9.75,2600.0
1985-09-13,9.75,,10.0,9.75,3700.0
1985-09-16,9.63,,9.63,9.5,1300.0
1985-09-17,9.5,,9.75,9.5,2400.0
1985-09-18,9.38,,9.38,9.38,400.0
1985-09-19,9.38,,9.38,9.38,1600.0
1985-09-20,10.0,,10.0,9.38,7100.0
1985-09-23,10.13,,10.13,10.0,1600.0
1985-09-24,10.0,,10.0,10.0,29000.0
1985-09-25,9.75,,9.75,9.63,4000.0
1985-09-26,9.63,,9.63,9.63,700.0
1985-09-30,9.38,,9.5,9.38,2800.0
1985-10-01,9.5,,9.5,9.5,100.0
1985-10-02,9.5,,9.5,9.5,1500.0
1985-10-03,9.5,,9.63,9.5,1900.0
1985-10-07,9.38,,9.5,9.38,2400.0
1985-10-08,9.63,,9.63,9.5,1000.0
1985-10-09,9.88,,9.88,9.63,1400.0
1985-10-10,9.5,,9.63,9.5,1600.0
1985-10-11,9.5,,9.5,9.38,400.0
1985-10-14,9.88,,9.88,9.63,1100.0
1985-10-15,9.75,,9.75,9.75,400.0
1985-10-16,9.75,,9.88,9.75,1000.0
1985-10-17,9.63,,9.63,9.63,700.0
1985-10-18,9.5,,9.5,9.5,800.0
1985-10-22,9.5,,9.5,9.5,200.0
1985-10-23,9.63,,9.75,9.63,1000.0
1985-10-24,9.88,,9.88,9.63,1100.0
1985-10-25,9.63,,9.75,9.5,2300.0
1985-10-28,9.75,,9.75,9.75,100.0
1985-10-29,9.75,,9.75,9.63,400.0
1985-10-30,9.63,,9.88,9.63,700.0
1985-11-01,9.5,,9.5,9.5,200.0
1985-11-04,9.5,,9.5,9.5,1100.0
1985-11-06,9.63,,9.63,9.63,100.0
1985-11-07,9.5,,9.5,9.5,600.0
1985-11-08,9.38,,9.38,9.25,500.0
1985-11-12,9.5,,9.63,9.38,2100.0
1985-11-13,9.38,,9.5,9.38,1900.0
1985-11-14,9.25,,9.38,9.25,1800.0
1985-11-15,9.13,,9.13,9.13,2500.0
1985-11-18,9.0,,9.0,9.0,200.0
1985-11-20,9.0,,9.0,9.0,700.0
1985-11-21,9.0,,9.13,9.0,2300.0
1985-11-22,9.25,,9.25,9.0,600.0
1985-11-25,9.0,,9.0,9.0,5700.0
1985-11-26,9.0,,9.0,9.0,400.0
1985-11-27,9.0,,9.0,9.0,2800.0
1985-11-29,9.0,,9.0,9.0,200.0
1985-12-02,9.0,,9.0,9.0,100.0
1985-12-03,8.88,,9.0,8.88,2300.0
1985-12-04,8.88,,8.88,8.88,500.0
1985-12-05,8.88,,9.0,8.88,6200.0
1985-12-06,8.88,,8.88,8.88,500.0
1985-12-09,8.5,,8.88,8.5,10400.0
1985-12-10,8.5,,8.75,8.5,3300.0
1985-12-11,8.25,,8.38,8.13,4100.0
1985-12-12,7.75,,8.25,7.75,5500.0
1985-12-13,8.13,,8.13,7.88,10600.0
1985-12-16,8.13,,8.38,8.0,28200.0
1985-12-17,7.75,,7.88,7.75,71400.0
1985-12-18,7.75,,7.88,7.75,35800.0
1985-12-19,8.0,,8.0,7.75,33700.0
1985-12-20,8.0,,8.0,7.88,22900.0
1985-12-23,8.13,,8.13,7.88,15900.0
1985-12-24,8.13,,8.13,7.88,11400.0
1985-12-26,8.0,,8.13,8.0,1900.0
1985-12-27,8.0,,8.13,8.0,2500.0
1985-12-30,8.0,,8.0,7.75,15000.0
1985-12-31,7.88,,8.0,7.88,6800.0
1986-01-02,8.13,,8.13,8.0,4600.0
1986-01-03,7.88,,8.13,7.88,4600.0
1986-01-06,7.75,,8.0,7.75,3300.0
1986-01-07,7.88,,7.88,7.88,3300.0
1986-01-08,7.63,,8.0,7.63,10200.0
1986-01-09,7.75,,7.88,7.63,13100.0
1986-01-10,7.88,,7.88,7.75,4700.0
1986-01-13,7.63,,7.75,7.63,2800.0
1986-01-14,7.5,,7.75,7.38,12200.0
1986-01-15,7.5,,7.5,7.38,8100.0
1986-01-16,7.5,,7.5,7.25,10900.0
1986-01-17,7.75,,7.75,7.5,4300.0
1986-01-20,7.63,,7.88,7.25,13100.0
1986-01-21,7.63,,7.63,7.38,9900.0
