Date,Close,Open,High,Low,Volume
4/14/2005,2.94,3.02,3.05,2.7,1898524.0
4/15/2005,2.56,2.91,2.93,2.56,282267.0
4/18/2005,2.63,2.63,2.7,2.6,53375.0
4/19/2005,2.65,2.75,2.75,2.64,137402.0
4/20/2005,2.65,2.64,2.68,2.63,8570.0
4/21/2005,2.63,2.65,2.66,2.63,33950.0
4/22/2005,2.63,2.69,2.74,2.63,23085.0
4/25/2005,2.64,2.66,2.69,2.63,69298.0
4/26/2005,2.63,2.63,2.66,2.63,33195.0
4/27/2005,2.45,2.63,2.64,2.4,68043.0
4/28/2005,2.48,2.42,2.54,2.42,37643.0
4/29/2005,2.5,2.5,2.58,2.5,20442.0
5/2/2005,2.48,2.47,2.53,2.47,15720.0
5/3/2005,2.5,2.5,2.53,2.48,21361.0
5/4/2005,2.53,2.5,2.53,2.48,15842.0
5/5/2005,2.48,2.5,2.52,2.48,15175.0
5/6/2005,2.5,2.48,2.5,2.48,18128.0
5/9/2005,2.48,2.52,2.53,2.48,43086.0
5/10/2005,2.85,2.62,2.94,2.53,129300.0
5/11/2005,2.87,2.85,2.94,2.83,64653.0
5/12/2005,2.83,2.88,2.93,2.74,56356.0
5/13/2005,2.91,2.9,2.92,2.84,29060.0
5/16/2005,3.14,2.9,3.23,2.88,303143.0
5/17/2005,3.49,3.19,3.69,3.11,197737.0
5/18/2005,3.5,3.56,3.58,3.41,235738.0
5/19/2005,3.5,3.5,3.51,3.48,31376.0
5/20/2005,3.47,3.5,3.51,3.45,41210.0
5/23/2005,3.5,3.5,3.51,3.34,99194.0
5/24/2005,3.5,3.51,3.55,3.48,85035.0
5/25/2005,3.51,3.46,3.54,3.38,56432.0
5/26/2005,3.5,3.49,3.65,3.49,56987.0
5/27/2005,3.55,3.56,3.56,3.5,17708.0
5/31/2005,3.5,3.58,3.58,3.42,827964.0
6/1/2005,3.48,3.56,3.57,3.4,22104.0
6/2/2005,3.39,3.46,3.46,3.38,51356.0
6/3/2005,3.44,3.39,3.45,3.38,25934.0
6/6/2005,3.5,3.46,3.5,3.44,39481.0
6/7/2005,3.65,3.51,3.65,3.51,43473.0
6/8/2005,3.73,3.65,3.77,3.65,75963.0
6/9/2005,3.72,3.73,3.82,3.62,101901.0
6/10/2005,3.77,3.74,3.9,3.66,31430.0
6/13/2005,3.85,3.9,4.0,3.8,49575.0
6/14/2005,3.77,3.98,3.98,3.74,53922.0
6/15/2005,3.85,3.73,3.88,3.73,31670.0
6/16/2005,3.81,3.85,3.88,3.77,32289.0
6/17/2005,3.8,3.88,3.88,3.75,38426.0
6/20/2005,3.75,3.83,3.83,3.73,32914.0
6/21/2005,3.61,3.74,3.75,3.5,47489.0
6/22/2005,3.38,3.56,3.57,3.31,43483.0
6/23/2005,3.18,3.32,3.36,3.13,22120.0
6/24/2005,3.0,3.12,3.25,3.0,335686.0
6/27/2005,2.99,3.04,3.05,2.88,36318.0
6/28/2005,3.13,3.06,3.13,2.99,17383.0
6/29/2005,3.09,3.16,3.16,3.06,58662.0
6/30/2005,3.1,3.08,3.13,3.06,25017.0
7/1/2005,3.11,3.1,3.13,3.1,72523.0
7/5/2005,3.13,3.13,3.13,3.08,10683.0
7/6/2005,3.05,3.14,3.14,2.98,85212.0
7/7/2005,2.95,3.01,3.01,2.95,11170.0
7/8/2005,3.01,2.94,3.01,2.89,25762.0
7/11/2005,3.09,3.0,3.13,2.94,42139.0
7/12/2005,3.0,3.05,3.08,2.94,13893.0
7/13/2005,2.93,3.04,3.04,2.9,15642.0
7/14/2005,2.89,2.94,2.94,2.85,22240.0
7/15/2005,2.89,2.93,2.94,2.83,37593.0
7/18/2005,2.91,2.94,2.94,2.89,92600.0
7/19/2005,2.88,2.91,2.94,2.88,20529.0
7/20/2005,2.8,2.91,2.94,2.76,47721.0
7/21/2005,2.81,2.79,2.94,2.78,17441.0
7/22/2005,2.87,2.86,2.9,2.81,23600.0
7/25/2005,2.61,2.9,2.9,2.6,46826.0
7/26/2005,2.75,2.63,2.9,2.63,82321.0
7/27/2005,2.75,2.8,2.8,2.69,20856.0
7/28/2005,2.75,2.75,2.75,2.71,39027.0
7/29/2005,2.76,2.75,2.76,2.68,61958.0
8/1/2005,2.9,2.8,2.98,2.79,32195.0
8/2/2005,2.93,2.9,2.94,2.86,11740.0
8/3/2005,2.9,2.93,2.94,2.87,48220.0
8/4/2005,2.77,2.9,2.92,2.75,12717.0
8/5/2005,2.71,2.86,2.86,2.71,17720.0
8/8/2005,2.6,2.71,2.71,2.5,39213.0
8/9/2005,2.56,2.73,2.73,2.56,28805.0
8/10/2005,2.55,2.57,2.61,2.49,25729.0
8/11/2005,2.5,2.59,2.59,2.48,26871.0
8/12/2005,2.53,2.53,2.56,2.49,43102.0
8/15/2005,2.56,2.56,2.56,2.5,50681.0
8/16/2005,2.56,2.56,2.63,2.52,140351.0
8/17/2005,2.54,2.54,2.59,2.46,51808.0
8/18/2005,2.89,2.53,2.93,2.53,70151.0
8/19/2005,2.94,2.94,3.06,2.94,69550.0
8/22/2005,3.02,2.97,3.03,2.95,25047.0
8/23/2005,3.1,3.07,3.35,3.0,34583.0
8/24/2005,3.08,3.19,3.23,3.05,98972.0
8/25/2005,3.09,3.08,3.14,3.03,86524.0
8/26/2005,2.92,3.06,3.07,2.92,49469.0
8/29/2005,2.98,2.95,3.04,2.94,25666.0
8/30/2005,3.03,3.0,3.05,2.99,50361.0
8/31/2005,3.11,3.09,3.11,3.04,33777.0
9/1/2005,3.03,3.12,3.13,3.02,8151.0
9/2/2005,3.11,3.01,3.12,3.01,23559.0
9/6/2005,3.15,3.07,3.15,3.07,17882.0
9/7/2005,3.13,3.13,3.16,3.06,35260.0
9/8/2005,3.09,3.17,3.2,3.05,6782.0
9/9/2005,3.11,3.1,3.14,3.1,7542.0
9/12/2005,3.06,3.09,3.18,3.06,52296.0
