Date,Close,Open,High,Low,Volume
9/20/1989,0.52,0.52,0.53,0.52,962300.0
9/21/1989,0.5,0.5,0.51,0.5,389000.0
9/22/1989,0.5,0.5,0.51,0.5,127600.0
9/25/1989,0.47,0.47,0.48,0.47,192000.0
9/26/1989,0.47,0.47,0.48,0.47,55500.0
9/27/1989,0.47,0.47,0.48,0.47,32700.0
9/28/1989,0.45,0.45,0.47,0.45,35900.0
9/29/1989,0.45,0.45,0.47,0.45,15000.0
10/2/1989,0.47,0.47,0.48,0.47,77800.0
10/3/1989,0.5,0.5,0.52,0.47,55200.0
10/4/1989,0.51,0.51,0.52,0.5,54300.0
10/5/1989,0.51,0.51,0.52,0.51,57700.0
10/6/1989,0.51,0.51,0.52,0.5,63800.0
10/9/1989,0.51,0.51,0.51,0.5,9300.0
10/10/1989,0.49,0.49,0.5,0.49,66000.0
10/11/1989,0.48,0.48,0.5,0.48,31100.0
10/12/1989,0.5,0.5,0.5,0.48,18000.0
10/13/1989,0.48,0.48,0.5,0.48,54800.0
10/16/1989,0.46,0.46,0.46,0.45,25900.0
10/17/1989,0.45,0.45,0.45,0.44,7900.0
10/18/1989,0.44,0.44,0.45,0.44,12300.0
10/19/1989,0.48,0.48,0.48,0.44,74300.0
10/20/1989,0.46,0.46,0.48,0.46,11800.0
10/23/1989,0.46,0.46,0.46,0.46,3400.0
10/24/1989,0.45,0.45,0.46,0.45,45900.0
10/25/1989,0.45,0.45,0.47,0.45,2000.0
10/26/1989,0.47,0.47,0.47,0.45,5900.0
10/27/1989,0.49,0.49,0.51,0.47,103300.0
10/30/1989,0.49,0.49,0.51,0.47,29800.0
10/31/1989,0.47,0.47,0.48,0.47,3300.0
11/1/1989,0.48,0.48,0.48,0.47,49900.0
11/2/1989,0.47,0.47,0.48,0.47,27400.0
11/3/1989,0.47,0.47,0.48,0.47,10600.0
11/6/1989,0.47,0.47,0.48,0.47,11400.0
11/7/1989,0.48,0.48,0.48,0.47,29900.0
11/8/1989,0.48,0.48,0.49,0.47,88000.0
11/9/1989,0.48,0.48,0.51,0.47,65800.0
11/10/1989,0.51,0.51,0.52,0.48,51700.0
11/13/1989,0.55,0.55,0.57,0.52,333900.0
11/14/1989,0.54,0.54,0.56,0.54,33200.0
11/15/1989,0.55,0.55,0.55,0.52,89200.0
11/16/1989,0.55,0.55,0.55,0.53,105200.0
11/17/1989,0.53,0.53,0.55,0.53,21400.0
11/20/1989,0.53,0.53,0.55,0.53,19600.0
11/21/1989,0.53,0.53,0.55,0.53,39600.0
11/22/1989,0.54,0.54,0.55,0.53,48000.0
11/24/1989,0.53,0.53,0.55,0.53,5600.0
11/27/1989,0.55,0.55,0.55,0.53,18200.0
11/28/1989,0.52,0.52,0.55,0.52,40000.0
11/29/1989,0.5,0.5,0.54,0.5,16800.0
11/30/1989,0.52,0.52,0.52,0.5,77800.0
12/1/1989,0.53,0.53,0.53,0.51,265900.0
12/4/1989,0.51,0.51,0.53,0.51,15500.0
12/5/1989,0.53,0.53,0.53,0.51,16500.0
12/6/1989,0.55,0.55,0.59,0.54,175200.0
12/7/1989,0.52,0.52,0.55,0.52,25600.0
12/8/1989,0.52,0.52,0.55,0.52,4400.0
12/11/1989,0.52,0.52,0.55,0.52,4600.0
12/12/1989,0.55,0.55,0.55,0.52,13900.0
12/13/1989,0.53,0.53,0.55,0.53,68100.0
12/14/1989,0.52,0.52,0.54,0.52,17100.0
12/15/1989,0.52,0.52,0.53,0.52,4600.0
12/18/1989,0.52,0.52,0.52,0.51,28000.0
12/19/1989,0.52,0.52,0.54,0.51,49400.0
12/20/1989,0.53,0.53,0.55,0.52,93700.0
12/21/1989,0.52,0.52,0.55,0.52,1100.0
12/22/1989,0.57,0.57,0.57,0.52,27400.0
12/26/1989,0.55,0.55,0.55,0.55,3200.0
12/27/1989,0.55,0.55,0.55,0.55,5500.0
12/28/1989,0.55,0.55,0.55,0.55,5400.0
12/29/1989,0.57,0.57,0.57,0.55,6200.0
1/2/1990,0.55,0.55,0.57,0.55,13100.0
1/3/1990,0.57,0.57,0.57,0.55,5100.0
1/4/1990,0.52,0.52,0.55,0.52,41200.0
1/5/1990,0.55,0.55,0.55,0.52,19000.0
1/8/1990,0.55,0.55,0.55,0.53,2000.0
1/9/1990,0.53,0.53,0.55,0.53,12800.0
1/10/1990,0.53,0.53,0.55,0.53,25700.0
1/11/1990,0.55,0.55,0.55,0.53,30200.0
1/12/1990,0.5,0.5,0.55,0.5,28600.0
1/15/1990,0.5,0.5,0.52,0.5,22500.0
1/16/1990,0.51,0.51,0.51,0.49,27500.0
1/17/1990,0.52,0.52,0.52,0.49,78000.0
1/19/1990,0.54,0.54,0.54,0.51,90800.0
1/22/1990,0.54,0.54,0.54,0.52,24200.0
1/23/1990,0.52,0.52,0.53,0.52,6100.0
1/24/1990,0.5,0.5,0.53,0.48,38600.0
1/25/1990,0.48,0.48,0.5,0.48,22600.0
1/26/1990,0.48,0.48,0.5,0.48,19800.0
1/29/1990,0.51,0.51,0.52,0.5,31200.0
1/30/1990,0.5,0.5,0.52,0.5,26600.0
1/31/1990,0.52,0.52,0.52,0.5,44200.0
2/1/1990,0.51,0.51,0.52,0.51,7200.0
2/2/1990,0.49,0.49,0.52,0.49,101400.0
2/5/1990,0.51,0.51,0.51,0.49,7400.0
2/6/1990,0.51,0.51,0.51,0.49,86600.0
2/7/1990,0.52,0.52,0.52,0.49,13000.0
2/8/1990,0.53,0.53,0.53,0.52,145500.0
2/9/1990,0.52,0.52,0.53,0.52,11400.0
2/12/1990,0.52,0.52,0.54,0.52,73800.0
2/13/1990,0.54,0.54,0.54,0.52,7500.0
2/14/1990,0.54,0.54,0.54,0.52,13600.0
2/15/1990,0.52,0.52,0.54,0.52,7900.0
2/16/1990,0.55,0.55,0.55,0.52,46700.0
2/20/1990,0.55,0.55,0.55,0.53,14300.0
2/21/1990,0.55,0.55,0.55,0.54,4700.0
2/22/1990,0.59,0.59,0.59,0.55,193400.0
2/23/1990,0.59,0.59,0.59,0.57,39500.0
2/26/1990,0.59,0.59,0.59,0.58,40900.0
2/27/1990,0.59,0.59,0.59,0.58,18800.0
2/28/1990,0.61,0.61,0.63,0.59,195200.0
3/1/1990,0.61,0.61,0.61,0.59,79400.0
3/2/1990,0.6,0.6,0.61,0.59,59600.0
3/5/1990,0.6,0.6,0.6,0.59,38500.0
3/6/1990,0.59,0.59,0.6,0.56,51400.0
3/7/1990,0.59,0.59,0.59,0.57,51100.0
3/8/1990,0.58,0.58,0.59,0.57,22900.0
3/9/1990,0.57,0.57,0.58,0.57,20000.0
3/12/1990,0.57,0.57,0.58,0.56,60000.0
3/13/1990,0.56,0.56,0.58,0.56,3100.0
3/14/1990,0.57,0.57,0.57,0.56,2900.0
3/15/1990,0.58,0.58,0.58,0.56,31700.0
3/16/1990,0.58,0.58,0.58,0.57,63300.0
3/19/1990,0.58,0.58,0.58,0.57,58100.0
3/20/1990,0.57,0.57,0.58,0.57,29000.0
3/21/1990,0.55,0.55,0.58,0.53,781800.0
3/22/1990,0.55,0.55,0.57,0.53,283100.0
3/23/1990,0.53,0.53,0.56,0.53,61700.0
3/26/1990,0.53,0.53,0.55,0.53,3200.0
3/27/1990,0.54,0.54,0.54,0.52,33300.0
3/28/1990,0.55,0.55,0.55,0.53,4100.0
3/29/1990,0.54,0.54,0.55,0.53,14200.0
3/30/1990,0.53,0.53,0.55,0.53,34700.0
4/2/1990,0.54,0.54,0.55,0.54,5400.0
4/3/1990,0.57,0.57,0.59,0.55,70300.0
4/4/1990,0.57,0.57,0.59,0.56,192600.0
4/5/1990,0.58,0.58,0.59,0.56,31300.0
4/6/1990,0.74,0.74,0.74,0.63,627500.0
4/9/1990,0.7,0.7,0.74,0.69,333900.0
4/10/1990,0.69,0.69,0.7,0.68,188000.0
4/11/1990,0.67,0.67,0.7,0.67,32100.0
4/12/1990,0.67,0.67,0.68,0.66,145900.0
4/16/1990,0.73,0.73,0.73,0.67,246600.0
4/17/1990,0.72,0.72,0.73,0.7,241100.0
4/18/1990,0.74,0.74,0.75,0.72,63500.0
4/19/1990,0.81,0.81,0.81,0.73,204600.0
4/20/1990,0.78,0.78,0.82,0.77,163900.0
4/23/1990,0.77,0.77,0.8,0.77,218200.0
4/24/1990,0.79,0.79,0.8,0.77,116100.0
4/25/1990,0.8,0.8,0.81,0.79,140400.0
4/26/1990,0.83,0.83,0.84,0.81,66200.0
4/27/1990,0.82,0.82,0.84,0.82,124000.0
4/30/1990,0.89,0.89,0.9,0.82,195900.0
5/1/1990,0.89,0.89,0.91,0.89,53000.0
5/2/1990,0.88,0.88,0.91,0.88,118100.0
5/3/1990,0.88,0.88,0.91,0.88,27600.0
5/4/1990,0.88,0.88,0.9,0.88,46300.0
5/7/1990,0.89,0.89,0.91,0.88,68500.0
5/8/1990,0.96,0.96,0.96,0.9,177800.0
5/9/1990,0.95,0.95,0.96,0.95,218600.0
5/10/1990,0.95,0.95,0.96,0.94,206900.0
5/11/1990,0.95,0.95,0.95,0.93,196600.0
5/14/1990,0.98,0.98,0.98,0.95,303300.0
5/15/1990,0.95,0.95,0.98,0.95,130800.0
5/16/1990,0.96,0.96,0.97,0.95,18900.0
5/17/1990,0.97,0.97,0.97,0.95,77000.0
5/18/1990,0.95,0.95,0.97,0.95,185100.0
5/21/1990,0.94,0.94,0.97,0.93,128500.0
5/22/1990,0.95,0.95,0.95,0.93,62800.0
5/23/1990,0.95,0.95,0.95,0.93,205300.0
5/24/1990,0.99,0.99,0.99,0.94,289500.0
5/25/1990,1.03,1.03,1.04,0.98,188700.0
5/29/1990,1.02,1.02,1.04,1.02,77900.0
5/30/1990,1.03,1.03,1.05,1.03,169800.0
5/31/1990,1.04,1.04,1.05,1.03,105700.0
6/1/1990,1.02,1.02,1.04,1.0,57200.0
6/4/1990,1.01,1.01,1.02,1.0,16100.0
6/5/1990,0.95,0.95,1.02,0.95,55000.0
6/6/1990,0.91,0.91,0.95,0.91,98600.0
6/7/1990,0.87,0.87,0.93,0.85,120100.0
6/8/1990,0.84,0.84,0.87,0.82,73700.0
6/11/1990,0.91,0.91,0.92,0.84,173300.0
6/12/1990,0.97,0.97,0.98,0.91,339000.0
6/13/1990,0.96,0.96,0.99,0.95,120100.0
6/14/1990,0.96,0.96,0.98,0.95,58800.0
6/15/1990,0.95,0.95,0.96,0.95,21500.0
6/18/1990,0.91,0.91,0.96,0.89,85800.0
6/19/1990,0.89,0.89,0.91,0.89,22600.0
6/20/1990,0.92,0.92,0.93,0.88,41100.0
6/21/1990,0.91,0.91,0.93,0.9,82500.0
6/22/1990,0.94,0.94,0.96,0.91,147400.0
6/25/1990,0.92,0.92,0.94,0.9,37700.0
6/26/1990,0.94,0.94,0.95,0.92,78200.0
6/27/1990,0.94,0.94,0.95,0.92,41100.0
6/28/1990,0.95,0.95,0.99,0.95,120600.0
6/29/1990,1.05,1.05,1.05,0.97,300100.0
7/2/1990,1.02,1.02,1.05,1.02,53700.0
7/3/1990,1.03,1.03,1.03,1.02,8300.0
7/5/1990,1.01,1.01,1.03,1.01,50100.0
7/6/1990,0.99,0.99,1.01,0.98,42000.0
