Date,Close,Open,High,Low,Volume
1998-09-24,0.83,0.94,0.95,0.78,9095400.0
1998-09-25,0.79,0.8,0.81,0.72,2126400.0
1998-09-28,0.85,0.83,0.89,0.81,1574300.0
1998-09-29,0.86,0.87,0.88,0.84,689000.0
1998-09-30,0.79,0.83,0.84,0.76,773600.0
1998-10-01,0.7,0.75,0.76,0.7,779200.0
1998-10-02,0.7,0.71,0.73,0.61,821000.0
1998-10-05,0.63,0.69,0.69,0.61,593300.0
1998-10-06,0.64,0.67,0.67,0.56,706200.0
1998-10-07,0.54,0.61,0.62,0.54,614800.0
1998-10-08,0.51,0.49,0.51,0.44,1002600.0
1998-10-09,0.54,0.54,0.57,0.52,675500.0
1998-10-12,0.55,0.56,0.56,0.55,494500.0
1998-10-13,0.52,0.55,0.56,0.51,270600.0
1998-10-14,0.53,0.51,0.56,0.51,542500.0
1998-10-15,0.57,0.53,0.57,0.53,511100.0
1998-10-16,0.63,0.59,0.64,0.58,760100.0
1998-10-19,0.8,0.65,0.81,0.65,1370500.0
1998-10-20,0.82,0.86,0.91,0.79,1916600.0
1998-10-21,0.89,0.86,0.9,0.83,1152200.0
1998-10-22,0.9,0.91,0.94,0.86,935100.0
1998-10-23,0.88,0.91,0.92,0.87,566600.0
1998-10-26,1.29,1.05,1.29,1.03,6838900.0
1998-10-27,1.45,1.43,1.59,1.41,10013900.0
1998-10-28,1.4,1.37,1.49,1.34,4464000.0
1998-10-29,1.4,1.42,1.45,1.4,1423100.0
1998-10-30,1.46,1.42,1.48,1.4,1665000.0
1998-11-02,1.47,1.52,1.54,1.47,2169400.0
1998-11-03,1.47,1.49,1.5,1.46,806300.0
1998-11-04,1.45,1.5,1.5,1.43,782700.0
1998-11-05,1.42,1.42,1.47,1.38,1158900.0
1998-11-06,1.47,1.41,1.48,1.41,858700.0
1998-11-09,1.81,1.48,1.81,1.48,3548600.0
1998-11-10,2.3,1.98,2.46,1.95,10130800.0
1998-11-11,2.03,2.23,2.37,2.0,5381500.0
1998-11-12,2.21,2.0,2.33,1.97,3922900.0
1998-11-13,2.17,2.28,2.33,2.1,2379500.0
1998-11-16,2.24,2.27,2.28,2.14,1445200.0
1998-11-17,2.26,2.24,2.33,2.17,1430200.0
1998-11-18,2.59,2.29,2.6,2.2,3528200.0
1998-11-19,2.52,2.65,2.72,2.49,2384500.0
1998-11-20,2.58,2.63,2.63,2.46,1178700.0
1998-11-23,3.38,2.68,3.43,2.66,2850000.0
1998-11-24,3.45,3.31,4.11,3.12,6005400.0
1998-11-25,3.59,3.52,3.76,3.43,3429200.0
1998-11-27,3.82,3.7,3.86,3.63,1168500.0
1998-11-30,3.47,3.94,3.95,3.3,2380900.0
1998-12-01,3.63,3.28,3.67,3.19,2593200.0
1998-12-02,3.56,3.61,3.75,3.47,1263900.0
1998-12-03,3.28,3.48,3.65,3.24,1341000.0
1998-12-04,3.2,3.42,3.47,2.81,2425100.0
1998-12-07,3.06,3.21,3.21,2.93,2023400.0
1998-12-08,3.1,2.95,3.19,2.92,2119600.0
