Date,Close,Open,High,Low,Volume
1995-10-03,19.63,18.75,19.88,18.5,10364800.0
1995-10-04,18.75,19.5,19.63,18.75,1810800.0
1995-10-05,19.38,19.13,19.5,19.0,1216500.0
1995-10-06,19.88,19.63,19.88,19.38,1538100.0
1995-10-09,19.38,19.88,19.88,19.38,869200.0
1995-10-10,19.25,19.38,19.5,19.0,840800.0
1995-10-11,19.38,19.38,19.5,19.25,630400.0
1995-10-12,19.38,19.38,19.5,19.13,519700.0
1995-10-13,20.0,19.5,20.0,19.5,557300.0
1995-10-16,19.75,20.13,20.13,19.63,188700.0
1995-10-17,19.75,19.75,19.88,19.63,244600.0
1995-10-18,19.63,19.63,19.75,19.5,152500.0
1995-10-19,19.63,19.5,19.63,19.5,180400.0
1995-10-20,19.5,19.63,19.75,19.38,298900.0
1995-10-23,19.25,19.25,19.38,19.13,731100.0
1995-10-24,19.0,19.38,19.38,19.0,670500.0
1995-10-25,19.0,19.13,19.25,19.0,749900.0
1995-10-26,19.0,19.13,19.13,19.0,810900.0
1995-10-27,19.25,19.0,19.25,19.0,460500.0
1995-10-30,19.25,19.38,19.38,19.25,76200.0
1995-10-31,20.38,20.75,20.75,19.88,2034100.0
1995-11-01,20.38,20.25,20.5,20.0,398600.0
1995-11-02,20.5,20.38,20.5,20.38,221200.0
1995-11-03,20.75,20.5,20.88,20.38,306800.0
1995-11-06,20.63,20.63,21.25,20.63,137200.0
1995-11-07,20.63,20.63,20.63,20.38,566300.0
1995-11-08,20.75,20.5,20.88,20.5,264700.0
1995-11-09,20.75,20.63,20.75,20.63,70700.0
1995-11-10,20.38,20.63,20.63,20.38,190500.0
1995-11-13,20.5,20.38,20.63,20.38,135900.0
1995-11-14,20.63,20.63,20.75,20.5,206900.0
1995-11-15,20.5,20.5,20.63,20.25,615500.0
1995-11-16,20.38,20.75,21.0,20.38,381400.0
1995-11-17,20.63,20.5,20.88,20.38,178000.0
1995-11-20,20.5,20.75,21.38,20.5,377000.0
1995-11-21,20.75,20.63,20.75,20.5,391400.0
1995-11-22,20.88,20.5,20.88,20.5,92600.0
1995-11-24,20.88,20.88,20.88,20.75,7900.0
1995-11-27,20.75,20.75,21.13,20.63,455000.0
1995-11-28,20.75,21.0,21.0,20.75,130200.0
1995-11-29,20.75,20.75,20.88,20.75,59500.0
1995-11-30,20.88,20.63,21.0,20.63,180100.0
1995-12-01,21.25,21.0,21.25,20.88,94400.0
1995-12-04,21.0,21.25,21.25,21.0,228600.0
1995-12-05,21.13,21.0,21.13,20.88,251400.0
1995-12-06,21.0,21.25,21.25,21.0,109900.0
1995-12-07,21.38,21.25,21.63,21.25,171800.0
1995-12-08,21.25,21.13,21.38,21.0,224000.0
1995-12-11,21.5,21.25,21.75,21.25,123800.0
1995-12-12,21.5,21.5,21.63,21.25,192100.0
1995-12-13,21.63,21.5,21.88,21.38,81800.0
1995-12-14,21.88,21.88,22.38,21.88,251200.0
1995-12-15,22.25,22.0,22.5,22.0,220800.0
1995-12-18,22.13,22.13,22.13,21.88,320900.0
1995-12-19,23.0,22.0,23.0,21.88,361400.0
1995-12-20,22.38,23.25,23.38,22.38,168300.0
1995-12-21,22.88,22.38,23.0,22.38,90300.0
1995-12-22,22.88,23.0,23.0,22.63,104500.0
1995-12-26,23.0,22.63,23.0,22.63,109100.0
1995-12-27,22.88,23.0,23.0,22.75,108400.0
1995-12-28,22.63,23.0,23.0,22.63,74100.0
1995-12-29,23.38,22.63,23.5,22.63,230800.0
1996-01-02,22.88,23.25,23.25,22.25,237100.0
1996-01-03,22.75,22.75,22.88,22.5,249500.0
1996-01-04,22.25,22.5,22.5,22.0,276800.0
1996-01-05,22.5,22.25,22.5,22.25,171100.0
1996-01-08,22.38,22.5,22.5,22.25,62200.0
1996-01-09,22.38,22.5,22.5,22.0,65300.0
1996-01-10,22.38,22.25,22.63,22.13,535400.0
1996-01-11,22.25,22.38,22.38,22.0,83300.0
1996-01-12,22.38,22.25,22.5,22.25,60200.0
1996-01-15,22.25,22.5,22.63,22.25,76800.0
1996-01-16,22.25,22.38,22.63,22.13,80900.0
1996-01-17,22.38,22.5,22.63,22.25,50700.0
1996-01-18,22.0,22.13,22.38,22.0,972000.0
1996-01-19,22.0,21.88,22.0,21.38,102700.0
1996-01-22,20.75,21.75,21.75,20.38,448900.0
1996-01-23,21.88,21.0,22.25,21.0,798600.0
1996-01-24,22.5,21.88,22.63,21.88,269500.0
1996-01-25,22.0,22.75,22.75,22.0,181200.0
1996-01-26,21.88,22.0,22.0,21.88,136500.0
1996-01-29,22.5,21.88,22.63,21.88,102200.0
1996-01-30,22.38,22.5,22.63,22.13,315200.0
1996-01-31,21.75,22.13,22.25,21.63,607200.0
1996-02-01,22.0,21.88,22.0,21.75,363500.0
1996-02-02,22.0,22.0,22.0,21.88,124700.0
1996-02-05,21.25,22.0,22.0,21.25,206800.0
1996-02-06,20.88,21.13,21.38,20.13,648100.0
1996-02-07,20.75,20.75,21.13,20.5,454500.0
1996-02-08,21.5,21.25,21.5,20.75,757100.0
1996-02-09,21.88,21.5,22.0,21.38,531000.0
1996-02-12,22.63,21.88,22.63,21.88,315400.0
1996-02-13,22.5,22.63,22.63,22.38,123600.0
1996-02-14,22.25,22.5,22.5,22.13,175900.0
1996-02-15,22.5,22.25,22.63,22.25,143600.0
1996-02-16,23.25,22.5,23.25,22.38,83500.0
1996-02-20,22.75,23.0,23.0,22.75,819300.0
1996-02-21,22.75,23.0,23.0,22.63,953000.0
1996-02-22,23.13,22.88,23.13,22.88,600900.0
1996-02-23,23.13,23.25,23.38,23.0,254900.0
1996-02-26,23.0,23.0,23.0,22.75,177500.0
1996-02-27,23.5,23.13,23.75,23.13,176400.0
1996-02-28,24.5,23.5,24.75,23.5,599900.0
1996-02-29,24.5,24.5,24.63,24.38,246500.0
1996-03-01,23.88,24.63,24.63,23.75,214200.0
1996-03-04,25.0,23.88,25.13,23.88,224200.0
1996-03-05,24.88,25.13,25.13,24.75,32900.0
1996-03-06,25.0,24.75,25.13,24.5,413900.0
1996-03-07,24.63,24.75,25.0,24.63,361200.0
1996-03-08,23.5,24.63,24.63,23.38,219800.0
1996-03-11,23.0,23.25,23.5,22.88,264200.0
1996-03-12,22.5,22.75,22.88,22.25,310900.0
1996-03-13,22.25,22.5,22.5,22.13,179200.0
1996-03-14,22.5,22.25,22.88,22.25,619100.0
1996-03-15,22.0,22.5,22.63,21.88,156900.0
1996-03-18,22.25,22.13,22.38,21.88,137400.0
1996-03-19,22.38,22.13,22.38,21.75,519300.0
1996-03-20,22.63,22.38,22.88,22.38,301600.0
1996-03-21,22.25,22.0,22.5,22.0,268700.0
1996-03-22,23.88,22.75,23.88,22.75,212600.0
1996-03-25,24.13,24.0,24.25,23.88,174400.0
1996-03-26,24.0,24.13,24.25,23.88,297700.0
1996-03-27,24.0,24.0,24.13,23.75,195900.0
1996-03-28,23.63,24.0,24.0,23.5,135700.0
1996-03-29,23.63,23.5,23.63,23.25,205600.0
1996-04-01,24.25,23.5,24.25,23.5,473900.0
1996-04-02,23.75,24.38,24.38,23.63,88900.0
1996-04-03,23.75,23.88,24.0,23.63,92300.0
1996-04-04,23.38,23.88,23.88,23.25,39100.0
1996-04-08,23.0,23.0,23.0,22.63,326500.0
1996-04-09,23.63,23.25,23.75,23.25,85000.0
1996-04-10,23.13,23.63,23.88,22.88,192500.0
1996-04-11,22.75,23.13,23.13,22.38,223500.0
1996-04-12,23.0,23.0,23.13,22.75,188800.0
1996-04-15,23.13,23.13,23.13,23.0,45600.0
1996-04-16,22.75,23.0,23.0,22.63,72400.0
1996-04-17,21.5,22.63,22.63,21.38,719200.0
1996-04-18,22.5,21.5,22.63,21.5,556000.0
1996-04-19,22.38,22.5,22.63,22.38,219500.0
1996-04-22,22.38,22.25,22.38,22.13,219200.0
1996-04-23,22.38,22.38,22.38,22.25,84500.0
1996-04-24,22.5,22.38,22.63,22.38,172200.0
1996-04-25,22.38,22.63,22.63,22.38,94300.0
1996-04-26,22.38,22.38,22.5,22.38,173700.0
1996-04-29,22.0,22.25,22.25,22.0,138800.0
1996-04-30,22.75,23.25,23.25,22.63,695100.0
1996-05-01,22.75,22.63,22.75,22.63,211500.0
1996-05-02,22.13,22.63,22.63,22.0,205700.0
1996-05-03,22.0,22.0,22.0,21.88,81400.0
1996-05-06,22.0,22.25,22.25,21.88,80200.0
1996-05-07,23.13,21.88,23.13,21.88,529200.0
1996-05-08,23.13,23.0,23.13,22.63,261100.0
1996-05-09,23.13,23.0,23.13,23.0,124600.0
1996-05-10,23.13,22.88,23.38,22.63,301600.0
1996-05-13,23.38,23.25,23.5,23.13,101800.0
1996-05-14,23.88,23.5,23.88,23.38,91200.0
1996-05-15,24.38,24.13,24.63,23.88,140300.0
1996-05-16,23.75,24.25,24.25,23.5,65700.0
1996-05-17,24.0,23.75,24.0,23.75,45000.0
1996-05-20,23.75,24.0,24.0,23.75,160400.0
1996-05-21,23.88,23.75,24.0,23.75,19900.0
1996-05-22,23.88,24.0,24.0,23.88,18000.0
1996-05-23,23.5,23.88,23.88,23.38,81500.0
1996-05-24,24.0,23.38,24.13,23.38,154700.0
1996-05-28,23.75,24.0,24.13,23.75,81900.0
1996-05-29,23.25,23.75,23.75,23.25,234200.0
1996-05-30,23.5,23.25,23.75,23.25,241900.0
1996-05-31,23.38,23.63,23.63,23.38,106300.0
1996-06-03,23.63,23.38,23.63,23.25,114400.0
1996-06-04,23.63,23.63,23.75,23.5,97300.0
1996-06-05,24.13,23.75,24.25,23.63,155400.0
1996-06-06,24.75,24.13,24.75,24.13,201600.0
1996-06-07,24.5,24.0,24.63,24.0,329000.0
1996-06-10,24.5,24.5,24.63,24.5,212600.0
1996-06-11,25.75,24.88,26.5,24.88,341900.0
1996-06-12,25.75,25.88,26.13,25.75,108400.0
1996-06-13,25.5,25.63,26.0,25.5,148900.0
1996-06-14,25.63,25.5,25.88,25.5,52400.0
1996-06-17,26.0,25.5,26.25,25.5,160600.0
1996-06-18,25.88,26.0,26.13,25.63,175500.0
1996-06-19,25.25,25.88,25.88,25.25,61400.0
1996-06-20,24.88,25.25,25.25,24.69,340200.0
1996-06-21,24.75,25.0,25.13,24.25,97700.0
1996-06-24,24.25,24.75,24.75,24.25,108200.0
1996-06-25,24.63,24.25,24.88,24.25,222800.0
1996-06-26,25.0,24.63,25.0,24.5,272900.0
1996-06-27,24.88,25.25,25.38,24.75,289100.0
1996-06-28,25.88,25.25,25.88,25.25,397000.0
1996-07-01,25.63,25.88,26.13,25.5,106400.0
1996-07-02,25.38,25.63,25.63,25.0,72800.0
1996-07-03,25.0,25.63,25.75,25.0,240700.0
1996-07-05,24.63,24.75,24.88,24.63,5400.0
1996-07-08,24.13,24.5,24.63,24.13,84400.0
1996-07-09,24.13,24.0,24.13,23.88,86400.0
1996-07-10,24.75,24.0,24.75,24.0,38000.0
1996-07-11,24.5,24.75,24.75,24.25,171400.0
1996-07-12,24.5,24.5,24.5,24.13,21500.0
1996-07-15,23.13,24.38,24.38,22.88,85300.0
1996-07-16,22.63,23.0,23.0,22.5,91400.0
1996-07-17,23.75,22.75,23.75,22.75,192400.0
1996-07-18,24.13,23.63,24.13,23.63,19600.0
1996-07-19,24.13,24.0,24.13,24.0,14300.0
1996-07-22,24.38,24.0,24.38,23.75,45200.0
1996-07-23,23.88,24.63,24.88,23.88,80100.0
1996-07-24,22.88,24.0,24.0,22.63,56200.0
1996-07-25,23.5,23.0,23.5,23.0,176500.0
1996-07-26,23.88,23.5,23.88,23.5,19800.0
1996-07-29,24.5,23.88,24.88,23.88,114400.0
1996-07-30,24.0,24.63,24.63,23.75,257600.0
1996-07-31,24.13,23.88,24.13,23.88,102500.0
1996-08-01,25.0,24.0,25.25,24.0,174400.0
1996-08-02,25.13,25.5,25.63,25.13,200700.0
1996-08-05,24.5,25.0,25.0,24.5,144500.0
1996-08-06,24.75,24.63,24.88,24.5,77200.0
1996-08-07,24.75,24.75,24.75,24.5,9300.0
1996-08-08,24.75,24.75,24.75,24.63,60900.0
1996-08-09,24.63,24.75,24.75,24.63,14100.0
1996-08-12,24.63,24.75,24.75,24.5,13200.0
1996-08-13,24.25,24.63,24.63,24.25,29900.0
1996-08-14,24.88,24.38,24.88,24.38,155800.0
1996-08-15,26.25,24.75,26.5,24.75,470700.0
1996-08-16,26.0,25.88,26.25,25.88,216100.0
1996-08-19,25.88,26.0,26.13,25.75,19100.0
1996-08-20,25.75,25.75,25.88,25.63,23600.0
1996-08-21,25.5,25.88,25.88,25.38,32500.0
1996-08-22,25.13,25.5,25.63,25.13,150600.0
1996-08-23,24.5,25.25,25.25,24.38,67800.0
1996-08-26,24.5,24.63,24.63,24.38,120500.0
1996-08-27,24.63,24.5,25.0,24.5,59200.0
1996-08-28,25.0,24.63,25.13,24.63,27800.0
