Date,Close,Open,High,Low,Volume
1980-03-17,5.53,,5.59,5.47,126200.0
1980-03-18,5.63,,5.63,5.53,83800.0
1980-03-19,5.69,,5.69,5.56,163200.0
1980-03-20,5.75,,5.78,5.66,41300.0
1980-03-21,5.72,,5.72,5.66,40500.0
1980-03-24,5.53,,5.69,5.5,30400.0
1980-03-25,5.47,,5.5,5.34,175300.0
1980-03-26,5.5,,5.56,5.47,45600.0
1980-03-27,5.47,,5.5,5.44,96000.0
1980-03-28,5.31,,5.38,5.13,65400.0
1980-03-31,5.34,,5.47,5.34,197800.0
1980-04-01,5.56,,5.56,5.47,136500.0
1980-04-02,5.75,,5.78,5.41,123600.0
1980-04-03,5.66,,5.75,5.63,116700.0
1980-04-07,5.66,,5.72,5.53,65300.0
1980-04-08,5.69,,5.75,5.66,94400.0
1980-04-09,5.84,,5.84,5.69,92500.0
1980-04-10,6.0,,6.0,5.84,149500.0
1980-04-11,6.0,,6.06,6.0,103600.0
1980-04-14,5.88,,6.0,5.88,85700.0
1980-04-15,5.91,,5.91,5.81,30700.0
1980-04-16,6.06,,6.09,5.97,376400.0
1980-04-17,6.09,,6.22,6.03,94900.0
1980-04-18,6.0,,6.09,6.0,112200.0
1980-04-21,5.94,,6.06,5.94,57700.0
1980-04-22,6.0,,6.06,5.84,137700.0
1980-04-23,6.16,,6.16,6.06,267600.0
1980-04-24,6.25,,6.31,6.0,347700.0
1980-04-25,6.22,,6.25,6.19,208700.0
1980-04-28,6.25,,6.28,6.19,73400.0
1980-04-29,6.22,,6.28,6.22,63300.0
1980-04-30,6.19,,6.25,6.16,61000.0
1980-05-01,6.13,,6.22,6.13,56500.0
1980-05-02,6.16,,6.22,6.13,47300.0
1980-05-05,6.25,,6.25,6.19,119100.0
1980-05-06,6.25,,6.31,6.25,210800.0
1980-05-07,6.41,,6.41,6.25,106800.0
1980-05-08,6.38,,6.5,6.31,112300.0
1980-05-09,6.34,,6.44,6.28,134000.0
1980-05-12,6.34,,6.34,6.31,35300.0
1980-05-13,6.34,,6.34,6.28,83600.0
1980-05-14,6.28,,6.34,6.25,79300.0
1980-05-15,6.31,,6.31,6.19,225900.0
1980-05-16,6.25,,6.31,6.22,121600.0
1980-05-19,6.19,,6.25,6.19,82200.0
1980-05-20,6.25,,6.25,6.16,81300.0
1980-05-21,6.25,,6.31,6.22,93600.0
1980-05-22,6.38,,6.41,6.28,68600.0
1980-05-23,6.5,,6.53,6.41,76800.0
1980-05-27,6.56,,6.59,6.5,182500.0
1980-05-28,6.47,,6.53,6.41,67200.0
1980-05-29,6.47,,6.47,6.41,181900.0
1980-05-30,6.47,,6.47,6.38,101600.0
1980-06-02,6.44,,6.5,6.38,35500.0
1980-06-03,6.38,,6.44,6.28,98000.0
1980-06-04,6.38,,6.41,6.31,49200.0
1980-06-05,6.34,,6.38,6.28,35700.0
1980-06-06,6.28,,6.38,6.28,39700.0
1980-06-09,6.34,,6.34,6.28,67900.0
1980-06-10,6.44,,6.5,6.31,110500.0
1980-06-11,6.53,,6.56,6.44,70800.0
1980-06-12,6.66,,6.66,6.53,97000.0
1980-06-13,6.81,,6.94,6.78,116800.0
1980-06-16,6.84,,6.84,6.72,105700.0
1980-06-17,6.91,,6.94,6.81,98500.0
1980-06-18,6.78,,6.94,6.69,79000.0
1980-06-19,6.75,,6.81,6.69,46900.0
1980-06-20,6.72,,6.78,6.66,62500.0
1980-06-23,6.72,,6.75,6.69,117200.0
1980-06-24,6.88,,6.88,6.72,104400.0
1980-06-25,6.78,,6.91,6.78,108200.0
1980-06-26,6.75,,6.81,6.72,202100.0
1980-06-27,6.47,,6.56,6.44,76800.0
1980-06-30,6.41,,6.5,6.38,42600.0
1980-07-01,6.38,,6.44,6.34,87400.0
1980-07-02,6.38,,6.47,6.34,61100.0
1980-07-03,6.47,,6.47,6.38,66000.0
1980-07-07,6.41,,6.47,6.38,104900.0
1980-07-08,6.44,,6.47,6.38,175200.0
1980-07-09,6.41,,6.41,6.34,98700.0
1980-07-10,6.41,,6.41,6.34,63000.0
1980-07-11,6.41,,6.41,6.38,48100.0
1980-07-14,6.41,,6.41,6.34,64800.0
1980-07-15,6.34,,6.41,6.34,62700.0
1980-07-16,6.44,,6.5,6.38,37200.0
1980-07-17,6.44,,6.5,6.38,71100.0
1980-07-18,6.41,,6.5,6.31,53000.0
1980-07-21,6.41,,6.41,6.31,70800.0
1980-07-22,6.47,,6.47,5.94,48300.0
1980-07-23,6.41,,6.44,6.31,168700.0
1980-07-24,6.31,,6.41,6.31,209400.0
1980-07-25,6.34,,6.38,6.31,58600.0
1980-07-28,6.34,,6.38,6.28,69000.0
1980-07-29,6.34,,6.34,6.28,72000.0
1980-07-30,6.28,,6.34,6.28,49900.0
1980-07-31,6.31,,6.34,6.28,96200.0
1980-08-01,6.28,,6.31,6.25,56100.0
1980-08-04,6.19,,6.25,6.13,117600.0
1980-08-05,6.25,,6.28,6.19,61200.0
1980-08-06,6.25,,6.28,6.19,39300.0
1980-08-07,6.31,,6.34,6.22,445700.0
1980-08-08,6.31,,6.34,6.25,140300.0
1980-08-11,6.25,,6.34,6.25,42900.0
1980-08-12,6.25,,6.28,6.22,191300.0
1980-08-13,6.22,,6.28,6.19,42300.0
1980-08-14,6.25,,6.25,6.19,45200.0
1980-08-15,6.22,,6.25,6.16,41300.0
1980-08-18,6.22,,6.22,6.09,61400.0
1980-08-19,6.19,,6.22,6.09,549300.0
1980-08-20,6.13,,6.16,6.06,54500.0
1980-08-21,6.16,,6.16,6.09,113800.0
1980-08-22,6.13,,6.16,6.09,35900.0
1980-08-25,6.03,,6.13,6.03,56500.0
1980-08-26,6.13,,6.13,6.03,61400.0
1980-08-27,6.09,,6.13,6.06,53600.0
1980-08-28,6.13,,6.19,6.13,303900.0
