Date,Close,Open,High,Low,Volume
10/30/2001,20.45,20.25,20.45,20.18,22720900.0
10/31/2001,20.94,20.55,21.25,20.51,5552200.0
11/1/2001,21.09,21.13,21.3,20.9,1950900.0
11/2/2001,21.45,21.03,21.55,21.01,2037500.0
11/5/2001,21.45,21.75,21.75,21.38,1381900.0
11/6/2001,22.03,21.48,22.15,21.08,1624100.0
11/7/2001,21.63,21.88,21.88,21.25,1337600.0
11/8/2001,21.35,21.5,21.55,21.0,1702000.0
11/9/2001,21.0,21.25,21.25,20.5,1645800.0
11/12/2001,21.43,21.0,21.43,20.85,486800.0
11/13/2001,21.38,21.7,21.7,21.26,860900.0
11/14/2001,22.98,22.0,23.0,21.78,2106500.0
11/15/2001,23.38,22.85,23.38,22.73,1155200.0
11/16/2001,23.4,23.45,23.6,23.15,1088100.0
11/19/2001,23.75,23.38,23.79,23.2,1003600.0
11/20/2001,24.4,23.65,24.63,23.63,1401500.0
11/21/2001,24.51,24.35,24.85,24.21,1342000.0
11/23/2001,24.59,24.48,24.68,24.48,143900.0
11/26/2001,24.28,24.85,25.13,24.15,958700.0
11/27/2001,24.3,24.4,24.93,24.14,574000.0
11/28/2001,24.48,24.28,24.6,23.76,312600.0
11/29/2001,25.01,24.75,25.05,24.54,568400.0
11/30/2001,25.43,25.05,25.5,24.9,1480200.0
12/3/2001,25.65,25.4,25.65,25.05,635400.0
12/4/2001,25.75,25.68,25.75,25.25,397000.0
12/5/2001,24.43,25.9,25.95,24.35,678100.0
12/6/2001,24.25,24.45,24.5,23.68,451300.0
12/7/2001,24.3,24.25,24.35,23.8,324800.0
12/10/2001,24.13,24.3,24.44,24.08,154000.0
12/11/2001,24.1,24.13,24.35,23.86,446400.0
12/12/2001,23.93,24.13,24.13,23.93,239400.0
12/13/2001,24.05,23.81,24.05,23.45,480300.0
12/14/2001,24.0,24.0,24.05,23.68,406800.0
12/17/2001,24.63,24.05,24.65,23.96,211100.0
12/18/2001,24.65,24.75,24.8,24.61,404600.0
12/19/2001,24.0,24.65,24.68,23.88,736600.0
12/20/2001,23.45,23.88,24.0,23.4,656000.0
12/21/2001,22.88,23.4,23.4,22.63,2141900.0
12/24/2001,22.8,22.88,22.98,22.8,450100.0
12/26/2001,23.13,22.93,23.24,22.93,595800.0
12/27/2001,23.45,23.18,23.65,23.18,962700.0
12/28/2001,24.25,23.48,24.25,23.48,857400.0
12/31/2001,24.75,24.35,25.13,24.35,896400.0
1/2/2002,24.4,24.84,24.84,24.36,966500.0
1/3/2002,24.23,24.4,24.64,24.23,312800.0
1/4/2002,23.93,24.25,24.4,23.45,1159300.0
1/7/2002,23.51,23.93,23.97,23.5,958200.0
1/8/2002,23.7,23.43,23.93,23.2,466000.0
1/9/2002,23.8,23.78,24.13,23.75,427500.0
1/10/2002,25.05,23.8,25.37,23.79,1275200.0
1/11/2002,25.75,25.05,25.9,24.95,555900.0
1/14/2002,25.95,25.8,26.2,25.43,682300.0
1/15/2002,25.35,25.85,25.86,24.7,713400.0
1/16/2002,25.5,25.23,25.85,24.8,860600.0
1/17/2002,25.15,25.5,25.53,25.0,456000.0
1/18/2002,25.49,25.03,25.5,24.91,703000.0
1/22/2002,25.88,25.37,25.94,25.03,806500.0
1/23/2002,26.13,25.7,26.44,25.7,812700.0
1/24/2002,26.4,26.03,26.55,26.03,923400.0
1/25/2002,26.94,26.5,27.05,26.43,835200.0
1/28/2002,26.88,26.7,27.25,26.6,702100.0
1/29/2002,26.6,26.53,26.88,26.48,676700.0
1/30/2002,26.26,26.25,26.65,25.98,650700.0
1/31/2002,26.6,26.3,26.6,25.9,1035900.0
2/1/2002,26.58,26.63,27.05,26.5,784700.0
2/4/2002,26.1,26.49,26.5,25.7,527600.0
2/5/2002,27.12,26.15,27.13,25.75,865900.0
2/6/2002,28.25,28.25,28.97,27.77,2634700.0
2/7/2002,28.8,28.25,29.42,28.16,907700.0
2/8/2002,28.85,28.88,29.01,28.68,896400.0
2/11/2002,28.78,28.77,29.05,28.68,751900.0
2/12/2002,28.45,28.5,28.55,28.28,1063500.0
2/13/2002,28.03,28.55,28.63,27.93,777600.0
2/14/2002,28.21,28.1,28.38,27.88,828000.0
2/15/2002,28.05,28.2,28.25,28.01,763500.0
2/19/2002,27.19,28.0,28.04,26.73,1103600.0
2/20/2002,27.0,26.9,27.35,26.88,758300.0
2/21/2002,27.78,26.98,28.28,26.85,823000.0
2/22/2002,28.18,27.73,28.55,27.73,652700.0
2/25/2002,28.53,28.1,28.76,28.04,506500.0
2/26/2002,29.13,28.75,29.48,28.75,996000.0
2/27/2002,28.99,29.05,29.25,28.8,1005600.0
2/28/2002,29.05,28.9,29.13,28.68,939400.0
3/1/2002,29.03,28.93,29.03,28.85,576500.0
3/4/2002,27.75,28.9,29.23,27.73,1362900.0
3/5/2002,27.33,27.67,27.89,27.2,840100.0
3/6/2002,28.18,27.38,28.55,27.25,955700.0
3/7/2002,28.13,28.35,28.6,28.11,527700.0
3/8/2002,28.13,28.14,28.35,27.75,778700.0
3/11/2002,28.3,28.0,28.33,27.85,762900.0
3/12/2002,28.25,28.2,28.25,28.03,423400.0
3/13/2002,28.28,28.23,28.38,28.05,497100.0
