Date,Close,Open,High,Low,Volume
3/17/1980,2.59,,2.66,2.59,79100.0
3/18/1980,2.58,,2.61,2.58,127500.0
3/19/1980,2.58,,2.61,2.55,141300.0
3/20/1980,2.56,,2.57,2.54,43600.0
3/21/1980,2.56,,2.58,2.52,93100.0
3/24/1980,2.51,,2.57,2.51,30700.0
3/25/1980,2.48,,2.51,2.48,182200.0
3/26/1980,2.5,,2.53,2.5,27400.0
3/27/1980,2.5,,2.51,2.46,44800.0
3/28/1980,2.56,,2.58,2.5,40800.0
3/31/1980,2.65,,2.65,2.58,37100.0
4/1/1980,2.63,,2.64,2.6,37700.0
4/2/1980,2.64,,2.64,2.6,36700.0
4/3/1980,2.66,,2.66,2.63,49100.0
4/7/1980,2.59,,2.66,2.59,105900.0
4/8/1980,2.63,,2.64,2.57,176100.0
4/9/1980,2.64,,2.65,2.63,67800.0
4/10/1980,2.67,,2.68,2.65,27400.0
4/11/1980,2.64,,2.67,2.63,19600.0
4/14/1980,2.61,,2.66,2.59,18000.0
4/15/1980,2.6,,2.63,2.59,18600.0
4/16/1980,2.6,,2.65,2.6,51700.0
4/17/1980,2.55,,2.58,2.53,46300.0
4/18/1980,2.53,,2.57,2.53,39300.0
4/21/1980,2.49,,2.53,2.48,88500.0
4/22/1980,2.54,,2.56,2.5,144000.0
4/23/1980,2.6,,2.64,2.56,34100.0
4/24/1980,2.61,,2.61,2.58,37400.0
4/25/1980,2.65,,2.65,2.58,23700.0
4/28/1980,2.65,,2.69,2.65,18000.0
4/29/1980,2.68,,2.68,2.65,15100.0
4/30/1980,2.69,,2.7,2.66,24200.0
5/1/1980,2.68,,2.7,2.68,23700.0
5/2/1980,2.7,,2.72,2.67,44300.0
5/5/1980,2.81,,2.81,2.7,62000.0
5/6/1980,2.8,,2.81,2.78,21600.0
5/7/1980,2.83,,2.83,2.79,28900.0
5/8/1980,2.78,,2.85,2.77,71600.0
5/9/1980,2.71,,2.8,2.7,49900.0
5/12/1980,2.69,,2.74,2.68,35200.0
5/13/1980,2.72,,2.72,2.68,22400.0
5/14/1980,2.71,,2.75,2.71,24000.0
5/15/1980,2.72,,2.73,2.69,45800.0
5/16/1980,2.79,,2.79,2.72,30400.0
5/19/1980,2.8,,2.81,2.76,46000.0
5/20/1980,2.89,,2.89,2.82,114500.0
5/21/1980,2.89,,2.9,2.88,55600.0
5/22/1980,2.92,,2.92,2.86,54100.0
5/23/1980,2.92,,2.96,2.92,58000.0
5/27/1980,2.96,,2.99,2.94,39200.0
5/28/1980,2.93,,2.96,2.92,55500.0
5/29/1980,2.94,,2.97,2.94,38900.0
5/30/1980,2.93,,2.96,2.93,47300.0
6/2/1980,2.95,,2.95,2.92,66700.0
6/3/1980,2.95,,2.97,2.93,65700.0
6/4/1980,2.96,,2.98,2.95,20900.0
6/5/1980,3.01,,3.03,2.96,51600.0
6/6/1980,3.01,,3.02,2.98,26800.0
6/9/1980,3.02,,3.04,2.97,41900.0
6/10/1980,3.0,,3.03,3.0,22800.0
6/11/1980,3.02,,3.02,2.99,174000.0
6/12/1980,3.02,,3.05,3.0,45700.0
6/13/1980,3.06,,3.08,3.02,62100.0
6/16/1980,3.08,,3.08,3.04,52100.0
6/17/1980,3.07,,3.07,3.05,56400.0
6/18/1980,3.07,,3.09,3.05,63700.0
6/19/1980,3.02,,3.08,3.01,72900.0
6/20/1980,2.95,,2.99,2.95,145700.0
6/23/1980,2.94,,2.97,2.94,30700.0
6/24/1980,2.99,,3.02,2.95,28500.0
6/25/1980,3.07,,3.08,3.01,43400.0
6/26/1980,3.05,,3.11,3.04,110800.0
6/27/1980,3.06,,3.09,3.06,21200.0
6/30/1980,3.04,,3.06,3.03,20500.0
7/1/1980,3.04,,3.04,3.01,97900.0
7/2/1980,3.02,,3.04,3.02,62700.0
7/3/1980,3.03,,3.04,3.01,97000.0
7/7/1980,3.03,,3.04,3.02,103800.0
7/8/1980,3.02,,3.03,3.01,25500.0
7/9/1980,3.0,,3.02,3.0,272200.0
7/10/1980,2.97,,3.0,2.95,72400.0
7/11/1980,3.02,,3.02,2.97,105400.0
7/14/1980,3.08,,3.09,3.02,84200.0
7/15/1980,3.09,,3.14,3.08,89400.0
7/16/1980,3.09,,3.11,3.07,66700.0
7/17/1980,3.14,,3.14,3.08,65000.0
7/18/1980,3.22,,3.22,3.15,86000.0
7/21/1980,3.2,,3.22,3.17,42200.0
7/22/1980,3.23,,3.28,3.21,51100.0
7/23/1980,3.21,,3.25,3.2,36800.0
7/24/1980,3.22,,3.27,3.21,21900.0
7/25/1980,3.17,,3.24,3.16,34700.0
7/28/1980,3.17,,3.18,3.16,46700.0
7/29/1980,3.27,,3.27,3.19,47800.0
7/30/1980,3.32,,3.35,3.28,88300.0
7/31/1980,3.32,,3.32,3.27,34400.0
8/1/1980,3.23,,3.31,3.22,34900.0
8/4/1980,3.29,,3.3,3.23,43200.0
8/5/1980,3.29,,3.32,3.27,48600.0
8/6/1980,3.25,,3.3,3.23,54000.0
8/7/1980,3.31,,3.31,3.27,58600.0
8/8/1980,3.33,,3.34,3.32,62200.0
8/11/1980,3.35,,3.35,3.3,45600.0
8/12/1980,3.4,,3.4,3.35,55600.0
8/13/1980,3.31,,3.41,3.3,66500.0
8/14/1980,3.35,,3.36,3.3,24200.0
8/15/1980,3.38,,3.39,3.35,61800.0
8/18/1980,3.29,,3.35,3.29,81100.0
8/19/1980,3.16,,3.3,3.16,87100.0
8/20/1980,3.2,,3.23,3.16,66100.0
8/21/1980,3.26,,3.26,3.22,31000.0
8/22/1980,3.29,,3.31,3.27,32900.0
8/25/1980,3.24,,3.26,3.23,49100.0
8/26/1980,3.27,,3.3,3.22,67000.0
8/27/1980,3.24,,3.27,3.22,35500.0
8/28/1980,3.17,,3.25,3.17,20100.0
8/29/1980,3.16,,3.17,3.14,18500.0
9/2/1980,3.13,,3.13,3.03,28600.0
9/3/1980,3.23,,3.23,3.15,38900.0
9/4/1980,3.18,,3.28,3.17,38900.0
9/5/1980,3.17,,3.19,3.15,37400.0
9/8/1980,3.14,,3.18,3.14,46200.0
9/9/1980,3.1,,3.11,3.08,89900.0
9/10/1980,3.09,,3.16,3.09,46400.0
9/11/1980,3.11,,3.11,3.07,96600.0
9/12/1980,3.09,,3.15,3.08,88500.0
9/15/1980,3.07,,3.1,3.05,25700.0
9/16/1980,3.08,,3.14,3.06,44100.0
9/17/1980,3.14,,3.16,3.07,95600.0
9/18/1980,3.22,,3.27,3.14,92700.0
9/19/1980,3.24,,3.27,3.21,56700.0
9/22/1980,3.24,,3.26,3.23,35700.0
9/23/1980,3.23,,3.27,3.22,43800.0
9/24/1980,3.2,,3.25,3.2,29300.0
9/25/1980,3.19,,3.23,3.17,64000.0
9/26/1980,3.15,,3.17,3.11,31600.0
9/29/1980,3.04,,3.16,3.04,114600.0
9/30/1980,3.08,,3.08,3.04,44700.0
10/1/1980,3.04,,3.06,3.01,70000.0
10/2/1980,3.07,,3.08,3.03,58500.0
10/3/1980,3.08,,3.13,3.05,47800.0
10/6/1980,3.1,,3.13,3.05,85200.0
10/7/1980,3.05,,3.14,3.03,29600.0
10/8/1980,3.01,,3.06,3.01,87900.0
10/9/1980,3.0,,3.0,2.96,232900.0
10/10/1980,2.99,,3.0,2.98,31400.0
10/13/1980,2.99,,3.0,2.96,292200.0
10/14/1980,3.04,,3.04,2.99,96500.0
10/15/1980,3.04,,3.04,3.01,50500.0
10/16/1980,2.99,,3.05,2.97,79400.0
10/17/1980,2.94,,2.97,2.93,57100.0
10/20/1980,2.9,,2.95,2.89,68500.0
10/21/1980,2.83,,2.91,2.8,181600.0
10/22/1980,2.9,,2.9,2.82,50800.0
10/23/1980,2.86,,2.9,2.85,55800.0
10/24/1980,2.88,,2.88,2.82,93700.0
10/27/1980,2.86,,2.91,2.85,73900.0
10/28/1980,2.9,,2.91,2.84,34500.0
10/29/1980,2.89,,2.92,2.88,216400.0
10/30/1980,2.93,,2.95,2.85,103100.0
10/31/1980,2.86,,2.9,2.86,39400.0
11/3/1980,2.84,,2.88,2.84,55800.0
11/5/1980,2.95,,3.03,2.95,150100.0
11/6/1980,2.85,,2.94,2.83,71800.0
11/7/1980,2.86,,2.86,2.83,75700.0
11/10/1980,2.9,,2.9,2.86,46600.0
11/11/1980,2.88,,2.92,2.88,38200.0
11/12/1980,2.91,,2.91,2.89,182900.0
11/13/1980,2.93,,2.94,2.89,169900.0
11/14/1980,3.1,,3.1,2.99,222000.0
11/17/1980,3.08,,3.09,3.05,33200.0
11/18/1980,3.19,,3.19,3.09,85700.0
