Date,Close,Open,High,Low,Volume
10/4/1989,2.5,,2.55,2.44,2579500.0
10/5/1989,2.58,,2.63,2.5,806700.0
10/6/1989,2.55,,2.63,2.55,344400.0
10/9/1989,2.55,,2.55,2.5,135500.0
10/10/1989,2.53,,2.56,2.5,186700.0
10/11/1989,2.52,,2.52,2.47,157500.0
10/12/1989,2.53,,2.55,2.52,75300.0
10/13/1989,2.48,,2.53,2.47,496300.0
10/16/1989,2.47,,2.47,2.38,490600.0
10/17/1989,2.5,,2.5,2.44,230400.0
10/18/1989,2.55,,2.56,2.48,141000.0
10/19/1989,2.55,,2.55,2.53,130000.0
10/20/1989,2.53,,2.53,2.52,29700.0
10/23/1989,2.55,,2.56,2.55,10900.0
10/24/1989,2.56,,2.56,2.53,86200.0
10/25/1989,2.55,,2.58,2.52,76000.0
10/26/1989,2.55,,2.56,2.55,28600.0
10/27/1989,2.52,,2.55,2.5,57000.0
10/30/1989,2.5,,2.52,2.5,31300.0
10/31/1989,2.5,,2.52,2.5,53100.0
11/1/1989,2.56,,2.56,2.52,89400.0
11/2/1989,2.64,,2.64,2.59,16300.0
11/3/1989,2.73,,2.75,2.63,139800.0
11/6/1989,2.58,,2.72,2.58,33100.0
11/7/1989,2.69,,2.69,2.5,90900.0
11/8/1989,2.72,,2.72,2.67,29600.0
11/9/1989,2.69,,2.72,2.69,7600.0
11/10/1989,2.56,,2.69,2.55,26300.0
11/13/1989,2.55,,2.56,2.52,11600.0
11/14/1989,2.53,,2.58,2.48,53500.0
11/15/1989,2.56,,2.58,2.53,22000.0
11/16/1989,2.59,,2.59,2.55,37700.0
11/17/1989,2.64,,2.64,2.59,31200.0
11/20/1989,2.61,,2.66,2.61,5400.0
11/21/1989,2.67,,2.67,2.59,13600.0
11/22/1989,2.75,,2.75,2.69,31900.0
11/24/1989,2.92,,2.95,2.78,71500.0
11/27/1989,2.88,,2.94,2.86,31700.0
11/28/1989,2.83,,2.88,2.83,70000.0
11/29/1989,2.8,,2.81,2.78,7600.0
11/30/1989,2.89,,2.91,2.81,89100.0
12/1/1989,2.91,,2.95,2.89,44600.0
12/4/1989,2.98,,2.98,2.88,21500.0
12/5/1989,2.91,,2.98,2.91,11700.0
12/6/1989,2.98,,3.0,2.91,83600.0
12/7/1989,2.95,,2.98,2.92,26900.0
12/8/1989,2.95,,2.95,2.92,15300.0
12/11/1989,3.0,,3.03,2.94,38300.0
12/12/1989,3.02,,3.03,2.98,139900.0
12/13/1989,3.16,,3.16,2.98,50000.0
12/14/1989,3.13,,3.14,3.11,46800.0
12/15/1989,3.11,,3.14,3.09,19400.0
12/18/1989,3.03,,3.13,3.03,28000.0
12/19/1989,3.06,,3.06,3.03,26900.0
12/20/1989,3.08,,3.11,3.05,20800.0
12/21/1989,3.11,,3.13,3.06,21800.0
12/22/1989,3.13,,3.13,3.11,21700.0
12/26/1989,3.08,,3.11,3.08,12200.0
12/27/1989,3.03,,3.06,3.03,18000.0
12/28/1989,3.03,,3.05,3.03,1400.0
12/29/1989,3.16,,3.16,3.02,27400.0
1/2/1990,3.05,,3.13,3.03,24300.0
1/3/1990,3.03,,3.06,3.03,45200.0
1/4/1990,2.95,,3.06,2.95,20800.0
1/5/1990,2.91,,2.94,2.86,12600.0
1/8/1990,2.86,,2.89,2.84,110100.0
1/9/1990,2.81,,2.84,2.81,35300.0
1/10/1990,2.7,,2.77,2.69,98000.0
1/11/1990,2.75,,2.77,2.7,43400.0
1/12/1990,2.72,,2.73,2.69,19900.0
1/15/1990,2.72,,2.73,2.72,3200.0
1/16/1990,2.7,,2.7,2.63,21600.0
1/17/1990,2.72,,2.81,2.72,27000.0
1/18/1990,2.7,,2.72,2.69,19700.0
1/19/1990,2.75,,2.75,2.73,1100.0
1/22/1990,2.73,,2.75,2.72,7100.0
1/23/1990,2.75,,2.77,2.73,12700.0
1/24/1990,2.69,,2.73,2.69,3300.0
1/25/1990,2.72,,2.72,2.67,31200.0
1/26/1990,2.67,,2.72,2.67,5700.0
1/29/1990,2.64,,2.69,2.63,55500.0
1/30/1990,2.66,,2.66,2.58,68500.0
1/31/1990,2.86,,2.86,2.69,94700.0
2/1/1990,2.86,,2.88,2.84,18700.0
2/2/1990,2.88,,2.91,2.88,90000.0
2/5/1990,2.88,,2.91,2.88,20400.0
2/6/1990,2.89,,2.91,2.84,12400.0
2/7/1990,2.94,,2.94,2.91,4100.0
2/8/1990,3.05,,3.13,2.97,43300.0
2/9/1990,3.0,,3.13,2.97,22400.0
2/12/1990,2.91,,3.0,2.91,3500.0
2/13/1990,2.95,,2.95,2.94,3300.0
2/14/1990,2.94,,2.97,2.94,4100.0
2/15/1990,2.95,,2.97,2.95,19000.0
2/16/1990,2.97,,2.97,2.97,4000.0
2/20/1990,2.95,,2.98,2.95,2900.0
2/21/1990,2.91,,2.95,2.91,69200.0
2/22/1990,2.84,,2.91,2.84,18500.0
2/23/1990,2.72,,2.78,2.69,71900.0
2/26/1990,2.75,,2.75,2.73,59700.0
2/27/1990,2.84,,2.84,2.77,44700.0
2/28/1990,2.8,,2.83,2.8,18200.0
3/1/1990,2.75,,2.8,2.75,28200.0
3/2/1990,2.7,,2.78,2.69,116400.0
3/5/1990,2.67,,2.7,2.66,18300.0
3/6/1990,2.73,,2.73,2.63,32300.0
3/7/1990,2.75,,2.75,2.7,21800.0
3/8/1990,2.78,,2.8,2.73,18300.0
3/9/1990,2.73,,2.78,2.73,24300.0
3/12/1990,2.69,,2.72,2.63,134100.0
3/13/1990,2.69,,2.69,2.67,82800.0
3/14/1990,2.77,,2.77,2.67,37300.0
3/15/1990,2.72,,2.8,2.72,24000.0
3/16/1990,2.78,,2.78,2.73,33900.0
3/19/1990,2.77,,2.77,2.75,59500.0
3/20/1990,2.8,,2.91,2.75,112300.0
3/21/1990,2.8,,2.81,2.8,12800.0
3/22/1990,2.77,,2.77,2.75,22200.0
3/23/1990,2.8,,2.8,2.8,40000.0
3/26/1990,2.75,,2.78,2.75,4700.0
3/27/1990,2.75,,2.75,2.73,3000.0
3/28/1990,2.92,,2.94,2.84,88300.0
3/29/1990,2.91,,2.94,2.89,45200.0
3/30/1990,2.92,,2.92,2.92,20200.0
4/2/1990,2.88,,2.92,2.84,23100.0
4/3/1990,2.98,,3.03,2.88,44800.0
4/4/1990,2.91,,2.98,2.91,45600.0
4/5/1990,2.91,,2.95,2.91,46700.0
4/6/1990,2.78,,2.92,2.78,101300.0
4/9/1990,2.73,,2.77,2.73,42100.0
4/10/1990,2.77,,2.81,2.72,53300.0
4/11/1990,2.73,,2.81,2.72,29300.0
4/12/1990,2.63,,2.73,2.59,57000.0
4/16/1990,2.7,,2.73,2.64,34200.0
4/17/1990,2.72,,2.72,2.7,2100.0
4/18/1990,2.72,,2.75,2.69,41700.0
4/19/1990,2.69,,2.72,2.67,25900.0
4/20/1990,2.67,,2.69,2.66,21100.0
4/23/1990,2.63,,2.66,2.63,21700.0
4/24/1990,2.63,,2.67,2.63,57300.0
4/25/1990,2.66,,2.67,2.64,13000.0
4/26/1990,2.69,,2.69,2.63,57700.0
4/27/1990,2.7,,2.7,2.69,16700.0
4/30/1990,2.72,,2.72,2.69,8600.0
5/1/1990,2.81,,2.83,2.69,91600.0
5/2/1990,2.81,,2.83,2.77,71900.0
5/3/1990,2.83,,2.86,2.83,13200.0
