Date,Close,Open,High,Low,Volume
12/31/2002,5.49,6.27,6.27,5.4,23651.0
1/2/2003,5.05,5.55,5.55,4.8,32053.0
1/3/2003,4.9,5.08,5.08,4.82,48339.0
1/6/2003,5.44,5.3,5.77,5.06,117633.0
1/7/2003,7.42,5.54,7.66,5.32,124687.0
1/8/2003,6.74,7.43,7.45,6.68,72820.0
1/9/2003,6.82,7.09,7.09,6.77,11306.0
1/10/2003,6.58,6.75,6.87,6.5,12447.0
1/13/2003,6.84,6.6,6.84,6.5,13070.0
1/14/2003,6.24,6.53,6.7,6.04,23443.0
1/15/2003,5.91,6.25,6.25,5.76,21887.0
1/16/2003,5.85,6.61,6.7,5.79,19294.0
1/17/2003,5.19,5.87,5.88,5.01,33505.0
1/21/2003,4.72,5.15,5.28,4.72,61617.0
1/22/2003,4.34,4.82,4.82,4.32,57156.0
1/23/2003,3.98,4.43,4.46,3.98,58920.0
1/24/2003,3.74,4.16,4.16,3.74,70745.0
1/27/2003,3.05,3.81,3.86,3.04,82467.0
1/28/2003,3.55,3.13,3.55,1.93,151242.0
1/29/2003,3.17,3.33,3.57,3.09,19398.0
1/30/2003,2.95,3.23,3.25,2.91,6950.0
1/31/2003,3.37,2.99,3.37,2.99,14730.0
2/3/2003,3.11,3.01,3.28,2.89,104459.0
2/4/2003,3.23,3.07,3.39,3.07,9750.0
2/5/2003,3.99,3.34,4.33,3.34,61824.0
2/6/2003,3.62,3.99,4.05,3.58,51875.0
2/7/2003,3.62,3.73,3.82,3.62,17250.0
2/10/2003,3.56,3.63,3.65,3.5,26451.0
2/11/2003,3.9,3.53,3.9,3.53,54667.0
2/12/2003,3.73,3.86,3.94,3.73,9551.0
2/13/2003,3.86,3.72,3.88,3.72,12240.0
2/14/2003,3.76,3.91,3.91,3.76,8194.0
2/18/2003,3.79,3.73,3.79,3.72,27385.0
2/19/2003,3.77,3.8,3.94,3.75,65662.0
2/20/2003,3.85,3.81,3.89,3.74,18049.0
2/21/2003,3.72,3.79,3.81,3.72,14418.0
2/24/2003,3.72,3.74,3.91,3.72,39107.0
2/25/2003,3.57,3.75,3.75,3.57,17226.0
2/26/2003,3.45,3.62,3.65,3.38,20020.0
2/27/2003,3.28,3.46,3.46,3.28,16078.0
2/28/2003,3.33,3.24,3.52,3.24,59024.0
3/3/2003,3.29,3.3,3.45,3.28,56327.0
3/4/2003,3.82,3.37,3.82,3.29,91077.0
3/5/2003,3.25,3.87,3.87,2.99,71472.0
3/6/2003,3.13,3.13,3.32,3.13,62447.0
3/7/2003,3.01,3.16,3.2,2.99,37655.0
3/10/2003,3.21,3.03,3.35,3.02,69812.0
3/11/2003,3.33,3.3,3.47,3.28,44708.0
3/12/2003,3.4,3.33,3.47,3.33,8635.0
3/13/2003,3.68,3.33,3.7,3.33,16642.0
3/14/2003,3.6,3.57,3.6,3.57,2386.0
3/17/2003,3.88,3.6,4.22,3.49,116277.0
