Date,Close,Open,High,Low,Volume
10/2/1995,16.17,16.0,16.17,16.0,800.0
10/3/1995,17.33,16.17,17.33,16.17,7100.0
10/4/1995,16.0,17.33,17.33,16.0,3200.0
10/5/1995,17.17,17.17,17.17,16.67,3300.0
10/6/1995,17.17,17.17,17.17,16.0,18900.0
10/9/1995,17.0,16.17,17.17,16.0,18700.0
10/10/1995,17.08,17.17,17.17,17.0,2800.0
10/11/1995,16.67,17.17,17.33,16.67,4000.0
10/12/1995,17.5,17.5,17.5,17.5,1300.0
10/13/1995,17.67,17.67,17.67,17.67,1700.0
10/16/1995,18.0,17.67,18.17,17.67,2700.0
10/17/1995,18.5,18.17,18.5,18.0,3600.0
10/18/1995,19.0,18.5,19.0,18.33,3200.0
10/19/1995,18.67,19.33,20.0,18.0,9300.0
10/20/1995,19.33,20.33,20.33,18.0,2700.0
10/23/1995,20.33,20.33,20.33,20.33,900.0
10/24/1995,20.33,20.33,20.33,19.67,2400.0
10/25/1995,20.5,20.33,20.5,18.33,7600.0
10/26/1995,20.0,20.5,20.5,20.0,1500.0
10/27/1995,20.33,19.33,20.33,19.33,1700.0
10/30/1995,19.33,20.33,20.33,18.42,6900.0
10/31/1995,20.33,20.33,20.33,18.33,3600.0
11/1/1995,20.33,19.33,20.33,19.33,1100.0
11/2/1995,20.25,20.33,20.33,19.33,500.0
11/3/1995,19.67,20.33,20.33,18.0,4000.0
11/6/1995,20.17,20.17,20.17,20.17,300.0
11/7/1995,20.17,20.17,20.17,20.17,300.0
11/8/1995,20.17,20.17,20.17,20.17,500.0
11/9/1995,20.17,20.17,20.17,20.17,700.0
11/10/1995,20.17,20.17,20.17,20.17,700.0
11/13/1995,19.33,20.17,20.17,19.33,1200.0
11/14/1995,19.67,20.17,20.17,19.67,2000.0
11/15/1995,20.17,20.17,20.17,19.67,1200.0
11/16/1995,20.17,20.17,20.17,20.17,400.0
11/20/1995,20.17,20.17,20.17,19.67,900.0
11/21/1995,20.17,20.17,20.17,18.5,3600.0
11/22/1995,20.17,20.17,20.17,18.67,1400.0
11/24/1995,20.17,20.17,20.17,20.17,100.0
11/27/1995,20.17,20.17,20.17,20.17,300.0
11/28/1995,20.17,20.17,20.17,19.83,1000.0
11/29/1995,20.17,18.0,20.17,18.0,2700.0
11/30/1995,20.17,20.17,20.17,19.67,800.0
12/1/1995,20.17,20.17,20.17,19.67,1300.0
12/4/1995,20.17,20.17,20.17,19.17,1100.0
