Date,Close,Open,High,Low,Volume
1980-03-17,7.88,,8.25,7.88,22900.0
1980-03-18,8.13,,8.13,7.88,26500.0
1980-03-19,8.0,,8.13,8.0,30000.0
1980-03-20,8.13,,8.13,8.0,18000.0
1980-03-21,8.0,,8.13,7.88,18500.0
1980-03-24,8.0,,8.0,7.88,27600.0
1980-03-25,8.0,,8.0,7.88,18500.0
1980-03-26,8.0,,8.13,8.0,60900.0
1980-03-27,7.88,,8.0,7.75,31000.0
1980-03-28,7.88,,7.88,7.63,25000.0
1980-03-31,8.0,,8.0,7.75,16700.0
1980-04-01,8.0,,8.0,7.88,20300.0
1980-04-02,8.38,,8.38,7.88,62500.0
1980-04-03,8.25,,8.5,8.25,30100.0
1980-04-07,8.0,,8.38,8.0,26200.0
1980-04-08,8.13,,8.13,8.0,21600.0
1980-04-09,8.5,,8.5,8.0,32600.0
1980-04-10,8.63,,8.63,8.38,58600.0
1980-04-11,8.5,,8.75,8.5,43800.0
1980-04-14,8.63,,8.63,8.5,22700.0
1980-04-15,8.38,,8.63,8.38,29800.0
1980-04-16,8.63,,8.75,8.5,55500.0
1980-04-17,8.63,,8.75,8.63,30700.0
1980-04-18,8.88,,8.88,8.63,15200.0
1980-04-21,8.63,,8.88,8.63,30200.0
1980-04-22,8.63,,8.88,8.38,24600.0
1980-04-23,8.88,,8.88,8.63,49300.0
1980-04-24,8.88,,9.0,8.75,55900.0
1980-04-25,9.13,,9.13,8.38,15000.0
1980-04-28,9.13,,9.13,8.88,19600.0
1980-04-29,8.88,,9.0,8.88,19200.0
1980-04-30,8.88,,8.88,8.75,21100.0
1980-05-01,8.88,,8.88,8.75,31600.0
1980-05-02,8.88,,8.88,8.75,19600.0
1980-05-05,8.75,,9.0,8.75,47900.0
1980-05-06,8.88,,9.0,8.75,112000.0
1980-05-07,9.13,,9.25,8.75,87900.0
1980-05-08,9.25,,9.25,9.13,40500.0
1980-05-09,9.38,,9.38,9.13,23300.0
1980-05-12,9.25,,9.38,9.13,28100.0
1980-05-13,9.25,,9.38,9.13,24000.0
1980-05-14,9.38,,9.38,9.25,12700.0
1980-05-15,9.25,,9.38,9.25,17100.0
1980-05-16,9.25,,9.38,9.13,20000.0
1980-05-19,9.25,,9.25,9.0,35900.0
1980-05-20,9.25,,9.38,9.13,22600.0
1980-05-21,9.25,,9.38,9.13,27300.0
1980-05-22,9.25,,9.38,9.13,66100.0
1980-05-23,8.88,,9.0,8.75,33000.0
1980-05-27,8.88,,9.0,8.75,247700.0
1980-05-28,8.88,,9.13,8.75,21500.0
1980-05-29,9.0,,9.13,8.88,34700.0
1980-05-30,9.0,,9.13,8.88,18300.0
1980-06-02,8.88,,9.0,8.63,110600.0
1980-06-03,8.88,,8.88,8.75,19600.0
1980-06-04,8.75,,9.0,8.75,22600.0
1980-06-05,9.13,,9.13,8.75,45600.0
1980-06-06,9.5,,9.5,9.0,44300.0
1980-06-09,9.25,,9.5,9.13,53000.0
1980-06-10,9.5,,9.5,9.25,31800.0
1980-06-11,9.5,,9.5,9.38,30300.0
1980-06-12,9.38,,9.5,9.0,22300.0
1980-06-13,9.63,,9.63,9.38,48300.0
1980-06-16,9.5,,9.63,9.38,24200.0
1980-06-17,9.5,,9.63,9.38,20900.0
1980-06-18,9.63,,9.63,9.5,26200.0
1980-06-19,9.5,,9.63,9.38,23500.0
1980-06-20,9.5,,9.5,9.38,18500.0
1980-06-23,9.38,,9.5,9.38,31200.0
1980-06-24,9.25,,9.5,9.25,18700.0
1980-06-25,9.5,,9.5,9.25,24200.0
1980-06-26,9.63,,9.75,9.38,339800.0
1980-06-27,9.63,,9.75,9.5,18000.0
1980-06-30,9.5,,9.63,9.5,29400.0
1980-07-01,9.5,,9.63,9.38,25600.0
1980-07-02,9.5,,9.5,9.38,27000.0
1980-07-03,9.5,,9.63,9.38,28400.0
1980-07-07,9.5,,9.63,9.38,27900.0
1980-07-08,9.5,,9.63,9.5,24300.0
1980-07-09,9.38,,9.63,9.38,18400.0
1980-07-10,9.5,,9.5,9.25,22700.0
1980-07-11,9.25,,9.5,9.25,24000.0
1980-07-14,9.25,,9.5,9.25,25800.0
1980-07-15,9.38,,9.5,9.25,41800.0
1980-07-16,9.5,,9.5,9.38,18400.0
1980-07-17,9.5,,9.5,9.25,21800.0
1980-07-18,9.5,,9.5,9.38,20900.0
1980-07-21,9.25,,9.38,9.25,25800.0
1980-07-22,9.25,,9.5,9.25,18800.0
1980-07-23,9.25,,9.25,9.0,25700.0
1980-07-24,9.25,,9.38,9.13,19000.0
1980-07-25,9.13,,9.25,9.0,50800.0
1980-07-28,8.88,,9.13,8.75,50800.0
1980-07-29,9.0,,9.13,8.88,19700.0
1980-07-30,9.13,,9.13,9.0,32600.0
1980-07-31,9.0,,9.13,9.0,21100.0
1980-08-01,9.13,,9.13,9.0,13800.0
1980-08-04,9.0,,9.13,9.0,22500.0
1980-08-05,9.13,,9.13,8.88,27800.0
1980-08-06,9.13,,9.13,8.88,18700.0
1980-08-07,8.88,,9.13,8.88,18300.0
1980-08-08,9.0,,9.13,8.88,25200.0
1980-08-11,9.0,,9.13,9.0,17400.0
1980-08-12,9.0,,9.13,9.0,19800.0
1980-08-13,9.13,,9.25,9.0,26100.0
1980-08-14,9.25,,9.25,9.0,14700.0
1980-08-15,9.25,,9.25,9.0,13400.0
1980-08-18,9.0,,9.25,9.0,20300.0
1980-08-19,9.13,,9.13,9.0,21200.0
1980-08-20,9.0,,9.13,9.0,23500.0
1980-08-21,9.13,,9.13,9.0,24300.0
1980-08-22,9.25,,9.25,9.0,43700.0
1980-08-25,8.75,,8.88,8.5,44600.0
1980-08-26,8.75,,8.88,8.75,262500.0
1980-08-27,8.75,,8.88,8.75,15500.0
1980-08-28,8.88,,9.0,8.75,18600.0
1980-08-29,8.88,,9.13,8.75,23400.0
