Date,Close,Open,High,Low,Volume
6/7/1994,19.38,19.5,19.63,19.13,1595400.0
6/8/1994,19.25,19.25,19.38,19.13,162400.0
6/9/1994,19.25,19.25,19.25,19.13,76200.0
6/10/1994,19.13,19.13,19.25,19.0,110500.0
6/13/1994,19.13,19.0,19.13,19.0,51200.0
6/14/1994,19.25,19.13,19.25,19.13,28100.0
6/15/1994,19.25,19.25,19.5,19.13,96700.0
6/16/1994,19.13,19.25,19.25,19.13,19800.0
6/17/1994,19.0,19.25,19.25,19.0,56000.0
6/20/1994,19.13,19.13,19.13,19.0,43500.0
6/21/1994,19.0,19.13,19.13,19.0,34700.0
6/22/1994,19.0,19.0,19.13,19.0,29500.0
6/23/1994,18.75,19.0,19.13,18.75,67900.0
6/24/1994,18.38,18.63,18.63,18.13,72500.0
6/27/1994,17.88,18.38,18.38,17.25,70100.0
6/28/1994,17.63,18.0,18.13,17.5,64700.0
6/29/1994,17.88,17.75,18.13,17.75,25100.0
6/30/1994,17.63,18.0,18.0,17.63,26100.0
7/1/1994,17.75,17.75,17.75,17.38,25500.0
7/5/1994,17.88,17.75,17.88,17.75,2900.0
7/6/1994,17.63,17.88,17.88,17.5,33600.0
7/7/1994,17.63,17.75,17.88,17.63,30500.0
7/8/1994,17.63,17.75,17.88,17.63,30200.0
7/11/1994,17.75,17.5,17.88,17.5,29300.0
7/12/1994,17.75,17.88,17.88,17.63,11700.0
7/13/1994,17.75,17.75,17.88,17.63,37800.0
7/14/1994,17.88,17.63,17.88,17.63,24600.0
7/15/1994,18.0,17.88,18.0,17.88,15000.0
7/18/1994,18.0,18.0,18.0,17.88,22900.0
7/19/1994,18.5,18.0,18.5,18.0,25700.0
7/20/1994,18.25,18.5,18.5,18.13,15900.0
7/21/1994,18.25,18.0,18.25,18.0,16000.0
7/22/1994,18.38,18.25,18.5,18.25,18800.0
7/25/1994,18.5,18.38,18.5,18.25,20100.0
7/26/1994,18.5,18.63,18.63,18.38,14200.0
7/27/1994,18.25,18.38,18.38,18.13,10100.0
7/28/1994,17.88,18.13,18.13,17.88,9200.0
7/29/1994,17.75,17.63,17.88,17.63,71400.0
8/1/1994,17.63,17.63,17.75,17.63,23500.0
8/2/1994,18.13,17.63,18.13,17.63,36700.0
8/3/1994,18.38,18.13,18.38,17.88,16300.0
8/4/1994,18.0,18.38,18.38,17.88,19800.0
8/5/1994,18.0,18.0,18.0,17.88,9100.0
8/8/1994,18.0,18.0,18.13,17.88,20100.0
8/9/1994,17.75,17.75,17.88,17.75,26700.0
8/10/1994,18.13,17.75,18.13,17.75,52600.0
8/11/1994,17.88,17.88,18.25,17.88,15800.0
8/12/1994,18.0,18.0,18.13,17.88,6100.0
8/15/1994,17.88,18.0,18.0,17.88,14400.0
8/16/1994,18.13,17.88,18.13,17.88,16800.0
8/17/1994,18.13,18.0,18.13,18.0,14500.0
8/18/1994,18.0,18.0,18.0,17.88,11500.0
8/19/1994,18.0,17.88,18.13,17.88,10300.0
8/22/1994,18.13,18.0,18.13,18.0,6500.0
8/23/1994,18.13,18.13,18.13,18.0,9600.0
8/24/1994,18.13,18.0,18.13,18.0,18300.0
8/25/1994,17.75,18.0,18.13,17.75,12800.0
8/26/1994,18.0,17.88,18.0,17.75,13400.0
8/29/1994,18.13,17.88,18.13,17.88,11900.0
8/30/1994,18.25,18.13,18.25,18.0,39400.0
8/31/1994,18.38,18.25,18.5,18.25,23900.0
9/1/1994,18.5,18.38,18.5,18.25,31400.0
9/2/1994,19.0,18.5,19.0,18.38,27800.0
9/6/1994,18.75,18.88,18.88,18.63,8800.0
9/7/1994,18.75,18.75,18.88,18.63,10800.0
9/8/1994,18.63,18.88,18.88,18.63,7100.0
9/9/1994,18.63,18.75,18.75,18.25,17800.0
9/12/1994,18.75,18.63,18.75,18.63,9300.0
9/13/1994,18.5,18.63,18.75,18.5,11400.0
9/14/1994,18.38,18.5,18.63,18.38,7800.0
9/15/1994,18.63,18.5,18.63,18.25,8700.0
9/16/1994,18.25,18.5,18.63,18.25,10700.0
9/19/1994,18.5,18.13,18.5,18.13,7200.0
9/20/1994,18.63,18.5,18.75,18.5,11700.0
9/21/1994,18.38,18.63,18.63,18.13,12800.0
9/22/1994,18.0,18.38,18.38,17.88,20400.0
9/23/1994,17.88,18.0,18.0,17.63,5500.0
9/26/1994,18.0,17.25,18.0,17.13,18000.0
9/27/1994,18.0,18.13,18.13,17.88,5300.0
9/28/1994,17.38,17.88,18.0,17.38,9200.0
9/29/1994,17.88,17.5,17.88,17.5,6300.0
9/30/1994,18.0,17.75,18.0,17.75,6400.0
10/3/1994,17.75,18.0,18.0,17.75,5900.0
10/4/1994,17.75,17.88,18.0,17.75,5500.0
10/5/1994,17.0,17.63,17.75,16.88,15300.0
10/6/1994,16.75,17.0,17.13,16.75,35900.0
10/7/1994,17.0,16.88,17.0,16.88,36500.0
10/10/1994,17.0,17.0,17.38,17.0,23700.0
10/11/1994,16.75,16.75,17.0,16.5,32900.0
10/12/1994,17.0,16.88,17.0,16.75,12700.0
10/13/1994,16.75,17.0,17.0,16.75,6400.0
10/14/1994,16.63,16.63,16.75,16.5,10200.0
10/17/1994,16.88,16.75,16.88,16.75,8100.0
10/18/1994,16.88,17.25,17.25,16.88,24700.0
10/19/1994,16.75,16.75,16.88,16.63,9200.0
10/20/1994,16.88,16.5,17.0,16.5,20700.0
10/21/1994,17.13,17.0,17.13,16.88,5000.0
10/24/1994,17.13,17.25,17.25,17.13,4900.0
10/25/1994,16.88,17.13,17.13,16.63,12000.0
10/26/1994,16.63,16.75,16.88,16.5,9600.0
10/27/1994,16.63,16.63,16.63,16.5,43100.0
10/28/1994,17.25,16.75,17.25,16.75,7600.0
10/31/1994,17.63,17.25,17.63,17.13,18400.0
11/1/1994,17.25,17.5,17.5,17.0,11200.0
11/2/1994,17.5,17.25,17.5,17.25,12900.0
11/3/1994,17.38,17.5,17.5,17.38,16800.0
11/4/1994,17.38,17.25,17.38,17.25,56300.0
11/7/1994,17.25,17.25,17.25,17.13,3300.0
11/8/1994,17.13,17.13,17.38,17.0,16900.0
11/9/1994,17.13,17.25,17.38,17.0,12200.0
11/10/1994,16.88,17.25,17.25,16.75,5600.0
11/11/1994,16.63,16.75,16.75,16.5,8900.0
11/14/1994,16.63,16.75,16.88,16.63,10800.0
11/15/1994,16.5,16.88,16.88,16.5,10800.0
11/16/1994,15.88,16.5,16.5,15.75,14500.0
11/17/1994,16.25,16.0,16.38,16.0,17400.0
11/18/1994,16.63,16.38,16.63,16.25,10900.0
11/21/1994,16.38,16.5,16.63,16.38,5800.0
11/22/1994,16.5,16.5,16.63,16.38,2300.0
11/23/1994,17.0,16.38,17.25,16.38,17100.0
11/25/1994,16.88,16.88,17.0,16.75,3600.0
11/28/1994,17.0,17.0,17.0,16.75,8300.0
11/29/1994,16.88,17.25,17.25,16.88,6900.0
11/30/1994,17.0,16.88,17.0,16.88,5600.0
12/1/1994,16.63,17.0,17.13,16.63,13800.0
12/2/1994,16.5,16.5,16.5,16.38,4200.0
12/5/1994,16.25,16.38,16.38,16.25,5800.0
12/6/1994,16.13,16.25,16.5,16.0,8100.0
12/7/1994,16.13,16.25,16.5,16.13,11900.0
12/8/1994,15.63,16.0,16.0,15.38,17300.0
12/9/1994,15.75,15.63,15.75,15.5,8400.0
12/12/1994,15.75,15.63,16.0,15.63,5800.0
12/13/1994,15.75,15.88,15.88,15.5,9600.0
12/14/1994,15.75,15.75,16.0,15.75,20700.0
12/15/1994,16.5,15.88,16.5,15.88,8900.0
12/16/1994,16.25,16.63,17.0,16.13,26300.0
12/19/1994,16.13,16.38,16.5,15.63,23000.0
12/20/1994,16.0,16.25,16.25,16.0,6200.0
12/21/1994,15.75,16.0,16.0,15.5,20600.0
12/22/1994,15.63,15.5,15.75,15.5,37100.0
12/23/1994,15.38,15.5,15.5,15.13,28000.0
12/27/1994,15.13,15.25,15.38,15.0,13900.0
12/28/1994,14.88,15.25,15.25,14.63,23400.0
12/29/1994,15.13,15.0,15.38,15.0,17100.0
12/30/1994,15.13,15.13,15.25,14.75,33000.0
1/3/1995,16.0,15.25,16.0,15.25,10700.0
1/4/1995,16.25,16.13,16.38,16.0,7000.0
1/5/1995,16.38,16.13,16.5,16.13,13200.0
1/6/1995,16.63,16.38,16.63,16.38,7200.0
1/9/1995,16.5,16.75,16.75,16.5,3300.0
1/10/1995,16.5,16.63,16.63,16.25,7300.0
1/11/1995,16.38,16.63,16.63,16.38,8300.0
1/12/1995,16.38,16.5,16.5,16.38,6100.0
1/13/1995,16.5,16.5,16.63,16.38,10800.0
1/16/1995,16.38,16.38,16.5,16.38,2200.0
1/17/1995,16.5,16.75,16.75,16.25,17000.0
1/18/1995,16.5,16.5,16.5,16.13,25100.0
1/19/1995,16.13,16.13,16.13,15.75,39100.0
1/20/1995,16.25,16.25,16.38,16.25,4000.0
1/23/1995,16.0,16.13,16.13,15.88,6000.0
1/24/1995,16.13,15.88,16.13,15.75,6900.0
1/25/1995,16.38,16.25,16.38,16.13,5200.0
1/26/1995,16.25,16.5,16.5,16.25,3000.0
1/27/1995,16.5,16.63,16.63,16.5,2700.0
1/30/1995,16.63,16.5,16.63,16.5,4500.0
1/31/1995,16.5,16.5,16.5,16.25,3800.0
2/1/1995,16.38,16.63,16.63,16.38,12900.0
2/2/1995,16.5,16.5,16.5,16.38,5100.0
2/3/1995,16.0,16.5,16.5,16.0,35300.0
2/6/1995,16.13,16.0,16.13,16.0,13200.0
2/7/1995,16.0,16.0,16.25,16.0,14700.0
2/8/1995,15.75,16.0,16.0,15.63,22400.0
2/9/1995,16.0,15.75,16.0,15.75,19900.0
2/10/1995,16.0,16.0,16.13,15.63,16600.0
2/13/1995,15.5,16.0,16.0,15.5,19000.0
2/14/1995,15.88,15.75,15.88,15.63,9300.0
2/15/1995,16.13,16.0,16.13,15.88,4000.0
2/16/1995,15.88,16.0,16.0,15.88,2900.0
2/17/1995,15.88,16.0,16.0,15.75,3400.0
2/21/1995,15.75,15.88,15.88,14.63,32100.0
2/22/1995,15.75,15.75,15.75,15.5,12000.0
2/23/1995,15.88,15.75,15.88,15.5,13100.0
2/24/1995,15.88,15.75,15.88,15.38,11100.0
2/27/1995,16.0,15.88,16.0,15.75,12600.0
2/28/1995,16.13,15.88,16.13,15.75,13400.0
3/1/1995,16.0,16.13,16.13,15.88,2800.0
3/2/1995,15.63,16.0,16.0,15.63,43600.0
3/3/1995,15.38,15.75,15.88,15.38,10000.0
3/6/1995,15.38,15.5,15.5,15.38,9900.0
3/7/1995,15.5,15.5,15.63,15.38,6400.0
3/8/1995,15.38,15.5,15.63,15.38,3200.0
3/9/1995,15.5,15.5,15.75,15.38,20500.0
3/10/1995,15.38,15.38,15.5,15.38,2100.0
3/13/1995,15.38,15.5,15.5,15.25,6600.0
3/14/1995,15.5,15.38,15.75,15.25,5600.0
3/15/1995,15.88,15.5,15.88,15.5,6800.0
3/16/1995,15.63,16.0,16.0,15.63,9600.0
3/17/1995,15.75,15.63,15.75,15.5,6400.0
3/20/1995,16.0,15.75,16.0,15.75,26200.0
3/21/1995,16.0,16.0,16.0,15.88,7600.0
3/22/1995,15.88,15.88,16.0,15.88,9200.0
3/23/1995,16.0,16.0,16.25,16.0,125800.0
3/24/1995,16.38,16.13,16.38,16.0,101400.0
3/27/1995,16.0,15.75,16.0,15.63,6700.0
3/28/1995,15.88,16.0,16.0,15.75,9600.0
3/29/1995,16.0,16.0,16.0,15.75,90500.0
3/30/1995,16.0,16.0,16.0,15.88,9600.0
3/31/1995,15.88,15.75,16.0,15.75,3000.0
4/3/1995,15.75,15.75,15.88,15.75,2100.0
4/4/1995,15.75,15.88,15.88,15.63,5000.0
4/5/1995,16.13,15.88,16.13,15.88,14400.0
4/6/1995,16.5,16.0,16.5,16.0,32100.0
4/7/1995,16.38,16.38,16.38,16.38,1500.0
4/10/1995,16.5,16.25,16.5,16.25,38700.0
4/11/1995,16.5,16.38,16.5,16.38,5700.0
4/12/1995,16.38,16.5,16.63,16.38,3000.0
4/13/1995,16.5,16.63,16.63,16.5,3600.0
4/17/1995,16.25,16.5,16.5,16.25,1900.0
4/18/1995,16.25,16.5,16.5,16.25,6800.0
4/19/1995,16.5,16.25,16.5,16.25,7100.0
4/20/1995,16.25,16.5,16.5,16.13,6000.0
4/21/1995,16.63,16.25,16.63,16.13,5100.0
4/24/1995,16.0,16.38,16.38,16.0,3400.0
4/25/1995,16.13,16.13,16.25,16.0,15600.0
4/26/1995,15.88,16.0,16.25,15.75,6100.0
4/27/1995,16.0,15.88,16.13,15.88,3600.0
4/28/1995,16.25,16.13,16.38,16.13,7000.0
5/1/1995,16.5,16.38,16.63,16.25,4500.0
5/2/1995,16.25,16.38,16.5,16.0,9200.0
5/3/1995,16.38,16.38,16.38,16.25,11600.0
5/4/1995,16.75,16.5,16.75,16.5,10100.0
5/5/1995,17.0,16.75,17.13,16.75,5200.0
5/8/1995,17.38,17.0,17.38,16.88,9200.0
5/9/1995,18.0,17.38,18.0,17.38,30500.0
5/10/1995,17.88,18.13,18.13,17.88,18500.0
5/11/1995,18.0,18.0,18.13,17.88,9000.0
5/12/1995,17.88,18.0,18.0,17.75,21800.0
5/15/1995,17.5,18.0,18.0,17.13,18300.0
5/16/1995,17.5,17.38,17.5,17.38,5800.0
5/17/1995,17.38,17.5,17.75,17.38,4700.0
5/18/1995,17.25,17.38,17.5,17.25,6800.0
5/19/1995,17.5,17.25,17.75,17.25,4100.0
5/22/1995,17.25,17.38,17.38,17.13,15800.0
5/23/1995,17.38,17.38,17.63,17.25,11200.0
5/24/1995,17.38,17.5,17.63,17.38,6500.0
5/25/1995,17.63,17.5,17.63,17.5,2900.0
5/26/1995,17.5,17.63,17.75,17.38,8300.0
5/30/1995,17.75,17.63,17.75,17.5,2000.0
5/31/1995,17.88,17.63,17.88,17.63,14400.0
6/1/1995,17.75,17.75,17.88,17.63,6500.0
6/2/1995,17.88,17.63,17.88,17.38,20200.0
6/5/1995,17.88,17.88,17.88,17.88,1500.0
6/6/1995,17.88,17.88,17.88,17.75,1700.0
6/7/1995,17.5,17.75,17.75,17.38,7300.0
6/8/1995,17.63,17.38,17.75,17.38,4500.0
6/9/1995,17.5,17.75,17.75,17.38,5600.0
6/12/1995,17.75,17.63,17.75,17.38,5700.0
6/13/1995,17.5,17.63,17.63,17.38,6300.0
6/14/1995,17.63,17.63,17.75,17.38,13300.0
6/15/1995,17.5,17.75,17.75,17.5,21500.0
6/16/1995,17.38,17.63,17.63,17.25,11700.0
6/19/1995,17.63,17.25,17.63,17.25,5100.0
6/20/1995,17.38,17.75,17.75,17.38,23200.0
6/21/1995,17.5,17.5,17.63,17.13,39800.0
6/22/1995,17.75,17.5,17.75,17.38,20700.0
6/23/1995,17.63,17.75,17.75,17.5,34800.0
6/26/1995,17.75,17.25,17.75,17.25,33900.0
6/27/1995,18.13,17.75,18.13,17.63,29800.0
6/28/1995,17.38,17.5,17.63,17.25,4100.0
6/29/1995,17.5,17.5,17.75,17.5,7100.0
6/30/1995,18.13,17.63,18.13,17.5,21100.0
7/3/1995,18.25,18.25,18.25,18.25,2600.0
7/5/1995,18.0,18.0,18.13,17.88,18300.0
7/6/1995,18.25,18.13,18.25,17.88,22500.0
7/7/1995,18.0,18.25,18.25,17.88,3200.0
