Date,Close,Open,High,Low,Volume
1980-03-17,1.88,,1.9,1.86,10300.0
1980-03-18,1.88,,1.9,1.84,24000.0
1980-03-19,1.9,,1.91,1.88,8300.0
1980-03-20,1.88,,1.89,1.85,15900.0
1980-03-21,1.88,,1.89,1.86,30200.0
1980-03-24,1.84,,1.88,1.84,19400.0
1980-03-25,1.81,,1.85,1.8,18800.0
1980-03-26,1.82,,1.85,1.82,13200.0
1980-03-27,1.82,,1.83,1.82,15500.0
1980-03-28,1.84,,1.88,1.84,6500.0
1980-03-31,1.91,,1.91,1.85,11400.0
1980-04-01,1.91,,1.91,1.88,13500.0
1980-04-02,1.91,,1.92,1.89,63100.0
1980-04-03,1.85,,1.92,1.84,22000.0
1980-04-07,1.88,,1.88,1.84,56200.0
1980-04-08,1.92,,1.92,1.85,44200.0
1980-04-09,1.92,,1.94,1.92,57300.0
1980-04-10,1.88,,1.95,1.88,5300.0
1980-04-11,1.91,,1.94,1.89,8600.0
1980-04-14,1.9,,1.92,1.88,4100.0
1980-04-15,1.89,,1.9,1.89,3100.0
1980-04-16,1.78,,1.89,1.78,56700.0
1980-04-17,1.7,,1.75,1.69,91100.0
1980-04-18,1.69,,1.74,1.69,12400.0
1980-04-21,1.73,,1.73,1.69,9000.0
1980-04-22,1.79,,1.82,1.73,14400.0
1980-04-23,1.85,,1.86,1.85,11900.0
1980-04-24,1.92,,1.93,1.85,8300.0
1980-04-25,1.91,,1.94,1.88,15500.0
1980-04-28,1.94,,1.96,1.93,3800.0
1980-04-29,1.95,,1.97,1.94,7700.0
1980-04-30,1.95,,1.95,1.93,6600.0
1980-05-01,1.97,,2.02,1.97,13500.0
1980-05-02,1.95,,1.96,1.93,11000.0
1980-05-05,1.95,,1.95,1.94,44200.0
1980-05-06,1.96,,1.97,1.94,39800.0
1980-05-07,1.93,,1.96,1.93,23600.0
1980-05-08,1.91,,1.96,1.91,85000.0
1980-05-09,1.9,,1.92,1.9,17600.0
1980-05-12,1.89,,1.9,1.88,6400.0
1980-05-13,1.9,,1.92,1.88,16000.0
1980-05-14,1.85,,1.94,1.85,12600.0
1980-05-15,1.84,,1.85,1.84,24500.0
1980-05-16,1.92,,1.92,1.84,29600.0
1980-05-19,1.9,,1.92,1.9,9600.0
1980-05-20,1.88,,1.92,1.88,10100.0
1980-05-21,1.89,,1.9,1.86,22900.0
1980-05-22,2.01,,2.01,1.9,38300.0
1980-05-23,2.07,,2.1,2.0,65200.0
1980-05-27,2.04,,2.07,2.02,35600.0
1980-05-28,2.1,,2.1,2.03,24800.0
1980-05-29,2.05,,2.1,2.05,11600.0
1980-05-30,2.09,,2.11,2.06,24400.0
1980-06-02,2.05,,2.08,2.05,7700.0
1980-06-03,2.05,,2.08,2.02,29400.0
1980-06-04,2.05,,2.07,2.05,11000.0
1980-06-05,2.04,,2.07,2.04,11000.0
1980-06-06,2.03,,2.06,2.03,21000.0
1980-06-09,2.03,,2.04,2.03,4000.0
1980-06-10,2.04,,2.05,2.03,6200.0
1980-06-11,2.04,,2.06,2.04,17400.0
1980-06-12,2.04,,2.05,2.03,9800.0
1980-06-13,2.05,,2.07,2.04,14900.0
1980-06-16,2.05,,2.05,2.05,1800.0
1980-06-17,2.05,,2.05,2.05,8300.0
1980-06-18,2.08,,2.08,2.04,12400.0
1980-06-19,2.08,,2.08,2.08,7500.0
1980-06-20,2.08,,2.1,2.08,20800.0
1980-06-23,2.1,,2.1,2.08,5200.0
1980-06-24,2.17,,2.17,2.1,15900.0
1980-06-25,2.19,,2.19,2.17,15300.0
1980-06-26,2.23,,2.25,2.18,20300.0
1980-06-27,2.27,,2.29,2.24,85500.0
1980-06-30,2.23,,2.28,2.23,23800.0
1980-07-01,2.21,,2.23,2.19,41700.0
1980-07-02,2.2,,2.23,2.19,7900.0
1980-07-03,2.22,,2.23,2.2,7700.0
1980-07-07,2.2,,2.23,2.19,11400.0
1980-07-08,2.23,,2.31,2.23,86400.0
1980-07-09,2.29,,2.31,2.25,19100.0
1980-07-10,2.26,,2.29,2.26,8500.0
1980-07-11,2.23,,2.27,2.23,13300.0
1980-07-14,2.24,,2.25,2.23,9000.0
1980-07-15,2.29,,2.34,2.29,81800.0
1980-07-16,2.31,,2.33,2.29,88700.0
1980-07-17,2.32,,2.32,2.31,7900.0
1980-07-18,2.4,,2.42,2.34,91000.0
1980-07-21,2.39,,2.4,2.39,9600.0
1980-07-22,2.43,,2.45,2.39,16000.0
1980-07-23,2.48,,2.5,2.43,62000.0
1980-07-24,2.47,,2.49,2.47,10300.0
1980-07-25,2.48,,2.5,2.47,64200.0
1980-07-28,2.45,,2.47,2.45,25600.0
1980-07-29,2.43,,2.46,2.43,60100.0
1980-07-30,2.48,,2.5,2.44,36700.0
1980-07-31,2.49,,2.5,2.48,8800.0
1980-08-01,2.5,,2.52,2.49,37600.0
1980-08-04,2.46,,2.49,2.46,18200.0
1980-08-05,2.47,,2.48,2.46,11300.0
1980-08-06,2.47,,2.48,2.47,4600.0
1980-08-07,2.47,,2.47,2.47,9000.0
1980-08-08,2.49,,2.5,2.48,20800.0
1980-08-11,2.5,,2.51,2.48,10900.0
1980-08-12,2.5,,2.51,2.5,19200.0
1980-08-13,2.5,,2.5,2.48,32200.0
1980-08-14,2.47,,2.49,2.47,11800.0
1980-08-15,2.48,,2.52,2.48,9500.0
1980-08-18,2.46,,2.48,2.46,6300.0
1980-08-19,2.44,,2.46,2.44,6600.0
1980-08-20,2.45,,2.47,2.41,7300.0
1980-08-21,2.56,,2.58,2.47,90300.0
1980-08-22,2.65,,2.66,2.6,57400.0
1980-08-25,2.65,,2.67,2.61,26900.0
1980-08-26,2.63,,2.67,2.6,24700.0
1980-08-27,2.59,,2.63,2.59,14400.0
1980-08-28,2.55,,2.59,2.55,14600.0
1980-08-29,2.52,,2.54,2.52,3700.0
1980-09-02,2.51,,2.54,2.51,6600.0
1980-09-03,2.52,,2.52,2.51,9900.0
1980-09-04,2.65,,2.67,2.59,41500.0
1980-09-05,2.65,,2.68,2.64,19200.0
1980-09-08,2.61,,2.68,2.6,25800.0
1980-09-09,2.61,,2.63,2.59,10900.0
1980-09-10,2.72,,2.72,2.63,46400.0
1980-09-11,2.81,,2.81,2.72,62400.0
1980-09-12,2.75,,2.8,2.75,25300.0
1980-09-15,2.75,,2.77,2.72,13200.0
1980-09-16,2.83,,2.83,2.76,74800.0
1980-09-17,2.83,,2.86,2.81,23700.0
1980-09-18,2.83,,2.89,2.83,31100.0
1980-09-19,2.85,,2.86,2.83,98000.0
1980-09-22,2.83,,2.86,2.81,24400.0
1980-09-23,2.78,,2.86,2.77,25000.0
1980-09-24,2.72,,2.76,2.71,49000.0
1980-09-25,2.71,,2.91,2.71,4700.0
1980-09-26,2.67,,2.7,2.67,26500.0
1980-09-29,2.69,,2.69,2.65,36400.0
1980-09-30,2.7,,2.73,2.66,49100.0
1980-10-01,2.71,,2.73,2.69,32800.0
1980-10-02,2.68,,2.73,2.68,30500.0
1980-10-03,2.69,,2.73,2.67,37800.0
1980-10-06,2.66,,2.7,2.64,28900.0
1980-10-07,2.6,,2.66,2.6,8000.0
1980-10-08,2.52,,2.63,2.52,20700.0
1980-10-09,2.57,,2.59,2.54,13200.0
1980-10-10,2.48,,2.57,2.48,23600.0
1980-10-13,2.5,,2.5,2.47,5800.0
1980-10-14,2.48,,2.51,2.46,9900.0
1980-10-15,2.48,,2.5,2.47,8900.0
1980-10-16,2.43,,2.52,2.43,20500.0
1980-10-17,2.4,,2.47,2.4,29300.0
1980-10-20,2.32,,2.42,2.29,13000.0
1980-10-21,2.32,,2.33,2.31,28100.0
1980-10-22,2.3,,2.33,2.3,17900.0
1980-10-23,2.27,,2.3,2.25,33800.0
1980-10-24,2.3,,2.32,2.3,14700.0
1980-10-27,2.3,,2.35,2.3,10100.0
1980-10-28,2.35,,2.35,2.31,5700.0
1980-10-29,2.48,,2.48,2.36,14700.0
1980-10-30,2.49,,2.53,2.48,12700.0
1980-10-31,2.46,,2.46,2.42,5100.0
1980-11-03,2.48,,2.5,2.44,6300.0
1980-11-05,2.65,,2.66,2.58,35400.0
1980-11-06,2.58,,2.65,2.56,48500.0
1980-11-07,2.55,,2.58,2.54,11500.0
1980-11-10,2.54,,2.57,2.51,15100.0
1980-11-11,2.54,,2.54,2.52,1800.0
1980-11-12,2.48,,2.52,2.46,68600.0
1980-11-13,2.48,,2.52,2.48,40500.0
1980-11-14,2.5,,2.52,2.46,9500.0
1980-11-17,2.48,,2.5,2.46,10400.0
