Date,Close,Open,High,Low,Volume
2000-03-27,1.38,1.27,1.39,1.27,918900.0
2000-03-28,1.34,1.38,1.38,1.33,269400.0
2000-03-29,1.33,1.33,1.34,1.32,109300.0
2000-03-30,1.28,1.33,1.33,1.28,470900.0
2000-03-31,1.13,1.24,1.24,1.13,1982900.0
2000-04-03,1.15,1.17,1.23,1.15,2871700.0
2000-04-04,1.17,1.18,1.19,1.03,3344200.0
2000-04-05,1.16,1.16,1.19,1.15,1555200.0
2000-04-06,1.19,1.17,1.2,1.16,1795300.0
2000-04-07,1.2,1.2,1.27,1.2,3476200.0
2000-04-10,1.21,1.23,1.25,1.21,1320200.0
2000-04-11,1.19,1.19,1.22,1.19,1647500.0
2000-04-12,1.19,1.18,1.21,1.18,2136600.0
2000-04-13,1.2,1.19,1.22,1.19,1718600.0
2000-04-14,1.2,1.2,1.21,1.18,656500.0
2000-04-17,1.19,1.19,1.2,1.17,748000.0
2000-04-18,1.17,1.2,1.21,1.16,724000.0
2000-04-19,1.2,1.19,1.22,1.19,1165600.0
2000-04-20,1.22,1.19,1.23,1.19,1139700.0
2000-04-24,1.19,1.2,1.22,1.18,953800.0
2000-04-25,1.26,1.19,1.26,1.16,1158900.0
2000-04-26,1.28,1.26,1.38,1.25,1330300.0
2000-04-27,1.23,1.26,1.26,1.21,1021300.0
2000-04-28,1.25,1.23,1.25,1.21,884800.0
2000-05-01,1.23,1.25,1.25,1.2,1077500.0
2000-05-02,1.21,1.22,1.23,1.2,671100.0
2000-05-03,1.19,1.18,1.21,1.17,1041100.0
2000-05-04,1.23,1.2,1.23,1.19,902600.0
2000-05-05,1.26,1.24,1.28,1.24,427700.0
2000-05-08,1.27,1.28,1.3,1.27,358900.0
2000-05-09,1.25,1.29,1.29,1.25,335900.0
2000-05-10,1.27,1.25,1.28,1.24,193800.0
2000-05-11,1.24,1.27,1.29,1.23,571800.0
2000-05-12,1.31,1.24,1.31,1.24,192100.0
2000-05-15,1.36,1.29,1.41,1.29,332100.0
2000-05-16,1.38,1.38,1.41,1.36,315900.0
2000-05-17,1.33,1.38,1.38,1.32,629300.0
2000-05-18,1.3,1.33,1.34,1.29,519700.0
