Date,Close,Open,High,Low,Volume
3/17/1980,4.37,,4.55,4.37,34400.0
3/18/1980,4.5,,4.55,4.37,52200.0
3/19/1980,4.46,,4.5,4.46,28600.0
3/20/1980,4.41,,4.5,4.37,28600.0
3/21/1980,4.46,,4.5,4.41,24700.0
3/24/1980,4.28,,4.41,4.28,72600.0
3/25/1980,4.32,,4.37,4.23,53900.0
3/26/1980,4.28,,4.32,4.28,51600.0
3/27/1980,4.32,,4.32,4.28,42400.0
3/28/1980,4.32,,4.32,4.28,39000.0
3/31/1980,4.37,,4.37,4.28,48500.0
4/1/1980,4.41,,4.46,4.37,41700.0
4/2/1980,4.55,,4.64,4.5,52800.0
4/3/1980,4.64,,4.9,4.5,36900.0
4/7/1980,4.64,,4.68,4.55,48600.0
4/8/1980,4.64,,4.64,4.59,33500.0
4/9/1980,4.64,,4.68,4.59,45700.0
4/10/1980,4.81,,4.81,4.68,40000.0
4/11/1980,4.9,,4.9,4.81,34800.0
4/14/1980,4.86,,4.9,4.81,39200.0
4/15/1980,4.9,,4.9,4.81,24100.0
4/16/1980,4.99,,5.04,4.9,31000.0
4/17/1980,5.08,,5.13,4.99,53000.0
4/18/1980,5.08,,5.08,4.99,52200.0
4/21/1980,5.04,,5.04,4.99,30900.0
4/22/1980,4.95,,5.04,4.95,28900.0
4/23/1980,4.95,,4.99,4.9,40700.0
4/24/1980,4.95,,5.04,4.9,72700.0
4/25/1980,4.99,,5.04,4.95,28900.0
4/28/1980,4.99,,5.04,4.95,41000.0
4/29/1980,4.99,,4.99,4.95,24100.0
4/30/1980,5.04,,5.04,4.95,23900.0
5/1/1980,4.99,,5.04,4.95,19300.0
5/2/1980,4.99,,4.99,4.95,14800.0
5/5/1980,5.08,,5.08,4.95,48000.0
5/6/1980,5.26,,5.26,5.13,85700.0
5/7/1980,5.39,,5.39,5.26,38000.0
5/8/1980,5.44,,5.48,5.35,52600.0
5/9/1980,5.35,,5.44,5.3,20300.0
5/12/1980,5.44,,5.44,5.39,13700.0
5/13/1980,5.48,,5.53,5.39,53300.0
5/14/1980,5.57,,5.57,5.48,28600.0
5/15/1980,5.53,,5.62,5.48,85900.0
5/16/1980,5.57,,5.57,5.53,20900.0
5/19/1980,5.39,,5.57,5.39,26800.0
5/20/1980,5.44,,5.48,5.39,45400.0
5/21/1980,5.21,,5.21,5.13,66000.0
5/22/1980,5.21,,5.26,5.17,34000.0
5/23/1980,5.26,,5.3,5.21,90600.0
5/27/1980,5.21,,5.3,5.17,32200.0
5/28/1980,5.17,,5.26,5.13,19100.0
5/29/1980,5.08,,5.17,5.04,47400.0
5/30/1980,5.17,,5.17,5.04,38500.0
6/2/1980,5.13,,5.17,5.08,29300.0
6/3/1980,5.08,,5.17,5.04,41700.0
6/4/1980,5.13,,5.17,5.08,19700.0
6/5/1980,5.08,,5.17,5.08,68400.0
6/6/1980,5.13,,5.17,4.99,51400.0
6/9/1980,5.08,,5.13,5.04,22800.0
6/10/1980,5.08,,5.08,5.04,38700.0
6/11/1980,5.13,,5.17,5.04,33300.0
6/12/1980,5.13,,5.17,5.08,34500.0
6/13/1980,5.21,,5.57,5.17,61000.0
6/16/1980,5.3,,5.3,5.17,37400.0
6/17/1980,5.39,,5.48,5.08,96000.0
6/18/1980,5.39,,5.44,5.39,53900.0
6/19/1980,5.44,,5.44,5.39,42000.0
6/20/1980,5.39,,5.44,5.39,43000.0
6/23/1980,5.26,,5.39,5.21,43500.0
6/24/1980,5.21,,5.3,5.21,79500.0
6/25/1980,5.26,,5.3,5.21,35000.0
6/26/1980,5.13,,5.3,5.13,45400.0
6/27/1980,5.26,,5.3,5.21,29900.0
6/30/1980,5.17,,5.3,5.17,33800.0
