Date,Close,Open,High,Low,Volume
1984-09-26,0.17,0.17,0.18,0.17,12500.0
1984-09-27,0.17,0.17,0.18,0.17,5000.0
1984-09-28,0.17,0.17,0.18,0.17,4200.0
1984-10-01,0.17,0.17,0.17,0.17,5000.0
1984-10-02,0.16,0.16,0.17,0.16,500.0
1984-10-04,0.16,0.16,0.17,0.16,6700.0
1984-10-08,0.16,0.16,0.16,0.16,1000.0
1984-10-09,0.16,0.16,0.16,0.16,4000.0
1984-10-11,0.16,0.16,0.16,0.16,10000.0
1984-10-12,0.15,0.15,0.16,0.15,1600.0
1984-10-16,0.15,0.15,0.16,0.15,2500.0
1984-10-17,0.15,0.15,0.16,0.15,16000.0
1984-10-18,0.16,0.16,0.16,0.16,4000.0
1984-10-19,0.16,0.16,0.17,0.16,11500.0
1984-10-22,0.17,0.17,0.17,0.17,3400.0
1984-10-23,0.17,0.17,0.17,0.17,9300.0
1984-10-24,0.17,0.17,0.18,0.17,1700.0
1984-10-25,0.17,0.17,0.17,0.17,800.0
1984-10-26,0.17,0.17,0.17,0.17,1000.0
1984-10-29,0.17,0.17,0.17,0.17,400.0
1984-10-30,0.17,0.17,0.17,0.17,8000.0
1984-10-31,0.17,0.17,0.17,0.17,5300.0
1984-11-01,0.17,0.17,0.17,0.17,4500.0
1984-11-05,0.17,0.17,0.17,0.17,2000.0
1984-11-08,0.17,0.17,0.17,0.17,4000.0
1984-11-09,0.16,0.16,0.17,0.16,2700.0
1984-11-12,0.16,0.16,0.17,0.16,2300.0
1984-11-13,0.16,0.16,0.17,0.16,100.0
1984-11-14,0.16,0.16,0.17,0.16,600.0
1984-11-15,0.16,0.16,0.17,0.16,2200.0
1984-11-21,0.16,0.16,0.16,0.16,600.0
1984-11-26,0.16,0.16,0.16,0.16,50.0
1984-11-27,0.15,0.15,0.16,0.15,3000.0
1984-11-28,0.15,0.15,0.16,0.15,6000.0
1984-11-29,0.15,0.15,0.16,0.15,1000.0
1984-11-30,0.15,0.15,0.16,0.15,5100.0
1984-12-04,0.16,0.16,0.16,0.16,1000.0
1984-12-05,0.15,0.15,0.16,0.15,2000.0
1984-12-06,0.15,0.15,0.16,0.15,50.0
1984-12-12,0.15,0.15,0.16,0.15,300.0
1984-12-13,0.15,0.15,0.16,0.15,600.0
1984-12-17,0.15,0.15,0.16,0.15,1500.0
1984-12-18,0.15,0.15,0.16,0.15,300.0
1984-12-21,0.15,0.15,0.16,0.15,3300.0
1984-12-24,0.15,0.15,0.16,0.15,1000.0
1984-12-27,0.15,0.15,0.16,0.15,2000.0
1984-12-28,0.15,0.15,0.16,0.15,500.0
1984-12-31,0.15,0.15,0.16,0.15,500.0
1985-01-02,0.15,0.15,0.16,0.15,5500.0
1985-01-03,0.15,0.15,0.16,0.15,1100.0
1985-01-04,0.15,0.15,0.16,0.15,600.0
1985-01-07,0.15,0.15,0.16,0.15,200.0
1985-01-08,0.15,0.15,0.16,0.15,100.0
1985-01-09,0.15,0.15,0.16,0.15,800.0
1985-01-10,0.15,0.15,0.16,0.15,5100.0
1985-01-16,0.17,0.17,0.17,0.17,18300.0
1985-01-17,0.17,0.17,0.17,0.17,12300.0
1985-01-18,0.17,0.17,0.17,0.17,2900.0
1985-01-21,0.17,0.17,0.17,0.17,12500.0
1985-01-22,0.17,0.17,0.18,0.17,4000.0
1985-01-23,0.17,0.17,0.18,0.17,11600.0
1985-01-24,0.18,0.18,0.19,0.18,16700.0
1985-01-25,0.18,0.18,0.19,0.18,1100.0
1985-01-28,0.19,0.19,0.19,0.19,9500.0
1985-01-29,0.19,0.19,0.2,0.19,12300.0
1985-01-30,0.2,0.2,0.21,0.2,32100.0
1985-01-31,0.21,0.21,0.22,0.21,33600.0
1985-02-01,0.22,0.22,0.22,0.22,6800.0
1985-02-04,0.21,0.21,0.22,0.21,13300.0
1985-02-05,0.21,0.21,0.22,0.21,1100.0
1985-02-06,0.21,0.21,0.22,0.21,33400.0
1985-02-07,0.23,0.23,0.23,0.23,23300.0
1985-02-08,0.25,0.25,0.26,0.25,33600.0
1985-02-11,0.24,0.24,0.25,0.24,35600.0
1985-02-12,0.24,0.24,0.25,0.24,10000.0
1985-02-13,0.26,0.26,0.26,0.26,14800.0
1985-02-14,0.26,0.26,0.26,0.26,8100.0
1985-02-15,0.26,0.26,0.26,0.26,7000.0
1985-02-19,0.26,0.26,0.26,0.26,2100.0
1985-02-20,0.26,0.26,0.26,0.26,19100.0
1985-02-21,0.26,0.26,0.26,0.26,20700.0
1985-02-22,0.26,0.26,0.26,0.26,4800.0
1985-02-25,0.25,0.25,0.26,0.25,7300.0
1985-02-26,0.25,0.25,0.26,0.25,26400.0
1985-02-27,0.24,0.24,0.25,0.24,18900.0
1985-02-28,0.24,0.24,0.25,0.24,18300.0
1985-03-01,0.24,0.24,0.25,0.24,300.0
1985-03-04,0.24,0.24,0.25,0.24,300.0
1985-03-05,0.24,0.24,0.25,0.24,3600.0
1985-03-06,0.24,0.24,0.25,0.24,1900.0
1985-03-07,0.24,0.24,0.24,0.24,2900.0
1985-03-08,0.24,0.24,0.24,0.24,500.0
1985-03-11,0.24,0.24,0.24,0.24,4200.0
1985-03-13,0.23,0.23,0.24,0.23,7500.0
1985-03-14,0.23,0.23,0.24,0.23,600.0
1985-03-15,0.23,0.23,0.23,0.23,7800.0
1985-03-18,0.22,0.22,0.22,0.22,10900.0
1985-03-19,0.22,0.22,0.22,0.22,34700.0
1985-03-20,0.22,0.22,0.22,0.22,6200.0
1985-03-21,0.22,0.22,0.22,0.22,5200.0
1985-03-22,0.22,0.22,0.22,0.22,13000.0
1985-03-25,0.21,0.21,0.22,0.21,10000.0
1985-03-26,0.21,0.21,0.22,0.21,26200.0
1985-03-29,0.21,0.21,0.22,0.21,100.0
1985-04-01,0.22,0.22,0.22,0.22,2000.0
1985-04-02,0.22,0.22,0.22,0.22,15900.0
1985-04-03,0.21,0.21,0.22,0.21,13600.0
1985-04-04,0.2,0.2,0.21,0.2,3500.0
1985-04-09,0.2,0.2,0.2,0.2,11800.0
1985-04-10,0.2,0.2,0.2,0.2,12300.0
1985-04-11,0.2,0.2,0.2,0.2,2900.0
1985-04-12,0.2,0.2,0.21,0.2,4500.0
1985-04-15,0.2,0.2,0.21,0.2,6000.0
1985-04-16,0.2,0.2,0.21,0.2,11200.0
1985-04-17,0.2,0.2,0.21,0.2,200.0
1985-04-18,0.21,0.21,0.21,0.21,200.0
1985-04-19,0.2,0.2,0.21,0.2,34100.0
1985-04-22,0.2,0.2,0.21,0.2,7300.0
1985-04-23,0.2,0.2,0.21,0.2,8900.0
1985-04-24,0.2,0.2,0.2,0.2,12100.0
1985-04-25,0.19,0.19,0.2,0.19,6500.0
1985-04-26,0.2,0.2,0.2,0.2,4100.0
1985-04-29,0.2,0.2,0.2,0.2,600.0
1985-04-30,0.2,0.2,0.2,0.2,2300.0
1985-05-01,0.19,0.19,0.2,0.19,13800.0
1985-05-02,0.19,0.19,0.2,0.19,3200.0
1985-05-03,0.18,0.18,0.19,0.18,5300.0
1985-05-06,0.18,0.18,0.19,0.18,1300.0
1985-05-07,0.18,0.18,0.19,0.18,400.0
1985-05-08,0.18,0.18,0.19,0.18,5600.0
1985-05-09,0.19,0.19,0.19,0.19,6000.0
1985-05-10,0.19,0.19,0.2,0.19,5700.0
1985-05-13,0.2,0.2,0.2,0.2,1300.0
1985-05-14,0.2,0.2,0.2,0.2,9600.0
1985-05-15,0.2,0.2,0.21,0.2,6000.0
1985-05-16,0.21,0.21,0.22,0.21,6000.0
1985-05-17,0.21,0.21,0.22,0.21,4200.0
1985-05-20,0.22,0.22,0.22,0.22,14000.0
1985-05-21,0.22,0.22,0.22,0.22,19300.0
1985-05-22,0.21,0.21,0.22,0.21,6500.0
1985-05-23,0.21,0.21,0.21,0.21,28400.0
1985-05-24,0.21,0.21,0.21,0.21,11200.0
1985-05-28,0.21,0.21,0.21,0.21,500.0
1985-05-30,0.21,0.21,0.21,0.21,800.0
1985-05-31,0.2,0.2,0.21,0.2,11700.0
1985-06-03,0.2,0.2,0.21,0.2,1900.0
1985-06-04,0.2,0.2,0.21,0.2,16600.0
1985-06-05,0.2,0.2,0.21,0.2,1000.0
1985-06-06,0.2,0.2,0.2,0.2,21700.0
