Date,Close,Open,High,Low,Volume
1980-03-17,1.85,,1.85,1.82,133400.0
1980-03-18,1.83,,1.85,1.82,239800.0
1980-03-19,1.85,,1.86,1.83,99300.0
1980-03-20,1.86,,1.88,1.85,92400.0
1980-03-21,1.78,,1.85,1.76,318900.0
1980-03-24,1.71,,1.75,1.66,211800.0
1980-03-25,1.74,,1.78,1.71,161400.0
1980-03-26,1.74,,1.75,1.74,128500.0
1980-03-27,1.77,,1.77,1.73,141000.0
1980-03-28,1.82,,1.82,1.74,153100.0
1980-03-31,1.83,,1.85,1.8,120300.0
1980-04-01,1.82,,1.84,1.8,154900.0
1980-04-02,1.81,,1.82,1.81,59300.0
1980-04-03,1.76,,1.82,1.75,90200.0
1980-04-07,1.67,,1.76,1.67,86100.0
1980-04-08,1.63,,1.66,1.61,182000.0
1980-04-09,1.6,,1.63,1.58,127500.0
1980-04-10,1.71,,1.71,1.59,236700.0
1980-04-11,1.66,,1.71,1.65,150300.0
1980-04-14,1.61,,1.67,1.61,119700.0
1980-04-15,1.66,,1.66,1.61,128000.0
1980-04-16,1.64,,1.68,1.64,123700.0
1980-04-17,1.58,,1.63,1.58,151800.0
1980-04-18,1.46,,1.55,1.43,557300.0
1980-04-21,1.38,,1.47,1.34,496400.0
1980-04-22,1.48,,1.51,1.41,342500.0
1980-04-23,1.45,,1.49,1.45,222700.0
1980-04-24,1.52,,1.52,1.44,176000.0
1980-04-25,1.56,,1.56,1.49,202400.0
1980-04-28,1.49,,1.52,1.49,141100.0
1980-04-29,1.51,,1.54,1.49,166900.0
1980-04-30,1.53,,1.53,1.5,148400.0
1980-05-01,1.5,,1.52,1.49,193200.0
1980-05-02,1.46,,1.49,1.45,142500.0
1980-05-05,1.38,,1.45,1.38,269700.0
1980-05-06,1.35,,1.37,1.33,364600.0
1980-05-07,1.43,,1.44,1.37,163100.0
1980-05-08,1.45,,1.48,1.43,162200.0
1980-05-09,1.45,,1.45,1.42,105700.0
1980-05-12,1.49,,1.51,1.43,148500.0
1980-05-13,1.51,,1.53,1.49,132300.0
1980-05-14,1.52,,1.56,1.51,182200.0
1980-05-15,1.49,,1.52,1.48,105700.0
1980-05-16,1.45,,1.49,1.45,127000.0
1980-05-19,1.47,,1.48,1.45,118000.0
1980-05-20,1.52,,1.53,1.47,102200.0
1980-05-21,1.52,,1.53,1.51,105700.0
1980-05-22,1.59,,1.62,1.53,124100.0
1980-05-23,1.59,,1.61,1.56,191300.0
1980-05-27,1.59,,1.62,1.59,141300.0
1980-05-28,1.58,,1.59,1.56,121900.0
1980-05-29,1.54,,1.58,1.53,137500.0
1980-05-30,1.54,,1.55,1.52,131700.0
1980-06-02,1.56,,1.58,1.52,185300.0
1980-06-03,1.56,,1.58,1.56,171800.0
1980-06-04,1.54,,1.56,1.54,226800.0
1980-06-05,1.54,,1.55,1.53,157000.0
1980-06-06,1.54,,1.55,1.53,250800.0
1980-06-09,1.5,,1.52,1.49,300400.0
1980-06-10,1.52,,1.56,1.49,263100.0
1980-06-11,1.51,,1.53,1.48,252200.0
1980-06-12,1.45,,1.5,1.41,377900.0
1980-06-13,1.49,,1.5,1.43,328000.0
1980-06-16,1.53,,1.56,1.49,267100.0
1980-06-17,1.52,,1.56,1.51,208000.0
1980-06-18,1.5,,1.52,1.49,200600.0
1980-06-19,1.49,,1.52,1.49,212600.0
1980-06-20,1.51,,1.53,1.48,178300.0
1980-06-23,1.5,,1.53,1.5,261600.0
1980-06-24,1.54,,1.54,1.5,202700.0
1980-06-25,1.57,,1.59,1.55,222700.0
1980-06-26,1.54,,1.59,1.53,239400.0
1980-06-27,1.56,,1.57,1.52,164400.0
1980-06-30,1.55,,1.57,1.52,167800.0
1980-07-01,1.56,,1.56,1.54,163700.0
1980-07-02,1.57,,1.6,1.54,187500.0
1980-07-03,1.58,,1.6,1.57,217100.0
1980-07-07,1.57,,1.58,1.56,133700.0
1980-07-08,1.57,,1.59,1.57,124700.0
1980-07-09,1.63,,1.65,1.57,300300.0
1980-07-10,1.67,,1.71,1.63,363000.0
1980-07-11,1.67,,1.67,1.64,205200.0
1980-07-14,1.78,,1.8,1.66,266900.0
1980-07-15,1.78,,1.82,1.78,312800.0
1980-07-16,1.76,,1.78,1.75,166000.0
1980-07-17,1.79,,1.8,1.77,162900.0
1980-07-18,1.78,,1.81,1.78,139700.0
1980-07-21,1.79,,1.81,1.76,122900.0
1980-07-22,1.77,,1.79,1.77,330800.0
1980-07-23,1.74,,1.77,1.74,304700.0
1980-07-24,1.67,,1.74,1.67,221900.0
1980-07-25,1.63,,1.67,1.63,170500.0
1980-07-28,1.6,,1.62,1.59,109700.0
1980-07-29,1.68,,1.68,1.6,122400.0
1980-07-30,1.71,,1.72,1.67,167900.0
1980-07-31,1.79,,1.79,1.7,119900.0
1980-08-01,1.76,,1.79,1.75,115700.0
1980-08-04,1.76,,1.76,1.74,71500.0
1980-08-05,1.73,,1.76,1.71,174200.0
1980-08-06,1.74,,1.74,1.71,109700.0
1980-08-07,1.78,,1.78,1.74,121000.0
1980-08-08,1.76,,1.8,1.76,144100.0
