Date,Close,Open,High,Low,Volume
10/12/2012,17.5,17.82,18.28,17.5,6468591.0
10/15/2012,17.75,17.55,17.83,17.5,633045.0
10/16/2012,17.79,17.57,17.95,17.25,180249.0
10/17/2012,17.7,17.7,18.07,17.5,120963.0
10/18/2012,17.7,17.6,17.87,17.52,146014.0
10/19/2012,17.41,17.72,17.8,17.41,298003.0
10/22/2012,17.03,17.5,17.51,16.93,359738.0
10/23/2012,17.13,16.85,17.3,16.75,166064.0
10/24/2012,17.39,16.92,17.47,16.92,158165.0
10/25/2012,17.03,17.98,17.98,16.25,206839.0
10/26/2012,17.14,17.51,17.51,16.6,199414.0
10/31/2012,17.03,16.5,17.03,16.5,36351.0
11/1/2012,17.23,17.1,17.48,16.51,202951.0
11/2/2012,17.0,16.99,17.23,16.56,72011.0
11/5/2012,16.71,16.79,17.0,16.5,33296.0
11/6/2012,17.01,16.52,17.48,16.09,370536.0
11/7/2012,17.06,16.75,17.4,16.75,155770.0
11/8/2012,16.75,16.29,17.27,16.29,141575.0
11/9/2012,16.55,16.33,16.94,16.33,209549.0
11/12/2012,16.5,16.46,16.55,16.36,12780.0
11/13/2012,16.04,16.52,16.76,15.97,47581.0
11/14/2012,16.05,15.97,16.47,15.65,123384.0
11/15/2012,16.7,16.38,17.26,15.71,366964.0
11/16/2012,16.82,16.91,17.69,16.27,104600.0
11/19/2012,17.12,16.85,17.25,16.5,77185.0
11/20/2012,17.13,17.14,17.29,16.83,251385.0
11/21/2012,17.2,17.12,17.48,16.85,33045.0
11/23/2012,17.32,17.25,17.55,17.06,93965.0
11/26/2012,17.26,17.3,17.42,17.06,77338.0
11/27/2012,17.23,17.07,17.33,16.93,55711.0
11/28/2012,17.25,17.45,17.49,16.98,93914.0
11/29/2012,18.16,17.46,18.35,17.2,164381.0
11/30/2012,18.0,18.44,18.48,17.77,44179.0
12/3/2012,18.1,18.01,18.5,17.39,47580.0
12/4/2012,17.83,18.23,18.23,17.41,30014.0
12/5/2012,17.98,17.58,18.1,17.58,32976.0
12/6/2012,17.62,17.76,17.78,17.32,41897.0
12/7/2012,17.75,17.68,17.85,17.6,42417.0
12/10/2012,17.62,17.89,17.92,17.36,72255.0
12/11/2012,17.54,17.41,17.84,17.2,72142.0
12/12/2012,17.64,17.47,17.78,17.47,57934.0
12/13/2012,17.88,17.41,17.98,17.29,135814.0
12/14/2012,17.57,17.43,17.65,17.25,44645.0
12/17/2012,17.98,17.66,18.5,17.5,107589.0
12/18/2012,18.8,17.93,19.25,17.7,142519.0
12/19/2012,19.18,18.8,19.89,18.13,192556.0
12/20/2012,19.02,18.95,19.02,18.44,200482.0
12/21/2012,18.98,18.62,19.18,17.68,1936469.0
12/24/2012,18.64,19.05,19.45,18.01,158969.0
12/26/2012,18.65,18.75,19.0,18.27,81266.0
12/27/2012,18.54,18.57,19.49,18.39,162079.0
12/28/2012,18.78,18.41,18.92,18.31,66402.0
12/31/2012,19.12,18.74,19.22,18.57,125602.0
1/2/2013,19.24,19.46,19.92,18.6,189639.0
1/3/2013,19.14,19.24,19.46,18.65,89043.0
1/4/2013,20.05,19.25,20.49,18.97,173262.0
1/7/2013,20.77,19.89,21.24,19.64,210266.0
1/8/2013,20.6,20.69,21.1,20.38,229402.0
1/9/2013,20.47,20.71,20.97,20.4,171762.0
1/10/2013,21.63,20.54,21.99,20.34,235116.0
1/11/2013,21.67,21.6,21.78,20.55,166209.0
1/14/2013,21.8,21.68,22.47,21.68,130391.0
1/15/2013,21.72,21.67,22.9,21.17,59255.0
1/16/2013,21.28,21.08,21.52,20.06,239495.0
1/17/2013,21.12,21.37,21.81,20.76,129703.0
1/18/2013,20.54,21.17,21.79,20.31,119334.0
1/22/2013,21.79,20.6,21.89,20.6,160068.0
