Date,Close,Open,High,Low,Volume
7/10/1995,12.17,11.73,12.17,11.73,2719000.0
7/11/1995,12.42,12.48,12.48,12.29,2453500.0
7/12/1995,12.98,12.42,12.98,12.36,527900.0
7/13/1995,12.98,12.91,13.04,12.85,686800.0
7/14/1995,12.91,12.91,12.98,12.85,492800.0
7/17/1995,12.85,12.91,12.91,12.79,473800.0
7/18/1995,12.54,12.85,12.85,12.48,363700.0
7/19/1995,11.8,12.48,12.48,11.61,279100.0
7/20/1995,11.73,11.67,11.73,11.67,232300.0
7/21/1995,11.98,11.8,12.11,11.8,360600.0
7/24/1995,11.98,11.98,12.17,11.98,254500.0
7/25/1995,12.05,12.05,12.29,11.98,423500.0
7/26/1995,12.48,12.17,12.48,12.17,792400.0
7/27/1995,12.79,12.42,12.79,12.42,1041300.0
7/28/1995,13.6,12.79,13.6,12.6,7320400.0
7/31/1995,13.41,13.54,13.54,13.16,1272300.0
8/1/1995,13.22,13.35,13.35,13.16,978000.0
8/2/1995,12.6,13.22,13.22,12.54,1153800.0
8/3/1995,12.91,12.48,12.91,12.48,881400.0
8/4/1995,12.6,12.79,12.85,12.42,451900.0
8/7/1995,12.48,12.54,12.54,12.36,418500.0
8/8/1995,12.36,12.42,12.48,12.36,364500.0
8/9/1995,12.17,12.36,12.36,12.11,293300.0
8/10/1995,12.29,12.17,12.48,12.17,659700.0
8/11/1995,12.42,12.29,12.54,12.29,576000.0
8/14/1995,12.17,12.42,12.42,12.05,189900.0
8/15/1995,12.23,12.17,12.29,12.17,174800.0
8/16/1995,12.29,12.36,12.42,12.23,220100.0
8/17/1995,12.48,12.29,12.48,12.23,205300.0
8/18/1995,12.17,12.48,12.48,12.11,299400.0
8/21/1995,12.05,12.23,12.36,12.05,220200.0
8/22/1995,11.92,12.11,12.17,11.8,222100.0
8/23/1995,11.73,11.98,11.98,11.49,96600.0
8/24/1995,11.55,11.73,11.73,11.49,642000.0
8/25/1995,11.73,11.55,11.86,11.36,366700.0
8/28/1995,11.55,11.73,11.73,11.42,223800.0
8/29/1995,11.36,11.55,11.55,11.24,184300.0
8/30/1995,11.49,11.24,11.67,11.24,199000.0
8/31/1995,11.61,11.55,11.61,11.49,208700.0
9/1/1995,11.67,11.55,11.73,11.55,297300.0
9/5/1995,11.73,11.8,11.86,11.61,243800.0
9/6/1995,11.86,11.8,11.92,11.73,238200.0
9/7/1995,11.55,11.8,11.8,11.49,309000.0
9/8/1995,11.55,11.55,11.61,11.49,507800.0
