Date,Close,Open,High,Low,Volume
6/28/1996,4.44,4.11,4.56,4.08,1744500.0
7/1/1996,4.47,4.39,4.5,4.39,147500.0
7/2/1996,4.56,4.42,4.61,4.42,297800.0
7/3/1996,4.5,4.58,4.58,4.42,146800.0
7/5/1996,4.42,4.42,4.42,4.31,111700.0
7/8/1996,4.14,4.44,4.44,4.11,129900.0
7/9/1996,4.11,4.17,4.22,4.11,63000.0
7/10/1996,3.94,4.11,4.14,3.94,115600.0
7/11/1996,3.83,3.89,3.89,3.69,42800.0
7/12/1996,3.86,3.83,3.89,3.83,11000.0
7/15/1996,3.83,3.83,3.94,3.83,76200.0
7/16/1996,3.5,3.81,3.81,3.44,77900.0
7/17/1996,3.81,3.56,3.86,3.56,40400.0
7/18/1996,3.81,3.78,3.81,3.78,1800.0
7/19/1996,3.83,3.81,3.83,3.81,7500.0
7/22/1996,3.89,3.89,3.94,3.86,45800.0
7/23/1996,3.78,3.92,3.92,3.78,2600.0
7/24/1996,3.81,3.78,3.81,3.72,12100.0
7/25/1996,3.86,3.81,3.86,3.81,10300.0
7/26/1996,3.89,3.89,3.89,3.89,5000.0
7/29/1996,4.06,3.92,4.08,3.92,17600.0
7/30/1996,4.22,4.06,4.22,4.03,47200.0
7/31/1996,4.44,4.22,4.47,4.22,57200.0
8/1/1996,4.36,4.44,4.44,4.36,6700.0
8/2/1996,4.31,4.44,4.44,4.31,20000.0
8/5/1996,4.39,4.36,4.42,4.36,5700.0
8/6/1996,4.36,4.42,4.42,4.36,19800.0
8/7/1996,4.11,4.31,4.31,4.11,15900.0
8/8/1996,4.08,4.08,4.11,4.06,51800.0
8/9/1996,4.25,4.14,4.28,4.14,15700.0
8/12/1996,4.28,4.25,4.28,4.25,1100.0
8/13/1996,4.22,4.25,4.28,4.22,25500.0
8/14/1996,4.28,4.22,4.28,4.22,8900.0
8/15/1996,4.33,4.31,4.36,4.31,56000.0
8/16/1996,4.39,4.36,4.39,4.33,2700.0
8/19/1996,4.31,4.33,4.33,4.31,52200.0
8/20/1996,4.33,4.31,4.36,4.31,4700.0
8/22/1996,4.33,4.36,4.36,4.33,2900.0
8/23/1996,4.31,4.33,4.36,4.31,15900.0
8/27/1996,4.33,4.31,4.33,4.31,2500.0
8/28/1996,4.53,4.36,4.53,4.36,12600.0
8/29/1996,4.42,4.53,4.53,4.42,72500.0
