Date,Close,Open,High,Low,Volume
1/2/1980,2.81,,2.91,2.77,23100.0
1/3/1980,2.88,,2.88,2.73,62900.0
1/4/1980,3.05,,3.08,2.88,60200.0
1/7/1980,3.08,,3.11,3.06,24400.0
1/8/1980,3.19,,3.19,3.06,34300.0
1/9/1980,3.34,,3.43,3.22,61200.0
1/10/1980,3.37,,3.42,3.31,22100.0
1/11/1980,3.28,,3.41,3.28,16200.0
1/14/1980,3.47,,3.5,3.23,16400.0
1/15/1980,3.39,,3.52,3.39,12600.0
1/16/1980,3.25,,3.38,3.25,13300.0
1/17/1980,3.27,,3.3,3.2,27400.0
1/18/1980,3.39,,3.42,3.26,32000.0
1/21/1980,3.43,,3.46,3.41,14700.0
1/22/1980,3.41,,3.44,3.39,7700.0
1/23/1980,3.56,,3.56,3.41,48500.0
1/24/1980,3.69,,3.73,3.61,44800.0
1/25/1980,3.71,,3.72,3.66,14700.0
1/28/1980,3.71,,3.77,3.69,158500.0
1/29/1980,3.69,,3.72,3.67,17800.0
1/30/1980,3.7,,3.7,3.69,131400.0
1/31/1980,3.73,,3.76,3.7,143200.0
2/1/1980,3.8,,3.8,3.67,55300.0
2/4/1980,3.88,,3.91,3.73,71600.0
2/5/1980,4.03,,4.09,3.86,48800.0
2/6/1980,3.86,,4.09,3.82,67200.0
2/7/1980,3.84,,3.91,3.84,94900.0
2/8/1980,3.88,,3.9,3.86,27700.0
2/11/1980,3.73,,3.88,3.66,65700.0
2/12/1980,3.69,,3.77,3.67,30300.0
2/13/1980,3.67,,3.71,3.66,27100.0
2/14/1980,3.48,,3.68,3.48,60100.0
2/15/1980,3.5,,3.5,3.36,82700.0
2/19/1980,3.41,,3.53,3.38,44100.0
2/20/1980,3.56,,3.56,3.44,38000.0
2/21/1980,3.47,,3.61,3.45,20000.0
2/22/1980,3.42,,3.47,3.39,39600.0
2/25/1980,3.33,,3.43,3.31,26400.0
2/26/1980,3.34,,3.37,3.32,30800.0
2/27/1980,3.39,,3.41,3.34,41800.0
2/28/1980,3.6,,3.62,3.39,32100.0
2/29/1980,3.67,,3.75,3.63,59400.0
3/3/1980,3.59,,3.72,3.58,13000.0
3/4/1980,3.5,,3.56,3.45,26200.0
3/5/1980,3.38,,3.48,3.38,9100.0
3/6/1980,3.33,,3.41,3.27,39200.0
3/7/1980,3.33,,3.44,3.23,45700.0
3/10/1980,3.38,,3.43,3.35,17500.0
3/11/1980,3.45,,3.51,3.42,35800.0
3/12/1980,3.33,,3.46,3.3,46100.0
3/13/1980,3.36,,3.41,3.34,15800.0
3/14/1980,3.33,,3.38,3.33,11600.0
3/17/1980,3.19,,3.33,3.19,35200.0
3/18/1980,3.19,,3.23,3.13,29000.0
3/19/1980,3.23,,3.27,3.19,29000.0
3/20/1980,3.1,,3.23,3.1,114400.0
3/21/1980,3.11,,3.15,3.09,32800.0
3/24/1980,2.92,,3.09,2.89,61100.0
3/25/1980,2.77,,2.96,2.77,84400.0
3/26/1980,2.79,,2.9,2.78,42500.0
3/27/1980,2.67,,2.76,2.5,311700.0
3/28/1980,2.88,,2.88,2.71,93100.0
3/31/1980,2.95,,3.02,2.89,81100.0
4/1/1980,3.03,,3.08,2.92,46300.0
4/2/1980,3.09,,3.15,3.03,40500.0
4/3/1980,3.08,,3.09,3.03,88600.0
4/7/1980,2.98,,3.07,2.97,42700.0
4/8/1980,3.03,,3.04,2.95,26900.0
4/9/1980,3.09,,3.1,3.06,20500.0
4/10/1980,3.15,,3.15,3.09,15800.0
4/11/1980,3.13,,3.16,3.11,32000.0
4/14/1980,3.05,,3.11,3.05,19800.0
4/15/1980,3.06,,3.09,3.05,14700.0
4/16/1980,2.99,,3.11,2.99,36200.0
4/17/1980,2.95,,3.01,2.88,23500.0
4/18/1980,2.82,,2.97,2.82,32700.0
4/21/1980,2.76,,2.84,2.75,43100.0
4/22/1980,2.95,,2.96,2.88,47000.0
4/23/1980,3.04,,3.06,2.98,46300.0
4/24/1980,3.0,,3.06,3.0,21800.0
4/25/1980,2.92,,2.99,2.88,106400.0
4/28/1980,2.61,,2.93,2.59,177300.0
4/29/1980,2.61,,2.73,2.61,151900.0
4/30/1980,2.55,,2.59,2.43,58400.0
5/1/1980,2.51,,2.55,2.48,52600.0
5/2/1980,2.59,,2.64,2.51,20000.0
5/5/1980,2.52,,2.59,2.52,30800.0
5/6/1980,2.5,,2.52,2.48,35700.0
5/7/1980,2.67,,2.67,2.48,88500.0
5/8/1980,2.56,,2.69,2.56,30800.0
5/9/1980,2.58,,2.59,2.55,5900.0
5/12/1980,2.63,,2.64,2.55,9200.0
5/13/1980,2.64,,2.65,2.63,10600.0
5/14/1980,2.72,,2.74,2.64,64400.0
5/15/1980,2.67,,2.73,2.64,16500.0
5/16/1980,2.73,,2.74,2.67,11900.0
5/19/1980,2.75,,2.77,2.73,10500.0
5/20/1980,2.81,,2.84,2.78,30700.0
5/21/1980,2.84,,2.85,2.83,56000.0
5/22/1980,2.89,,2.89,2.87,16500.0
5/23/1980,2.88,,2.91,2.85,42900.0
5/27/1980,2.81,,2.86,2.8,24900.0
5/28/1980,2.88,,2.89,2.82,17600.0
5/29/1980,2.81,,2.88,2.81,39800.0
5/30/1980,2.79,,2.79,2.74,11900.0
6/2/1980,2.86,,2.89,2.8,18600.0
6/3/1980,2.84,,2.87,2.83,7100.0
6/4/1980,2.81,,2.9,2.81,151600.0
6/5/1980,2.69,,2.8,2.67,33400.0
6/6/1980,2.7,,2.7,2.63,88200.0
6/9/1980,2.7,,2.74,2.7,22800.0
6/10/1980,2.83,,2.84,2.7,52900.0
6/11/1980,2.97,,2.97,2.81,37000.0
6/12/1980,2.91,,3.02,2.88,39800.0
6/13/1980,2.97,,2.97,2.89,10300.0
6/16/1980,2.9,,2.95,2.88,10700.0
6/17/1980,2.92,,2.96,2.91,17800.0
6/18/1980,2.91,,2.93,2.89,10700.0
6/19/1980,2.89,,2.95,2.89,10000.0
6/20/1980,2.88,,2.88,2.85,10000.0
6/23/1980,2.86,,2.89,2.86,3700.0
6/24/1980,2.85,,2.89,2.84,11000.0
6/25/1980,2.88,,2.88,2.82,9500.0
6/26/1980,2.91,,2.96,2.91,13600.0
6/27/1980,2.91,,2.91,2.88,5100.0
6/30/1980,2.88,,2.89,2.83,15300.0
7/1/1980,2.68,,2.84,2.66,72100.0
7/2/1980,2.62,,2.69,2.59,74700.0
7/3/1980,2.7,,2.71,2.61,48400.0
7/7/1980,2.71,,2.72,2.69,39700.0
7/8/1980,2.7,,2.8,2.7,25800.0
7/9/1980,2.74,,2.77,2.73,33900.0
7/10/1980,2.75,,2.8,2.75,10300.0
7/11/1980,2.81,,2.81,2.75,41400.0
7/14/1980,2.98,,2.98,2.84,62600.0
7/15/1980,2.89,,3.03,2.89,38500.0
7/16/1980,2.89,,2.97,2.85,19600.0
7/17/1980,3.0,,3.0,2.89,27200.0
