Date,Close,Open,High,Low,Volume
1999-06-04,7.44,5.13,7.92,5.06,3693300.0
1999-06-07,7.75,7.91,8.31,7.31,617300.0
1999-06-08,9.84,7.81,10.19,7.75,738600.0
1999-06-09,9.69,10.0,10.59,9.31,666300.0
1999-06-10,8.59,9.69,9.84,8.5,272800.0
1999-06-11,8.0,8.63,8.69,7.94,223100.0
1999-06-14,7.63,7.97,8.0,7.25,251800.0
1999-06-15,7.75,7.44,8.06,7.44,192200.0
1999-06-16,8.34,7.88,8.94,7.81,67700.0
1999-06-17,10.03,8.44,10.41,8.38,407000.0
1999-06-18,9.31,10.25,11.06,9.28,214300.0
1999-06-21,9.75,9.94,10.88,9.5,205200.0
1999-06-22,9.88,10.25,10.25,9.63,103800.0
1999-06-23,9.31,9.75,9.81,9.13,168900.0
1999-06-24,9.0,9.22,9.31,8.56,99100.0
1999-06-25,11.31,9.0,11.69,8.84,711500.0
1999-06-28,13.94,12.25,14.5,11.5,701600.0
1999-06-29,15.75,14.03,18.25,12.88,1009100.0
1999-06-30,20.5,16.97,22.56,16.0,1156800.0
1999-07-01,19.25,21.88,23.0,19.0,789200.0
1999-07-02,18.5,18.94,19.94,17.0,530300.0
1999-07-06,20.78,18.38,21.31,18.06,368400.0
1999-07-07,19.75,21.0,21.5,18.75,293700.0
1999-07-08,21.97,20.63,22.0,20.25,336000.0
1999-07-09,25.38,22.41,25.94,22.0,552800.0
1999-07-12,27.47,27.5,28.25,26.5,586800.0
1999-07-13,25.34,27.25,27.31,23.75,348900.0
1999-07-14,26.72,26.25,27.63,26.19,169600.0
1999-07-15,35.63,28.5,37.0,27.81,1190500.0
1999-07-16,34.56,35.59,42.5,33.03,1833500.0
1999-07-19,34.5,36.0,36.38,32.75,628000.0
1999-07-20,31.41,33.63,34.0,30.84,450200.0
1999-07-21,29.34,32.81,35.75,27.75,828200.0
1999-07-22,30.41,31.0,31.56,28.0,459400.0
1999-07-23,29.44,30.41,30.63,28.75,209800.0
1999-07-26,25.75,29.03,29.22,25.13,341700.0
1999-07-27,27.0,26.88,28.0,25.63,238700.0
1999-07-28,28.81,26.59,29.13,26.5,223000.0
1999-07-29,25.38,28.0,28.0,25.13,284900.0
1999-07-30,25.0,26.75,26.75,21.91,349200.0
1999-08-02,22.25,23.81,25.0,21.56,148200.0
1999-08-03,20.56,19.5,21.5,19.5,543300.0
1999-08-04,17.25,19.25,19.38,16.5,769300.0
1999-08-05,17.31,16.06,18.06,13.88,802400.0
1999-08-06,16.06,16.03,18.75,16.0,532300.0
1999-08-09,14.94,17.19,17.5,14.63,185700.0
1999-08-10,18.75,14.88,19.0,14.88,471700.0
1999-08-11,21.44,19.94,22.78,17.0,731200.0
1999-08-12,22.75,22.28,24.5,20.38,722700.0
1999-08-13,27.22,24.03,27.31,24.0,830800.0
1999-08-16,29.5,27.56,31.56,25.03,1026600.0
1999-08-17,28.31,31.25,32.06,28.0,725700.0
1999-08-18,26.66,28.44,28.44,25.0,560100.0
1999-08-19,25.81,24.75,27.06,24.69,299800.0
1999-08-20,27.44,26.41,27.5,25.25,187800.0
1999-08-23,30.44,29.13,31.0,28.25,443400.0
1999-08-24,33.31,29.84,35.0,29.31,1178700.0
1999-08-25,31.72,34.84,35.06,31.38,535500.0
1999-08-26,30.34,33.25,33.63,30.19,273000.0
1999-08-27,28.63,29.75,30.34,28.0,243400.0
1999-08-30,31.0,29.63,31.5,29.25,196800.0
1999-08-31,33.91,32.25,34.38,31.5,643000.0
1999-09-01,32.25,34.19,34.22,31.13,252100.0
1999-09-02,32.75,30.09,34.19,29.75,334300.0
1999-09-03,34.75,34.97,36.13,34.0,422700.0
1999-09-07,37.66,35.0,41.47,32.81,1060800.0
1999-09-08,34.75,36.56,39.25,34.63,452200.0
1999-09-09,35.5,34.0,36.25,32.81,534000.0
1999-09-10,37.31,35.97,38.0,34.28,333200.0
1999-09-13,36.63,36.0,41.75,35.5,309300.0
1999-09-14,34.97,35.45,37.75,33.5,313100.0
1999-09-15,32.39,35.19,35.63,32.13,256900.0
1999-09-16,35.06,32.72,35.84,31.47,384800.0
