Date,Close,Open,High,Low,Volume
1987-07-22,1.37,,1.41,1.37,338500.0
1987-07-23,1.37,,1.41,1.37,97000.0
1987-07-24,1.37,,1.41,1.37,13900.0
1987-07-27,1.37,,1.41,1.37,28500.0
1987-07-28,1.37,,1.41,1.37,13500.0
1987-07-29,1.33,,1.41,1.33,62300.0
1987-07-30,1.33,,1.41,1.33,49600.0
1987-07-31,1.33,,1.37,1.33,4900.0
1987-08-03,1.3,,1.37,1.3,31300.0
1987-08-04,1.26,,1.33,1.26,50900.0
1987-08-05,1.26,,1.33,1.26,1400.0
1987-08-06,1.26,,1.37,1.26,1400.0
1987-08-07,1.26,,1.37,1.26,1200.0
1987-08-10,1.33,,1.41,1.33,22400.0
1987-08-11,1.37,,1.44,1.37,5500.0
1987-08-12,1.41,,1.44,1.41,5000.0
1987-08-13,1.37,,1.41,1.37,3200.0
1987-08-14,1.37,,1.44,1.37,2500.0
1987-08-17,1.37,,1.44,1.37,3700.0
1987-08-18,1.37,,1.44,1.37,1600.0
1987-08-19,1.37,,1.44,1.37,5400.0
1987-08-20,1.37,,1.41,1.37,2100.0
1987-08-21,1.37,,1.41,1.37,3300.0
1987-08-24,1.37,,1.41,1.37,1700.0
1987-08-25,1.37,,1.41,1.37,3000.0
1987-08-26,1.37,,1.41,1.37,5100.0
1987-08-27,1.37,,1.41,1.37,1100.0
1987-08-28,1.41,,1.48,1.41,4500.0
1987-08-31,1.44,,1.56,1.44,10700.0
1987-09-01,1.44,,1.56,1.44,2400.0
1987-09-02,1.44,,1.52,1.44,11800.0
1987-09-03,1.48,,1.56,1.48,1000.0
1987-09-04,1.48,,1.59,1.48,62000.0
1987-09-08,1.48,,1.59,1.48,6500.0
1987-09-09,1.48,,1.59,1.48,1200.0
1987-09-10,1.48,,1.59,1.48,15700.0
1987-09-11,1.48,,1.59,1.48,1300.0
1987-09-14,1.48,,1.59,1.48,1700.0
1987-09-15,1.48,,1.59,1.48,7000.0
1987-09-16,1.56,,1.63,1.56,22300.0
1987-09-17,1.56,,1.63,1.56,17900.0
1987-09-21,1.44,,1.56,1.44,16600.0
1987-09-22,1.41,,1.52,1.41,8700.0
1987-09-23,1.41,,1.52,1.41,1300.0
1987-09-24,1.41,,1.52,1.41,2300.0
1987-09-28,1.44,,1.52,1.44,3500.0
1987-09-29,1.48,,1.52,1.48,1900.0
1987-10-01,1.48,,1.52,1.48,1100.0
1987-10-02,1.48,,1.52,1.48,1300.0
1987-10-05,1.48,,1.56,1.48,1000.0
1987-10-06,1.48,,1.56,1.48,3000.0
1987-10-07,1.48,,1.56,1.48,4200.0
1987-10-08,1.48,,1.56,1.48,6200.0
1987-10-09,1.48,,1.56,1.48,7200.0
1987-10-12,1.52,,1.56,1.52,2200.0
1987-10-13,1.48,,1.56,1.48,14000.0
1987-10-14,1.48,,1.56,1.48,5000.0
1987-10-15,1.41,,1.52,1.41,1300.0
1987-10-19,1.3,,1.33,1.3,7400.0
1987-10-21,1.19,,1.3,1.19,5600.0
1987-10-22,1.19,,1.3,1.19,200.0
1987-10-23,1.07,,1.19,1.07,4900.0
1987-10-26,0.93,,1.04,0.93,3200.0
1987-10-27,0.81,,0.93,0.81,1000.0
1987-10-28,0.59,,0.7,0.59,6500.0
1987-10-29,0.56,,0.7,0.56,18100.0
1987-10-30,0.89,,1.04,0.89,2400.0
1987-11-02,0.81,,0.96,0.81,5200.0
1987-11-03,0.81,,0.96,0.81,1200.0
1987-11-04,0.81,,0.96,0.81,300.0
1987-11-05,0.81,,0.96,0.81,2600.0
1987-11-06,0.81,,0.96,0.81,1000.0
