Date,Close,Open,High,Low,Volume
2019-03-13,39.2,38.6,39.3,38.0,
2019-03-14,39.96,39.5,40.65,39.32,
2019-03-15,41.02,40.55,41.05,40.5,
2019-03-18,40.86,41.73,41.73,40.47,581717.0
2019-03-19,39.55,41.4,41.4,39.05,2540234.0
2019-03-20,37.6,39.85,39.85,37.46,5147908.0
2019-03-21,38.88,38.0,38.91,37.84,8865546.0
2019-03-22,37.46,38.76,38.84,36.55,4902540.0
2019-03-25,36.45,37.57,37.81,36.35,4035118.0
2019-03-26,36.71,36.46,37.35,36.46,3350854.0
2019-03-27,36.2,36.75,37.17,36.06,2871305.0
2019-03-28,35.67,36.14,36.47,35.55,2220583.0
2019-03-29,35.88,35.88,36.17,35.39,2679171.0
2019-04-01,36.15,36.17,36.34,35.94,4338366.0
2019-04-02,35.7,36.21,36.46,35.21,1491180.0
2019-04-03,35.5,35.78,35.89,35.3,2831551.0
2019-04-04,36.03,35.56,36.07,35.39,2223200.0
2019-04-05,36.98,35.99,37.09,35.94,2116209.0
2019-04-08,36.85,36.94,36.94,36.65,1928972.0
2019-04-09,36.89,36.81,37.07,36.59,1793850.0
2019-04-10,35.93,36.91,37.05,35.86,843636.0
2019-04-11,36.41,35.98,36.5,35.53,978211.0
2019-04-12,36.95,36.47,37.08,35.92,3175196.0
2019-04-15,36.98,36.91,36.99,36.47,891220.0
2019-04-16,37.21,37.11,37.28,36.93,1869325.0
2019-04-17,38.21,37.18,38.25,37.18,2122111.0
2019-04-18,37.92,38.34,38.37,37.92,2315174.0
2019-04-22,37.24,37.84,37.88,37.11,1665002.0
2019-04-23,37.6,37.22,37.82,37.07,5455096.0
2019-04-24,37.45,37.51,37.76,37.33,1230821.0
2019-04-25,37.64,37.48,37.68,37.04,1422924.0
2019-04-26,37.91,37.8,37.94,37.4,2505690.0
2019-04-29,38.73,37.74,38.91,37.69,1716829.0
2019-04-30,38.5,38.59,38.78,37.89,1809965.0
2019-05-01,38.74,38.66,38.8,38.09,1474972.0
2019-05-02,36.84,38.75,38.8,36.5,2627742.0
2019-05-03,37.02,36.86,37.26,36.64,1229683.0
2019-05-06,37.31,36.72,37.4,36.47,1534153.0
2019-05-07,36.7,36.97,37.22,36.58,1412324.0
2019-05-08,36.82,36.56,37.08,36.27,2108681.0
2019-05-09,37.97,38.08,38.63,36.95,3458170.0
2019-05-10,38.05,37.9,38.25,36.98,1633502.0
2019-05-13,37.5,37.48,38.15,37.22,1598369.0
2019-05-14,37.48,37.54,38.03,37.41,1663135.0
2019-05-15,37.23,37.24,37.48,37.13,873872.0
2019-05-16,36.32,37.28,37.6,36.28,2679971.0
2019-05-17,36.83,36.08,37.07,36.08,1084397.0
2019-05-20,36.68,36.54,37.14,36.54,996354.0
2019-05-21,37.18,36.82,37.53,36.64,1272400.0
2019-05-22,36.67,37.1,37.29,36.62,830229.0
