Date,Close,Open,High,Low,Volume
3/12/2019,38.0,38.0,38.0,38.0,
3/13/2019,39.75,39.0,39.9,38.7,
3/14/2019,40.65,39.75,41.4,39.75,
3/15/2019,41.7,41.38,41.87,41.24,
3/18/2019,41.7,41.95,41.95,41.05,4020942.0
3/19/2019,40.34,41.55,41.7,39.84,10118472.0
3/20/2019,38.62,40.49,40.81,38.24,15683238.0
3/21/2019,40.02,39.0,40.07,38.75,12751732.0
3/22/2019,38.72,39.93,39.99,37.69,10897994.0
3/25/2019,37.44,38.89,38.96,37.39,9338926.0
3/26/2019,37.54,37.65,38.28,37.51,6287100.0
3/27/2019,36.92,37.52,37.91,36.76,5578118.0
3/28/2019,36.4,36.85,37.15,36.34,5326238.0
3/29/2019,36.71,36.55,36.91,36.15,5895347.0
4/1/2019,36.85,36.91,37.15,36.71,5311201.0
4/2/2019,36.28,36.96,37.18,35.9,6704831.0
4/3/2019,36.08,36.37,36.56,35.9,8393708.0
4/4/2019,36.76,36.2,36.8,36.01,4908406.0
4/5/2019,37.68,36.79,37.85,36.69,7344894.0
4/8/2019,37.47,37.6,37.68,37.27,3393260.0
4/9/2019,37.31,37.42,37.65,37.17,5725894.0
4/10/2019,36.48,37.33,37.53,36.36,4828362.0
4/11/2019,37.09,36.57,37.16,35.99,4791432.0
4/12/2019,37.53,37.15,37.62,36.47,6368477.0
4/15/2019,37.53,37.46,37.57,36.99,3927062.0
4/16/2019,37.75,37.67,37.85,37.47,5721982.0
4/17/2019,38.84,37.87,38.85,37.76,7603795.0
4/18/2019,38.44,38.91,39.0,38.43,4737418.0
4/22/2019,37.7,38.36,38.44,37.62,7675316.0
4/23/2019,38.08,37.79,38.39,37.63,6328827.0
4/24/2019,37.96,37.95,38.31,37.81,5323550.0
4/25/2019,38.15,37.98,38.2,37.54,5309675.0
4/26/2019,38.48,38.08,38.53,37.9,5297417.0
4/29/2019,39.2,38.54,39.53,38.31,6885177.0
4/30/2019,38.99,39.19,39.33,38.47,5044352.0
5/1/2019,39.4,39.12,39.49,38.66,5149829.0
5/2/2019,37.28,39.23,39.47,37.08,11495855.0
5/3/2019,37.47,37.41,37.75,37.12,4809763.0
5/6/2019,37.92,37.17,37.99,36.96,4801609.0
5/7/2019,37.26,37.58,37.81,37.12,6053297.0
5/8/2019,37.42,37.34,37.7,36.86,8635285.0
5/9/2019,38.5,38.5,39.25,37.51,15210152.0
5/10/2019,38.53,38.64,38.75,37.44,6742528.0
5/13/2019,37.97,37.77,38.68,37.73,5604035.0
5/14/2019,37.89,38.05,38.52,37.87,6198619.0
5/15/2019,37.71,37.7,37.97,37.57,2975433.0
5/16/2019,36.74,37.91,38.08,36.7,8705008.0
5/17/2019,37.32,36.56,37.59,36.55,5507954.0
5/20/2019,37.14,37.18,37.64,37.0,3670004.0
5/21/2019,37.69,37.26,38.0,37.1,4668608.0
5/22/2019,37.12,37.66,37.76,37.06,3431178.0
5/23/2019,36.91,36.82,37.08,36.63,4431862.0
5/24/2019,36.92,37.05,37.21,36.85,2878988.0
5/28/2019,36.64,36.97,37.34,36.51,4380381.0
5/29/2019,35.79,36.5,36.65,35.79,3691294.0
5/30/2019,35.22,35.88,36.16,35.15,4730387.0
5/31/2019,35.23,34.97,35.27,34.7,6706125.0
6/3/2019,34.24,35.05,35.3,33.78,7665044.0
6/4/2019,34.48,34.52,35.25,34.15,8058934.0
6/5/2019,34.36,34.62,34.98,34.28,6240649.0
6/6/2019,34.12,34.66,34.66,33.98,5288296.0
6/7/2019,34.01,34.18,34.44,34.0,4226794.0
6/10/2019,34.03,34.05,34.4,33.9,5620499.0
6/11/2019,34.18,34.23,34.41,34.01,3166916.0
6/12/2019,35.05,34.2,35.1,34.16,4426934.0
6/13/2019,35.29,35.17,35.5,34.96,4384777.0
6/14/2019,35.24,35.24,35.5,34.93,4362353.0
6/17/2019,36.13,35.42,36.33,35.34,7195391.0
6/18/2019,36.19,36.45,37.05,36.08,4938850.0
6/19/2019,35.99,36.26,36.42,35.68,4790143.0
6/20/2019,35.58,36.38,36.48,35.56,5916524.0
6/21/2019,36.18,35.61,37.3,35.31,11402191.0
6/24/2019,35.8,36.01,36.07,35.61,5280111.0
6/25/2019,35.34,35.78,35.86,35.14,7204375.0
6/26/2019,35.47,35.79,36.1,35.33,4297292.0
6/27/2019,35.99,35.53,36.33,35.2,5083896.0
6/28/2019,36.64,35.98,36.76,35.81,10930138.0
7/1/2019,35.92,36.46,36.99,35.74,6407228.0
7/2/2019,36.59,36.01,36.62,35.92,3599546.0
7/3/2019,36.35,36.6,36.82,36.27,3160332.0
7/5/2019,36.6,36.24,36.8,36.08,1981977.0
7/8/2019,36.13,36.53,36.68,36.08,1644620.0
7/9/2019,36.02,36.03,36.27,35.82,2379561.0
7/10/2019,36.14,36.19,36.43,36.08,2400697.0
7/11/2019,36.29,36.17,36.35,35.85,2986996.0
7/12/2019,36.96,36.46,37.04,36.1,2755739.0
