Date,Close,Open,High,Low,Volume
3/17/1980,6.08,,6.08,5.88,7200.0
3/18/1980,6.17,,6.17,6.17,2500.0
3/19/1980,6.33,,6.33,6.25,1500.0
3/20/1980,6.5,,6.5,6.33,3100.0
3/21/1980,6.54,,6.54,6.54,600.0
3/24/1980,6.63,,6.75,6.63,10600.0
3/25/1980,6.58,,6.71,6.58,8700.0
3/26/1980,6.33,,6.54,6.33,6600.0
3/27/1980,5.5,,6.25,5.5,4700.0
3/28/1980,5.83,,5.83,5.5,2000.0
3/31/1980,5.83,,5.83,5.83,400.0
4/1/1980,5.92,,5.92,5.92,400.0
4/2/1980,5.92,,5.92,5.92,700.0
4/3/1980,6.04,,6.04,5.92,2300.0
4/7/1980,5.83,,6.04,5.83,3100.0
4/11/1980,5.75,,5.83,5.75,600.0
4/14/1980,5.75,,5.79,5.75,300.0
4/15/1980,5.88,,5.88,5.83,200.0
4/16/1980,6.0,,6.0,5.92,1400.0
4/17/1980,6.0,,6.0,5.92,800.0
4/18/1980,5.96,,5.96,5.96,100.0
4/21/1980,5.92,,5.92,5.92,100.0
4/22/1980,5.92,,5.92,5.92,700.0
4/23/1980,5.92,,5.92,5.92,100.0
4/24/1980,5.92,,5.92,5.88,1400.0
4/25/1980,5.79,,5.88,5.79,700.0
4/28/1980,5.92,,5.92,5.88,500.0
4/29/1980,5.83,,5.83,5.83,400.0
4/30/1980,6.0,,6.0,5.83,1400.0
5/2/1980,5.75,,5.92,5.75,400.0
5/5/1980,5.83,,5.83,5.83,1000.0
5/6/1980,5.92,,5.92,5.92,100.0
5/7/1980,5.92,,5.92,5.92,700.0
5/8/1980,6.0,,6.0,6.0,300.0
5/9/1980,5.88,,5.92,5.88,400.0
5/12/1980,5.88,,5.96,5.88,300.0
5/13/1980,6.0,,6.0,5.96,600.0
5/14/1980,5.96,,5.96,5.96,100.0
5/15/1980,5.92,,5.96,5.92,900.0
5/19/1980,5.88,,5.88,5.88,100.0
5/20/1980,5.88,,5.92,5.88,1600.0
5/21/1980,5.88,,5.88,5.88,200.0
5/22/1980,5.79,,6.0,5.79,1400.0
5/23/1980,5.88,,5.92,5.88,500.0
5/27/1980,5.92,,5.96,5.92,400.0
5/28/1980,5.92,,5.92,5.92,300.0
5/30/1980,5.92,,5.92,5.92,100.0
6/2/1980,5.92,,5.92,5.92,500.0
6/5/1980,5.92,,5.92,5.83,500.0
6/6/1980,5.96,,5.96,5.92,500.0
6/9/1980,5.92,,6.0,5.92,1100.0
6/10/1980,6.04,,6.04,6.0,1600.0
6/11/1980,6.08,,6.08,6.08,100.0
6/12/1980,6.33,,6.33,6.08,2200.0
6/13/1980,6.25,,6.33,6.25,300.0
6/16/1980,6.13,,6.17,6.13,400.0
6/17/1980,6.21,,6.21,6.13,500.0
6/18/1980,6.25,,6.29,6.13,3100.0
6/19/1980,6.38,,6.38,6.29,700.0
6/20/1980,6.38,,6.38,6.38,800.0
6/23/1980,6.33,,6.33,6.33,1000.0
6/24/1980,6.46,,6.46,6.33,2000.0
6/25/1980,6.42,,6.46,6.42,600.0
6/26/1980,6.46,,6.46,6.38,2000.0
6/27/1980,6.21,,6.21,6.21,1400.0
6/30/1980,6.25,,6.25,6.17,2200.0
7/1/1980,6.33,,6.38,6.33,1600.0
7/2/1980,6.33,,6.42,6.33,600.0
7/3/1980,6.46,,6.46,6.04,2100.0
7/7/1980,6.42,,6.42,6.33,600.0
7/8/1980,6.5,,6.5,6.42,1200.0
7/9/1980,6.38,,6.38,6.38,1200.0
7/10/1980,6.42,,6.42,6.42,200.0
7/14/1980,6.5,,6.5,6.5,300.0
7/15/1980,6.42,,6.54,6.42,500.0
7/16/1980,6.54,,6.54,6.46,400.0
7/17/1980,6.83,,6.83,6.58,1700.0
7/18/1980,6.83,,6.92,6.83,400.0
7/21/1980,7.0,,7.17,6.92,3700.0
7/22/1980,6.92,,6.92,6.92,200.0
7/23/1980,6.96,,6.96,6.96,700.0
7/24/1980,7.04,,7.04,6.96,300.0
7/28/1980,6.83,,6.96,6.83,900.0
7/29/1980,6.83,,6.83,6.83,100.0
7/30/1980,6.67,,6.75,6.67,800.0
7/31/1980,6.63,,6.75,6.63,900.0
8/1/1980,6.67,,6.67,6.63,600.0
8/4/1980,6.71,,6.71,6.63,1400.0
8/5/1980,6.63,,6.63,6.63,100.0
8/6/1980,6.54,,6.54,6.54,500.0
8/7/1980,6.46,,6.54,6.46,1700.0
8/8/1980,6.54,,6.54,6.54,100.0
8/11/1980,6.67,,6.67,6.54,800.0
8/13/1980,6.58,,6.58,6.58,400.0
8/14/1980,6.63,,6.63,6.63,200.0
8/18/1980,6.54,,6.58,6.54,600.0
8/19/1980,6.63,,6.63,6.58,1500.0
8/20/1980,6.63,,6.63,6.58,400.0
8/21/1980,6.67,,6.67,6.67,600.0
8/22/1980,6.46,,6.54,6.42,75700.0
8/25/1980,6.25,,6.38,6.13,12900.0
8/26/1980,6.25,,6.29,6.17,6100.0
8/27/1980,6.13,,6.21,6.08,6600.0
8/28/1980,6.13,,6.13,6.08,4900.0
