Date,Close,Open,High,Low,Volume
2006-11-17,24.74,24.5,25.18,23.5,18359706.0
2006-11-20,25.0,24.69,25.67,24.29,1688963.0
2006-11-21,24.6,25.0,25.19,24.31,1179813.0
2006-11-22,26.88,24.57,26.88,24.5,1260752.0
2006-11-24,27.75,27.0,27.96,26.88,350251.0
2006-11-27,28.35,28.39,28.5,27.92,910473.0
2006-11-28,28.17,28.53,28.9,27.75,587427.0
2006-11-29,28.27,28.5,28.95,28.0,414635.0
2006-11-30,28.3,28.8,28.8,28.0,245668.0
2006-12-01,27.89,28.3,28.3,27.56,257298.0
2006-12-04,27.88,28.0,28.4,27.56,482991.0
2006-12-05,27.08,27.62,27.89,26.4,782351.0
2006-12-06,27.2,26.8,27.63,26.77,138236.0
2006-12-07,27.32,27.7,27.74,27.32,155032.0
2006-12-08,27.53,27.5,27.57,27.2,55222.0
2006-12-11,27.95,27.32,28.4,27.32,232649.0
2006-12-12,27.2,28.2,28.2,26.91,371691.0
2006-12-13,27.64,27.3,28.11,26.5,547779.0
2006-12-14,27.93,27.62,28.62,27.32,837635.0
2006-12-15,29.05,28.36,29.28,27.77,2069209.0
2006-12-18,28.59,29.32,29.87,28.42,738847.0
2006-12-19,27.79,28.0,28.2,26.54,470726.0
2006-12-20,27.78,27.88,28.92,27.01,284125.0
2006-12-21,26.69,27.5,27.85,26.66,616652.0
2006-12-22,27.53,26.99,27.7,26.86,151163.0
2006-12-26,27.1,27.63,28.34,27.04,87501.0
2006-12-27,28.81,28.24,28.81,27.74,788267.0
2006-12-28,29.86,28.72,29.98,28.0,1406102.0
2006-12-29,29.84,29.99,30.0,29.02,355545.0
2007-01-03,28.5,30.17,30.29,28.2,490043.0
2007-01-04,28.75,28.11,28.84,28.0,325428.0
2007-01-05,28.15,28.65,28.65,27.73,524303.0
2007-01-08,28.9,28.26,29.0,28.26,317098.0
2007-01-09,29.27,29.0,29.77,28.95,232733.0
2007-01-10,29.16,29.22,29.67,29.09,267718.0
2007-01-11,29.34,29.19,29.73,28.75,362361.0
2007-01-12,29.53,29.27,29.61,29.27,176341.0
2007-01-16,29.27,29.56,30.47,29.0,214640.0
2007-01-17,29.02,29.26,29.26,28.85,256793.0
2007-01-18,28.32,29.27,29.56,28.05,258483.0
2007-01-19,27.71,28.24,28.32,27.7,352910.0
2007-01-22,27.88,27.75,28.13,27.54,400630.0
2007-01-23,28.85,28.0,29.38,27.87,504190.0
2007-01-24,29.15,29.07,29.15,28.42,211244.0
2007-01-25,29.43,29.25,30.3,29.24,472375.0
2007-01-26,29.14,29.71,29.73,28.89,211002.0
2007-01-29,31.14,29.15,31.44,29.0,569040.0
2007-01-30,32.72,31.1,33.89,30.86,990256.0
2007-01-31,32.37,32.65,33.14,32.06,460582.0
2007-02-01,32.66,32.53,33.03,32.09,142618.0
2007-02-02,31.2,32.79,33.19,31.16,461026.0
2007-02-05,32.78,31.2,33.99,31.14,456111.0
2007-02-06,32.81,33.11,33.93,32.5,246357.0
2007-02-07,33.44,32.79,33.73,32.55,241923.0
2007-02-08,33.79,33.73,34.47,32.96,350365.0
2007-02-09,32.86,33.91,33.99,32.6,478002.0
2007-02-12,33.1,32.91,33.77,32.6,344452.0
2007-02-13,34.28,33.52,34.74,33.0,1443254.0
2007-02-14,43.72,40.38,44.85,40.01,5905949.0
2007-02-15,44.98,44.08,46.86,42.87,2146175.0
2007-02-16,45.26,45.05,45.75,44.53,432370.0
2007-02-20,49.21,44.97,49.95,44.9,1229457.0
2007-02-21,51.19,49.15,51.89,48.34,1787907.0
2007-02-22,49.2,51.2,51.57,48.25,1059041.0
2007-02-23,49.43,49.01,49.97,47.26,936137.0
2007-02-26,51.85,49.7,52.7,49.7,1294326.0
2007-02-27,49.01,49.5,51.19,48.27,1729999.0
2007-02-28,47.75,49.55,51.0,46.89,1583736.0
2007-03-01,47.88,46.15,48.86,45.2,939527.0
2007-03-02,46.27,47.53,48.82,45.85,786899.0
2007-03-05,44.13,45.0,45.21,42.6,1156130.0
2007-03-06,46.3,45.36,46.44,45.0,1134039.0
2007-03-07,47.62,46.24,47.96,45.77,797835.0
2007-03-08,51.87,49.73,52.07,49.64,1892776.0
2007-03-09,52.06,52.69,54.1,51.94,1500380.0
2007-03-12,57.91,51.99,57.94,51.61,2414873.0
2007-03-13,53.72,57.59,57.59,52.73,2648111.0
2007-03-14,54.46,53.53,55.45,51.4,2064553.0
2007-03-15,52.69,55.65,55.65,52.1,1657891.0
2007-03-16,51.52,52.83,52.83,50.23,1734447.0
2007-03-19,52.5,53.21,53.75,52.0,1144314.0
2007-03-20,52.3,52.49,54.14,51.71,1159566.0
2007-03-21,54.5,52.3,54.71,52.0,1406568.0
2007-03-22,58.14,55.4,59.23,55.28,3087969.0
2007-03-23,58.25,58.98,59.88,57.9,1646872.0
2007-03-26,57.01,59.09,59.58,55.74,1364309.0
2007-03-27,55.44,58.18,58.48,54.89,2644256.0
2007-03-28,54.5,54.9,55.65,54.06,1421864.0
2007-03-29,53.2,55.87,56.25,53.0,1893684.0
2007-03-30,52.01,53.2,54.02,51.5,1335266.0
2007-04-02,55.89,52.1,55.9,52.08,1701810.0
2007-04-03,55.75,55.88,56.75,54.49,1176896.0
2007-04-04,57.29,55.43,57.7,55.01,1205286.0
2007-04-05,56.46,57.09,58.46,56.3,883267.0
2007-04-09,57.51,57.43,58.4,56.0,959181.0
2007-04-10,60.15,57.47,61.2,57.04,2578456.0
2007-04-11,62.23,61.28,63.19,60.72,3056495.0
2007-04-12,62.91,61.73,63.5,60.85,1351958.0
2007-04-13,61.26,63.29,63.7,60.9,1646377.0
2007-04-16,64.94,61.87,65.13,61.34,2147708.0
2007-04-17,62.39,64.24,64.24,62.12,2005687.0
2007-04-18,61.76,61.8,63.24,60.63,1711356.0
2007-04-19,60.17,60.55,62.3,59.25,1530563.0
2007-04-20,60.91,61.92,62.0,59.93,1158849.0
2007-04-23,63.14,61.16,64.0,61.02,1369788.0
2007-04-24,63.67,63.66,64.1,62.2,1053789.0
2007-04-25,64.89,64.0,65.6,63.1,1731860.0
2007-04-26,63.95,65.06,65.56,63.48,1094281.0
2007-04-27,63.64,63.0,63.74,61.77,821246.0
2007-04-30,59.99,63.68,63.8,59.47,1576381.0
2007-05-01,55.56,58.99,58.99,54.2,3319121.0
2007-05-02,58.9,56.57,59.49,56.28,2191491.0
2007-05-03,57.95,59.28,59.62,57.1,2068502.0
2007-05-04,66.7,61.54,67.5,61.48,6101000.0
2007-05-07,69.63,66.95,70.44,65.77,4185417.0
2007-05-08,68.82,68.85,70.09,67.92,2037959.0
2007-05-09,68.58,68.01,69.0,67.68,1422449.0
2007-05-10,68.7,68.0,72.48,67.95,2976648.0
2007-05-11,67.87,69.17,69.95,66.92,2056957.0
2007-05-14,65.26,67.96,68.95,64.99,1938848.0
2007-05-15,63.37,64.93,66.7,62.98,2245531.0
2007-05-16,64.13,63.62,64.83,61.9,2284962.0
2007-05-17,65.17,63.86,65.99,63.46,1667781.0
2007-05-18,63.42,63.96,64.4,62.31,3615526.0
2007-05-21,62.03,62.5,63.8,61.48,2553331.0
2007-05-22,64.9,62.03,65.63,61.43,2567632.0
2007-05-23,65.87,65.84,67.71,65.16,2455981.0
2007-05-24,65.03,66.02,67.42,64.25,1784236.0
2007-05-25,66.72,65.56,66.85,65.3,984301.0
2007-05-29,67.13,67.1,67.57,65.36,1281278.0
2007-05-30,68.3,65.95,68.5,65.39,1494517.0
2007-05-31,68.04,68.8,69.11,66.98,1893350.0
2007-06-01,68.17,68.55,68.64,67.33,830835.0
2007-06-04,68.78,67.34,69.89,67.22,1167205.0
2007-06-05,71.83,68.74,71.85,68.32,1708174.0
