Date,Close,Open,High,Low,Volume
2009-11-18,1.66,1.7,1.75,1.63,13671156.0
2009-11-19,1.69,1.66,1.71,1.61,2221891.0
2009-11-20,1.69,1.69,1.7,1.61,1139902.0
2009-11-23,1.69,1.71,1.72,1.66,1185754.0
2009-11-24,1.7,1.68,1.71,1.67,467922.0
2009-11-25,1.72,1.72,1.73,1.7,427969.0
2009-11-27,1.69,1.68,1.77,1.67,173994.0
2009-11-30,1.7,1.71,1.73,1.68,433787.0
2009-12-01,1.68,1.7,1.72,1.66,412497.0
2009-12-02,1.66,1.69,1.69,1.62,960166.0
2009-12-03,1.67,1.66,1.69,1.65,570035.0
2009-12-04,1.73,1.69,1.73,1.64,812674.0
2009-12-07,1.69,1.71,1.76,1.68,523180.0
2009-12-08,1.66,1.7,1.7,1.65,207985.0
2009-12-09,1.7,1.65,1.73,1.65,405478.0
2009-12-10,1.69,1.72,1.72,1.68,76255.0
2009-12-11,1.69,1.68,1.7,1.67,131118.0
2009-12-14,1.7,1.69,1.72,1.68,78639.0
2009-12-15,1.7,1.71,1.72,1.69,244474.0
2009-12-16,1.83,1.7,1.83,1.7,782204.0
2009-12-17,1.8,1.83,1.85,1.78,671684.0
2009-12-18,1.76,1.82,1.84,1.76,1949221.0
2009-12-21,1.76,1.77,1.8,1.72,302781.0
2009-12-22,1.72,1.77,1.78,1.71,261318.0
2009-12-23,1.8,1.73,1.82,1.72,402273.0
2009-12-24,1.84,1.8,1.86,1.79,237592.0
2009-12-28,1.77,1.87,1.88,1.75,553603.0
2009-12-29,1.84,1.77,1.84,1.77,331642.0
2009-12-30,1.8,1.83,1.83,1.79,117234.0
2009-12-31,1.76,1.81,1.82,1.75,151723.0
2010-01-04,1.8,1.79,1.82,1.76,357960.0
2010-01-05,1.84,1.8,1.86,1.8,411335.0
2010-01-06,1.94,1.89,1.99,1.88,936674.0
2010-01-07,1.95,1.95,1.96,1.9,137596.0
2010-01-08,2.01,1.96,2.06,1.92,457057.0
2010-01-11,2.01,2.03,2.03,1.97,187808.0
2010-01-12,1.98,1.99,2.02,1.97,473617.0
2010-01-13,1.94,1.98,1.99,1.84,390817.0
2010-01-14,1.99,1.95,2.01,1.93,353330.0
2010-01-15,1.96,2.0,2.0,1.92,325480.0
2010-01-19,1.98,1.97,2.05,1.96,308570.0
2010-01-20,1.91,1.97,2.0,1.89,231587.0
2010-01-21,1.84,1.92,1.92,1.83,355449.0
2010-01-22,1.79,1.84,1.88,1.78,464570.0
2010-01-25,1.8,1.81,1.81,1.77,245578.0
2010-01-26,1.83,1.8,1.87,1.8,338596.0
2010-01-27,1.87,1.84,1.88,1.79,394006.0
2010-01-28,1.78,1.9,1.9,1.73,1354439.0
2010-01-29,1.72,1.79,1.84,1.61,879783.0
2010-02-01,1.75,1.73,1.78,1.7,180968.0
2010-02-02,1.71,1.75,1.77,1.7,649911.0
2010-02-03,1.64,1.72,1.72,1.64,456708.0
2010-02-04,1.57,1.64,1.66,1.55,601978.0
2010-02-05,1.57,1.57,1.59,1.52,530310.0
