Date,Close,Open,High,Low,Volume
2016-06-13,35.96,35.96,35.96,35.96,100.0
2016-06-14,39.26,37.63,39.26,37.63,200.0
2016-06-15,39.3,39.3,39.3,39.3,1400.0
2016-06-17,41.81,40.97,41.81,40.97,500.0
2016-06-22,40.14,41.81,41.81,40.14,250100.0
2016-06-23,40.55,40.64,40.64,40.55,236794.0
2016-06-24,38.46,39.76,39.76,38.46,1453.0
2016-06-27,38.61,38.91,40.14,38.46,9086.0
2016-06-28,40.14,40.14,41.39,38.57,671681.0
2016-06-29,40.48,40.3,41.81,40.22,5499.0
2016-06-30,41.19,40.75,41.81,40.22,29097.0
2016-07-01,41.42,41.7,41.81,40.33,326898.0
2016-07-05,40.64,41.31,45.44,40.47,6230697.0
2016-07-06,39.93,39.36,40.64,38.71,6706473.0
2016-07-07,39.92,39.82,40.14,39.59,5486829.0
2016-07-08,41.98,40.1,42.32,39.74,4243498.0
2016-07-11,42.75,41.15,42.84,40.96,6042339.0
2016-07-12,42.29,42.64,42.69,42.03,5552928.0
2016-07-13,42.33,42.29,42.73,41.67,4864712.0
2016-07-14,43.12,42.08,43.26,41.77,3481590.0
2016-07-15,42.84,43.3,43.41,42.32,3689804.0
2016-07-18,42.89,42.45,43.13,42.23,1557534.0
2016-07-19,43.1,42.68,43.11,42.18,1954651.0
2016-07-20,42.09,43.35,43.41,41.82,3351687.0
2016-07-21,42.01,42.14,42.33,41.8,3037115.0
2016-07-22,41.31,41.81,42.05,41.21,2450622.0
2016-07-25,40.96,41.16,41.35,40.02,3044828.0
2016-07-26,41.21,40.6,41.32,40.37,1571409.0
2016-07-27,40.91,41.04,41.39,40.73,1628596.0
2016-07-28,40.68,40.75,41.05,40.42,2923057.0
2016-07-29,40.31,40.52,40.81,40.14,4484073.0
2016-08-01,39.97,40.23,40.56,39.79,2980989.0
2016-08-02,39.72,39.72,40.15,39.45,3267301.0
2016-08-03,41.21,39.72,41.37,39.59,4709939.0
2016-08-04,41.83,41.47,41.9,41.37,3046799.0
2016-08-05,42.29,42.03,42.63,42.03,2665875.0
2016-08-08,41.85,42.34,42.54,41.76,2116463.0
2016-08-09,42.19,40.75,42.25,40.49,1077911.0
2016-08-10,42.18,42.2,42.48,41.89,1182411.0
2016-08-11,43.94,42.42,44.07,42.39,1992681.0
2016-08-12,44.07,43.48,44.21,43.31,1287802.0
2016-08-15,44.87,44.28,44.96,44.2,1457937.0
2016-08-16,44.78,44.8,45.11,44.54,1002284.0
2016-08-17,44.66,44.88,44.93,44.6,1032288.0
2016-08-18,44.45,44.5,44.75,44.26,874672.0
2016-08-19,43.41,44.28,44.28,43.24,1196193.0
2016-08-22,42.86,43.41,43.51,42.71,1081677.0
2016-08-23,43.4,42.95,43.56,42.76,2513773.0
2016-08-24,42.95,42.86,43.3,42.31,692793.0
2016-08-25,43.16,42.8,43.39,42.63,1384867.0
2016-08-26,43.37,43.18,43.77,43.09,937562.0
2016-08-29,43.82,43.3,44.14,43.11,1044848.0
2016-08-30,43.99,43.64,44.71,43.64,952121.0
2016-08-31,44.04,43.87,44.17,43.48,1653599.0
2016-09-01,44.01,44.28,44.41,43.6,959371.0
2016-09-02,44.63,44.33,44.71,44.16,840803.0
2016-09-06,44.09,44.74,44.78,43.72,1293788.0
2016-09-07,44.27,43.84,44.42,43.5,1743200.0
2016-09-08,43.76,44.05,44.28,43.71,1097798.0
2016-09-09,42.27,43.29,43.49,42.27,2170702.0
2016-09-12,42.82,41.83,43.01,41.69,1862444.0
2016-09-13,41.84,42.53,42.98,41.78,1607116.0
2016-09-14,41.83,41.85,42.23,41.51,1152272.0
2016-09-15,42.22,41.79,42.31,41.39,1417223.0
2016-09-16,42.03,41.9,42.13,41.32,2351863.0
2016-09-19,42.46,42.15,42.98,42.13,975306.0
2016-09-20,42.02,42.46,42.71,41.98,1070439.0
2016-09-21,42.63,42.2,42.65,41.99,850841.0
2016-09-22,43.18,42.94,43.47,42.89,1649215.0
2016-09-23,42.54,42.9,43.13,42.35,807188.0
2016-09-26,42.83,42.36,43.05,42.06,1066265.0
2016-09-27,43.15,42.73,43.3,42.69,1196391.0
2016-09-28,43.25,43.26,43.29,42.94,905666.0
2016-09-29,42.39,42.72,43.15,42.34,1458059.0
2016-09-30,42.56,42.75,42.87,42.04,1952443.0
2016-10-03,42.97,42.32,43.2,42.32,1361493.0
2016-10-04,42.49,42.86,43.02,42.28,1212754.0
2016-10-05,42.59,42.66,42.89,42.31,884504.0
2016-10-06,42.39,42.5,42.62,42.23,764013.0
2016-10-07,41.75,42.23,42.49,41.7,1055658.0
2016-10-10,41.77,42.0,42.08,41.72,1021172.0
2016-10-11,41.16,41.74,41.94,40.99,1401859.0
2016-10-12,40.96,41.31,41.31,40.68,1620016.0
2016-10-13,40.82,40.66,41.54,40.14,1209563.0
2016-10-14,41.36,41.03,41.75,40.81,872344.0
2016-10-17,41.02,41.44,41.47,40.9,1116544.0
2016-10-18,41.05,41.52,42.08,40.97,1152647.0
2016-10-19,41.3,41.2,41.64,40.52,759918.0
2016-10-20,40.72,41.09,41.12,40.5,1419279.0
2016-10-21,40.7,40.32,40.88,40.24,1706970.0
2016-10-24,40.6,40.86,41.19,40.44,1269604.0
2016-10-25,40.07,40.55,40.55,40.02,1279439.0
2016-10-26,39.94,39.97,40.24,39.75,1574685.0
2016-10-27,39.71,39.88,39.88,39.14,3144196.0
2016-10-28,41.98,42.0,43.22,41.58,3978783.0
2016-10-31,42.69,41.98,42.94,41.84,1561747.0
2016-11-01,42.22,42.59,42.66,41.8,1775822.0
2016-11-02,42.08,42.18,42.77,42.04,879788.0
2016-11-03,42.63,42.05,42.81,41.8,1145737.0
2016-11-04,42.74,42.66,43.2,42.26,1568224.0
2016-11-07,43.31,43.12,43.54,42.67,1413931.0
2016-11-08,44.02,43.38,44.15,42.95,1165927.0
2016-11-09,44.7,43.47,45.09,43.4,1673874.0
2016-11-10,45.32,45.11,46.27,44.9,1796173.0
