Date,Close,Open,High,Low,Volume
3/17/1980,4.66,,4.76,4.66,1499441.0
3/18/1980,4.72,,4.72,4.65,2271729.0
3/19/1980,4.64,,4.71,4.64,2539522.0
3/20/1980,4.56,,4.66,4.56,2178452.0
3/21/1980,4.61,,4.61,4.55,1809359.0
3/24/1980,4.52,,4.61,4.51,2551558.0
3/25/1980,4.52,,4.56,4.49,3623733.0
3/26/1980,4.54,,4.59,4.52,1328936.0
3/27/1980,4.51,,4.54,4.39,2047063.0
3/28/1980,4.76,,4.76,4.57,1101262.0
3/31/1980,4.8,,4.81,4.72,1412183.0
4/1/1980,4.71,,4.86,4.67,1448290.0
4/2/1980,4.74,,4.77,4.7,1062146.0
4/3/1980,4.82,,4.82,4.75,864560.0
4/7/1980,4.64,,4.8,4.62,2544537.0
4/8/1980,4.66,,4.69,4.56,1547584.0
4/9/1980,4.69,,4.7,4.64,1414189.0
4/10/1980,4.75,,4.75,4.69,772287.0
4/11/1980,4.74,,4.77,4.72,1513483.0
4/14/1980,4.75,,4.77,4.71,767272.0
4/15/1980,4.75,,4.76,4.74,1038074.0
4/16/1980,4.62,,4.77,4.61,2000926.0
4/17/1980,4.56,,4.64,4.56,1035065.0
4/18/1980,4.46,,4.61,4.46,1138371.0
4/21/1980,4.46,,4.5,4.44,1355013.0
4/22/1980,4.56,,4.59,4.49,2478341.0
4/23/1980,4.61,,4.66,4.59,1238669.0
4/24/1980,4.65,,4.7,4.6,901670.0
4/25/1980,4.69,,4.69,4.61,797361.0
4/28/1980,4.71,,4.75,4.71,1326930.0
4/29/1980,4.72,,4.75,4.71,774293.0
4/30/1980,4.74,,4.74,4.67,875593.0
5/1/1980,4.61,,4.75,4.61,828453.0
5/2/1980,4.57,,4.62,4.56,2015971.0
5/5/1980,4.62,,4.62,4.56,807391.0
5/6/1980,4.62,,4.67,4.61,2308839.0
5/7/1980,4.74,,4.77,4.61,2165414.0
5/8/1980,4.7,,4.75,4.69,859546.0
5/9/1980,4.67,,4.7,4.64,869575.0
5/12/1980,4.66,,4.69,4.59,921730.0
5/13/1980,4.66,,4.69,4.61,1710065.0
5/14/1980,4.65,,4.75,4.64,2091194.0
5/15/1980,4.71,,4.74,4.64,958840.0
5/16/1980,4.69,,4.72,4.69,689041.0
5/19/1980,4.72,,4.72,4.66,812406.0
5/20/1980,4.72,,4.74,4.7,1227636.0
5/21/1980,4.75,,4.75,4.67,1080199.0
5/22/1980,4.82,,4.86,4.75,1113297.0
5/23/1980,4.95,,4.95,4.85,3976779.0
5/27/1980,4.97,,5.01,4.96,2134322.0
5/28/1980,4.96,,5.01,4.95,1975852.0
5/29/1980,4.92,,4.99,4.92,916715.0
5/30/1980,4.94,,4.95,4.77,2639819.0
6/2/1980,4.86,,4.94,4.45,2202524.0
6/3/1980,4.86,,4.9,4.84,907688.0
6/4/1980,4.95,,4.95,4.85,1456313.0
6/5/1980,5.02,,5.06,4.97,2555569.0
6/6/1980,5.05,,5.07,5.0,1373067.0
6/9/1980,4.99,,5.07,4.95,1458319.0
6/10/1980,5.0,,5.01,4.96,1470355.0
6/11/1980,5.01,,5.04,4.99,1595726.0
6/12/1980,4.99,,5.04,4.95,1382093.0
6/13/1980,4.96,,5.0,4.94,1863519.0
6/16/1980,4.99,,5.01,4.96,2477338.0
6/17/1980,5.07,,5.07,4.99,2238631.0
6/18/1980,5.04,,5.06,5.02,2321877.0
