Date,Close,Open,High,Low,Volume
2022-12-12,,,,,
2022-12-13,,,,,
2022-12-14,,,,,
2022-12-15,60.0,63.0,63.0,60.0,1318232.0
2022-12-16,56.74,60.0,60.0,55.0,2307458.0
2022-12-19,56.5,53.0,58.99,53.0,117213.0
2022-12-20,57.21,58.0,58.0,56.76,22207.0
2022-12-21,56.96,59.0,66.28,55.5,290666.0
2022-12-22,57.6,58.43,61.02,57.0,3253239.0
2022-12-23,57.5,58.09,60.65,57.0,125766.0
2022-12-27,57.45,57.98,58.99,57.38,26524.0
2022-12-28,57.5,57.93,58.0,57.0,515235.0
2022-12-29,58.0,58.5,58.78,57.75,374807.0
2022-12-30,58.38,58.74,59.0,57.73,351145.0
2023-01-03,56.0,60.68,60.68,55.87,1794102.0
2023-01-04,60.49,54.13,60.71,53.5,33338528.0
2023-01-05,59.0,60.64,62.98,58.14,8850591.0
2023-01-06,58.95,59.68,59.94,57.87,5902804.0
2023-01-09,58.1,58.79,59.98,57.73,5288931.0
2023-01-10,60.0,59.15,60.06,58.06,6662990.0
2023-01-11,64.99,60.44,66.38,60.08,9219390.0
2023-01-12,65.65,66.09,66.52,63.66,5819815.0
2023-01-13,65.44,65.0,65.5,63.74,3772080.0
2023-01-17,63.33,63.94,65.73,63.26,3774703.0
2023-01-18,62.08,63.2,63.5,61.99,2610293.0
2023-01-19,63.94,61.33,64.5,61.3,2585604.0
2023-01-20,66.77,63.96,67.82,63.54,4001585.0
2023-01-23,69.52,67.35,69.91,66.78,3724076.0
2023-01-24,69.6,69.03,70.63,68.71,2590993.0
2023-01-25,68.71,68.46,69.7,66.95,2802081.0
2023-01-26,69.22,68.51,69.45,67.8,2075885.0
2023-01-27,70.08,68.86,70.51,68.36,2810636.0
2023-01-30,71.5,68.41,73.95,67.92,4259947.0
2023-01-31,69.52,71.01,71.12,68.5,3084275.0
2023-02-01,70.01,69.0,70.74,67.53,2698934.0
2023-02-02,70.65,69.59,71.89,69.0,2775957.0
2023-02-03,70.55,69.63,70.63,69.1,3075109.0
