Date,Close,Open,High,Low,Volume
1989-06-23,0.72,0.72,0.73,0.69,1449400.0
1989-06-26,0.77,0.77,0.78,0.72,457600.0
1989-06-27,0.73,0.73,0.77,0.73,190900.0
1989-06-28,0.72,0.72,0.77,0.72,185800.0
1989-06-29,0.7,0.7,0.73,0.7,61100.0
1989-06-30,0.7,0.7,0.73,0.7,87900.0
1989-07-03,0.73,0.73,0.73,0.7,5900.0
1989-07-05,0.7,0.7,0.7,0.7,8600.0
1989-07-06,0.72,0.72,0.73,0.7,10100.0
1989-07-07,0.73,0.73,0.73,0.7,65000.0
1989-07-10,0.72,0.72,0.75,0.72,26200.0
1989-07-11,0.73,0.73,0.77,0.73,129200.0
1989-07-12,0.73,0.73,0.77,0.73,5700.0
1989-07-13,0.73,0.73,0.77,0.73,3700.0
1989-07-14,0.73,0.73,0.75,0.73,13700.0
1989-07-17,0.75,0.75,0.75,0.75,36100.0
1989-07-18,0.75,0.75,0.75,0.72,19800.0
1989-07-19,0.78,0.78,0.8,0.73,224700.0
1989-07-20,0.81,0.81,0.83,0.78,81100.0
1989-07-21,0.8,0.8,0.81,0.78,21100.0
1989-07-24,0.78,0.78,0.8,0.77,14600.0
1989-07-25,0.78,0.78,0.8,0.78,27900.0
1989-07-26,0.8,0.8,0.8,0.78,36700.0
1989-07-27,0.8,0.8,0.8,0.78,42700.0
1989-07-28,0.78,0.78,0.81,0.78,4700.0
1989-07-31,0.8,0.8,0.81,0.78,89500.0
1989-08-01,0.78,0.78,0.8,0.78,36000.0
1989-08-02,0.78,0.78,0.8,0.78,3000.0
1989-08-03,0.8,0.8,0.8,0.78,147900.0
1989-08-04,0.81,0.81,0.81,0.77,224000.0
1989-08-07,0.84,0.84,0.86,0.83,33600.0
1989-08-08,0.86,0.86,0.89,0.84,25900.0
1989-08-09,0.88,0.88,0.88,0.86,12600.0
1989-08-10,0.89,0.89,0.89,0.89,800.0
1989-08-11,0.86,0.86,0.91,0.86,1700.0
1989-08-14,0.92,0.92,0.92,0.88,17800.0
1989-08-15,0.91,0.91,0.92,0.89,15000.0
1989-08-16,0.89,0.89,0.92,0.89,30600.0
1989-08-17,0.88,0.88,0.91,0.88,32900.0
1989-08-18,0.88,0.88,0.89,0.86,4700.0
1989-08-21,0.87,0.87,0.88,0.86,32000.0
1989-08-22,0.84,0.84,0.88,0.84,58400.0
1989-08-23,0.84,0.84,0.86,0.83,51800.0
1989-08-24,0.88,0.88,0.92,0.84,130000.0
1989-08-25,0.89,0.89,0.92,0.89,10800.0
1989-08-28,0.89,0.89,0.92,0.89,6200.0
1989-08-29,0.91,0.91,0.91,0.91,4000.0
1989-08-30,0.88,0.88,0.92,0.88,300.0
1989-08-31,0.91,0.91,0.91,0.91,1000.0
1989-09-01,0.89,0.89,0.92,0.89,2300.0
1989-09-05,0.91,0.91,0.91,0.88,4100.0
1989-09-06,0.88,0.88,0.88,0.88,1900.0
1989-09-07,0.88,0.88,0.88,0.88,500.0
1989-09-08,0.88,0.88,0.88,0.88,1500.0
1989-09-11,0.91,0.91,0.91,0.88,5100.0
1989-09-12,0.92,0.92,0.92,0.91,6600.0
1989-09-13,0.94,0.94,0.98,0.94,5500.0
1989-09-14,0.94,0.94,0.95,0.94,2000.0
1989-09-15,0.95,0.95,0.95,0.95,100.0
1989-09-18,0.94,0.94,0.95,0.94,2800.0
1989-09-19,0.93,0.93,0.95,0.93,8800.0
1989-09-20,0.97,0.97,0.97,0.94,21700.0
1989-09-21,0.97,0.97,0.97,0.94,35600.0
1989-09-22,0.94,0.94,0.97,0.94,1500.0
1989-09-25,0.94,0.94,0.94,0.94,100.0
1989-09-26,1.0,1.0,1.02,0.95,76900.0
1989-09-27,0.98,0.98,0.98,0.96,206100.0
1989-09-28,1.02,1.02,1.02,0.98,30200.0
1989-09-29,1.0,1.0,1.02,0.98,29300.0
1989-10-02,1.0,1.0,1.0,0.98,50500.0
1989-10-03,0.99,0.99,1.01,0.99,66700.0
1989-10-04,1.01,1.01,1.03,0.98,144300.0
1989-10-05,1.09,1.09,1.09,1.03,208800.0
1989-10-06,1.13,1.13,1.13,1.08,20100.0
1989-10-09,1.13,1.13,1.13,1.1,186300.0
1989-10-10,1.09,1.09,1.13,1.09,3700.0
1989-10-11,1.11,1.11,1.11,1.09,10900.0
1989-10-13,1.08,1.08,1.13,1.08,570600.0
1989-10-16,1.05,1.05,1.05,1.02,7800.0
1989-10-17,1.05,1.05,1.05,1.05,2200.0
1989-10-18,1.03,1.03,1.06,1.03,1100.0
1989-10-19,1.06,1.06,1.06,1.06,400.0
1989-10-20,1.06,1.06,1.06,1.06,200.0
1989-10-24,1.03,1.03,1.08,1.0,27900.0
1989-10-25,1.05,1.05,1.05,1.02,10400.0
1989-10-26,1.03,1.03,1.06,1.03,2400.0
1989-10-27,0.97,0.97,1.05,0.97,11600.0
1989-10-30,1.0,1.0,1.0,0.97,50600.0
1989-10-31,1.0,1.0,1.0,0.97,31400.0
1989-11-02,0.97,0.97,0.98,0.97,8300.0
1989-11-03,0.98,0.98,1.0,0.97,21500.0
1989-11-06,0.98,0.98,1.0,0.97,48000.0
1989-11-07,0.98,0.98,1.02,0.97,43200.0
1989-11-08,1.05,1.05,1.05,0.98,96200.0
1989-11-09,1.05,1.05,1.05,1.03,6000.0
1989-11-10,1.05,1.05,1.06,1.03,34300.0
1989-11-13,1.03,1.03,1.06,1.03,1800.0
1989-11-14,1.03,1.03,1.06,1.03,800.0
1989-11-16,1.05,1.05,1.05,1.05,1000.0
1989-11-17,1.06,1.06,1.06,1.03,19000.0
