Date,Close,Open,High,Low,Volume
1980-03-17,1.29,,1.34,1.28,28800.0
1980-03-18,1.31,,1.31,1.28,34100.0
1980-03-19,1.32,,1.34,1.3,60300.0
1980-03-20,1.33,,1.33,1.3,40600.0
1980-03-21,1.3,,1.31,1.29,17500.0
1980-03-24,1.32,,1.33,1.3,55800.0
1980-03-25,1.3,,1.31,1.3,27100.0
1980-03-26,1.34,,1.34,1.31,35900.0
1980-03-27,1.3,,1.33,1.28,50000.0
1980-03-28,1.4,,1.41,1.3,68300.0
1980-03-31,1.41,,1.43,1.38,44100.0
1980-04-01,1.46,,1.46,1.41,13100.0
1980-04-02,1.5,,1.52,1.44,36400.0
1980-04-03,1.49,,1.51,1.47,63900.0
1980-04-07,1.49,,1.51,1.44,135300.0
1980-04-08,1.54,,1.55,1.48,79300.0
1980-04-09,1.55,,1.56,1.53,21900.0
1980-04-10,1.56,,1.56,1.55,18600.0
1980-04-11,1.55,,1.56,1.55,26500.0
1980-04-14,1.48,,1.54,1.48,52100.0
1980-04-15,1.48,,1.49,1.46,42800.0
1980-04-16,1.47,,1.48,1.45,26200.0
1980-04-17,1.45,,1.46,1.42,31600.0
1980-04-18,1.46,,1.47,1.46,14100.0
1980-04-21,1.46,,1.47,1.46,4500.0
1980-04-22,1.48,,1.49,1.46,110600.0
1980-04-23,1.47,,1.51,1.47,85500.0
1980-04-24,1.43,,1.47,1.43,106500.0
1980-04-25,1.4,,1.41,1.39,27700.0
1980-04-28,1.42,,1.42,1.4,71300.0
1980-04-29,1.45,,1.47,1.42,59200.0
1980-04-30,1.48,,1.48,1.45,30800.0
1980-05-01,1.46,,1.5,1.46,238900.0
1980-05-02,1.45,,1.48,1.44,37400.0
1980-05-05,1.48,,1.48,1.45,20300.0
1980-05-06,1.52,,1.52,1.49,228900.0
1980-05-07,1.56,,1.59,1.5,258200.0
1980-05-08,1.56,,1.59,1.56,32800.0
1980-05-09,1.57,,1.57,1.57,14200.0
1980-05-12,1.59,,1.59,1.56,9300.0
1980-05-13,1.61,,1.61,1.59,48800.0
1980-05-14,1.68,,1.7,1.63,72800.0
1980-05-15,1.7,,1.7,1.68,17200.0
1980-05-16,1.71,,1.72,1.7,59100.0
1980-05-19,1.7,,1.71,1.69,18300.0
1980-05-20,1.67,,1.69,1.66,11500.0
1980-05-21,1.65,,1.67,1.64,38100.0
1980-05-22,1.71,,1.72,1.66,52500.0
1980-05-23,1.74,,1.77,1.73,61300.0
1980-05-27,1.73,,1.74,1.73,70100.0
1980-05-28,1.73,,1.73,1.72,26100.0
1980-05-29,1.72,,1.77,1.72,318900.0
1980-05-30,1.74,,1.74,1.69,40600.0
1980-06-02,1.76,,1.77,1.74,31600.0
1980-06-03,1.74,,1.77,1.73,48500.0
1980-06-04,1.74,,1.77,1.73,51200.0
1980-06-05,1.75,,1.76,1.74,41100.0
1980-06-06,1.69,,1.73,1.69,44500.0
1980-06-09,1.7,,1.71,1.69,39000.0
1980-06-10,1.67,,1.71,1.66,39600.0
1980-06-11,1.66,,1.68,1.66,81300.0
1980-06-12,1.64,,1.67,1.64,56400.0
1980-06-13,1.65,,1.66,1.63,54700.0
1980-06-16,1.67,,1.68,1.64,30300.0
1980-06-17,1.72,,1.72,1.66,15800.0
1980-06-18,1.73,,1.74,1.72,74200.0
1980-06-19,1.7,,1.73,1.7,33900.0
1980-06-20,1.67,,1.7,1.67,18700.0
1980-06-23,1.66,,1.69,1.66,22100.0
1980-06-24,1.74,,1.74,1.69,53300.0
1980-06-25,1.76,,1.76,1.73,65800.0
1980-06-26,1.73,,1.77,1.73,56500.0
1980-06-27,1.73,,1.73,1.7,118900.0
1980-06-30,1.72,,1.73,1.7,29000.0
1980-07-01,1.7,,1.72,1.7,74800.0
1980-07-02,1.71,,1.72,1.7,26200.0
1980-07-03,1.7,,1.7,1.68,37700.0
1980-07-07,1.72,,1.73,1.69,23100.0
1980-07-08,1.66,,1.74,1.66,83000.0
1980-07-09,1.68,,1.7,1.66,60000.0
1980-07-10,1.65,,1.68,1.65,34300.0
1980-07-11,1.67,,1.67,1.65,24600.0
1980-07-14,1.69,,1.7,1.69,47400.0
1980-07-15,1.68,,1.7,1.66,29300.0
1980-07-16,1.67,,1.67,1.65,37700.0
1980-07-17,1.66,,1.68,1.64,71900.0
1980-07-18,1.66,,1.68,1.65,80500.0
1980-07-21,1.63,,1.66,1.61,76000.0
1980-07-22,1.63,,1.63,1.62,155500.0
1980-07-23,1.61,,1.63,1.61,92300.0
1980-07-24,1.64,,1.64,1.62,69300.0
1980-07-25,1.63,,1.64,1.63,49100.0
1980-07-28,1.66,,1.66,1.63,316300.0
1980-07-29,1.69,,1.69,1.65,157400.0
1980-07-30,1.73,,1.73,1.69,86800.0
1980-07-31,1.72,,1.73,1.7,34300.0
1980-08-01,1.75,,1.77,1.7,94000.0
1980-08-04,1.87,,1.89,1.77,155400.0
1980-08-05,1.84,,1.87,1.84,102100.0
1980-08-06,1.84,,1.84,1.81,95900.0
1980-08-07,1.83,,1.86,1.83,72300.0
1980-08-08,1.83,,1.85,1.82,45300.0
1980-08-11,1.85,,1.87,1.83,45800.0
1980-08-12,1.86,,1.88,1.85,40900.0
1980-08-13,1.87,,1.87,1.84,30500.0
1980-08-14,1.88,,1.88,1.84,33900.0
1980-08-15,1.91,,1.91,1.86,80000.0
1980-08-18,1.84,,1.91,1.83,87900.0
1980-08-19,1.82,,1.84,1.82,38000.0
1980-08-20,1.8,,1.8,1.78,22300.0
1980-08-21,1.8,,1.8,1.78,68300.0
1980-08-22,1.82,,1.84,1.81,80100.0
1980-08-25,1.84,,1.84,1.82,57500.0
1980-08-26,1.81,,1.84,1.81,19300.0
1980-08-27,1.79,,1.82,1.78,33700.0
1980-08-28,1.77,,1.79,1.77,14100.0
1980-08-29,1.75,,1.78,1.73,39000.0
1980-09-02,1.77,,1.77,1.69,83200.0
1980-09-03,1.78,,1.78,1.76,50200.0
1980-09-04,1.78,,1.8,1.78,38500.0
1980-09-05,1.77,,1.78,1.76,20600.0
1980-09-08,1.77,,1.78,1.76,25700.0
1980-09-09,1.77,,1.77,1.75,51300.0
1980-09-10,1.76,,1.77,1.74,14500.0
1980-09-11,1.73,,1.77,1.73,30300.0
1980-09-12,1.75,,1.75,1.73,56700.0
1980-09-15,1.74,,1.74,1.71,27900.0
1980-09-16,1.75,,1.77,1.73,61300.0
1980-09-17,1.75,,1.77,1.73,52100.0
1980-09-18,1.77,,1.77,1.76,59000.0
1980-09-19,1.76,,1.78,1.75,41500.0
1980-09-22,1.81,,1.81,1.77,29600.0
1980-09-23,1.8,,1.83,1.8,16600.0
1980-09-24,1.82,,1.82,1.79,65400.0
1980-09-25,1.8,,1.84,1.8,23900.0
1980-09-26,1.73,,1.8,1.73,25900.0
1980-09-29,1.69,,1.7,1.67,72000.0
1980-09-30,1.73,,1.73,1.7,8800.0
1980-10-01,1.73,,1.74,1.7,97900.0
1980-10-02,1.7,,1.73,1.67,32800.0
1980-10-03,1.7,,1.73,1.68,20400.0
1980-10-06,1.7,,1.7,1.69,46800.0
1980-10-07,1.7,,1.72,1.7,62200.0
1980-10-08,1.7,,1.71,1.69,75900.0
1980-10-09,1.7,,1.7,1.69,31200.0
1980-10-10,1.7,,1.71,1.7,39200.0
1980-10-13,1.71,,1.71,1.7,14600.0
1980-10-14,1.7,,1.71,1.7,25600.0
1980-10-15,1.69,,1.7,1.69,28800.0
1980-10-16,1.68,,1.7,1.67,36800.0
1980-10-17,1.66,,1.68,1.66,35200.0
1980-10-20,1.63,,1.66,1.63,60900.0
1980-10-21,1.63,,1.64,1.62,22200.0
1980-10-22,1.56,,1.63,1.56,82500.0
1980-10-23,1.57,,1.59,1.57,118600.0
1980-10-24,1.55,,1.58,1.54,85100.0
1980-10-27,1.58,,1.59,1.53,123600.0
1980-10-28,1.56,,1.57,1.55,40600.0
1980-10-29,1.59,,1.59,1.57,39100.0
1980-10-30,1.58,,1.59,1.57,25200.0
1980-10-31,1.58,,1.58,1.56,26400.0
1980-11-03,1.59,,1.59,1.57,39600.0
1980-11-05,1.61,,1.67,1.59,130700.0
1980-11-06,1.55,,1.61,1.55,69000.0
1980-11-07,1.5,,1.55,1.5,59000.0
1980-11-10,1.52,,1.53,1.48,36400.0
1980-11-11,1.54,,1.56,1.53,81400.0
1980-11-12,1.55,,1.55,1.52,94000.0
1980-11-13,1.53,,1.56,1.53,71700.0
1980-11-14,1.53,,1.55,1.53,422300.0
1980-11-17,1.52,,1.54,1.51,252700.0
1980-11-18,1.55,,1.56,1.51,109900.0
1980-11-19,1.54,,1.55,1.52,68400.0
1980-11-20,1.5,,1.55,1.47,84300.0
1980-11-21,1.51,,1.51,1.48,102500.0
1980-11-24,1.49,,1.5,1.46,55700.0
1980-11-25,1.55,,1.55,1.52,94600.0
1980-11-26,1.55,,1.55,1.53,74500.0
1980-11-28,1.53,,1.55,1.52,21800.0
1980-12-01,1.52,,1.54,1.52,20600.0
1980-12-02,1.53,,1.55,1.52,25100.0
1980-12-03,1.52,,1.54,1.52,129100.0
1980-12-04,1.53,,1.55,1.52,60700.0
1980-12-05,1.54,,1.55,1.52,56100.0
1980-12-08,1.53,,1.53,1.52,18600.0
1980-12-09,1.52,,1.52,1.5,128800.0
1980-12-10,1.54,,1.55,1.52,48700.0
1980-12-11,1.51,,1.55,1.51,86700.0
1980-12-12,1.52,,1.52,1.51,54800.0
1980-12-15,1.52,,1.52,1.5,57100.0
1980-12-16,1.5,,1.52,1.49,87300.0
1980-12-17,1.52,,1.53,1.51,101700.0
1980-12-18,1.61,,1.63,1.54,60700.0
1980-12-19,1.62,,1.63,1.59,28600.0
1980-12-22,1.66,,1.67,1.61,21300.0
1980-12-23,1.7,,1.71,1.68,33100.0
1980-12-24,1.7,,1.7,1.69,22600.0
1980-12-26,1.7,,1.7,1.68,3300.0
1980-12-29,1.68,,1.7,1.66,33500.0
1980-12-30,1.68,,1.7,1.66,28100.0
1980-12-31,1.69,,1.69,1.63,63300.0
1981-01-02,1.7,,1.7,1.68,12100.0
1981-01-05,1.68,,1.69,1.67,103800.0
1981-01-06,1.8,,1.84,1.69,77100.0
1981-01-07,1.83,,1.84,1.73,155600.0
1981-01-08,1.84,,1.87,1.82,45700.0
1981-01-09,1.84,,1.85,1.82,62100.0
1981-01-12,1.84,,1.87,1.81,52000.0
1981-01-13,1.81,,1.83,1.8,20100.0
1981-01-14,1.83,,1.84,1.8,110400.0
1981-01-15,1.85,,1.86,1.81,37300.0
1981-01-16,1.84,,1.87,1.84,23500.0
1981-01-19,1.84,,1.86,1.84,19900.0
1981-01-20,1.83,,1.86,1.83,14300.0
1981-01-21,1.79,,1.82,1.78,142500.0
1981-01-22,1.81,,1.81,1.79,37100.0
1981-01-23,1.83,,1.84,1.81,54100.0
1981-01-26,1.8,,1.84,1.8,22900.0
1981-01-27,1.8,,1.83,1.8,53400.0
1981-01-28,1.8,,1.81,1.79,19900.0
1981-01-29,1.79,,1.8,1.78,34200.0
1981-01-30,1.8,,1.8,1.79,27700.0
1981-02-02,1.76,,1.79,1.75,91300.0
1981-02-03,1.76,,1.76,1.73,16700.0
1981-02-04,1.76,,1.77,1.73,40000.0
1981-02-05,1.75,,1.77,1.74,14800.0
1981-02-06,1.73,,1.74,1.72,57700.0
1981-02-09,1.76,,1.77,1.74,76700.0
1981-02-10,1.77,,1.77,1.75,68100.0
1981-02-11,1.76,,1.77,1.76,13900.0
1981-02-12,1.77,,1.79,1.76,23700.0
1981-02-13,1.74,,1.77,1.73,39700.0
1981-02-17,1.74,,1.75,1.73,8200.0
1981-02-18,1.77,,1.8,1.73,40300.0
1981-02-19,1.74,,1.78,1.73,33500.0
1981-02-20,1.7,,1.74,1.7,53200.0
1981-02-23,1.7,,1.71,1.7,44400.0
1981-02-24,1.73,,1.73,1.7,26400.0
1981-02-25,1.75,,1.75,1.73,22500.0
1981-02-26,1.8,,1.81,1.75,380600.0
