Date,Close,Open,High,Low,Volume
10/1/1980,2.83,,2.85,2.83,83900.0
10/2/1980,2.8,,2.81,2.8,15800.0
10/3/1980,2.78,,2.81,2.78,5100.0
10/6/1980,2.74,,2.76,2.74,28800.0
10/7/1980,2.69,,2.7,2.69,62800.0
10/8/1980,2.72,,2.74,2.72,37000.0
10/9/1980,2.72,,2.74,2.72,13800.0
10/10/1980,2.72,,2.76,2.72,27700.0
10/13/1980,2.74,,2.76,2.74,18000.0
10/14/1980,2.72,,2.76,2.72,29500.0
10/15/1980,2.7,,2.74,2.7,39200.0
10/16/1980,2.7,,2.72,2.7,23400.0
10/17/1980,2.7,,2.72,2.7,11100.0
10/20/1980,2.67,,2.7,2.67,12800.0
10/21/1980,2.65,,2.67,2.65,59800.0
10/22/1980,2.65,,2.67,2.65,20000.0
10/23/1980,2.61,,2.63,2.61,88800.0
10/24/1980,2.61,,2.63,2.61,14600.0
10/27/1980,2.59,,2.61,2.59,14300.0
10/28/1980,2.59,,2.61,2.59,9600.0
10/29/1980,2.57,,2.59,2.57,8400.0
10/30/1980,2.57,,2.61,2.57,27100.0
10/31/1980,2.57,,2.59,2.57,39000.0
11/3/1980,2.56,,2.57,2.56,10900.0
11/5/1980,2.56,,2.57,2.56,15900.0
11/6/1980,2.54,,2.56,2.54,22300.0
11/7/1980,2.52,,2.54,2.52,45800.0
11/10/1980,2.52,,2.56,2.52,15700.0
11/11/1980,2.63,,2.67,2.63,40200.0
11/12/1980,2.67,,2.69,2.67,66300.0
11/13/1980,2.69,,2.72,2.69,12400.0
11/14/1980,2.7,,2.72,2.7,25900.0
11/17/1980,2.69,,2.72,2.69,11200.0
11/18/1980,2.65,,2.67,2.65,32300.0
11/19/1980,2.63,,2.67,2.63,32600.0
11/20/1980,2.65,,2.67,2.65,78800.0
11/21/1980,2.63,,2.65,2.63,19400.0
11/24/1980,2.65,,2.69,2.65,175900.0
11/25/1980,2.69,,2.7,2.69,270600.0
11/26/1980,2.76,,2.78,2.76,280200.0
11/28/1980,2.81,,2.83,2.81,41500.0
12/1/1980,2.83,,2.87,2.83,79900.0
12/2/1980,2.98,,3.0,2.98,78100.0
12/3/1980,3.02,,3.04,3.02,55600.0
12/4/1980,3.02,,3.06,3.02,36900.0
12/5/1980,2.83,,2.85,2.83,45600.0
12/8/1980,2.78,,2.8,2.78,18200.0
12/9/1980,2.81,,2.85,2.81,26900.0
12/10/1980,2.81,,2.85,2.81,26700.0
12/11/1980,2.81,,2.81,2.81,20700.0
12/12/1980,2.81,,2.85,2.81,24000.0
12/15/1980,2.81,,2.83,2.81,37300.0
12/16/1980,2.81,,2.83,2.81,8200.0
12/17/1980,2.78,,2.8,2.78,29500.0
12/18/1980,2.78,,2.81,2.78,33800.0
12/19/1980,2.78,,2.8,2.78,27800.0
12/22/1980,2.85,,2.89,2.85,26300.0
12/23/1980,2.83,,2.87,2.83,29700.0
12/24/1980,2.81,,2.85,2.81,22400.0
12/26/1980,2.83,,2.85,2.83,32300.0
12/29/1980,2.83,,2.85,2.83,35600.0
12/30/1980,2.89,,2.91,2.89,43100.0
12/31/1980,3.04,,3.04,2.87,21900.0
1/2/1981,3.3,,3.3,3.02,31000.0
1/5/1981,3.37,,3.48,3.33,158200.0
1/6/1981,3.35,,3.41,3.32,30500.0
1/7/1981,3.24,,3.26,3.19,63800.0
1/8/1981,3.2,,3.24,3.2,24000.0
1/9/1981,3.17,,3.22,3.13,22200.0
1/12/1981,3.19,,3.22,3.13,9100.0
1/13/1981,3.07,,3.17,3.07,9700.0
1/14/1981,3.11,,3.11,3.0,6300.0
1/15/1981,3.11,,3.13,3.09,33000.0
1/16/1981,3.19,,3.22,3.15,11100.0
1/19/1981,3.19,,3.19,3.15,9600.0
1/20/1981,3.15,,3.19,3.15,7600.0
1/21/1981,3.19,,3.19,3.11,21600.0
1/22/1981,3.19,,3.19,3.13,14300.0
1/23/1981,3.19,,3.2,3.11,48400.0
1/26/1981,3.07,,3.22,3.07,8400.0
1/27/1981,3.07,,3.11,3.04,30000.0
1/28/1981,3.04,,3.11,3.04,4500.0
1/29/1981,3.09,,3.11,3.06,6700.0
1/30/1981,3.0,,3.07,3.0,5900.0
2/2/1981,2.96,,3.02,2.96,7600.0
2/3/1981,3.02,,3.02,2.96,2600.0
2/4/1981,3.07,,3.07,3.02,3200.0
2/5/1981,3.06,,3.11,3.04,5900.0
2/6/1981,3.09,,3.24,3.02,2900.0
2/9/1981,3.09,,3.15,3.09,11500.0
2/10/1981,3.06,,3.07,3.06,2800.0
2/11/1981,3.0,,3.07,2.98,3100.0
2/12/1981,3.04,,3.09,3.0,8600.0
2/13/1981,3.11,,3.11,3.04,15100.0
2/17/1981,3.07,,3.11,3.07,9000.0
2/18/1981,3.0,,3.11,3.0,14900.0
2/19/1981,3.02,,3.02,3.0,2300.0
2/20/1981,3.06,,3.06,2.96,20300.0
2/23/1981,3.02,,3.02,3.0,6300.0
2/24/1981,3.02,,3.07,3.02,20700.0
2/25/1981,3.07,,3.09,3.06,6800.0
2/26/1981,3.09,,3.09,3.06,17600.0
2/27/1981,3.07,,3.11,3.07,33400.0
3/2/1981,3.06,,3.09,3.04,7700.0
3/3/1981,3.26,,3.26,3.06,54900.0
3/4/1981,3.52,,3.67,3.32,64200.0
3/5/1981,3.43,,3.48,3.43,15500.0
3/6/1981,3.35,,3.46,3.35,19900.0
3/9/1981,3.37,,3.41,3.33,3600.0
3/10/1981,3.3,,3.37,3.26,22800.0
3/11/1981,3.39,,3.39,3.32,30000.0
3/12/1981,3.46,,3.56,3.41,19300.0
3/13/1981,3.43,,3.56,3.43,11400.0
3/16/1981,3.59,,3.59,3.41,10400.0
3/17/1981,3.59,,3.63,3.54,40000.0
3/18/1981,3.56,,3.61,3.56,8600.0
3/19/1981,3.56,,3.59,3.54,6800.0
3/20/1981,3.67,,3.7,3.57,16000.0
3/23/1981,3.72,,3.76,3.67,21000.0
3/24/1981,3.7,,3.74,3.67,27800.0
3/25/1981,3.74,,3.74,3.67,29500.0
3/26/1981,3.72,,3.78,3.69,18900.0
3/27/1981,3.65,,3.72,3.59,14300.0
3/30/1981,3.67,,3.69,3.61,5100.0
3/31/1981,3.65,,3.7,3.65,40500.0
4/1/1981,3.69,,3.7,3.65,22300.0
4/2/1981,3.69,,3.69,3.65,8100.0
4/3/1981,3.63,,3.69,3.63,15300.0
4/6/1981,3.57,,3.63,3.56,8700.0
4/7/1981,3.48,,3.59,3.48,6400.0
4/8/1981,3.56,,3.57,3.5,6600.0
4/9/1981,3.43,,3.48,3.43,50700.0
4/10/1981,3.43,,3.48,3.43,3400.0
4/13/1981,3.41,,3.46,3.37,6500.0
4/14/1981,3.56,,3.59,3.44,25300.0
4/15/1981,3.44,,3.48,3.43,5900.0
4/16/1981,3.46,,3.48,3.43,3900.0
4/20/1981,3.46,,3.5,3.43,8000.0
4/21/1981,3.56,,3.57,3.46,15500.0
4/22/1981,3.57,,3.57,3.52,3800.0
4/23/1981,3.56,,3.57,3.54,4500.0
4/24/1981,3.54,,3.57,3.54,8900.0
4/27/1981,3.54,,3.57,3.54,6700.0
4/28/1981,3.41,,3.44,3.41,33300.0
4/29/1981,3.37,,3.44,3.37,14100.0
4/30/1981,3.37,,3.39,3.3,16500.0
5/1/1981,3.37,,3.37,3.33,4700.0
5/4/1981,3.32,,3.39,3.3,9300.0
5/5/1981,3.39,,3.48,3.33,4700.0
5/6/1981,3.44,,3.48,3.41,3200.0
5/7/1981,3.48,,3.48,3.44,12000.0
5/8/1981,3.57,,3.57,3.46,99700.0
5/11/1981,3.52,,3.57,3.52,23100.0
5/12/1981,3.57,,3.59,3.52,14400.0
5/13/1981,3.59,,3.65,3.56,32500.0
5/14/1981,3.56,,3.63,3.56,1800.0
5/15/1981,3.56,,3.59,3.56,46000.0
5/18/1981,3.57,,3.63,3.54,40300.0
5/19/1981,3.56,,3.61,3.54,5400.0
5/20/1981,3.7,,3.7,3.56,18000.0
5/21/1981,3.61,,3.67,3.56,23700.0
5/22/1981,3.63,,3.67,3.61,5800.0
5/26/1981,3.74,,3.8,3.63,9300.0
5/27/1981,3.78,,3.82,3.74,32000.0
5/28/1981,3.74,,3.82,3.72,39900.0
5/29/1981,3.74,,3.8,3.74,10300.0
6/1/1981,3.85,,3.89,3.74,40200.0
6/2/1981,3.85,,3.93,3.82,15900.0
6/3/1981,3.85,,3.85,3.82,11500.0
6/4/1981,3.85,,3.85,3.83,18100.0
