Date,Close,Open,High,Low,Volume
3/17/1980,2.16,,2.19,2.16,35600.0
3/18/1980,2.19,,2.2,2.15,57000.0
3/19/1980,2.2,,2.2,2.18,12700.0
3/20/1980,2.18,,2.19,2.16,77100.0
3/21/1980,2.21,,2.22,2.18,35100.0
3/24/1980,2.19,,2.2,2.19,16500.0
3/25/1980,2.17,,2.18,2.16,36000.0
3/26/1980,2.15,,2.18,2.15,23900.0
3/27/1980,2.09,,2.14,2.05,41700.0
3/28/1980,2.08,,2.1,2.07,30900.0
3/31/1980,2.08,,2.1,2.06,12700.0
4/1/1980,2.04,,2.08,2.04,27900.0
4/2/1980,2.05,,2.06,2.04,32100.0
4/3/1980,2.05,,2.07,2.05,34400.0
4/7/1980,2.03,,2.04,2.02,13200.0
4/8/1980,2.02,,2.04,2.01,23200.0
4/9/1980,2.05,,2.05,2.03,24100.0
4/10/1980,2.05,,2.06,2.04,16100.0
4/11/1980,2.06,,2.07,2.05,12100.0
4/14/1980,2.05,,2.06,2.04,6700.0
4/15/1980,2.03,,2.05,2.02,5900.0
4/16/1980,1.97,,2.04,1.97,21900.0
4/17/1980,1.96,,2.0,1.94,21900.0
4/18/1980,1.92,,1.97,1.91,25800.0
4/21/1980,1.9,,1.93,1.9,53000.0
4/22/1980,1.98,,1.99,1.93,70800.0
4/23/1980,1.97,,1.99,1.95,34500.0
4/24/1980,2.04,,2.05,1.98,12200.0
4/25/1980,2.03,,2.04,2.01,8700.0
4/28/1980,2.02,,2.06,2.02,17300.0
4/29/1980,2.02,,2.04,2.02,40900.0
4/30/1980,2.03,,2.03,2.0,28000.0
5/1/1980,2.01,,2.03,1.99,17600.0
5/2/1980,2.02,,2.03,2.0,28900.0
5/5/1980,2.0,,2.02,1.98,105300.0
5/6/1980,2.01,,2.02,1.99,9700.0
5/7/1980,2.01,,2.02,1.99,15500.0
5/8/1980,1.98,,2.02,1.97,16900.0
5/9/1980,1.97,,1.98,1.97,6900.0
5/12/1980,1.97,,1.98,1.96,9600.0
5/13/1980,2.0,,2.0,1.97,11200.0
5/14/1980,2.01,,2.02,1.99,10500.0
5/15/1980,2.0,,2.01,1.98,8300.0
5/16/1980,2.01,,2.01,1.98,8800.0
5/19/1980,2.0,,2.01,1.99,20600.0
5/20/1980,2.0,,2.01,2.0,5100.0
5/21/1980,2.01,,2.01,2.0,3900.0
5/22/1980,2.05,,2.06,2.0,7300.0
5/23/1980,2.09,,2.12,2.06,15900.0
5/27/1980,2.1,,2.11,2.09,11100.0
5/28/1980,2.1,,2.1,2.09,29400.0
5/29/1980,2.05,,2.1,2.05,9400.0
5/30/1980,2.1,,2.11,2.02,17000.0
6/2/1980,2.08,,2.1,2.08,22200.0
6/3/1980,2.08,,2.09,2.08,23600.0
6/4/1980,2.08,,2.09,2.08,15600.0
6/5/1980,2.11,,2.12,2.09,27500.0
6/6/1980,2.14,,2.16,2.11,14200.0
6/9/1980,2.17,,2.17,2.13,52000.0
6/10/1980,2.2,,2.2,2.14,72900.0
6/11/1980,2.28,,2.3,2.2,48300.0
6/12/1980,2.24,,2.32,2.23,41900.0
6/13/1980,2.27,,2.28,2.25,19300.0
6/16/1980,2.29,,2.29,2.27,13900.0
6/17/1980,2.28,,2.29,2.28,8000.0
6/18/1980,2.28,,2.28,2.26,15000.0
6/19/1980,2.26,,2.28,2.26,20100.0
6/20/1980,2.26,,2.27,2.25,13300.0
6/23/1980,2.27,,2.28,2.26,10500.0
6/24/1980,2.27,,2.28,2.26,4800.0
6/25/1980,2.28,,2.28,2.27,3000.0
6/26/1980,2.26,,2.29,2.26,14900.0
6/27/1980,2.22,,2.26,2.22,9900.0
6/30/1980,2.17,,2.23,2.17,20100.0
7/1/1980,2.19,,2.2,2.16,24800.0
7/2/1980,2.21,,2.22,2.19,13300.0
7/3/1980,2.27,,2.27,2.23,23600.0
7/7/1980,2.25,,2.27,2.25,63700.0
7/8/1980,2.25,,2.26,2.23,24900.0
7/9/1980,2.23,,2.27,2.23,48200.0
7/10/1980,2.2,,2.22,2.2,16700.0
7/11/1980,2.27,,2.27,2.18,24700.0
7/14/1980,2.26,,2.27,2.23,18100.0
7/15/1980,2.29,,2.3,2.27,29700.0
7/16/1980,2.32,,2.33,2.3,10700.0
7/17/1980,2.42,,2.42,2.33,54600.0
7/18/1980,2.42,,2.44,2.42,29300.0
7/21/1980,2.42,,2.43,2.41,14500.0
7/22/1980,2.41,,2.41,2.4,16800.0
7/23/1980,2.4,,2.4,2.38,16900.0
7/24/1980,2.36,,2.4,2.32,11900.0
7/25/1980,2.35,,2.36,2.35,10900.0
7/28/1980,2.33,,2.36,2.32,13100.0
7/29/1980,2.35,,2.35,2.34,10600.0
7/30/1980,2.34,,2.36,2.32,21600.0
7/31/1980,2.37,,2.37,2.32,19400.0
8/1/1980,2.48,,2.5,2.41,33900.0
8/4/1980,2.5,,2.5,2.45,16800.0
8/5/1980,2.53,,2.54,2.49,26500.0
8/6/1980,2.52,,2.53,2.51,30900.0
8/7/1980,2.53,,2.53,2.52,27600.0
8/8/1980,2.49,,2.53,2.49,31300.0
8/11/1980,2.51,,2.51,2.48,49300.0
8/12/1980,2.5,,2.53,2.49,29200.0
8/13/1980,2.48,,2.5,2.48,11000.0
8/14/1980,2.58,,2.58,2.48,31500.0
8/15/1980,2.67,,2.67,2.59,17300.0
8/18/1980,2.61,,2.67,2.61,17800.0
8/19/1980,2.56,,2.6,2.56,11800.0
8/20/1980,2.57,,2.57,2.52,25800.0
8/21/1980,2.66,,2.68,2.58,31800.0
8/22/1980,2.67,,2.72,2.67,20200.0
8/25/1980,2.63,,2.65,2.63,12800.0
8/26/1980,2.61,,2.65,2.6,10200.0
8/27/1980,2.58,,2.61,2.58,27500.0
8/28/1980,2.61,,2.63,2.57,20600.0
8/29/1980,2.63,,2.64,2.61,17400.0
9/2/1980,2.66,,2.66,2.63,23500.0
9/3/1980,2.8,,2.81,2.7,74300.0
9/4/1980,2.93,,2.94,2.8,99800.0
9/5/1980,2.89,,2.92,2.88,31500.0
9/8/1980,2.89,,2.91,2.86,43100.0
9/9/1980,2.89,,2.9,2.86,99200.0
9/10/1980,2.88,,2.92,2.88,52300.0
9/11/1980,2.91,,2.91,2.89,64000.0
9/12/1980,2.92,,2.93,2.92,96900.0
9/15/1980,2.92,,2.92,2.86,61700.0
9/16/1980,2.91,,2.95,2.91,122000.0
9/17/1980,2.91,,2.93,2.89,35700.0
9/18/1980,2.89,,2.91,2.87,19500.0
9/19/1980,2.9,,2.9,2.88,46000.0
9/22/1980,3.0,,3.0,2.89,26600.0
9/23/1980,2.9,,3.0,2.9,43200.0
9/24/1980,2.88,,2.93,2.88,23500.0
9/25/1980,2.88,,2.91,2.88,11000.0
9/26/1980,2.88,,2.89,2.86,58200.0
9/29/1980,2.82,,2.86,2.82,60300.0
9/30/1980,2.85,,2.86,2.82,21300.0
10/1/1980,2.8,,2.84,2.8,45300.0
10/2/1980,2.81,,2.81,2.79,32200.0
10/3/1980,2.9,,2.9,2.82,38700.0
10/6/1980,2.91,,2.91,2.88,10500.0
10/7/1980,2.9,,2.91,2.86,15800.0
10/8/1980,2.92,,2.93,2.9,45300.0
10/9/1980,2.91,,2.93,2.91,13300.0
10/10/1980,2.9,,2.92,2.9,25800.0
10/13/1980,2.94,,2.94,2.88,23400.0
10/14/1980,2.97,,2.97,2.93,18500.0
10/15/1980,3.1,,3.1,2.98,83000.0
10/16/1980,3.08,,3.16,3.07,69300.0
10/17/1980,3.05,,3.09,3.05,8600.0
10/20/1980,3.03,,3.04,3.03,7400.0
10/21/1980,2.98,,3.03,2.98,15600.0
10/22/1980,2.98,,3.0,2.98,4700.0
10/23/1980,2.98,,3.03,2.98,31600.0
10/24/1980,2.95,,2.97,2.94,16200.0
10/27/1980,2.89,,2.95,2.89,30400.0
10/28/1980,2.88,,2.9,2.86,37300.0
10/29/1980,2.8,,2.88,2.8,25000.0
10/30/1980,2.77,,2.81,2.77,31700.0
10/31/1980,2.86,,2.89,2.77,11500.0
11/3/1980,2.91,,2.92,2.88,9100.0
11/5/1980,2.97,,3.04,2.97,28600.0
11/6/1980,2.82,,2.97,2.81,22400.0
11/7/1980,2.78,,2.83,2.77,28800.0
11/10/1980,2.78,,2.79,2.77,64300.0
11/11/1980,2.82,,2.87,2.79,17100.0
11/12/1980,2.95,,2.95,2.82,23400.0
11/13/1980,2.93,,2.96,2.88,21800.0
11/14/1980,2.94,,2.98,2.93,22200.0
11/17/1980,2.96,,2.96,2.93,18700.0
11/18/1980,2.98,,3.0,2.95,16800.0
11/19/1980,3.01,,3.04,2.98,25100.0
11/20/1980,3.04,,3.05,3.0,14100.0
11/21/1980,3.0,,3.06,3.0,25000.0
11/24/1980,2.98,,3.0,2.95,17000.0
11/25/1980,3.02,,3.04,2.99,14900.0
11/26/1980,3.02,,3.02,3.0,31600.0
11/28/1980,3.02,,3.05,3.0,13900.0
12/1/1980,3.0,,3.02,2.98,14000.0
12/2/1980,2.9,,2.98,2.9,29200.0
12/3/1980,2.9,,2.9,2.88,16900.0
12/4/1980,2.91,,2.95,2.89,17200.0
12/5/1980,2.83,,2.89,2.83,22600.0
12/8/1980,2.81,,2.82,2.78,44500.0
12/9/1980,2.72,,2.81,2.71,69600.0
12/10/1980,2.61,,2.75,2.61,31600.0
12/11/1980,2.58,,2.61,2.53,29500.0
12/12/1980,2.65,,2.65,2.6,18000.0
12/15/1980,2.62,,2.66,2.61,21100.0
12/16/1980,2.64,,2.64,2.6,13100.0
12/17/1980,2.6,,2.64,2.6,20100.0
12/18/1980,2.57,,2.61,2.56,10600.0
12/19/1980,2.56,,2.58,2.54,144100.0
12/22/1980,2.58,,2.58,2.53,34700.0
12/23/1980,2.51,,2.6,2.5,175200.0
12/24/1980,2.53,,2.53,2.51,51400.0
12/26/1980,2.57,,2.57,2.52,61000.0
12/29/1980,2.55,,2.61,2.54,32400.0
12/30/1980,2.5,,2.52,2.48,36100.0
12/31/1980,2.48,,2.5,2.48,29000.0
1/2/1981,2.5,,2.5,2.48,38100.0
1/5/1981,2.6,,2.6,2.5,109700.0
1/6/1981,2.63,,2.66,2.63,85100.0
1/7/1981,2.57,,2.58,2.52,25000.0
1/8/1981,2.58,,2.6,2.58,21300.0
1/9/1981,2.6,,2.61,2.58,52000.0
1/12/1981,2.6,,2.63,2.59,16100.0
1/13/1981,2.59,,2.6,2.58,7200.0
1/14/1981,2.61,,2.61,2.6,7400.0
1/15/1981,2.6,,2.62,2.6,9200.0
1/16/1981,2.62,,2.63,2.6,22500.0
1/19/1981,2.64,,2.66,2.6,12100.0
1/20/1981,2.53,,2.63,2.53,44100.0
1/21/1981,2.49,,2.52,2.48,58500.0
1/22/1981,2.5,,2.51,2.48,15700.0
1/23/1981,2.52,,2.54,2.5,115700.0
1/26/1981,2.48,,2.53,2.48,17900.0
1/27/1981,2.52,,2.52,2.48,19300.0
1/28/1981,2.48,,2.51,2.48,13600.0
1/29/1981,2.5,,2.5,2.47,20500.0
1/30/1981,2.5,,2.5,2.48,8900.0
2/2/1981,2.47,,2.5,2.46,22400.0
2/3/1981,2.5,,2.5,2.46,26600.0
2/4/1981,2.47,,2.5,2.46,13000.0
2/5/1981,2.5,,2.51,2.48,16400.0
2/6/1981,2.55,,2.58,2.51,17100.0
2/9/1981,2.5,,2.55,2.5,20100.0
2/10/1981,2.52,,2.52,2.5,18500.0
2/11/1981,2.52,,2.55,2.52,20400.0
2/12/1981,2.51,,2.54,2.5,23000.0
2/13/1981,2.61,,2.61,2.52,60000.0
2/17/1981,2.6,,2.63,2.59,15400.0
2/18/1981,2.64,,2.64,2.58,19800.0
2/19/1981,2.57,,2.63,2.56,10600.0
2/20/1981,2.59,,2.59,2.57,7200.0
2/23/1981,2.64,,2.64,2.58,26800.0
2/24/1981,2.7,,2.7,2.65,25200.0
2/25/1981,2.79,,2.79,2.7,15900.0
2/26/1981,2.88,,2.88,2.77,48900.0
2/27/1981,2.85,,2.87,2.82,14800.0
3/2/1981,2.84,,2.85,2.83,17000.0
3/3/1981,2.82,,2.84,2.82,7700.0
3/4/1981,2.83,,2.83,2.81,13600.0
3/5/1981,2.8,,2.83,2.78,11200.0
3/6/1981,2.82,,2.83,2.8,10000.0
3/9/1981,2.86,,2.87,2.83,15900.0
3/10/1981,2.85,,2.87,2.84,26900.0
3/11/1981,2.83,,2.88,2.8,21300.0
3/12/1981,2.92,,2.92,2.81,8700.0
3/13/1981,2.91,,2.92,2.9,37300.0
3/16/1981,2.88,,2.9,2.85,12600.0
3/17/1981,2.83,,2.91,2.83,18000.0
3/18/1981,2.81,,2.84,2.8,16400.0
3/19/1981,2.72,,2.8,2.71,15600.0
3/20/1981,2.74,,2.78,2.73,19700.0
3/23/1981,2.79,,2.79,2.75,7900.0
3/24/1981,2.8,,2.84,2.78,14700.0
3/25/1981,2.98,,2.98,2.79,155900.0
3/26/1981,2.92,,2.97,2.92,12000.0
3/27/1981,2.92,,2.96,2.92,20400.0
3/30/1981,2.92,,2.94,2.9,16700.0
3/31/1981,2.9,,2.93,2.9,29500.0
4/1/1981,2.89,,2.91,2.88,9000.0
4/2/1981,2.88,,2.91,2.86,26500.0
4/3/1981,2.84,,2.86,2.83,12800.0
4/6/1981,2.81,,2.83,2.8,31900.0
4/7/1981,2.79,,2.81,2.79,9600.0
4/8/1981,2.81,,2.81,2.79,9600.0
4/9/1981,2.86,,2.88,2.8,24500.0
4/10/1981,2.9,,2.92,2.87,20400.0
4/13/1981,2.82,,2.9,2.82,13300.0
4/14/1981,2.81,,2.84,2.81,7900.0
4/15/1981,2.85,,2.85,2.81,5000.0
4/16/1981,2.86,,2.89,2.86,6200.0
4/20/1981,2.92,,2.95,2.86,18100.0
4/21/1981,2.98,,3.0,2.92,18300.0
4/22/1981,3.02,,3.05,2.98,23200.0
4/23/1981,2.98,,3.03,2.98,18200.0
4/24/1981,2.95,,2.97,2.95,12100.0
4/27/1981,2.96,,2.96,2.92,6600.0
4/28/1981,2.91,,2.98,2.91,10800.0
4/29/1981,2.85,,2.91,2.85,15800.0
4/30/1981,2.82,,2.86,2.8,17300.0
5/1/1981,2.8,,2.82,2.79,12800.0
5/4/1981,2.8,,2.8,2.76,15200.0
5/5/1981,2.79,,2.8,2.78,9500.0
5/6/1981,2.77,,2.83,2.77,7400.0
5/7/1981,2.75,,2.78,2.73,9700.0
5/8/1981,2.77,,2.77,2.75,5600.0
5/11/1981,2.72,,2.76,2.72,10700.0
5/12/1981,2.74,,2.74,2.71,6600.0
5/13/1981,2.71,,2.73,2.71,19700.0
5/14/1981,2.73,,2.73,2.68,6100.0
5/15/1981,2.75,,2.75,2.72,5500.0
5/18/1981,2.73,,2.75,2.73,3400.0
5/19/1981,2.82,,2.82,2.73,11600.0
5/20/1981,2.81,,2.84,2.8,7900.0
5/21/1981,2.8,,2.8,2.78,2700.0
5/22/1981,2.78,,2.81,2.78,9200.0
5/26/1981,2.77,,2.8,2.75,24700.0
5/27/1981,2.93,,2.93,2.76,24600.0
5/28/1981,2.98,,2.98,2.92,24000.0
5/29/1981,2.96,,2.99,2.96,21300.0
6/1/1981,2.96,,3.0,2.96,17900.0
6/2/1981,2.88,,2.94,2.88,14600.0
6/3/1981,2.89,,2.9,2.84,19700.0
6/4/1981,2.94,,2.94,2.9,11000.0
6/5/1981,2.99,,2.99,2.94,10400.0
6/8/1981,3.04,,3.05,3.02,19900.0
6/9/1981,3.0,,3.01,2.98,20800.0
6/10/1981,2.98,,3.01,2.92,44200.0
6/11/1981,3.0,,3.0,2.95,18800.0
6/12/1981,2.99,,3.02,2.98,23500.0
6/15/1981,2.99,,3.01,2.98,23600.0
6/16/1981,2.99,,3.0,2.98,23200.0
6/17/1981,3.1,,3.1,2.98,25200.0
6/18/1981,3.07,,3.14,3.07,29900.0
6/19/1981,3.02,,3.08,3.0,10500.0
6/22/1981,2.9,,3.02,2.9,29100.0
6/23/1981,2.85,,2.87,2.83,104400.0
6/24/1981,2.83,,2.84,2.74,48800.0
6/25/1981,2.86,,2.86,2.8,21100.0
6/26/1981,2.91,,2.91,2.86,16800.0
6/29/1981,2.86,,2.9,2.86,18500.0
6/30/1981,2.83,,2.89,2.82,18600.0
7/1/1981,2.79,,2.82,2.79,8400.0
7/2/1981,2.73,,2.78,2.72,18200.0
7/6/1981,2.7,,2.73,2.68,18400.0
7/7/1981,2.75,,2.75,2.71,14700.0
7/8/1981,2.75,,2.76,2.72,17600.0
7/9/1981,2.72,,2.75,2.71,6800.0
7/10/1981,2.77,,2.77,2.73,12100.0
7/13/1981,2.74,,2.77,2.74,15200.0
7/14/1981,2.7,,2.73,2.7,8400.0
7/15/1981,2.67,,2.71,2.66,16800.0
7/16/1981,2.67,,2.69,2.65,12300.0
7/17/1981,2.69,,2.69,2.66,6700.0
7/20/1981,2.59,,2.68,2.59,5200.0
7/21/1981,2.56,,2.61,2.55,13100.0
7/22/1981,2.54,,2.58,2.54,16700.0
7/23/1981,2.52,,2.53,2.5,24100.0
7/24/1981,2.53,,2.53,2.51,9900.0
7/27/1981,2.49,,2.52,2.47,9000.0
7/28/1981,2.44,,2.48,2.43,10100.0
7/29/1981,2.45,,2.46,2.43,178800.0
7/30/1981,2.45,,2.45,2.41,20300.0
7/31/1981,2.5,,2.51,2.45,122600.0
8/3/1981,2.47,,2.5,2.46,45400.0
8/4/1981,2.5,,2.5,2.47,33400.0
8/5/1981,2.57,,2.57,2.51,29500.0
8/6/1981,2.57,,2.58,2.56,19100.0
8/7/1981,2.5,,2.55,2.48,26000.0
8/10/1981,2.5,,2.5,2.49,12100.0
8/11/1981,2.46,,2.5,2.46,39900.0
8/12/1981,2.47,,2.49,2.47,31600.0
8/13/1981,2.47,,2.49,2.46,17600.0
8/14/1981,2.46,,2.48,2.46,12500.0
8/17/1981,2.38,,2.44,2.36,10200.0
8/18/1981,2.41,,2.41,2.36,27000.0
8/19/1981,2.42,,2.43,2.38,7100.0
8/20/1981,2.44,,2.45,2.43,8400.0
8/21/1981,2.42,,2.43,2.41,17500.0
8/24/1981,2.39,,2.42,2.36,30500.0
8/25/1981,2.38,,2.38,2.33,18500.0
8/26/1981,2.27,,2.38,2.27,18900.0
8/27/1981,2.27,,2.28,2.24,39600.0
8/28/1981,2.27,,2.28,2.26,15600.0
8/31/1981,2.26,,2.31,2.26,50800.0
9/1/1981,2.23,,2.26,2.23,52100.0
9/2/1981,2.24,,2.26,2.23,18300.0
9/3/1981,2.31,,2.38,2.31,47600.0
9/4/1981,2.33,,2.33,2.31,20200.0
9/8/1981,2.35,,2.38,2.32,20100.0
9/9/1981,2.36,,2.39,2.32,19400.0
9/10/1981,2.35,,2.39,2.34,16600.0
9/11/1981,2.31,,2.33,2.27,19500.0
9/14/1981,2.29,,2.32,2.29,11800.0
9/15/1981,2.27,,2.31,2.27,19400.0
9/16/1981,2.27,,2.28,2.22,30100.0
9/17/1981,2.24,,2.28,2.23,14500.0
9/18/1981,2.23,,2.28,2.23,27300.0
9/21/1981,2.25,,2.26,2.23,20100.0
9/22/1981,2.25,,2.26,2.25,20500.0
9/23/1981,2.21,,2.24,2.19,25100.0
9/24/1981,2.22,,2.23,2.21,22700.0
9/25/1981,2.15,,2.2,2.14,21700.0
9/28/1981,2.17,,2.17,2.08,17500.0
9/29/1981,2.17,,2.19,2.17,22600.0
9/30/1981,2.15,,2.17,2.11,21000.0
10/1/1981,2.16,,2.16,2.14,10100.0
10/2/1981,2.25,,2.25,2.17,24400.0
10/5/1981,2.21,,2.27,2.21,30100.0
10/6/1981,2.19,,2.22,2.19,10200.0
10/7/1981,2.25,,2.26,2.2,9100.0
10/8/1981,2.35,,2.35,2.26,21400.0
10/9/1981,2.34,,2.38,2.33,20900.0
10/12/1981,2.46,,2.46,2.32,12300.0
10/13/1981,2.38,,2.45,2.36,15400.0
10/14/1981,2.32,,2.33,2.31,24300.0
10/15/1981,2.34,,2.34,2.32,20100.0
10/16/1981,2.34,,2.35,2.32,26900.0
10/19/1981,2.37,,2.39,2.35,9200.0
10/20/1981,2.41,,2.44,2.38,19200.0
10/21/1981,2.4,,2.43,2.4,6500.0
10/22/1981,2.38,,2.39,2.37,13600.0
10/23/1981,2.35,,2.38,2.35,8000.0
10/26/1981,2.31,,2.33,2.29,82100.0
10/27/1981,2.32,,2.34,2.31,5700.0
10/28/1981,2.33,,2.35,2.33,8400.0
10/29/1981,2.33,,2.38,2.31,9700.0
10/30/1981,2.3,,2.33,2.29,44300.0
11/2/1981,2.38,,2.38,2.32,46600.0
11/3/1981,2.38,,2.41,2.36,17600.0
