Date,Close,Open,High,Low,Volume
3/27/2014,27.85,28.32,28.32,27.57,13052.0
3/28/2014,27.92,27.98,28.24,27.86,41003.0
3/31/2014,27.77,28.27,28.27,27.77,10772.0
4/1/2014,28.28,27.86,28.34,27.86,7932.0
4/2/2014,28.27,29.92,30.16,28.03,146697.0
4/3/2014,28.41,28.41,29.28,28.13,5087530.0
4/4/2014,27.08,28.65,28.81,27.08,6377658.0
4/7/2014,26.83,26.96,27.35,26.29,4389569.0
4/8/2014,27.67,27.06,27.67,27.01,3152406.0
4/9/2014,28.13,27.9,28.19,27.57,3324742.0
4/10/2014,26.97,28.17,28.17,26.92,4027743.0
4/11/2014,26.46,26.55,26.93,26.25,3916171.0
4/14/2014,26.55,26.84,27.13,26.41,2568020.0
4/15/2014,26.75,26.77,26.85,25.85,3847453.0
4/16/2014,27.75,27.08,27.77,26.93,4879889.0
4/17/2014,26.73,27.37,27.4,26.48,6795393.0
4/21/2014,26.36,26.73,26.76,26.21,2561214.0
4/22/2014,26.67,26.36,26.79,26.3,2359421.0
4/23/2014,26.27,26.62,26.62,26.24,2051066.0
4/24/2014,26.19,26.43,26.51,26.03,1881965.0
4/25/2014,25.74,26.05,26.16,25.7,2097264.0
4/28/2014,25.79,25.79,25.86,25.07,3326429.0
4/29/2014,26.31,25.77,26.4,25.75,2692489.0
4/30/2014,26.26,26.31,26.33,26.05,1746904.0
5/1/2014,26.49,26.28,26.57,26.12,1900432.0
5/2/2014,26.32,26.61,26.63,26.21,1685042.0
5/5/2014,26.32,26.17,26.37,25.99,1021408.0
5/6/2014,25.69,26.19,26.27,25.68,1684381.0
5/7/2014,25.43,25.72,25.76,25.1,3216077.0
5/8/2014,25.48,25.35,25.79,25.25,2016131.0
5/9/2014,25.87,25.47,25.92,25.14,2432783.0
5/12/2014,26.42,26.1,26.44,25.88,1908392.0
5/13/2014,26.58,26.47,26.73,26.4,1648907.0
5/14/2014,26.26,26.58,26.58,26.19,1191863.0
5/15/2014,25.93,26.21,26.22,25.8,1703758.0
5/16/2014,25.96,26.0,26.02,25.7,1481688.0
5/19/2014,26.37,25.91,26.42,25.81,1276362.0
5/20/2014,26.42,26.41,26.74,26.24,1780113.0
5/21/2014,26.87,26.57,26.89,26.52,1193389.0
5/22/2014,27.18,26.98,27.31,26.97,1611837.0
5/23/2014,27.56,27.29,27.61,27.11,1929632.0
5/27/2014,28.22,27.72,28.22,27.64,2100298.0
5/28/2014,28.01,28.15,28.31,27.97,1647717.0
5/29/2014,27.93,28.09,28.12,27.86,1350657.0
5/30/2014,27.92,27.96,27.99,27.72,1766794.0
6/2/2014,27.62,27.96,27.97,27.21,1434989.0
6/3/2014,27.17,27.47,27.54,27.05,1861921.0
6/4/2014,27.16,27.0,27.36,26.86,1812084.0
6/5/2014,27.62,27.25,27.67,27.15,1684886.0
6/6/2014,27.74,27.83,27.83,27.37,1732592.0
6/9/2014,28.03,27.78,28.07,27.73,1463676.0
6/10/2014,27.95,27.95,28.1,27.82,1349444.0
6/11/2014,27.87,27.82,27.92,27.68,1097380.0
6/12/2014,27.49,27.79,27.82,27.35,1457104.0
6/13/2014,27.51,27.54,27.54,27.2,1217176.0
6/16/2014,27.14,27.39,27.41,27.0,1704027.0
6/17/2014,27.08,27.14,27.19,26.89,1445878.0
6/18/2014,27.59,27.17,27.6,27.13,1737343.0
6/19/2014,27.67,27.64,27.67,27.35,2451341.0
6/20/2014,27.74,27.77,27.8,27.44,4496962.0
6/23/2014,28.17,27.68,28.17,27.64,1534659.0
6/24/2014,28.15,28.18,28.55,27.97,2201789.0
6/25/2014,28.85,28.19,28.92,28.18,1964447.0
6/26/2014,28.72,28.97,29.04,28.51,1737210.0
6/27/2014,28.78,28.78,28.91,28.61,2231174.0
6/30/2014,28.69,28.85,28.9,28.66,1310909.0
7/1/2014,29.05,28.84,29.14,28.75,1446309.0
7/2/2014,29.04,29.09,29.19,28.94,1054936.0
7/3/2014,29.16,29.09,29.17,28.97,712210.0
7/7/2014,29.03,29.11,29.24,28.9,1061833.0
7/8/2014,28.48,28.8,28.9,28.23,1908647.0
7/9/2014,28.73,28.5,28.76,28.39,1113907.0
7/10/2014,28.48,28.22,28.75,28.17,1353317.0
7/11/2014,28.88,28.52,28.96,28.49,1617569.0
7/14/2014,29.16,29.05,29.18,28.82,1852290.0
7/15/2014,29.16,29.21,29.21,28.75,1618815.0
7/16/2014,29.05,29.32,29.34,29.03,1394560.0
7/17/2014,28.61,28.9,28.97,28.35,3015475.0
7/18/2014,29.67,29.57,29.76,29.02,4006389.0
7/21/2014,29.39,29.51,29.64,29.18,2060334.0
7/22/2014,29.66,29.46,29.9,29.45,1694787.0
7/23/2014,29.72,29.58,29.81,29.54,1229846.0
7/24/2014,29.59,29.74,29.89,29.51,1033341.0
7/25/2014,29.37,29.44,29.51,29.27,932724.0
7/28/2014,29.45,29.32,29.54,29.16,984161.0
7/29/2014,29.2,29.36,29.4,29.1,1346647.0
7/30/2014,29.29,29.25,29.39,29.12,1013932.0
7/31/2014,28.5,28.95,29.1,28.42,2099516.0
8/1/2014,28.23,28.44,28.72,28.07,1950171.0
8/4/2014,28.58,28.37,28.69,28.13,1427169.0
8/5/2014,28.18,28.42,28.52,28.05,1556685.0
8/6/2014,28.24,28.01,28.46,27.92,1330877.0
8/7/2014,28.09,28.32,28.42,27.98,1108900.0
8/8/2014,28.36,28.1,28.43,27.94,1492491.0
8/11/2014,28.32,28.42,28.45,28.22,1215968.0
8/12/2014,28.06,28.15,28.22,27.97,1537758.0
8/13/2014,28.66,28.29,28.67,28.21,1437922.0
8/14/2014,28.65,28.73,28.82,28.47,982926.0
8/15/2014,28.6,28.81,28.89,28.45,1517056.0
8/18/2014,29.03,28.73,29.15,28.72,1282531.0
8/19/2014,29.26,29.17,29.29,29.12,979298.0
8/20/2014,29.14,29.21,29.25,29.05,1034779.0
8/21/2014,29.09,29.11,29.15,28.98,912854.0
8/22/2014,29.05,29.1,29.18,28.95,789484.0
8/25/2014,28.93,29.16,29.17,28.87,1358810.0
8/26/2014,28.81,28.98,29.01,28.75,1635465.0
8/27/2014,28.47,28.78,28.85,28.43,1700161.0
8/28/2014,28.38,28.4,28.58,28.28,1295963.0
8/29/2014,28.5,28.49,28.52,28.28,1081231.0
9/2/2014,28.79,28.51,28.81,28.48,1576830.0
9/3/2014,28.82,28.92,29.07,28.67,1214586.0
9/4/2014,29.02,28.92,29.22,28.88,1459956.0
9/5/2014,29.22,29.12,29.25,29.02,1629477.0
9/8/2014,29.41,29.25,29.51,29.23,1429101.0
9/9/2014,28.97,29.36,29.37,28.92,1286722.0
9/10/2014,29.08,29.0,29.1,28.77,975145.0
9/11/2014,28.99,28.94,29.01,28.73,1217721.0
9/12/2014,28.7,28.97,29.0,28.64,1597677.0
9/15/2014,28.58,28.57,28.67,28.33,1596224.0
9/16/2014,28.92,28.56,29.0,28.55,1478306.0
9/17/2014,29.16,28.92,29.3,28.86,1690994.0
9/18/2014,29.38,29.27,29.4,29.17,1442012.0
9/19/2014,29.72,29.49,29.74,29.39,3727045.0
9/22/2014,29.29,29.61,29.62,29.09,1687710.0
9/23/2014,28.98,29.26,29.26,28.97,1467703.0
9/24/2014,29.32,28.99,29.4,28.95,1724537.0
9/25/2014,28.67,29.3,29.32,28.63,1925350.0
9/26/2014,28.78,28.72,28.88,28.65,1439807.0
9/29/2014,28.74,28.51,28.83,28.48,1281204.0
9/30/2014,28.79,28.77,28.91,28.56,1618437.0
10/1/2014,28.34,28.72,28.8,28.27,1445027.0
10/2/2014,28.43,28.29,28.52,28.09,1175307.0
10/3/2014,28.69,28.57,28.78,28.55,1138636.0
10/6/2014,28.79,28.86,28.97,28.64,1211320.0
10/7/2014,28.11,28.64,28.68,28.11,1906427.0
10/8/2014,28.55,28.2,28.62,27.8,1987888.0
10/9/2014,27.97,28.48,28.5,27.88,2519693.0
10/10/2014,27.15,27.81,28.18,27.13,3078634.0
10/13/2014,26.59,27.17,27.4,26.58,2578676.0
10/14/2014,26.82,26.87,27.28,26.59,2217230.0
10/15/2014,26.43,26.48,26.57,25.84,3712536.0
10/16/2014,26.15,25.88,26.4,25.68,3698423.0
10/17/2014,25.49,26.29,26.48,25.36,5530674.0
10/20/2014,25.97,25.4,26.02,25.34,2605505.0
10/21/2014,26.25,26.19,26.27,25.88,2332531.0
10/22/2014,26.56,26.42,26.92,26.37,2917183.0
10/23/2014,27.12,26.89,27.29,26.72,2345296.0
10/24/2014,26.92,27.14,27.17,26.72,1972047.0
10/27/2014,26.96,26.78,27.15,26.78,1184973.0
10/28/2014,27.37,27.08,27.37,27.01,1273372.0
10/29/2014,27.39,27.42,27.63,27.27,1767107.0
10/30/2014,27.44,27.37,27.56,27.1,1451667.0
10/31/2014,27.88,27.89,27.9,27.66,2032887.0
11/3/2014,27.69,27.7,27.82,27.59,1378511.0
11/4/2014,27.63,27.57,27.7,27.39,1240761.0
11/5/2014,27.22,27.76,27.76,27.13,2026740.0
11/6/2014,27.03,27.2,27.27,26.97,1329604.0
11/7/2014,26.98,27.24,27.24,26.86,1629259.0
11/10/2014,27.3,27.0,27.4,26.98,1131546.0
11/11/2014,27.44,27.35,27.52,27.24,964866.0
11/12/2014,27.29,27.44,27.45,27.18,1126594.0
11/13/2014,27.19,27.41,27.41,27.1,1335719.0
11/14/2014,27.15,27.26,27.26,27.03,1285991.0
11/17/2014,26.75,27.1,27.12,26.63,1721282.0
11/18/2014,26.68,26.8,27.02,26.64,1957664.0
11/19/2014,26.78,26.68,26.84,26.43,1388440.0
11/20/2014,26.67,26.49,26.68,26.48,1559131.0
11/21/2014,26.8,27.01,27.03,26.75,2218249.0
