Date,Close,Open,High,Low,Volume
2004-08-19,2.51,2.5,2.6,2.4,22353092.0
2004-08-20,2.71,2.54,2.73,2.51,11429498.0
2004-08-23,2.74,2.77,2.84,2.73,9140244.0
2004-08-24,2.62,2.78,2.79,2.59,7632224.0
2004-08-25,2.65,2.63,2.7,2.6,4599110.0
2004-08-26,2.7,2.63,2.7,2.62,3551168.0
2004-08-27,2.66,2.71,2.72,2.64,3108977.0
2004-08-30,2.55,2.64,2.64,2.55,2601620.0
2004-08-31,2.56,2.56,2.6,2.56,2463427.0
2004-09-01,2.51,2.57,2.58,2.49,4574578.0
2004-09-02,2.54,2.48,2.56,2.48,7567013.0
2004-09-03,2.5,2.53,2.55,2.49,2578705.0
2004-09-07,2.54,2.53,2.55,2.49,2927073.0
2004-09-08,2.56,2.52,2.58,2.51,2495226.0
2004-09-09,2.56,2.57,2.57,2.53,2032853.0
2004-09-10,2.64,2.54,2.67,2.54,4353885.0
2004-09-13,2.69,2.67,2.71,2.66,3927322.0
2004-09-14,2.79,2.69,2.8,2.67,5488357.0
2004-09-15,2.8,2.77,2.86,2.76,5362452.0
2004-09-16,2.85,2.81,2.9,2.79,4637786.0
2004-09-17,2.94,2.86,2.94,2.84,4748627.0
2004-09-20,2.99,2.93,3.04,2.92,5332562.0
2004-09-21,2.95,3.01,3.01,2.94,3617903.0
2004-09-22,2.96,2.94,2.99,2.92,3794393.0
2004-09-23,3.02,2.97,3.07,2.93,4273082.0
2004-09-24,3.0,3.03,3.11,3.0,4566707.0
2004-09-27,2.96,2.99,3.02,2.95,3536818.0
2004-09-28,3.17,3.03,3.19,3.01,8476027.0
2004-09-29,3.28,3.17,3.38,3.16,15274991.0
2004-09-30,3.24,3.25,3.31,3.23,6890125.0
2004-10-01,3.32,3.27,3.36,3.23,7571329.0
2004-10-04,3.38,3.4,3.43,3.35,6541875.0
2004-10-05,3.46,3.37,3.47,3.31,7507251.0
2004-10-06,3.43,3.45,3.46,3.4,6699883.0
2004-10-07,3.47,3.42,3.5,3.42,7066873.0
2004-10-08,3.45,3.47,3.5,3.43,5543874.0
2004-10-11,3.38,3.43,3.47,3.35,5249263.0
2004-10-12,3.44,3.37,3.44,3.34,5920143.0
2004-10-13,3.53,3.59,3.59,3.51,9894833.0
2004-10-14,3.55,3.53,3.56,3.47,5234304.0
2004-10-15,3.61,3.63,3.64,3.55,6604448.0
2004-10-18,3.73,3.58,3.73,3.53,7032780.0
2004-10-19,3.7,3.77,3.81,3.69,9069401.0
2004-10-20,3.52,3.7,3.73,3.49,11389627.0
2004-10-21,3.74,3.61,3.76,3.54,14998000.0
2004-10-22,4.31,4.27,4.51,4.11,36919841.0
2004-10-25,4.69,4.41,4.87,4.32,32775277.0
2004-10-26,4.55,4.67,4.82,4.5,22313860.0
2004-10-27,4.65,4.56,4.74,4.55,13373482.0
2004-10-28,4.84,4.67,4.86,4.64,14856604.0
2004-10-29,4.77,4.98,5.0,4.77,21183466.0
2004-11-01,4.91,4.84,4.95,4.79,12233618.0
2004-11-02,4.88,4.97,4.99,4.84,11365995.0
2004-11-03,4.8,4.96,5.04,4.77,13897606.0
2004-11-04,4.62,4.71,4.76,4.59,14474388.0
2004-11-05,4.24,4.55,4.56,4.22,19852002.0
2004-11-08,4.32,4.28,4.39,4.24,11200077.0
2004-11-09,4.22,4.36,4.38,4.14,11160536.0
2004-11-10,4.2,4.27,4.32,4.16,10651413.0
2004-11-11,4.58,4.23,4.6,4.19,15023209.0
2004-11-12,4.55,4.64,4.75,4.44,16746068.0
2004-11-15,4.63,4.52,4.71,4.47,11901512.0
2004-11-16,4.32,4.44,4.49,4.27,20928809.0
2004-11-17,4.32,4.23,4.44,4.23,18137867.0
2004-11-18,4.19,4.26,4.36,4.15,16633270.0
2004-11-19,4.24,4.23,4.25,4.17,8816609.0
2004-11-22,4.13,4.22,4.24,4.04,12372104.0
2004-11-23,4.19,4.2,4.27,4.17,12426573.0
2004-11-24,4.37,4.38,4.43,4.32,15290473.0
2004-11-26,4.49,4.4,4.51,4.39,6480025.0
2004-11-29,4.53,4.51,4.58,4.44,10669849.0
2004-11-30,4.55,4.52,4.58,4.51,7745574.0
2004-12-01,4.5,4.55,4.57,4.49,7868147.0
2004-12-02,4.49,4.5,4.54,4.47,6270626.0
2004-12-03,4.51,4.5,4.53,4.44,5873733.0
2004-12-06,4.41,4.48,4.52,4.4,6257535.0
2004-12-07,4.29,4.4,4.41,4.27,6872138.0
2004-12-08,4.25,4.27,4.35,4.22,7542204.0
2004-12-09,4.34,4.26,4.34,4.22,7654902.0
2004-12-10,4.3,4.34,4.38,4.29,4320465.0
2004-12-13,4.27,4.3,4.33,4.24,4818789.0
2004-12-14,4.47,4.28,4.47,4.24,11102401.0
2004-12-15,4.5,4.45,4.52,4.42,11545863.0
2004-12-16,4.42,4.43,4.52,4.4,8577261.0
2004-12-17,4.51,4.42,4.52,4.42,7417654.0
2004-12-20,4.63,4.55,4.72,4.55,9822191.0
2004-12-21,4.6,4.66,4.7,4.59,5524667.0
2004-12-22,4.66,4.6,4.68,4.58,3910203.0
2004-12-23,4.7,4.69,4.72,4.65,3615676.0
2004-12-27,4.8,4.73,4.84,4.73,6105595.0
2004-12-28,4.82,4.81,4.84,4.78,4148098.0
2004-12-29,4.83,4.8,4.84,4.8,2679281.0
2004-12-30,4.94,4.83,4.96,4.8,5904978.0
