Date,Close,Open,High,Low,Volume
3/17/1980,4.2,,4.2,4.15,22100.0
3/18/1980,4.35,,4.35,4.15,17500.0
3/19/1980,4.42,,4.42,4.35,13700.0
3/20/1980,4.44,,4.49,4.44,7200.0
3/21/1980,4.35,,4.44,4.35,10600.0
3/24/1980,4.25,,4.37,4.22,48900.0
3/25/1980,4.22,,4.27,4.2,4300.0
3/26/1980,4.44,,4.44,4.2,37100.0
3/27/1980,4.35,,4.37,4.25,49100.0
3/28/1980,4.49,,4.52,4.32,34400.0
3/31/1980,4.52,,4.52,4.42,14700.0
4/1/1980,4.54,,4.54,4.49,8500.0
4/2/1980,4.47,,4.54,4.44,12500.0
4/3/1980,4.54,,4.54,4.54,5600.0
4/7/1980,4.44,,4.52,4.4,17800.0
4/8/1980,4.52,,4.54,4.47,3100.0
4/9/1980,4.54,,4.54,4.52,22800.0
4/10/1980,4.54,,4.54,4.52,17900.0
4/11/1980,4.4,,4.49,4.37,26800.0
4/14/1980,4.07,,4.4,4.02,8100.0
4/15/1980,4.1,,4.1,4.07,48400.0
4/16/1980,4.05,,4.1,4.02,18000.0
4/17/1980,4.02,,4.05,4.02,6900.0
4/18/1980,4.05,,4.07,4.02,4800.0
4/21/1980,4.05,,4.05,4.0,20000.0
4/22/1980,4.05,,4.1,4.02,48400.0
4/23/1980,3.95,,4.02,3.95,28500.0
4/24/1980,3.98,,4.07,3.95,20300.0
4/25/1980,3.98,,4.02,3.95,18900.0
4/28/1980,4.02,,4.1,3.98,34300.0
4/29/1980,4.12,,4.12,4.05,69100.0
4/30/1980,4.07,,4.1,4.0,19000.0
5/1/1980,4.0,,4.07,4.0,13600.0
5/2/1980,3.95,,4.0,3.95,9400.0
5/5/1980,4.0,,4.0,3.95,11800.0
5/6/1980,4.02,,4.02,3.93,33500.0
5/7/1980,3.98,,4.05,3.95,18100.0
5/8/1980,4.0,,4.02,3.93,28600.0
5/9/1980,3.95,,4.0,3.95,16300.0
5/12/1980,3.95,,3.98,3.93,2400.0
5/13/1980,4.15,,4.15,3.95,25200.0
5/14/1980,4.3,,4.32,4.17,24500.0
5/15/1980,4.54,,4.54,4.35,12700.0
5/16/1980,4.52,,4.54,4.47,10300.0
5/19/1980,4.54,,4.59,4.52,26300.0
5/20/1980,4.57,,4.59,4.54,31800.0
5/21/1980,4.57,,4.57,4.52,9500.0
5/22/1980,4.54,,4.57,4.49,15500.0
5/23/1980,4.47,,4.57,4.47,4000.0
5/27/1980,4.54,,4.54,4.54,19100.0
5/28/1980,4.59,,4.59,4.54,3500.0
5/29/1980,4.54,,4.62,4.54,16600.0
5/30/1980,4.52,,4.52,4.44,11400.0
6/2/1980,4.47,,4.47,4.47,17000.0
6/3/1980,4.57,,4.57,4.47,17700.0
6/4/1980,4.52,,4.57,4.52,4600.0
6/5/1980,4.57,,4.59,4.52,9800.0
6/6/1980,4.52,,4.54,4.44,19300.0
6/9/1980,4.72,,4.72,4.54,17000.0
6/10/1980,4.74,,4.79,4.67,10400.0
6/11/1980,4.84,,4.84,4.79,6300.0
6/12/1980,4.64,,4.84,4.62,25700.0
6/13/1980,4.62,,4.69,4.57,25100.0
6/16/1980,4.62,,4.62,4.57,2500.0
6/17/1980,4.35,,4.54,4.35,46900.0
6/18/1980,4.57,,4.57,4.4,11700.0
6/19/1980,4.64,,4.72,4.59,23000.0
6/20/1980,4.64,,4.69,4.62,3900.0
6/23/1980,4.74,,4.77,4.67,23400.0
6/24/1980,4.72,,4.74,4.59,8500.0
6/25/1980,4.74,,4.74,4.64,16700.0
6/26/1980,4.74,,4.74,4.69,23400.0
6/27/1980,4.74,,4.79,4.69,12100.0
6/30/1980,4.67,,4.77,4.59,4900.0
7/1/1980,4.69,,4.77,4.67,36100.0
7/2/1980,4.77,,4.81,4.72,16200.0
7/3/1980,4.72,,4.79,4.72,2700.0
7/7/1980,4.94,,4.94,4.77,33500.0
7/8/1980,4.99,,4.99,4.91,9000.0
7/9/1980,5.11,,5.11,4.96,14300.0
7/10/1980,5.11,,5.23,5.11,16600.0
7/11/1980,5.19,,5.21,5.11,5500.0
7/14/1980,5.73,,5.73,5.19,21800.0
7/15/1980,5.43,,5.63,5.43,70300.0
7/16/1980,5.21,,5.38,5.19,15700.0
7/17/1980,5.16,,5.28,5.16,6700.0
7/18/1980,5.14,,5.19,5.14,22300.0
7/21/1980,5.01,,5.11,4.96,23900.0
7/22/1980,4.94,,5.04,4.94,111900.0
7/23/1980,4.96,,4.99,4.94,63300.0
