Date,Close,Open,High,Low,Volume
1/16/2001,3.75,3.75,3.75,3.75,800.0
1/17/2001,3.75,3.75,3.75,3.75,30700.0
1/18/2001,4.13,3.88,4.13,3.88,41800.0
1/19/2001,4.28,4.19,4.28,4.19,14900.0
1/22/2001,4.56,4.25,4.63,4.25,36700.0
1/23/2001,4.69,4.5,4.78,4.5,19000.0
1/24/2001,4.56,4.63,4.63,4.56,140000.0
1/25/2001,4.69,4.66,4.69,4.63,35800.0
1/26/2001,4.63,4.63,4.64,4.63,20500.0
1/29/2001,4.68,4.63,4.69,4.6,65500.0
1/30/2001,4.65,4.68,4.68,4.59,84800.0
1/31/2001,4.69,4.68,4.76,4.68,81500.0
2/1/2001,5.23,4.75,5.3,4.69,639200.0
2/2/2001,5.21,5.19,5.25,5.15,198900.0
2/5/2001,4.99,5.21,5.36,4.98,161200.0
2/6/2001,4.94,4.98,5.01,4.94,334700.0
2/7/2001,5.0,4.93,5.0,4.91,337600.0
2/8/2001,4.88,5.0,5.04,4.88,144700.0
2/9/2001,4.94,4.88,4.94,4.88,110400.0
2/12/2001,4.83,4.94,4.94,4.83,81800.0
2/13/2001,4.81,4.83,4.89,4.81,162200.0
2/14/2001,4.77,4.81,4.81,4.77,33900.0
2/15/2001,4.58,4.78,4.79,4.58,113600.0
2/16/2001,4.52,4.53,4.53,4.35,106800.0
2/20/2001,4.52,4.52,4.54,4.45,250100.0
2/21/2001,4.52,4.52,4.52,4.48,110900.0
2/22/2001,4.51,4.52,4.54,4.48,155900.0
2/23/2001,4.61,4.53,4.68,4.5,305700.0
2/26/2001,4.75,4.63,4.78,4.63,295600.0
2/27/2001,4.73,4.75,4.75,4.73,172500.0
2/28/2001,4.75,4.73,4.75,4.71,81500.0
3/1/2001,4.68,4.73,4.73,4.68,38800.0
3/2/2001,4.69,4.69,4.7,4.68,209200.0
3/5/2001,4.75,4.69,4.76,4.69,100700.0
3/6/2001,4.7,4.75,4.78,4.7,152500.0
3/7/2001,4.75,4.7,4.75,4.7,22400.0
3/8/2001,4.7,4.75,4.75,4.7,52900.0
3/9/2001,4.7,4.7,4.7,4.68,67400.0
3/12/2001,4.68,4.7,4.73,4.66,26600.0
3/13/2001,4.61,4.71,4.71,4.61,167900.0
3/14/2001,4.48,4.61,4.64,4.47,113900.0
3/15/2001,4.36,4.45,4.45,4.29,290100.0
3/16/2001,4.34,4.39,4.45,4.34,100700.0
3/19/2001,4.3,4.29,4.44,4.29,293400.0
3/20/2001,4.28,4.31,4.39,4.25,55500.0
3/21/2001,4.16,4.28,4.3,4.06,33800.0
3/22/2001,4.46,4.31,4.46,4.25,531400.0
3/23/2001,4.58,4.48,4.58,4.48,189400.0
3/26/2001,4.63,4.61,4.63,4.57,51900.0
3/27/2001,4.59,4.6,4.61,4.53,108800.0
3/28/2001,4.46,4.58,4.6,4.46,105200.0
3/29/2001,4.33,4.45,4.45,4.33,133800.0
3/30/2001,4.63,4.33,4.63,4.33,327200.0
4/2/2001,4.45,4.6,4.6,4.43,171400.0
4/3/2001,4.5,4.45,4.5,4.36,48200.0
4/4/2001,4.5,4.46,4.5,4.44,151500.0
4/5/2001,4.53,4.5,4.53,4.48,157300.0
4/6/2001,4.71,4.52,4.74,4.5,119000.0
4/9/2001,4.65,4.72,4.74,4.61,28400.0
4/10/2001,4.76,4.68,4.78,4.68,238600.0
4/11/2001,5.23,4.88,5.23,4.88,392500.0
4/12/2001,5.59,5.17,5.59,5.17,172300.0
4/16/2001,5.38,5.58,5.58,5.37,92000.0
4/17/2001,5.38,5.35,5.44,5.27,145300.0
4/18/2001,5.32,5.25,5.35,5.25,71300.0
4/19/2001,5.31,5.3,5.32,5.16,30400.0
4/20/2001,5.25,5.35,5.45,5.24,284900.0
4/23/2001,5.23,5.28,5.28,5.21,236600.0
4/24/2001,5.23,5.22,5.23,5.19,156500.0
4/25/2001,5.26,5.23,5.29,5.23,81500.0
4/26/2001,5.25,5.27,5.29,5.23,117300.0
4/27/2001,5.25,5.25,5.25,5.23,137700.0
4/30/2001,5.29,5.2,5.4,5.19,236700.0
5/1/2001,5.97,5.29,6.1,5.29,222300.0
5/2/2001,6.12,6.0,6.24,5.8,136900.0
5/3/2001,6.0,6.08,6.1,5.95,72300.0
5/4/2001,6.0,5.96,6.05,5.95,130400.0
5/7/2001,6.1,6.03,6.13,6.03,44100.0
5/8/2001,6.29,6.13,6.29,6.13,230000.0
5/9/2001,6.06,6.28,6.28,6.06,53300.0
5/10/2001,5.92,6.01,6.04,5.92,40400.0
5/11/2001,5.75,5.95,5.95,5.75,17900.0
5/14/2001,6.02,5.79,6.03,5.63,34100.0
5/15/2001,6.18,6.04,6.25,6.04,61200.0
5/16/2001,6.26,6.16,6.3,6.13,77400.0
5/17/2001,6.53,6.28,6.55,6.28,69700.0
5/18/2001,6.5,6.5,6.55,6.49,29900.0
5/21/2001,6.58,6.48,6.58,6.43,28400.0
5/22/2001,6.63,6.63,6.93,6.56,151700.0
5/23/2001,6.48,6.61,6.63,6.46,80800.0
5/24/2001,6.28,6.48,6.48,6.16,93800.0
5/25/2001,6.35,6.28,6.35,6.28,62900.0
5/29/2001,6.36,6.34,6.44,6.33,67800.0
5/30/2001,6.49,6.36,6.5,6.36,83500.0
5/31/2001,6.58,6.5,6.68,6.5,87600.0
6/1/2001,6.51,6.58,6.6,6.5,19300.0
6/4/2001,6.7,6.54,6.7,6.54,23200.0
6/5/2001,6.78,6.8,6.8,6.65,128400.0
