Date,Close,Open,High,Low,Volume
2000-12-08,10.0,7.91,11.44,7.56,8574900.0
2000-12-11,10.59,11.34,11.38,9.94,1459600.0
2000-12-12,9.94,10.61,10.63,9.69,538700.0
2000-12-13,9.94,10.38,10.44,9.88,211200.0
2000-12-14,10.06,9.99,10.13,9.94,132700.0
2000-12-15,10.06,10.13,10.13,9.0,475100.0
2000-12-18,10.03,10.25,10.25,9.72,241800.0
2000-12-19,9.81,10.02,10.03,9.63,228700.0
2000-12-20,9.13,9.69,9.81,9.0,614400.0
2000-12-21,9.09,9.03,9.25,8.88,508700.0
2000-12-22,9.63,9.31,9.69,9.25,208000.0
2000-12-26,9.5,9.66,9.69,9.44,377000.0
2000-12-27,9.28,9.45,9.56,9.13,180700.0
2000-12-28,9.31,9.31,9.69,9.16,524300.0
2000-12-29,9.88,9.5,10.06,9.38,116400.0
2001-01-02,9.63,10.09,10.13,9.34,166200.0
2001-01-03,8.81,9.39,9.69,8.75,272700.0
2001-01-04,9.03,8.97,9.06,8.81,143800.0
2001-01-05,9.06,9.05,9.25,8.88,481000.0
2001-01-08,8.75,9.0,9.09,8.75,315500.0
2001-01-09,8.63,8.95,9.0,8.5,410900.0
2001-01-10,8.5,8.59,8.63,8.38,488400.0
2001-01-11,9.09,8.52,9.25,8.5,678900.0
2001-01-12,9.56,9.3,9.63,9.25,283100.0
2001-01-16,9.5,9.81,10.25,9.44,331600.0
2001-01-17,9.69,9.55,9.94,9.44,243000.0
2001-01-18,9.5,9.74,9.75,9.25,146400.0
2001-01-19,9.19,9.53,9.63,9.13,127100.0
2001-01-22,8.94,9.31,9.31,8.81,382300.0
2001-01-23,8.94,9.13,9.19,8.94,221300.0
2001-01-24,8.5,8.95,9.0,8.47,598600.0
2001-01-25,8.94,8.63,9.0,8.13,492900.0
2001-01-26,9.31,8.75,9.69,8.69,124500.0
2001-01-29,9.97,9.49,10.0,9.31,103300.0
2001-01-30,10.03,9.97,10.03,9.47,94400.0
2001-01-31,9.72,9.88,10.03,9.69,42100.0
2001-02-01,9.94,9.69,10.03,9.69,50300.0
2001-02-02,10.81,10.03,10.88,10.0,238600.0
2001-02-05,12.0,11.03,12.19,10.88,326100.0
2001-02-06,12.38,12.12,12.84,11.94,292800.0
2001-02-07,12.19,12.06,12.5,11.94,94700.0
2001-02-08,12.56,12.13,12.69,12.13,225700.0
2001-02-09,12.0,12.53,12.59,12.0,365100.0
2001-02-12,11.75,12.13,12.19,11.75,1181100.0
2001-02-13,12.19,11.91,12.31,11.69,114300.0
2001-02-14,11.13,12.25,12.31,10.69,681800.0
2001-02-15,10.63,11.38,11.5,10.38,179700.0
2001-02-16,10.69,10.59,11.19,10.06,132100.0
2001-02-20,9.81,11.0,11.0,9.56,195700.0
2001-02-21,9.81,9.63,10.06,9.44,98400.0
2001-02-22,9.28,9.8,9.81,9.28,98700.0
2001-02-23,10.25,9.25,10.28,9.19,61400.0
2001-02-26,10.61,10.25,10.75,10.23,59300.0
2001-02-27,11.0,10.75,11.0,10.69,135900.0
2001-02-28,10.94,11.06,11.06,10.91,71300.0
2001-03-01,10.0,10.88,10.94,9.44,116000.0
2001-03-02,10.06,10.09,10.13,9.63,83500.0
2001-03-05,10.44,10.25,10.56,10.09,55000.0
2001-03-06,10.0,10.5,10.69,10.0,128500.0
2001-03-07,10.31,10.36,10.44,10.03,87900.0
2001-03-08,9.94,10.38,10.38,9.75,68500.0
2001-03-09,9.81,9.98,10.25,9.75,70000.0
2001-03-12,9.06,9.63,9.81,9.06,127500.0
2001-03-13,9.44,9.19,9.5,9.09,114600.0
2001-03-14,9.91,9.25,10.13,9.13,92000.0
2001-03-15,10.13,9.97,10.25,9.94,28600.0
2001-03-16,9.84,10.19,10.19,9.84,37900.0
2001-03-19,9.69,9.84,9.88,9.44,60400.0
2001-03-20,9.56,9.75,10.25,9.56,154900.0
2001-03-21,9.97,9.56,10.06,9.56,37600.0
2001-03-22,9.81,10.05,10.06,9.63,63400.0
2001-03-23,10.0,10.0,10.31,9.81,169900.0
2001-03-26,10.13,10.0,10.31,9.94,245700.0
2001-03-27,9.88,9.94,10.13,9.88,115400.0
2001-03-28,9.38,9.81,9.94,9.0,86200.0
2001-03-29,9.53,9.38,9.56,9.06,64800.0
2001-03-30,9.94,9.5,10.0,9.5,48600.0
2001-04-02,9.88,9.69,10.0,9.69,62500.0
2001-04-03,9.25,10.0,10.06,9.25,112300.0
2001-04-04,10.03,9.44,10.13,9.19,95000.0
2001-04-05,10.13,10.13,10.19,9.97,54800.0
2001-04-06,9.56,10.06,10.06,9.5,69400.0
2001-04-09,9.13,9.46,9.46,8.98,400700.0
2001-04-10,9.28,9.33,9.38,9.23,244100.0
2001-04-11,9.16,9.45,9.45,9.13,173800.0
2001-04-12,9.05,9.1,9.25,9.05,60000.0
2001-04-16,9.03,9.05,9.22,8.95,74800.0
2001-04-17,9.2,9.08,9.25,9.08,40300.0
2001-04-18,9.0,9.28,9.5,8.9,300100.0
2001-04-19,9.0,9.04,9.07,9.0,129200.0
2001-04-20,9.28,9.25,9.31,9.1,195600.0
2001-04-23,9.24,9.25,9.25,9.18,75800.0
2001-04-24,9.2,9.15,9.25,9.13,67700.0
2001-04-25,9.1,9.17,9.3,9.07,183100.0
2001-04-26,9.33,9.08,9.38,9.08,175300.0
2001-04-27,10.03,9.38,10.03,9.35,478000.0
2001-04-30,10.5,10.38,11.53,9.7,653400.0
2001-05-01,10.77,10.5,10.85,10.5,196800.0
2001-05-02,10.5,10.83,11.0,10.46,377100.0
2001-05-03,10.53,10.5,10.6,10.45,256300.0
2001-05-04,10.93,10.54,11.07,10.5,94500.0
2001-05-07,10.9,11.0,11.0,10.77,38000.0
2001-05-08,11.51,11.08,11.55,10.95,122000.0
2001-05-09,11.71,11.53,11.75,11.5,54400.0
2001-05-10,12.24,11.88,12.3,11.85,153200.0
2001-05-11,11.95,12.23,12.35,11.9,224200.0
2001-05-14,11.4,11.95,11.95,11.4,139100.0
2001-05-15,11.78,11.5,11.93,11.31,187600.0
2001-05-16,11.54,11.94,11.95,11.35,105300.0
2001-05-17,12.34,11.7,12.4,11.5,174200.0
2001-05-18,12.13,12.35,12.35,12.0,167800.0
2001-05-21,11.83,12.06,12.06,11.73,91400.0
2001-05-22,11.5,11.75,11.95,11.45,168900.0
2001-05-23,11.47,11.5,11.71,11.47,48300.0
2001-05-24,11.65,11.55,11.65,11.5,226200.0
2001-05-25,11.54,11.65,11.65,11.48,171100.0
2001-05-29,11.03,11.53,11.6,11.01,365600.0
2001-05-30,10.15,10.87,10.9,9.95,323600.0
2001-05-31,10.01,9.88,10.07,9.58,415200.0
2001-06-01,10.01,9.97,10.05,9.91,285900.0
2001-06-04,9.94,9.96,10.04,9.63,308900.0
2001-06-05,10.43,9.82,10.9,9.82,665100.0
2001-06-06,10.66,10.43,11.2,10.33,845700.0
2001-06-07,11.05,10.74,11.23,10.56,187900.0
2001-06-08,11.3,11.28,11.47,11.08,218100.0
2001-06-11,10.98,11.26,11.3,10.9,137700.0
2001-06-12,11.08,11.03,11.15,10.95,106000.0
2001-06-13,11.0,11.19,11.33,10.88,148600.0
2001-06-14,11.0,11.05,11.1,10.95,89100.0
2001-06-15,11.28,10.95,11.3,10.95,77900.0
2001-06-18,11.13,11.28,11.3,11.1,42100.0
