Date,Close,Open,High,Low,Volume
1999-05-04,70.38,76.0,77.25,70.0,22320900.0
1999-05-05,69.13,69.88,69.88,66.25,7565700.0
1999-05-06,67.94,68.0,69.38,67.06,2905700.0
1999-05-07,74.13,67.94,74.88,66.75,4862300.0
1999-05-10,70.69,73.38,73.5,70.25,2589400.0
1999-05-11,70.63,70.0,71.19,69.5,1839800.0
1999-05-12,73.5,71.0,74.88,69.13,2659300.0
1999-05-13,73.19,73.25,75.25,72.5,1142900.0
1999-05-14,70.19,71.25,72.25,69.06,2058400.0
1999-05-17,68.63,69.13,70.25,68.0,2075000.0
1999-05-18,68.63,68.25,70.44,68.13,1407100.0
1999-05-19,69.31,69.38,69.81,68.75,727400.0
1999-05-20,68.38,69.56,70.13,68.38,520800.0
1999-05-21,67.5,68.13,68.81,67.5,930400.0
1999-05-24,65.31,67.0,67.25,65.0,1493000.0
1999-05-25,64.5,64.13,65.94,64.0,1662400.0
1999-05-26,66.06,65.63,66.63,63.06,1602900.0
1999-05-27,67.75,65.0,67.75,64.69,1220500.0
1999-05-28,67.94,67.75,68.81,67.0,901900.0
1999-06-01,64.19,66.63,66.63,63.56,953900.0
1999-06-02,63.25,63.75,64.06,62.0,2204300.0
1999-06-03,63.63,64.0,64.19,63.13,852600.0
1999-06-04,65.38,64.31,67.0,64.31,1357400.0
1999-06-07,65.94,65.19,67.75,65.19,891900.0
1999-06-08,63.75,65.38,65.69,63.75,571700.0
1999-06-09,65.5,64.25,65.5,63.63,611400.0
1999-06-10,63.38,64.88,64.94,63.31,664200.0
1999-06-11,63.25,63.94,64.31,62.31,969300.0
1999-06-14,61.25,63.5,64.0,60.5,821100.0
1999-06-15,62.75,62.88,63.38,62.25,831700.0
1999-06-16,65.25,63.94,65.44,63.94,690300.0
1999-06-17,65.0,64.5,66.88,64.5,955700.0
1999-06-18,64.81,64.25,64.88,63.5,613900.0
1999-06-21,69.5,66.69,69.94,66.56,1811000.0
1999-06-22,68.0,70.13,70.13,67.75,1165900.0
1999-06-23,65.0,67.06,67.44,64.88,1351700.0
1999-06-24,65.06,66.06,66.5,64.5,1408900.0
1999-06-25,66.25,65.5,66.81,65.38,1111500.0
1999-06-28,66.56,66.44,67.5,65.75,784600.0
1999-06-29,67.75,66.0,68.5,66.0,629800.0
1999-06-30,72.25,68.5,72.25,66.13,2127600.0
1999-07-01,70.81,71.38,71.44,69.75,813600.0
1999-07-02,70.94,70.56,71.19,69.69,536900.0
1999-07-06,70.5,70.0,71.19,69.25,747600.0
1999-07-07,68.0,69.56,70.0,68.0,648800.0
1999-07-08,67.25,68.0,68.88,67.19,424400.0
1999-07-09,67.25,67.44,68.19,67.25,311800.0
1999-07-12,68.38,68.0,68.94,67.88,547700.0
1999-07-13,67.88,68.25,68.69,67.63,969600.0
1999-07-14,67.63,67.38,67.75,67.31,888200.0
1999-07-15,67.94,68.0,68.0,67.5,864700.0
1999-07-16,68.06,67.75,68.75,67.75,476700.0
1999-07-19,69.44,68.25,70.75,68.25,646100.0
1999-07-20,68.13,69.13,70.44,67.88,886100.0
