Date,Close,Open,High,Low,Volume
1980-03-17,3.63,,3.78,3.63,9600.0
1980-03-18,3.78,,3.78,3.63,14200.0
1980-03-19,3.89,,3.91,3.88,3800.0
1980-03-20,3.88,,3.89,3.86,5900.0
1980-03-21,3.75,,3.77,3.72,8500.0
1980-03-24,3.75,,3.78,3.75,7700.0
1980-03-25,3.75,,3.75,3.7,27800.0
1980-03-26,3.66,,3.77,3.66,4700.0
1980-03-27,3.56,,3.63,3.56,26600.0
1980-03-28,3.75,,3.75,3.59,56200.0
1980-03-31,3.81,,3.81,3.78,5000.0
1980-04-01,3.98,,3.98,3.84,3900.0
1980-04-02,4.0,,4.02,4.0,50600.0
1980-04-03,3.95,,4.02,3.95,38600.0
1980-04-07,3.81,,3.95,3.81,82500.0
1980-04-08,3.78,,3.81,3.75,4700.0
1980-04-09,3.75,,3.75,3.75,3300.0
1980-04-10,3.75,,3.78,3.75,9500.0
1980-04-11,3.73,,3.78,3.73,9600.0
1980-04-14,3.75,,3.75,3.73,7600.0
1980-04-15,3.72,,3.8,3.72,4200.0
1980-04-16,3.72,,3.72,3.72,1000.0
1980-04-17,3.66,,3.7,3.61,18400.0
1980-04-18,3.72,,3.72,3.69,29500.0
1980-04-21,3.55,,3.69,3.55,5400.0
1980-04-22,3.53,,3.58,3.5,11500.0
1980-04-23,3.55,,3.59,3.53,31000.0
1980-04-24,3.33,,3.44,3.33,71100.0
1980-04-25,3.31,,3.31,3.25,46500.0
1980-04-28,3.3,,3.31,3.28,8900.0
1980-04-29,3.22,,3.27,3.19,39500.0
1980-04-30,3.13,,3.23,3.13,7600.0
1980-05-01,3.19,,3.2,3.14,27100.0
1980-05-02,3.19,,3.22,3.19,15000.0
1980-05-05,3.23,,3.23,3.19,3900.0
1980-05-06,3.19,,3.28,3.19,39600.0
1980-05-07,3.28,,3.31,3.19,43800.0
1980-05-08,3.22,,3.31,3.22,6800.0
1980-05-09,3.16,,3.22,3.16,104900.0
1980-05-12,3.25,,3.25,3.17,3000.0
1980-05-13,3.27,,3.31,3.22,30100.0
1980-05-14,3.22,,3.3,3.22,5600.0
1980-05-15,3.38,,3.38,3.25,15400.0
1980-05-16,3.34,,3.39,3.34,8400.0
1980-05-19,3.38,,3.41,3.36,11800.0
1980-05-20,3.52,,3.52,3.38,18400.0
1980-05-21,3.56,,3.56,3.48,6300.0
1980-05-22,3.7,,3.7,3.53,29500.0
1980-05-23,3.75,,3.77,3.7,54900.0
1980-05-27,3.77,,3.78,3.73,6900.0
1980-05-28,3.7,,3.78,3.7,6100.0
1980-05-29,3.61,,3.66,3.59,16100.0
1980-05-30,3.66,,3.66,3.59,22400.0
1980-06-02,3.63,,3.63,3.63,42900.0
1980-06-03,3.59,,3.61,3.56,23200.0
1980-06-04,3.61,,3.61,3.58,16800.0
1980-06-05,3.59,,3.63,3.58,10800.0
1980-06-06,3.58,,3.61,3.58,10800.0
1980-06-09,3.56,,3.61,3.56,5600.0
1980-06-10,3.55,,3.56,3.55,8200.0
1980-06-11,3.5,,3.55,3.5,26400.0
1980-06-12,3.42,,3.48,3.41,15400.0
1980-06-13,3.42,,3.44,3.39,12600.0
1980-06-16,3.47,,3.47,3.44,104200.0
1980-06-17,3.5,,3.53,3.5,71800.0
1980-06-18,3.52,,3.52,3.5,11200.0
1980-06-19,3.52,,3.55,3.48,32400.0
1980-06-20,3.48,,3.5,3.45,20900.0
1980-06-23,3.5,,3.5,3.44,23700.0
1980-06-24,3.58,,3.58,3.52,5600.0
1980-06-25,3.64,,3.67,3.59,144500.0
1980-06-26,3.78,,3.84,3.64,57300.0
1980-06-27,3.8,,3.8,3.75,13100.0
1980-06-30,3.75,,3.81,3.75,6300.0
1980-07-01,3.8,,3.8,3.72,35800.0
1980-07-02,3.81,,3.84,3.77,23600.0
1980-07-03,3.83,,3.88,3.81,39600.0
1980-07-07,3.86,,3.89,3.84,6600.0
1980-07-08,3.92,,3.95,3.88,4800.0
1980-07-09,4.03,,4.05,3.91,10400.0
1980-07-10,3.98,,4.09,3.97,60200.0
1980-07-11,4.0,,4.03,3.98,11600.0
1980-07-14,4.0,,4.03,4.0,11900.0
1980-07-15,3.92,,4.05,3.92,9300.0
1980-07-16,3.8,,3.89,3.78,47300.0
1980-07-17,3.95,,3.95,3.84,5800.0
1980-07-18,3.97,,4.0,3.97,27800.0
1980-07-21,4.06,,4.06,4.02,8600.0
1980-07-22,4.11,,4.14,4.09,106700.0
1980-07-23,4.09,,4.17,4.09,9400.0
1980-07-24,4.11,,4.14,4.06,29100.0
1980-07-25,3.97,,4.08,3.97,39100.0
1980-07-28,3.98,,4.03,3.94,4300.0
1980-07-29,3.94,,3.95,3.86,24000.0
1980-07-30,4.08,,4.08,3.97,34200.0
1980-07-31,4.23,,4.23,4.03,28800.0
1980-08-01,4.56,,4.56,4.33,12300.0
1980-08-04,4.41,,4.59,4.38,40500.0
1980-08-05,4.45,,4.45,4.39,8500.0
1980-08-06,4.39,,4.44,4.39,4500.0
1980-08-07,4.41,,4.41,4.39,3400.0
1980-08-08,4.42,,4.42,4.38,23300.0
1980-08-11,4.39,,4.42,4.38,2200.0
1980-08-12,4.41,,4.44,4.41,12100.0
1980-08-13,4.38,,4.38,4.36,16900.0
1980-08-14,4.3,,4.34,4.3,4300.0
1980-08-15,4.3,,4.33,4.28,17400.0
1980-08-18,4.3,,4.31,4.27,9300.0
1980-08-19,4.25,,4.28,4.25,14800.0
1980-08-20,4.3,,4.3,4.27,2300.0
1980-08-21,4.31,,4.31,4.28,5600.0
1980-08-22,4.41,,4.41,4.3,5700.0
1980-08-25,4.36,,4.42,4.36,25600.0
1980-08-26,4.31,,4.33,4.31,3400.0
1980-08-27,4.31,,4.31,4.31,9000.0
1980-08-28,4.25,,4.28,4.25,900.0
1980-08-29,4.23,,4.25,4.2,1500.0
1980-09-02,4.2,,4.25,4.2,4600.0
1980-09-03,4.25,,4.25,4.22,10600.0
1980-09-04,4.25,,4.25,4.22,7300.0
1980-09-05,4.2,,4.23,4.17,3400.0
1980-09-08,4.3,,4.3,4.23,13700.0
1980-09-09,4.2,,4.25,4.19,17300.0
1980-09-10,4.23,,4.23,4.23,13200.0
1980-09-11,4.2,,4.23,4.2,1700.0
1980-09-12,4.16,,4.22,4.16,2900.0
1980-09-15,4.22,,4.22,4.14,13100.0
1980-09-16,4.2,,4.22,4.17,20400.0
1980-09-17,4.25,,4.25,4.23,34600.0
1980-09-18,4.42,,4.42,4.25,10200.0
1980-09-19,4.47,,4.5,4.44,23600.0
1980-09-22,4.5,,4.52,4.45,9300.0
1980-09-23,4.55,,4.55,4.52,2900.0
1980-09-24,4.5,,4.55,4.5,8300.0
