Date,Close,Open,High,Low,Volume
1980-03-17,1.06,1.06,1.1,1.06,1201.0
1980-03-18,1.04,1.04,1.08,1.04,1100.0
1980-03-19,1.05,1.05,1.09,1.05,1201.0
1980-03-21,1.05,1.05,1.09,1.05,401.0
1980-03-24,1.05,1.05,1.09,1.05,301.0
1980-03-25,1.04,1.04,1.08,1.04,1300.0
1980-03-26,1.04,1.04,1.08,1.04,401.0
1980-03-27,1.0,1.0,1.05,1.0,1300.0
1980-03-28,1.0,1.0,1.05,1.0,101.0
1980-03-31,1.11,1.11,1.16,1.11,4701.0
1980-04-01,1.23,1.23,1.28,1.23,9601.0
1980-04-02,1.21,1.21,1.26,1.21,2500.0
1980-04-03,1.18,1.18,1.22,1.18,3100.0
1980-04-07,1.09,1.09,1.14,1.09,5201.0
1980-04-08,1.08,1.08,1.12,1.08,101.0
1980-04-09,1.09,1.09,1.14,1.09,301.0
1980-04-10,1.09,1.09,1.14,1.09,200.0
1980-04-11,1.09,1.09,1.14,1.09,200.0
1980-04-14,1.06,1.06,1.1,1.06,1300.0
1980-04-15,1.05,1.05,1.09,1.05,1900.0
1980-04-17,1.04,1.04,1.08,1.04,401.0
1980-04-18,1.04,1.04,1.08,1.04,800.0
1980-04-21,1.04,1.04,1.08,1.04,200.0
1980-04-22,1.04,1.04,1.08,1.04,1201.0
1980-04-23,1.04,1.04,1.08,1.04,1600.0
1980-04-24,1.01,1.01,1.06,1.01,2200.0
1980-04-25,1.01,1.01,1.06,1.01,101.0
1980-04-28,1.01,1.01,1.06,1.01,1201.0
1980-04-29,1.01,1.01,1.06,1.01,4600.0
1980-04-30,1.01,1.01,1.06,1.01,401.0
1980-05-01,1.01,1.01,1.06,1.01,1801.0
1980-05-02,1.01,1.01,1.06,1.01,600.0
1980-05-05,1.03,1.03,1.07,1.03,9401.0
1980-05-06,1.03,1.03,1.07,1.03,1201.0
1980-05-08,1.03,1.03,1.07,1.03,2000.0
1980-05-09,1.04,1.04,1.08,1.04,1300.0
1980-05-12,1.05,1.05,1.09,1.05,901.0
1980-05-13,1.07,1.07,1.11,1.07,2200.0
1980-05-14,1.07,1.07,1.11,1.07,600.0
1980-05-15,1.08,1.08,1.12,1.08,901.0
1980-05-16,1.08,1.08,1.12,1.08,1900.0
1980-05-19,1.08,1.08,1.12,1.08,401.0
1980-05-20,1.08,1.08,1.12,1.08,1700.0
1980-05-21,1.08,1.08,1.12,1.08,1300.0
1980-05-22,1.08,1.08,1.12,1.08,101.0
1980-05-27,1.09,1.09,1.14,1.09,2101.0
1980-05-28,1.1,1.1,1.15,1.1,4000.0
1980-05-29,1.11,1.11,1.16,1.11,1700.0
1980-05-30,1.14,1.14,1.18,1.14,2000.0
1980-06-02,1.14,1.14,1.18,1.14,800.0
1980-06-03,1.14,1.14,1.18,1.14,3700.0
1980-06-05,1.16,1.16,1.2,1.16,2500.0
1980-06-06,1.17,1.17,1.21,1.17,301.0
1980-06-09,1.17,1.17,1.21,1.17,501.0
1980-06-10,1.17,1.17,1.21,1.17,501.0
1980-06-11,1.18,1.18,1.22,1.18,301.0
1980-06-12,1.2,1.2,1.25,1.2,1600.0
1980-06-13,1.21,1.21,1.26,1.21,200.0
1980-06-16,1.21,1.21,1.26,1.21,301.0
1980-06-17,1.21,1.21,1.26,1.21,800.0
1980-06-18,1.21,1.21,1.26,1.21,1001.0
1980-06-19,1.21,1.21,1.26,1.21,1001.0
1980-06-20,1.21,1.21,1.26,1.21,101.0
1980-06-23,1.22,1.22,1.27,1.22,1100.0
1980-06-24,1.22,1.22,1.27,1.22,301.0
1980-06-25,1.26,1.26,1.3,1.26,4101.0
1980-06-26,1.29,1.29,1.33,1.29,3900.0
1980-06-27,1.33,1.33,1.38,1.33,1700.0
1980-06-30,1.37,1.37,1.41,1.37,3001.0
1980-07-01,1.37,1.37,1.41,1.37,3100.0
1980-07-02,1.38,1.38,1.42,1.38,901.0
1980-07-03,1.38,1.38,1.42,1.38,2101.0
1980-07-07,1.38,1.38,1.41,1.38,701.0
1980-07-08,1.38,1.38,1.4,1.38,1801.0
1980-07-09,1.38,1.38,1.41,1.38,200.0
1980-07-10,1.38,1.38,1.41,1.38,2301.0
1980-07-11,1.38,1.38,1.41,1.38,1300.0
1980-07-14,1.38,1.38,1.4,1.38,901.0
1980-07-15,1.38,1.38,1.4,1.38,101.0
1980-07-16,1.38,1.38,1.4,1.38,1001.0
1980-07-17,1.38,1.38,1.4,1.38,1300.0
1980-07-18,1.38,1.38,1.4,1.38,401.0
1980-07-21,1.38,1.38,1.4,1.38,701.0
1980-07-22,1.38,1.38,1.4,1.38,1600.0
1980-07-23,1.38,1.38,1.4,1.38,901.0
1980-07-24,1.38,1.38,1.4,1.38,301.0
1980-07-25,1.39,1.39,1.41,1.39,4000.0
1980-07-28,1.4,1.4,1.41,1.4,1100.0
1980-07-29,1.4,1.4,1.41,1.4,1900.0
1980-07-31,1.4,1.4,1.41,1.4,401.0
1980-08-01,1.4,1.4,1.41,1.4,1001.0
1980-08-04,1.4,1.4,1.41,1.4,600.0
1980-08-05,1.4,1.4,1.41,1.4,200.0
1980-08-06,1.4,1.4,1.41,1.4,1201.0
1980-08-07,1.4,1.4,1.41,1.4,1001.0
1980-08-08,1.4,1.4,1.41,1.4,200.0
1980-08-11,1.4,1.4,1.41,1.4,701.0
1980-08-12,1.38,1.38,1.41,1.38,2500.0
1980-08-13,1.36,1.36,1.39,1.36,901.0
1980-08-14,1.33,1.33,1.37,1.33,2301.0
1980-08-15,1.32,1.32,1.36,1.32,800.0
1980-08-18,1.32,1.32,1.36,1.32,501.0
1980-08-19,1.28,1.28,1.31,1.28,2900.0
1980-08-20,1.28,1.28,1.31,1.28,101.0
1980-08-21,1.28,1.28,1.31,1.28,200.0
1980-08-22,1.29,1.29,1.31,1.29,200.0
1980-08-25,1.31,1.31,1.35,1.31,4300.0
1980-08-26,1.32,1.32,1.36,1.32,2301.0
1980-08-27,1.37,1.37,1.4,1.37,5400.0
1980-08-28,1.38,1.38,1.4,1.38,301.0
1980-08-29,1.41,1.41,1.43,1.41,2900.0
1980-09-02,1.4,1.4,1.43,1.4,1401.0
1980-09-03,1.43,1.43,1.47,1.43,2701.0
1980-09-04,1.46,1.46,1.48,1.46,401.0
1980-09-05,1.46,1.46,1.48,1.46,1100.0
1980-09-08,1.46,1.46,1.49,1.46,501.0
1980-09-09,1.46,1.46,1.48,1.46,200.0
1980-09-10,1.46,1.46,1.48,1.46,301.0
1980-09-11,1.46,1.46,1.49,1.46,200.0
1980-09-12,1.46,1.46,1.49,1.46,401.0
1980-09-15,1.46,1.46,1.48,1.46,2400.0
1980-09-16,1.46,1.46,1.48,1.46,101.0
1980-09-17,1.46,1.46,1.48,1.46,1900.0
1980-09-18,1.46,1.46,1.48,1.46,2200.0
1980-09-19,1.46,1.46,1.48,1.46,301.0
1980-09-22,1.46,1.46,1.48,1.46,901.0
1980-09-23,1.46,1.46,1.48,1.46,2000.0
1980-09-24,1.46,1.46,1.48,1.46,1501.0
1980-09-25,1.46,1.46,1.48,1.46,901.0
1980-09-26,1.46,1.46,1.48,1.46,101.0
1980-09-29,1.45,1.45,1.47,1.45,2700.0
1980-09-30,1.45,1.45,1.47,1.45,601.0
1980-10-01,1.42,1.42,1.45,1.42,3700.0
1980-10-02,1.37,1.37,1.4,1.37,3001.0
1980-10-03,1.37,1.37,1.4,1.37,3001.0
1980-10-06,1.37,1.37,1.39,1.37,900.0
1980-10-07,1.37,1.37,1.39,1.37,2500.0
1980-10-08,1.37,1.37,1.39,1.37,300.0
1980-10-09,1.36,1.36,1.39,1.36,1201.0
1980-10-10,1.36,1.36,1.38,1.36,1300.0
1980-10-13,1.34,1.34,1.39,1.34,201.0
1980-10-14,1.34,1.34,1.39,1.34,601.0
