Date,Close,Open,High,Low,Volume
9/22/1981,0.04,,0.04,0.04,21801.0
9/23/1981,0.04,,0.04,0.04,21600.0
9/24/1981,0.04,,0.04,0.04,15001.0
9/25/1981,0.04,,0.04,0.04,21501.0
9/28/1981,0.04,,0.04,0.04,17001.0
9/29/1981,0.04,,0.04,0.04,11701.0
9/30/1981,0.04,,0.04,0.04,15401.0
10/1/1981,0.04,,0.04,0.04,12800.0
10/2/1981,0.04,,0.04,0.04,10301.0
10/5/1981,0.04,,0.04,0.04,5301.0
10/6/1981,0.04,,0.04,0.04,7401.0
10/7/1981,0.04,,0.04,0.04,12301.0
10/8/1981,0.04,,0.04,0.04,401.0
10/9/1981,0.04,,0.04,0.04,16601.0
10/12/1981,0.04,,0.04,0.04,1101.0
10/13/1981,0.04,,0.04,0.04,3401.0
10/14/1981,0.04,,0.04,0.04,1201.0
10/15/1981,0.04,,0.04,0.04,9101.0
10/16/1981,0.04,,0.04,0.04,901.0
10/19/1981,0.04,,0.04,0.04,3601.0
10/20/1981,0.04,,0.04,0.04,4501.0
10/21/1981,0.04,,0.04,0.04,20800.0
10/22/1981,0.04,,0.04,0.04,18801.0
10/23/1981,0.05,,0.05,0.05,11501.0
10/26/1981,0.04,,0.05,0.04,12701.0
10/27/1981,0.04,,0.05,0.04,3801.0
10/28/1981,0.05,,0.05,0.05,10201.0
10/29/1981,0.05,,0.05,0.05,1801.0
10/30/1981,0.05,,0.05,0.05,1401.0
11/2/1981,0.05,,0.05,0.05,2501.0
11/3/1981,0.05,,0.05,0.05,3200.0
11/4/1981,0.05,,0.05,0.05,3301.0
11/5/1981,0.05,,0.05,0.05,12601.0
11/6/1981,0.05,,0.05,0.05,401.0
11/9/1981,0.05,,0.05,0.05,13001.0
11/10/1981,0.05,,0.05,0.05,8201.0
11/11/1981,0.05,,0.05,0.05,1201.0
11/12/1981,0.05,,0.05,0.05,2001.0
11/13/1981,0.05,,0.05,0.05,901.0
11/16/1981,0.05,,0.05,0.05,8401.0
11/17/1981,0.05,,0.05,0.05,601.0
11/18/1981,0.05,,0.05,0.05,1101.0
11/19/1981,0.05,,0.05,0.05,601.0
11/20/1981,0.05,,0.05,0.05,7901.0
11/23/1981,0.05,,0.05,0.05,2701.0
11/24/1981,0.05,,0.05,0.05,1001.0
11/25/1981,0.05,,0.05,0.05,701.0
11/27/1981,0.05,,0.05,0.05,601.0
11/30/1981,0.05,,0.05,0.05,301.0
12/1/1981,0.05,,0.05,0.05,601.0
12/2/1981,17.24,,17.73,17.24,1101.0
12/3/1981,0.05,,0.05,0.05,5001.0
12/4/1981,0.05,,0.06,0.05,14101.0
12/7/1981,0.06,,0.06,0.06,11701.0
12/8/1981,0.06,,0.06,0.06,8501.0
12/9/1981,0.06,,0.06,0.06,3701.0
12/10/1981,0.06,,0.06,0.06,2301.0
12/11/1981,0.06,,0.06,0.06,800.0
12/14/1981,0.05,,0.06,0.05,4901.0
12/15/1981,18.26,,18.49,18.26,8501.0
12/16/1981,0.05,,0.05,0.05,601.0
12/17/1981,18.26,,18.49,18.26,5600.0
12/18/1981,18.26,,18.76,18.26,1600.0
12/21/1981,18.26,,18.76,18.26,2501.0
12/22/1981,0.05,,0.05,0.05,4101.0
12/23/1981,0.05,,0.05,0.05,3401.0
12/24/1981,18.26,,18.49,18.26,5201.0
12/28/1981,18.26,,18.49,18.26,1401.0
12/29/1981,18.26,,18.49,18.26,1301.0
12/30/1981,18.26,,19.02,18.26,1401.0
12/31/1981,0.05,,0.06,0.05,800.0
1/4/1982,0.05,,0.06,0.05,401.0
1/5/1982,0.05,,0.06,0.05,1301.0
1/6/1982,0.05,,0.06,0.05,901.0
1/7/1982,0.05,,0.06,0.05,9001.0
1/8/1982,0.06,,0.06,0.06,1301.0
1/11/1982,0.06,,0.06,0.06,1201.0
1/12/1982,0.06,,0.06,0.06,901.0
1/14/1982,0.06,,0.06,0.06,201.0
1/15/1982,0.06,,0.06,0.06,800.0
1/18/1982,0.06,,0.06,0.06,601.0
1/19/1982,21.0,,21.49,21.0,3401.0
1/20/1982,14.0,,14.5,14.0,800.0
1/21/1982,0.06,,0.06,0.06,11101.0
1/22/1982,0.06,,0.06,0.06,2901.0
1/25/1982,0.06,,0.06,0.06,3501.0
1/26/1982,0.06,,0.06,0.06,2000.0
1/27/1982,0.06,,0.06,0.06,5901.0
1/28/1982,0.06,,0.06,0.06,1901.0
1/29/1982,0.06,,0.06,0.06,1001.0
2/1/1982,0.06,,0.06,0.06,501.0
2/2/1982,0.06,,0.06,0.06,3701.0
2/3/1982,0.06,,0.06,0.06,4101.0
2/4/1982,0.06,,0.06,0.06,901.0
2/5/1982,0.06,,0.06,0.06,5901.0
2/8/1982,0.06,,0.06,0.06,4800.0
2/9/1982,0.06,,0.06,0.06,601.0
2/10/1982,0.06,,0.06,0.06,3401.0
2/11/1982,0.06,,0.06,0.06,1801.0
2/12/1982,0.06,,0.06,0.06,2501.0
2/16/1982,0.06,,0.06,0.06,2501.0
2/17/1982,0.05,,0.06,0.05,1301.0
2/18/1982,0.05,,0.06,0.05,101.0
2/19/1982,0.06,,0.06,0.06,6400.0
2/22/1982,0.06,,0.06,0.06,2000.0
2/23/1982,0.05,,0.06,0.05,2701.0
2/24/1982,0.05,,0.06,0.05,1200.0
2/25/1982,0.06,,0.06,0.06,1600.0
2/26/1982,0.06,,0.06,0.06,1701.0
3/1/1982,0.06,,0.06,0.06,3600.0
3/3/1982,0.06,,0.06,0.06,301.0
3/4/1982,0.06,,0.06,0.06,1401.0
3/5/1982,0.06,,0.06,0.06,1701.0
3/8/1982,0.06,,0.06,0.06,601.0
3/9/1982,0.06,,0.06,0.06,800.0
3/10/1982,0.06,,0.06,0.06,1801.0
3/11/1982,0.06,,0.06,0.06,1501.0
3/12/1982,0.06,,0.06,0.06,901.0
3/15/1982,0.06,,0.06,0.06,1200.0
3/16/1982,0.06,,0.06,0.06,3200.0
3/17/1982,0.06,,0.06,0.06,1001.0
3/18/1982,0.06,,0.06,0.06,5200.0
3/19/1982,0.07,,0.07,0.07,3600.0
3/22/1982,0.07,,0.07,0.07,5901.0
3/23/1982,0.07,,0.07,0.07,2301.0
3/24/1982,0.07,,0.08,0.07,18101.0
3/25/1982,0.07,,0.07,0.07,11600.0
3/26/1982,0.07,,0.08,0.07,8701.0
3/29/1982,0.08,,0.08,0.08,15200.0
3/30/1982,0.07,,0.08,0.07,5001.0
3/31/1982,16.5,,17.24,16.5,8000.0
4/1/1982,16.5,,17.24,16.5,5101.0
4/2/1982,0.07,,0.08,0.07,2601.0
4/5/1982,0.07,,0.07,0.07,10301.0
4/6/1982,0.07,,0.07,0.07,7801.0
4/7/1982,0.07,,0.07,0.07,9101.0
4/8/1982,0.07,,0.07,0.07,5501.0
4/12/1982,16.5,,16.99,16.5,2301.0
4/13/1982,16.5,,16.99,16.5,2400.0
4/14/1982,16.5,,16.99,16.5,6901.0
4/15/1982,16.5,,16.99,16.5,5301.0
4/16/1982,0.07,,0.07,0.07,18301.0
4/19/1982,0.07,,0.07,0.07,3200.0
4/20/1982,0.07,,0.07,0.07,14901.0
4/21/1982,0.07,,0.07,0.07,1101.0
4/22/1982,0.07,,0.07,0.07,7401.0
4/23/1982,0.07,,0.07,0.07,10000.0
4/26/1982,0.07,,0.07,0.07,2301.0
4/27/1982,0.07,,0.07,0.07,1401.0
4/28/1982,0.07,,0.07,0.07,3301.0
4/29/1982,0.07,,0.08,0.07,13401.0
4/30/1982,0.08,,0.08,0.08,10701.0
5/3/1982,0.07,,0.08,0.07,11600.0
5/4/1982,0.08,,0.08,0.08,176000.0
5/5/1982,0.08,,0.08,0.08,106200.0
5/6/1982,0.08,,0.08,0.08,30300.0
5/7/1982,0.08,,0.08,0.08,18300.0
5/10/1982,0.08,,0.08,0.08,39200.0
5/11/1982,0.08,,0.08,0.08,30400.0
5/12/1982,0.08,,0.08,0.08,10100.0
5/13/1982,0.08,,0.09,0.08,31100.0
5/14/1982,0.08,,0.08,0.08,8800.0
5/17/1982,0.08,,0.09,0.08,88600.0
5/18/1982,0.08,,0.09,0.08,6900.0
5/19/1982,0.08,,0.09,0.08,11800.0
5/20/1982,0.09,,0.09,0.09,13800.0
5/21/1982,0.09,,0.09,0.09,16300.0
5/24/1982,0.09,,0.09,0.09,6100.0
5/25/1982,0.09,,0.09,0.09,16500.0
5/26/1982,0.09,,0.09,0.09,39000.0
5/27/1982,0.09,,0.09,0.09,46500.0
5/28/1982,0.09,,0.09,0.09,33200.0
6/1/1982,0.09,,0.09,0.09,4300.0
6/2/1982,0.09,,0.1,0.09,26800.0
6/3/1982,17.76,,18.0,17.76,25300.0
6/4/1982,17.76,,18.0,17.76,8500.0
6/7/1982,17.76,,18.0,17.76,15800.0
6/8/1982,17.76,,18.0,17.76,5000.0
6/9/1982,18.12,,18.37,18.12,32200.0
6/10/1982,0.1,,0.11,0.1,63100.0
6/11/1982,0.11,,0.11,0.11,14400.0
6/14/1982,0.1,,0.11,0.1,5700.0
6/15/1982,0.1,,0.1,0.1,8400.0
