Date,Close,Open,High,Low,Volume
1980-03-17,7.77,,8.04,7.69,124600.0
1980-03-18,8.04,,8.1,7.56,200800.0
1980-03-19,8.06,,8.25,8.06,124200.0
1980-03-20,7.87,,8.17,7.83,71800.0
1980-03-21,7.73,,7.96,7.73,75500.0
1980-03-24,7.27,,7.69,7.21,135000.0
1980-03-25,7.08,,7.44,7.0,352900.0
1980-03-26,6.98,,7.21,6.94,136100.0
1980-03-27,6.83,,6.9,6.27,214400.0
1980-03-28,7.21,,7.33,6.94,139600.0
1980-03-31,7.25,,7.35,7.08,66600.0
1980-04-01,7.15,,7.31,7.06,105200.0
1980-04-02,7.25,,7.31,7.17,81000.0
1980-04-03,7.17,,7.31,7.15,80600.0
1980-04-07,7.0,,7.12,7.0,52500.0
1980-04-08,7.17,,7.21,6.96,58000.0
1980-04-09,7.37,,7.4,7.17,137400.0
1980-04-10,7.44,,7.44,7.31,86000.0
1980-04-11,7.71,,7.71,7.48,138200.0
1980-04-14,7.79,,7.79,7.6,99100.0
1980-04-15,7.69,,7.9,7.67,57700.0
1980-04-16,7.4,,7.73,7.37,76100.0
1980-04-17,7.4,,7.42,7.25,58900.0
1980-04-18,7.4,,7.52,7.31,44800.0
1980-04-21,7.27,,7.44,7.17,57800.0
1980-04-22,7.96,,7.96,7.27,142000.0
1980-04-23,7.81,,7.96,7.73,139800.0
1980-04-24,7.75,,7.83,7.6,98200.0
1980-04-25,7.75,,7.75,7.54,63300.0
1980-04-28,7.83,,8.0,7.79,78200.0
1980-04-29,8.04,,8.06,7.87,53300.0
1980-04-30,7.96,,8.04,7.87,35900.0
1980-05-01,7.85,,8.1,7.85,104500.0
1980-05-02,7.73,,7.87,7.73,173400.0
1980-05-05,7.67,,7.77,7.67,52700.0
1980-05-06,7.5,,7.67,7.5,63500.0
1980-05-07,7.31,,7.48,7.29,90900.0
1980-05-08,7.25,,7.31,7.21,130400.0
1980-05-09,7.12,,7.19,7.08,80400.0
1980-05-12,7.12,,7.15,7.06,41800.0
1980-05-13,7.4,,7.4,7.17,71700.0
1980-05-14,7.29,,7.48,7.29,125100.0
1980-05-15,7.31,,7.37,7.25,41200.0
1980-05-16,7.23,,7.33,7.17,100100.0
1980-05-19,7.17,,7.23,7.1,140700.0
1980-05-20,7.17,,7.23,7.17,83300.0
