Date,Close,Open,High,Low,Volume
10/19/2015,9.62,10.75,10.75,9.58,1581576.0
10/20/2015,9.8,9.44,9.84,9.44,709632.0
10/21/2015,9.58,10.02,10.08,9.53,78598.0
10/22/2015,9.85,9.71,9.91,9.44,110000.0
10/23/2015,9.88,10.02,10.02,9.79,59910.0
10/26/2015,9.54,9.94,9.94,9.48,514799.0
10/27/2015,9.14,9.62,9.73,9.07,636017.0
10/28/2015,9.46,9.24,9.5,9.21,296321.0
10/29/2015,9.27,9.3,9.45,9.04,290446.0
10/30/2015,8.55,9.24,9.36,8.55,2449278.0
11/2/2015,8.42,8.71,8.82,8.05,40866212.0
11/3/2015,8.35,8.18,8.55,7.95,40205820.0
11/4/2015,7.94,8.36,8.43,7.91,31525806.0
11/5/2015,7.72,7.93,8.07,7.62,22190459.0
11/6/2015,8.37,7.66,8.41,7.64,30049954.0
11/9/2015,8.25,8.29,8.41,8.21,17528088.0
11/10/2015,8.37,8.21,8.39,8.14,14777765.0
11/11/2015,8.2,8.25,8.32,8.19,11009387.0
11/12/2015,7.96,8.03,8.03,7.9,20371666.0
11/13/2015,7.78,7.91,8.0,7.64,14924533.0
11/16/2015,7.78,7.77,7.91,7.64,13781675.0
11/17/2015,7.68,7.78,7.84,7.62,12420759.0
11/18/2015,7.93,7.83,7.98,7.66,13020475.0
11/19/2015,8.01,7.86,8.07,7.86,13171491.0
11/20/2015,8.26,8.01,8.5,7.95,18559394.0
11/23/2015,8.05,8.23,8.26,7.89,15317345.0
11/24/2015,7.96,7.89,8.15,7.85,24110878.0
11/25/2015,8.21,8.08,8.64,8.04,22677094.0
11/27/2015,8.34,8.21,8.51,8.16,6041718.0
11/30/2015,8.64,8.27,8.72,8.24,29104253.0
12/1/2015,9.07,8.65,9.23,8.63,25106564.0
12/2/2015,8.69,8.93,9.03,8.64,12681142.0
12/3/2015,8.5,8.72,8.91,8.47,18905240.0
12/4/2015,8.84,8.36,8.89,8.28,10955145.0
12/7/2015,8.98,8.72,9.0,8.67,9546047.0
12/8/2015,8.82,8.77,8.89,8.5,11617601.0
12/9/2015,8.63,8.71,8.94,8.53,14261925.0
12/10/2015,8.55,8.59,8.61,8.44,11350209.0
12/11/2015,8.24,8.71,8.95,8.22,10616156.0
12/14/2015,8.39,8.31,8.43,8.09,11528144.0
12/15/2015,8.46,8.43,8.71,8.42,12888739.0
12/16/2015,8.54,8.5,8.61,8.46,7840968.0
12/17/2015,8.32,8.49,8.55,8.26,7625458.0
12/18/2015,8.23,8.29,8.36,8.14,19337615.0
12/21/2015,8.15,8.21,8.37,8.06,9863255.0
12/22/2015,8.17,8.16,8.22,8.09,7292476.0
12/23/2015,8.66,8.25,8.7,8.16,11252128.0
12/24/2015,8.73,8.61,8.82,8.59,2178459.0
12/28/2015,8.85,8.65,8.88,8.61,5930636.0
12/29/2015,8.83,8.89,8.97,8.82,6275753.0
12/30/2015,8.88,8.89,9.0,8.8,6275778.0
12/31/2015,8.83,8.85,8.9,8.78,6768073.0
1/4/2016,8.79,8.7,8.8,8.57,15076835.0
1/5/2016,8.73,8.79,8.86,8.68,10328195.0
1/6/2016,8.6,8.5,8.72,8.43,11315099.0
1/7/2016,7.97,8.43,8.46,7.93,19844662.0
1/8/2016,7.87,8.0,8.15,7.73,16431904.0
1/11/2016,7.71,7.8,7.97,7.6,15110848.0
1/12/2016,7.71,7.76,7.8,7.61,12458450.0
1/13/2016,7.41,7.76,7.76,7.28,17720765.0
1/14/2016,7.55,7.41,7.65,7.35,13352501.0
1/15/2016,7.29,7.32,7.44,7.26,19729482.0
