Date,Close,Open,High,Low,Volume
1995-11-03,4.46,4.26,4.61,3.99,4749000.0
1995-11-06,4.48,4.41,4.56,4.36,736900.0
1995-11-07,4.41,4.51,4.51,4.36,665000.0
1995-11-08,4.36,4.31,4.46,4.31,166900.0
1995-11-09,4.46,4.36,4.51,4.36,112700.0
1995-11-10,4.26,4.36,4.51,4.26,210000.0
1995-11-13,4.36,4.41,4.41,4.26,96500.0
1995-11-14,4.26,4.26,4.41,4.26,207200.0
1995-11-15,4.35,4.26,4.46,4.26,169200.0
1995-11-16,4.41,4.46,4.46,4.26,124500.0
1995-11-17,4.31,4.26,4.46,4.26,57000.0
1995-11-20,4.31,4.31,4.46,4.31,52800.0
1995-11-21,4.31,4.46,4.46,4.31,68600.0
1995-11-22,4.31,4.31,4.46,4.31,133200.0
1995-11-24,4.45,4.46,4.46,4.36,10900.0
1995-11-27,4.51,4.36,4.65,4.36,108200.0
1995-11-28,4.61,4.56,4.61,4.51,20800.0
1995-11-29,5.0,4.51,5.05,4.51,305900.0
1995-11-30,4.95,5.05,5.1,4.9,171900.0
1995-12-01,4.95,4.95,5.05,4.9,126900.0
1995-12-04,4.78,5.0,5.0,4.75,78200.0
1995-12-05,4.85,4.85,4.85,4.75,99700.0
1995-12-06,4.87,4.85,4.9,4.75,33000.0
1995-12-07,4.75,4.75,4.9,4.75,96000.0
1995-12-08,4.8,4.9,4.9,4.75,144200.0
1995-12-11,4.8,4.8,4.9,4.75,69300.0
1995-12-12,4.75,4.9,4.9,4.7,259500.0
1995-12-13,4.65,4.7,4.75,4.61,203100.0
1995-12-14,4.56,4.56,4.65,4.51,40700.0
1995-12-15,4.56,4.46,4.56,4.46,61500.0
1995-12-18,4.46,4.46,4.56,4.46,14800.0
1995-12-19,4.56,4.56,4.58,4.46,82400.0
1995-12-20,4.65,4.51,4.65,4.51,93900.0
1995-12-21,4.56,4.68,4.7,4.56,3200.0
1995-12-22,4.7,4.7,4.7,4.56,3300.0
1995-12-26,4.56,4.56,4.7,4.56,2900.0
1995-12-27,5.24,4.7,5.24,4.61,97700.0
1995-12-28,5.54,5.29,5.68,5.29,341200.0
1995-12-29,5.78,5.54,5.78,5.44,166900.0
1996-01-02,5.34,5.68,5.73,5.34,60600.0
1996-01-03,5.14,5.44,5.44,5.05,153900.0
1996-01-04,4.78,5.14,5.14,4.61,181400.0
1996-01-05,4.75,4.8,4.8,4.63,75400.0
1996-01-08,4.63,4.75,4.75,4.63,5300.0
1996-01-09,4.67,4.8,4.8,4.65,93800.0
1996-01-10,4.75,4.75,4.75,4.65,143500.0
1996-01-11,4.65,4.75,4.75,4.65,48400.0
1996-01-12,4.65,4.85,4.85,4.65,13800.0
1996-01-15,4.65,4.85,4.85,4.65,18400.0
1996-01-16,4.8,4.65,4.85,4.65,5300.0
1996-01-17,4.8,4.8,4.85,4.65,41600.0
1996-01-18,4.95,4.78,4.95,4.78,23100.0
1996-01-19,5.24,5.05,5.24,4.95,102600.0
1996-01-22,5.49,5.24,5.49,5.14,73600.0
1996-01-23,5.56,5.49,5.63,5.49,64500.0
1996-01-24,5.54,5.63,5.63,5.34,64600.0
1996-01-25,5.54,5.34,5.54,5.34,16600.0
1996-01-26,5.34,5.34,5.49,5.34,11100.0
1996-01-29,5.49,5.49,5.49,5.34,22100.0
1996-01-30,5.49,5.49,5.63,5.39,36100.0
1996-01-31,5.78,5.63,5.88,5.49,106800.0
1996-02-01,5.59,5.88,5.93,5.59,61100.0
1996-02-02,5.73,5.68,5.78,5.34,73200.0
1996-02-05,5.73,5.83,5.88,5.68,42600.0
1996-02-06,5.78,5.88,5.88,5.73,18700.0
1996-02-07,5.88,5.68,5.88,5.68,11200.0
1996-02-08,5.73,5.88,5.88,5.73,13300.0
1996-02-09,5.78,5.73,5.83,5.73,28300.0
1996-02-12,5.78,5.83,5.83,5.73,81700.0
1996-02-13,5.81,5.73,5.88,5.73,76600.0
1996-02-14,5.78,5.88,5.88,5.78,860200.0
1996-02-15,5.68,5.88,5.88,5.68,3600.0
