Date,Close,Open,High,Low,Volume
1980-03-17,3.4,,3.43,3.36,19300.0
1980-03-18,3.52,,3.52,3.38,45500.0
1980-03-19,3.58,,3.63,3.49,18500.0
1980-03-20,3.52,,3.61,3.52,41500.0
1980-03-21,3.49,,3.56,3.47,16600.0
1980-03-24,3.47,,3.47,3.4,57500.0
1980-03-25,3.43,,3.43,3.43,14700.0
1980-03-26,3.43,,3.45,3.43,17000.0
1980-03-27,3.29,,3.43,3.29,212500.0
1980-03-28,3.47,,3.47,3.34,23400.0
1980-03-31,3.47,,3.52,3.4,84800.0
1980-04-01,3.4,,3.45,3.4,6700.0
1980-04-02,3.47,,3.47,3.43,21300.0
1980-04-03,3.38,,3.47,3.38,10500.0
1980-04-07,3.32,,3.4,3.32,39900.0
1980-04-08,3.4,,3.4,3.32,54500.0
1980-04-09,3.38,,3.43,3.36,46200.0
1980-04-10,3.45,,3.45,3.36,55500.0
1980-04-11,3.38,,3.45,3.36,9300.0
1980-04-14,3.36,,3.38,3.34,15000.0
1980-04-15,3.34,,3.4,3.34,7200.0
1980-04-16,3.32,,3.43,3.32,44600.0
1980-04-17,3.29,,3.29,3.23,29900.0
1980-04-18,3.23,,3.29,3.23,9600.0
1980-04-21,3.14,,3.23,3.09,39200.0
1980-04-22,3.32,,3.32,3.18,41800.0
1980-04-23,3.36,,3.38,3.29,86500.0
1980-04-24,3.32,,3.32,3.25,31200.0
1980-04-25,3.23,,3.27,3.23,8400.0
1980-04-28,3.27,,3.29,3.27,15600.0
1980-04-29,3.27,,3.27,3.25,2500.0
1980-04-30,3.27,,3.27,3.23,3400.0
1980-05-01,3.25,,3.29,3.23,16000.0
1980-05-02,3.25,,3.29,3.25,13800.0
1980-05-05,3.32,,3.34,3.25,27700.0
1980-05-06,3.4,,3.45,3.32,30900.0
1980-05-07,3.45,,3.49,3.4,127600.0
1980-05-08,3.45,,3.49,3.43,7500.0
1980-05-09,3.4,,3.43,3.36,27000.0
1980-05-12,3.38,,3.38,3.36,2800.0
1980-05-13,3.38,,3.43,3.36,3700.0
