Date,Close,Open,High,Low,Volume
1980-03-17,4.79,,4.9,4.79,32100.0
1980-03-18,4.93,,4.97,4.79,35400.0
1980-03-19,5.14,,5.14,4.88,55400.0
1980-03-20,5.17,,5.49,5.17,54000.0
1980-03-21,5.07,,5.12,5.07,29600.0
1980-03-24,4.9,,5.02,4.88,37400.0
1980-03-25,4.74,,4.84,4.74,35900.0
1980-03-26,4.81,,5.02,4.74,54800.0
1980-03-27,4.76,,4.78,4.52,69100.0
1980-03-28,5.17,,5.17,4.79,41900.0
1980-03-31,5.4,,5.4,5.07,65500.0
1980-04-01,5.37,,5.49,5.35,69700.0
1980-04-02,5.35,,5.44,5.35,88800.0
1980-04-03,5.35,,5.35,5.26,22700.0
1980-04-07,5.07,,5.33,5.07,105000.0
1980-04-08,5.02,,5.11,4.97,36400.0
1980-04-09,5.02,,5.07,4.97,28200.0
1980-04-10,5.09,,5.09,4.91,52700.0
1980-04-11,5.26,,5.26,5.11,59600.0
1980-04-14,5.26,,5.3,5.24,19300.0
1980-04-15,5.19,,5.3,5.19,12700.0
1980-04-16,5.16,,5.23,5.14,23900.0
1980-04-17,5.05,,5.12,5.05,26300.0
1980-04-18,5.04,,5.07,5.04,10000.0
1980-04-21,4.97,,5.02,4.93,46700.0
1980-04-22,5.28,,5.31,5.07,79800.0
1980-04-23,5.38,,5.45,5.38,44200.0
1980-04-24,5.45,,5.52,5.42,34500.0
1980-04-25,5.54,,5.57,5.31,35800.0
1980-04-28,5.68,,5.7,5.59,35000.0
1980-04-29,5.66,,5.75,5.61,24000.0
1980-04-30,5.61,,5.68,5.57,16700.0
1980-05-01,5.56,,5.64,5.52,35000.0
1980-05-02,5.66,,5.66,5.56,28200.0
1980-05-05,5.61,,5.68,5.57,21500.0
1980-05-06,5.64,,5.64,5.59,41000.0
1980-05-07,5.61,,5.64,5.57,48800.0
1980-05-08,5.59,,5.7,5.59,14900.0
1980-05-09,5.7,,5.73,5.59,35300.0
1980-05-12,5.64,,5.68,5.56,17700.0
1980-05-13,5.61,,5.68,5.57,24300.0
